//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=110       
StartTime=2020/10/15 09:29:43
EndTime=2020/10/15 09:29:53
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2020/10/15,09:29:43,-0.1839,26.649,34.565,54.195,52297.993,1022.501,22.502,0.26,0.26,8.96,94.27,6.207,7.88,6.225,6.226,
2020/10/15,09:29:43,-0.2035,26.657,34.564,54.202,52295.475,1022.497,22.498,0.29,0.29,8.44,94.13,6.198,7.90,6.215,6.216,
2020/10/15,09:29:43,-0.2035,26.661,34.570,54.214,52302.859,1022.500,22.501,0.27,0.27,8.20,94.03,6.191,7.91,6.208,6.209,
2020/10/15,09:29:43,-0.2231,26.664,34.573,54.222,52306.805,1022.502,22.503,0.25,0.25,7.48,93.81,6.176,7.93,6.193,6.195,
2020/10/15,09:29:43,-0.2035,26.672,34.564,54.217,52293.760,1022.493,22.493,0.26,0.26,7.13,93.63,6.165,7.93,6.182,6.183,
2020/10/15,09:29:43,-0.2035,26.679,34.559,54.219,52286.684,1022.487,22.488,0.24,0.24,6.88,93.46,6.154,7.95,6.171,6.172,
2020/10/15,09:29:43,-0.2035,26.683,34.557,54.220,52283.514,1022.484,22.485,0.28,0.28,6.87,93.41,6.150,7.96,6.168,6.169,
2020/10/15,09:29:43,-0.2035,26.685,34.553,54.216,52278.113,1022.480,22.481,0.26,0.26,7.41,93.26,6.140,7.96,6.158,6.159,
2020/10/15,09:29:43,-0.2035,26.682,34.555,54.216,52281.169,1022.483,22.484,0.26,0.26,6.80,93.16,6.133,7.97,6.151,6.152,
2020/10/15,09:29:43,-0.2231,26.676,34.551,54.203,52276.031,1022.482,22.483,0.26,0.26,7.04,93.04,6.124,7.97,6.141,6.142,
2020/10/15,09:29:44,-0.2035,26.671,34.557,54.206,52284.241,1022.488,22.488,0.27,0.27,6.68,92.95,6.117,7.97,6.134,6.135,
2020/10/15,09:29:44,-0.2231,26.668,34.568,54.219,52300.209,1022.497,22.498,0.24,0.24,6.50,92.86,6.110,7.98,6.128,6.129,
2020/10/15,09:29:44,-0.2035,26.667,34.573,54.226,52307.276,1022.501,22.502,0.25,0.25,6.38,92.78,6.105,7.99,6.123,6.124,
2020/10/15,09:29:44,-0.2035,26.670,34.575,54.230,52308.361,1022.501,22.502,0.25,0.25,6.04,92.66,6.097,7.99,6.114,6.115,
2020/10/15,09:29:44,-0.2035,26.676,34.571,54.232,52303.220,1022.497,22.498,0.26,0.26,6.78,92.60,6.094,8.00,6.111,6.112,
2020/10/15,09:29:44,-0.2035,26.680,34.561,54.222,52289.639,1022.488,22.489,0.27,0.27,6.90,92.63,6.095,8.00,6.113,6.114,
2020/10/15,09:29:44,-0.2035,26.682,34.555,54.216,52281.403,1022.483,22.484,0.28,0.28,6.33,92.46,6.085,8.00,6.102,6.103,
2020/10/15,09:29:44,-0.2035,26.681,34.563,54.225,52291.075,1022.489,22.490,0.28,0.28,5.73,92.50,6.086,8.01,6.104,6.105,
2020/10/15,09:29:44,-0.2035,26.681,34.569,54.235,52299.982,1022.494,22.494,0.24,0.24,5.74,92.48,6.085,8.01,6.102,6.103,
2020/10/15,09:29:44,-0.2035,26.680,34.571,54.236,52302.925,1022.496,22.496,0.24,0.24,6.01,92.27,6.071,8.00,6.088,6.089,
2020/10/15,09:29:45,-0.2035,26.680,34.570,54.234,52300.992,1022.495,22.496,0.25,0.25,5.68,92.25,6.070,8.02,6.087,6.088,
2020/10/15,09:29:45,-0.2035,26.686,34.560,54.227,52286.983,1022.485,22.486,0.25,0.25,5.74,92.21,6.067,8.03,6.084,6.085,
2020/10/15,09:29:45,-0.2035,26.695,34.553,54.227,52277.277,1022.477,22.478,0.25,0.25,6.21,92.15,6.063,8.02,6.080,6.081,
2020/10/15,09:29:45,-0.2035,26.701,34.547,54.224,52267.517,1022.470,22.471,0.24,0.24,6.10,92.10,6.059,8.02,6.076,6.077,
