//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=110       
StartTime=2020/10/15 09:17:06
EndTime=2020/10/15 09:17:16
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2020/10/15,09:17:06,-0.2820,23.929,0.024,0.037,37.682,997.333,-2.666,0.15,0.15,1.58,97.87,7.999,7.89,8.020,8.020,
2020/10/15,09:17:06,-0.3016,23.924,0.024,0.037,37.674,997.334,-2.665,0.17,0.17,2.16,97.95,8.007,7.91,8.028,8.028,
2020/10/15,09:17:06,-0.3213,23.940,0.024,0.037,37.676,997.330,-2.669,0.06,0.06,73.28,98.08,8.019,7.94,8.040,8.040,
2020/10/15,09:17:06,-0.3016,24.382,0.025,0.038,38.827,997.221,-2.778,0.25,0.25,81.56,98.69,8.058,7.93,8.080,8.080,
2020/10/15,09:17:06,-0.2624,25.560,0.026,0.040,39.257,996.919,-3.079,0.42,0.42,20.98,98.28,7.963,7.94,7.984,7.984,
2020/10/15,09:17:06,-0.2428,26.241,7.557,13.476,13117.927,1002.385,2.386,0.45,0.45,8.31,97.28,7.500,7.94,7.522,7.521,
2020/10/15,09:17:06,-0.2035,26.589,34.728,54.359,52522.664,1022.642,22.643,0.44,0.44,5.48,96.51,6.362,7.96,6.380,6.381,
2020/10/15,09:17:06,-0.2035,26.773,33.998,53.531,51521.064,1022.034,22.035,0.44,0.44,4.61,95.94,6.340,7.96,6.358,6.359,
2020/10/15,09:17:06,-0.2035,26.881,33.911,53.520,51393.104,1021.934,21.935,0.46,0.46,4.53,95.40,6.299,7.94,6.317,6.318,
2020/10/15,09:17:06,-0.2035,26.955,33.838,53.493,51287.563,1021.856,21.857,0.45,0.45,4.80,94.86,6.262,7.97,6.280,6.281,
2020/10/15,09:17:07,-0.2035,26.997,33.829,53.524,51271.153,1021.836,21.837,0.44,0.44,4.97,94.28,6.219,7.98,6.237,6.238,
2020/10/15,09:17:07,-0.2035,27.020,33.803,53.512,51234.594,1021.810,21.810,0.44,0.44,4.96,93.68,6.173,7.97,6.191,6.192,
2020/10/15,09:17:07,-0.2035,27.025,33.794,53.503,51221.515,1021.801,21.802,0.44,0.44,4.36,93.04,6.126,8.00,6.143,6.144,
2020/10/15,09:17:07,-0.2035,27.037,33.774,53.486,51192.629,1021.782,21.783,0.46,0.46,4.14,92.64,6.096,8.00,6.113,6.114,
2020/10/15,09:17:07,-0.2231,27.030,33.773,53.480,51193.152,1021.784,21.785,0.46,0.46,4.58,92.31,6.073,8.00,6.090,6.091,
2020/10/15,09:17:07,-0.2035,27.023,33.778,53.479,51200.368,1021.790,21.790,0.47,0.47,4.51,92.23,6.066,8.00,6.083,6.084,
