//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=130       
StartTime=2020/10/15 12:06:35
EndTime=2020/10/15 12:06:47
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2020/10/15,12:06:35,-0.3016,26.092,0.028,0.046,44.895,996.781,-3.218,-0.02,-0.02,0.11,96.52,7.654,7.88,7.676,7.676,
2020/10/15,12:06:35,-0.3213,26.106,0.028,0.046,44.948,996.777,-3.222,-0.02,-0.02,0.11,96.55,7.656,7.89,7.678,7.678,
2020/10/15,12:06:35,-0.3213,26.107,0.028,0.046,45.056,996.777,-3.222,-0.02,-0.02,0.11,96.62,7.662,7.91,7.683,7.684,
2020/10/15,12:06:35,-0.3409,26.112,0.028,0.046,44.837,996.775,-3.223,-0.03,-0.03,0.11,96.55,7.656,7.93,7.677,7.677,
2020/10/15,12:06:35,-0.3213,26.129,0.028,0.046,44.908,996.771,-3.228,-0.02,-0.02,0.11,96.53,7.652,7.92,7.673,7.673,
2020/10/15,12:06:35,-0.3213,26.137,0.028,0.046,45.078,996.769,-3.230,-0.02,-0.02,0.11,96.54,7.652,7.92,7.673,7.673,
2020/10/15,12:06:35,-0.3213,26.144,0.028,0.046,45.052,996.767,-3.232,-0.02,-0.02,0.11,96.40,7.640,7.91,7.661,7.662,
2020/10/15,12:06:35,-0.3213,26.155,0.028,0.046,44.910,996.764,-3.235,-0.03,-0.03,0.11,96.45,7.642,7.92,7.663,7.663,
2020/10/15,12:06:35,-0.3213,26.168,0.028,0.046,44.930,996.760,-3.238,-0.24,-0.24,-0.24,96.44,7.640,7.96,7.661,7.661,
2020/10/15,12:06:35,-0.3213,26.174,0.028,0.046,44.623,996.759,-3.240,-4.95,-4.95,-6.90,96.26,7.625,7.96,7.646,7.646,
2020/10/15,12:06:36,-0.3213,26.173,0.028,0.046,45.109,996.759,-3.239,-1.61,-1.61,-0.87,96.15,7.619,7.96,7.640,7.640,
2020/10/15,12:06:36,-0.3213,26.167,0.028,0.046,45.031,996.761,-3.238,-2.17,-2.17,-2.54,96.08,7.618,7.97,7.639,7.640,
2020/10/15,12:06:36,-0.3213,26.166,0.028,0.046,44.650,996.761,-3.238,-5.05,-5.05,-7.85,96.10,7.626,7.97,7.647,7.647,
2020/10/15,12:06:36,-0.3213,26.170,0.028,0.046,44.793,996.760,-3.239,-2.95,-2.95,-1.89,96.18,7.637,7.99,7.658,7.658,
2020/10/15,12:06:36,-0.3213,26.200,0.028,0.046,44.647,996.752,-3.247,-2.72,-2.72,-0.40,96.34,7.653,7.99,7.674,7.674,
