//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=110       
StartTime=2020/10/15 12:19:45
EndTime=2020/10/15 12:19:55
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2020/10/15,12:19:45,-0.2035,27.597,33.948,54.309,51373.636,1021.734,21.735,0.09,0.09,0.63,103.23,6.716,7.86,6.735,6.736,
2020/10/15,12:19:45,-0.2035,27.596,33.953,54.315,51380.224,1021.738,21.738,0.08,0.08,0.67,103.48,6.731,7.89,6.750,6.751,
2020/10/15,12:19:45,-0.2231,27.598,33.956,54.320,51384.105,1021.739,21.740,0.08,0.08,0.61,103.85,6.755,7.92,6.775,6.776,
2020/10/15,12:19:45,-0.2231,27.596,33.959,54.323,51387.956,1021.742,21.743,0.08,0.08,0.58,104.14,6.773,7.90,6.792,6.793,
2020/10/15,12:19:45,-0.2231,27.595,33.949,54.307,51374.438,1021.735,21.736,0.07,0.07,0.55,104.36,6.787,7.90,6.806,6.807,
2020/10/15,12:19:45,-0.2231,27.593,33.942,54.296,51365.986,1021.730,21.731,0.08,0.08,0.72,104.68,6.807,7.91,6.826,6.827,
2020/10/15,12:19:45,-0.2231,27.584,33.943,54.287,51367.269,1021.734,21.735,0.08,0.08,0.68,104.80,6.814,7.92,6.833,6.834,
2020/10/15,12:19:45,-0.2035,27.575,33.950,54.289,51378.463,1021.742,21.743,0.08,0.08,0.64,105.08,6.832,7.93,6.851,6.852,
2020/10/15,12:19:45,-0.2231,27.567,33.960,54.294,51392.221,1021.752,21.753,0.08,0.08,0.60,105.44,6.855,7.93,6.874,6.875,
2020/10/15,12:19:45,-0.2231,27.565,33.961,54.294,51393.222,1021.753,21.754,0.08,0.08,0.58,105.60,6.865,7.96,6.884,6.885,
2020/10/15,12:19:46,-0.2231,27.570,33.958,54.295,51389.624,1021.750,21.751,0.08,0.08,0.58,105.71,6.872,7.97,6.892,6.893,
2020/10/15,12:19:46,-0.2035,27.574,33.956,54.295,51385.682,1021.747,21.748,0.08,0.08,0.58,105.95,6.888,7.96,6.907,6.908,
2020/10/15,12:19:46,-0.2231,27.577,33.955,54.299,51385.244,1021.745,21.746,0.09,0.09,0.64,106.35,6.914,7.99,6.933,6.934,
2020/10/15,12:19:46,-0.2035,27.579,33.955,54.300,51384.804,1021.745,21.746,0.09,0.09,0.67,106.55,6.927,7.95,6.947,6.948,
2020/10/15,12:19:46,-0.2231,27.581,33.956,54.304,51386.029,1021.745,21.746,0.09,0.09,0.64,106.65,6.934,7.98,6.954,6.955,
2020/10/15,12:19:46,-0.2035,27.586,33.950,54.300,51377.735,1021.739,21.740,0.08,0.08,0.60,106.76,6.941,7.98,6.961,6.962,
2020/10/15,12:19:46,-0.2035,27.589,33.943,54.293,51367.306,1021.732,21.733,0.08,0.08,0.61,107.11,6.965,7.99,6.984,6.986,
2020/10/15,12:19:46,-0.2035,27.592,33.942,54.294,51365.125,1021.730,21.731,0.09,0.09,0.63,107.19,6.970,7.98,6.990,6.991,
2020/10/15,12:19:46,-0.2035,27.593,33.938,54.289,51359.719,1021.727,21.728,0.08,0.08,0.60,107.25,6.974,7.99,6.993,6.995,
2020/10/15,12:19:46,-0.2035,27.593,33.935,54.286,51356.399,1021.725,21.726,0.08,0.08,0.61,107.40,6.984,8.00,7.004,7.005,
2020/10/15,12:19:47,-0.2035,27.594,33.931,54.281,51351.305,1021.722,21.723,0.08,0.08,0.70,107.71,7.003,8.00,7.023,7.024,
2020/10/15,12:19:47,-0.2231,27.594,33.931,54.281,51350.376,1021.721,21.722,0.07,0.07,0.67,107.79,7.009,8.01,7.029,7.030,
2020/10/15,12:19:47,-0.2231,27.596,33.933,54.286,51353.253,1021.723,21.724,0.08,0.08,0.64,108.01,7.022,7.99,7.042,7.044,
2020/10/15,12:19:47,-0.2035,27.595,33.936,54.289,51357.007,1021.725,21.726,0.09,0.09,0.65,108.13,7.030,8.02,7.050,7.051,
2020/10/15,12:19:47,-0.2231,27.593,33.936,54.287,51357.701,1021.726,21.727,0.08,0.08,0.61,108.31,7.041,8.01,7.061,7.062,
2020/10/15,12:19:47,-0.2035,27.592,33.936,54.287,51358.082,1021.726,21.727,0.08,0.08,0.64,108.38,7.046,8.01,7.066,7.067,
2020/10/15,12:19:47,-0.2231,27.593,33.935,54.286,51356.832,1021.725,21.726,0.08,0.08,0.68,108.56,7.058,8.01,7.078,7.079,
2020/10/15,12:19:47,-0.2231,27.593,33.934,54.284,51355.019,1021.724,21.725,0.08,0.08,0.71,108.71,7.067,8.03,7.087,7.089,
2020/10/15,12:19:47,-0.2035,27.592,33.940,54.291,51362.707,1021.729,21.730,0.09,0.09,0.71,108.79,7.072,8.02,7.092,7.094,
2020/10/15,12:19:47,-0.2231,27.594,33.939,54.292,51361.206,1021.728,21.729,0.10,0.10,0.70,108.75,7.069,8.03,7.089,7.091,
2020/10/15,12:19:48,-0.2035,27.598,33.934,54.290,51354.850,1021.723,21.724,0.09,0.09,0.71,108.78,7.072,8.00,7.092,7.093,
2020/10/15,12:19:48,-0.2035,27.601,33.935,54.294,51354.972,1021.722,21.723,0.08,0.08,0.75,108.94,7.082,8.02,7.102,7.103,
2020/10/15,12:19:48,-0.2035,27.606,33.931,54.293,51349.897,1021.718,21.719,0.08,0.08,0.71,109.12,7.093,8.02,7.114,7.115,
2020/10/15,12:19:48,-0.2231,27.604,33.933,54.294,51351.984,1021.720,21.721,0.08,0.08,0.70,109.27,7.103,8.04,7.123,7.124,
2020/10/15,12:19:48,-0.2035,27.605,33.932,54.295,51351.231,1021.719,21.720,0.07,0.07,0.68,109.38,7.110,8.04,7.130,7.132,
2020/10/15,12:19:48,-0.2035,27.605,33.935,54.299,51355.006,1021.721,21.722,0.08,0.08,0.67,109.47,7.116,8.04,7.136,7.137,
2020/10/15,12:19:48,-0.2231,27.605,33.936,54.300,51355.987,1021.721,21.722,0.08,0.08,0.65,109.58,7.123,8.01,7.143,7.144,
2020/10/15,12:19:48,-0.2035,27.606,33.935,54.299,51354.671,1021.720,21.721,0.08,0.08,0.64,109.73,7.132,8.04,7.153,7.154,
2020/10/15,12:19:48,-0.2231,27.606,33.936,54.301,51356.661,1021.722,21.723,0.08,0.08,0.61,109.80,7.137,8.05,7.157,7.158,
2020/10/15,12:19:48,-0.2231,27.607,33.937,54.302,51357.226,1021.722,21.723,0.08,0.08,0.63,109.68,7.129,8.04,7.150,7.151,
