//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=110       
StartTime=2020/10/15 11:59:05
EndTime=2020/10/15 11:59:15
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2020/10/15,11:59:05,-0.3409,25.632,0.028,0.045,44.646,996.902,-3.096,-3.52,-3.52,-3.39,106.73,8.412,7.88,8.435,8.435,
2020/10/15,11:59:05,-0.3605,25.642,0.028,0.045,44.762,996.899,-3.099,-5.05,-5.05,-9.19,106.50,8.395,7.90,8.419,8.419,
2020/10/15,11:59:05,-0.3409,25.673,0.028,0.046,44.851,996.891,-3.107,-5.05,-5.05,-9.19,106.32,8.381,7.90,8.404,8.405,
2020/10/15,11:59:05,-0.3605,25.706,0.028,0.045,44.533,996.883,-3.116,-5.05,-5.05,-9.19,105.96,8.351,7.90,8.374,8.374,
2020/10/15,11:59:05,-0.3605,25.728,0.028,0.045,44.357,996.877,-3.122,-4.13,-4.13,-4.27,105.87,8.346,7.92,8.369,8.370,
2020/10/15,11:59:05,-0.3605,25.743,0.028,0.045,44.424,996.873,-3.126,-0.38,-0.38,-1.07,105.90,8.351,7.92,8.374,8.375,
2020/10/15,11:59:05,-0.3605,25.753,0.028,0.046,44.823,996.870,-3.128,-3.22,-3.22,-5.87,105.67,8.336,7.93,8.360,8.360,
2020/10/15,11:59:05,-0.3605,25.787,0.028,0.046,44.809,996.861,-3.137,-4.97,-4.97,307.71,105.48,8.322,7.95,8.345,8.346,
2020/10/15,11:59:05,-0.3409,26.302,0.049,0.095,92.762,996.740,-3.258,-1.52,-1.52,121.01,105.68,8.329,7.95,8.352,8.352,
2020/10/15,11:59:05,-0.3213,26.774,21.636,35.681,34340.744,1012.754,12.755,-0.14,-0.14,29.97,106.13,7.404,7.96,7.426,7.426,
2020/10/15,11:59:06,-0.2624,27.063,34.514,54.555,52186.099,1022.330,22.331,0.18,0.18,10.07,106.66,6.920,7.99,6.939,6.941,
2020/10/15,11:59:06,-0.2624,27.269,33.044,52.690,50184.977,1021.159,21.160,0.27,0.27,5.37,106.97,6.995,7.97,7.015,7.016,
2020/10/15,11:59:06,-0.2624,27.397,32.964,52.705,50065.192,1021.058,21.059,0.31,0.31,4.23,107.30,7.017,7.99,7.037,7.038,
2020/10/15,11:59:06,-0.2624,27.474,32.916,52.715,49993.374,1020.997,20.998,0.31,0.31,3.59,107.53,7.032,7.98,7.052,7.053,
2020/10/15,11:59:06,-0.2624,27.520,32.897,52.733,49962.615,1020.968,20.969,0.29,0.29,3.09,107.89,7.055,7.99,7.075,7.076,
