//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=110       
StartTime=2020/10/15 08:10:05
EndTime=2020/10/15 08:10:15
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2020/10/15,08:10:05,-0.2035,26.649,28.208,45.203,43620.325,1017.720,17.720,0.62,0.62,4.51,95.90,6.556,7.88,6.575,6.575,
2020/10/15,08:10:05,-0.2035,26.649,28.205,45.199,43615.924,1017.717,17.718,0.62,0.62,4.63,95.73,6.542,7.91,6.561,6.562,
2020/10/15,08:10:05,-0.2231,26.650,28.202,45.194,43611.011,1017.714,17.715,0.63,0.63,4.51,95.68,6.537,7.92,6.556,6.557,
2020/10/15,08:10:05,-0.2231,26.643,28.205,45.192,43616.326,1017.719,17.720,0.62,0.62,4.26,95.64,6.533,7.94,6.552,6.553,
2020/10/15,08:10:05,-0.2231,26.642,28.205,45.191,43615.900,1017.719,17.720,0.64,0.64,4.27,95.50,6.523,7.91,6.542,6.542,
2020/10/15,08:10:05,-0.2035,26.646,28.202,45.190,43611.180,1017.715,17.716,0.64,0.64,4.30,95.32,6.510,7.94,6.529,6.529,
2020/10/15,08:10:05,-0.2231,26.648,28.198,45.187,43605.775,1017.712,17.713,0.63,0.63,4.24,95.22,6.503,7.95,6.521,6.522,
2020/10/15,08:10:05,-0.2035,26.650,28.198,45.189,43606.319,1017.712,17.713,0.60,0.60,4.14,95.11,6.495,7.97,6.513,6.514,
2020/10/15,08:10:05,-0.2231,26.647,28.199,45.188,43607.650,1017.713,17.714,0.60,0.60,4.13,95.14,6.496,7.97,6.515,6.515,
2020/10/15,08:10:05,-0.2231,26.645,28.200,45.187,43609.256,1017.715,17.716,0.59,0.59,4.06,95.07,6.491,7.98,6.510,6.510,
2020/10/15,08:10:06,-0.2231,26.642,28.196,45.179,43604.246,1017.713,17.714,0.57,0.57,4.00,94.94,6.482,7.97,6.501,6.502,
2020/10/15,08:10:06,-0.2231,26.639,28.199,45.181,43608.138,1017.715,17.716,0.58,0.58,4.11,94.79,6.473,7.99,6.491,6.492,
2020/10/15,08:10:06,-0.2231,26.636,28.212,45.198,43627.122,1017.726,17.727,0.57,0.57,4.17,94.55,6.456,8.00,6.475,6.475,
2020/10/15,08:10:06,-0.2231,26.636,28.202,45.182,43612.508,1017.719,17.720,0.55,0.55,4.16,94.20,6.432,8.01,6.451,6.451,
2020/10/15,08:10:06,-0.2231,26.635,28.210,45.193,43623.644,1017.725,17.726,0.57,0.57,4.17,93.86,6.407,8.00,6.426,6.426,
2020/10/15,08:10:06,-0.2231,26.635,28.199,45.178,43609.125,1017.717,17.718,0.58,0.58,4.26,93.65,6.393,8.01,6.411,6.412,
