//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=130       
StartTime=2020/10/15 08:24:22
EndTime=2020/10/15 08:24:34
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2020/10/15,08:24:22,-0.1839,26.871,31.844,50.594,48594.358,1020.382,20.383,0.45,0.45,2.35,95.62,6.384,7.91,6.402,6.403,
2020/10/15,08:24:22,-0.2035,26.948,31.794,50.599,48519.191,1020.320,20.321,0.47,0.47,1.93,95.59,6.380,7.92,6.399,6.399,
2020/10/15,08:24:22,-0.2035,26.988,31.775,50.610,48489.513,1020.294,20.294,0.45,0.45,1.66,95.51,6.372,7.92,6.391,6.391,
2020/10/15,08:24:22,-0.2035,26.987,31.769,50.600,48481.137,1020.289,20.290,0.46,0.46,1.64,95.54,6.374,7.91,6.393,6.393,
2020/10/15,08:24:22,-0.2035,26.978,31.772,50.597,48486.944,1020.295,20.296,0.47,0.47,1.52,95.37,6.362,7.94,6.380,6.381,
2020/10/15,08:24:22,-0.2035,26.977,31.779,50.605,48495.688,1020.300,20.301,0.45,0.45,1.44,95.24,6.350,7.91,6.368,6.369,
2020/10/15,08:24:22,-0.2231,26.978,31.770,50.593,48483.844,1020.293,20.294,0.43,0.43,1.34,95.18,6.344,7.95,6.362,6.363,
2020/10/15,08:24:22,-0.2231,26.983,31.767,50.595,48479.849,1020.289,20.290,0.44,0.44,1.32,95.14,6.340,7.96,6.358,6.359,
2020/10/15,08:24:22,-0.2035,26.985,31.769,50.599,48481.637,1020.290,20.291,0.43,0.43,1.28,95.02,6.329,7.99,6.347,6.348,
2020/10/15,08:24:22,-0.2231,26.989,31.761,50.592,48470.998,1020.283,20.284,0.41,0.41,1.25,94.92,6.321,7.98,6.339,6.340,
2020/10/15,08:24:23,-0.2035,26.995,31.756,50.591,48463.184,1020.277,20.278,0.42,0.42,1.19,94.93,6.320,7.97,6.338,6.339,
2020/10/15,08:24:23,-0.2035,27.000,31.745,50.580,48447.914,1020.267,20.268,0.43,0.43,1.21,94.77,6.306,7.99,6.324,6.324,
2020/10/15,08:24:23,-0.2035,27.008,31.733,50.570,48430.960,1020.256,20.257,0.43,0.43,1.27,94.65,6.295,8.01,6.313,6.313,
2020/10/15,08:24:23,-0.2231,27.013,31.735,50.578,48432.435,1020.255,20.256,0.42,0.42,1.25,94.50,6.280,8.00,6.298,6.299,
2020/10/15,08:24:23,-0.2231,27.017,31.729,50.574,48424.757,1020.250,20.251,0.44,0.44,1.18,94.41,6.271,8.01,6.289,6.290,
2020/10/15,08:24:23,-0.2231,27.024,31.722,50.570,48414.571,1020.243,20.244,0.43,0.43,1.21,94.32,6.265,8.00,6.283,6.283,
