//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=150       
StartTime=2020/10/15 10:56:05
EndTime=2020/10/15 10:56:19
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2020/10/15,10:56:05,-0.3802,24.355,0.029,0.047,47.831,997.230,-2.768,0.23,0.23,0.50,100.52,7.973,7.90,7.995,7.995,
2020/10/15,10:56:05,-0.4194,24.333,0.029,0.047,47.343,997.235,-2.763,0.22,0.22,0.50,100.53,7.977,7.92,7.999,7.999,
2020/10/15,10:56:05,-0.3998,24.318,0.029,0.046,47.195,997.239,-2.759,0.21,0.21,0.48,100.66,7.987,7.93,8.009,8.010,
2020/10/15,10:56:05,-0.3998,24.308,0.029,0.047,47.491,997.242,-2.757,0.21,0.21,0.47,100.58,7.981,7.93,8.003,8.003,
2020/10/15,10:56:05,-0.4194,24.287,0.029,0.047,47.265,997.247,-2.752,0.21,0.21,0.47,100.57,7.981,7.95,8.003,8.003,
2020/10/15,10:56:05,-0.4194,24.265,0.028,0.046,46.964,997.252,-2.746,0.20,0.20,0.45,100.68,7.992,7.95,8.014,8.014,
2020/10/15,10:56:05,-0.3998,24.251,0.029,0.047,47.366,997.256,-2.743,0.19,0.19,0.45,100.77,8.002,7.97,8.024,8.024,
2020/10/15,10:56:05,-0.4194,24.243,0.029,0.047,47.302,997.257,-2.741,0.19,0.19,0.45,100.76,8.000,7.95,8.022,8.022,
2020/10/15,10:56:05,-0.4194,24.237,0.028,0.046,47.134,997.259,-2.739,0.19,0.19,0.44,100.73,7.996,7.97,8.018,8.019,
2020/10/15,10:56:05,-0.3998,24.238,0.029,0.047,47.308,997.259,-2.739,0.18,0.18,0.44,100.65,7.992,7.97,8.014,8.014,
2020/10/15,10:56:06,-0.3998,24.239,0.029,0.047,47.889,997.259,-2.739,0.18,0.18,0.43,100.63,7.988,7.98,8.010,8.010,
2020/10/15,10:56:06,-0.4194,24.243,0.029,0.047,47.290,997.258,-2.741,0.18,0.18,0.43,100.56,7.978,7.98,8.000,8.000,
2020/10/15,10:56:06,-0.3998,24.247,0.029,0.047,47.379,997.257,-2.742,0.18,0.18,0.43,100.59,7.978,8.00,8.000,8.000,
2020/10/15,10:56:06,-0.4194,24.247,0.029,0.046,47.278,997.257,-2.742,0.15,0.15,0.50,100.49,7.969,7.99,7.991,7.991,
2020/10/15,10:56:06,-0.4194,24.240,0.029,0.047,47.418,997.258,-2.740,-1.35,-1.35,-1.87,100.44,7.965,8.03,7.987,7.988,
2020/10/15,10:56:06,-0.3998,24.216,0.029,0.047,47.717,997.264,-2.734,-5.05,-5.05,-8.92,100.50,7.970,8.01,7.992,7.992,
