//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=140       
StartTime=2020/10/15 11:08:12
EndTime=2020/10/15 11:08:25
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2020/10/15,11:08:12,-0.2231,27.628,34.429,55.025,52017.352,1022.085,22.086,0.47,0.47,2.90,93.51,6.054,7.92,6.071,6.072,
2020/10/15,11:08:12,-0.2428,27.660,34.391,55.003,51962.682,1022.046,22.047,0.46,0.46,2.63,93.45,6.052,7.91,6.069,6.070,
2020/10/15,11:08:12,-0.2428,27.661,34.402,55.021,51977.758,1022.054,22.055,0.46,0.46,2.59,93.52,6.056,7.91,6.073,6.074,
2020/10/15,11:08:12,-0.2624,27.654,34.407,55.020,51985.065,1022.060,22.061,0.46,0.46,2.62,93.60,6.061,7.93,6.078,6.079,
2020/10/15,11:08:12,-0.2624,27.650,34.412,55.023,51991.154,1022.065,22.066,0.45,0.45,2.38,93.58,6.059,7.92,6.076,6.077,
2020/10/15,11:08:12,-0.2624,27.653,34.418,55.035,51999.895,1022.069,22.070,0.46,0.46,2.40,93.51,6.053,7.94,6.070,6.071,
2020/10/15,11:08:12,-0.2428,27.653,34.428,55.049,52012.690,1022.076,22.077,0.47,0.47,2.50,93.64,6.062,7.96,6.079,6.080,
2020/10/15,11:08:12,-0.2428,27.657,34.425,55.049,52008.993,1022.073,22.074,0.47,0.47,2.67,93.66,6.063,7.97,6.080,6.081,
2020/10/15,11:08:12,-0.2624,27.661,34.415,55.039,51994.926,1022.064,22.065,0.45,0.45,2.75,93.65,6.064,7.97,6.081,6.082,
2020/10/15,11:08:12,-0.2428,27.662,34.393,55.009,51965.035,1022.047,22.048,0.45,0.45,2.73,93.73,6.070,7.95,6.087,6.088,
2020/10/15,11:08:13,-0.2624,27.666,34.363,54.970,51924.744,1022.023,22.024,0.46,0.46,2.42,93.74,6.071,7.98,6.088,6.089,
2020/10/15,11:08:13,-0.2428,27.666,34.354,54.957,51912.311,1022.016,22.017,0.44,0.44,2.35,93.79,6.074,7.98,6.091,6.092,
2020/10/15,11:08:13,-0.2428,27.671,34.358,54.968,51917.118,1022.018,22.019,0.44,0.44,2.59,93.79,6.073,7.98,6.090,6.092,
2020/10/15,11:08:13,-0.2624,27.670,34.357,54.966,51916.465,1022.018,22.019,0.44,0.44,2.26,93.79,6.073,7.98,6.090,6.091,
2020/10/15,11:08:13,-0.2624,27.665,34.367,54.975,51930.231,1022.027,22.028,0.44,0.44,2.23,93.78,6.071,8.00,6.088,6.089,
2020/10/15,11:08:13,-0.2428,27.666,34.364,54.972,51925.859,1022.024,22.025,0.44,0.44,2.30,93.71,6.067,8.03,6.084,6.085,
