//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=160       
StartTime=2020/10/15 10:49:58
EndTime=2020/10/15 10:50:13
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2020/10/15,10:49:58,-0.3802,28.442,0.028,0.046,43.124,996.128,-3.870,-0.02,-0.02,0.13,97.52,7.591,7.91,7.613,7.613,
2020/10/15,10:49:58,-0.3998,28.471,0.028,0.046,43.098,996.120,-3.879,-0.02,-0.02,0.14,97.57,7.599,7.89,7.621,7.621,
2020/10/15,10:49:58,-0.3998,28.484,0.028,0.046,43.153,996.116,-3.882,-0.02,-0.02,0.13,97.66,7.608,7.92,7.630,7.630,
2020/10/15,10:49:58,-0.4194,28.497,0.028,0.047,43.370,996.112,-3.886,-0.02,-0.02,0.13,97.72,7.613,7.93,7.635,7.635,
2020/10/15,10:49:58,-0.3998,28.513,0.028,0.046,43.029,996.108,-3.891,-0.02,-0.02,0.13,97.53,7.598,7.91,7.620,7.620,
2020/10/15,10:49:58,-0.3998,28.525,0.028,0.047,43.376,996.104,-3.894,-0.02,-0.02,0.13,97.61,7.606,7.96,7.627,7.628,
2020/10/15,10:49:58,-0.4194,28.541,0.028,0.047,43.364,996.099,-3.899,-0.02,-0.02,0.13,97.63,7.606,7.96,7.627,7.628,
2020/10/15,10:49:58,-0.3998,28.551,0.028,0.046,43.126,996.097,-3.902,-0.02,-0.02,0.13,97.73,7.612,7.96,7.634,7.634,
2020/10/15,10:49:58,-0.3998,28.555,0.028,0.047,43.219,996.095,-3.903,-0.02,-0.02,0.13,97.65,7.604,7.98,7.625,7.626,
2020/10/15,10:49:58,-0.3998,28.577,0.028,0.046,43.073,996.089,-3.909,-0.02,-0.02,0.13,97.54,7.592,7.99,7.614,7.614,
2020/10/15,10:49:59,-0.3998,28.604,0.028,0.047,43.239,996.081,-3.917,-0.03,-0.03,0.13,97.54,7.589,7.99,7.611,7.611,
2020/10/15,10:49:59,-0.4194,28.611,0.028,0.046,42.683,996.079,-3.919,-0.02,-0.02,0.11,97.56,7.589,7.99,7.611,7.611,
2020/10/15,10:49:59,-0.3998,28.599,0.028,0.046,42.862,996.083,-3.916,-0.42,-0.42,1.15,97.42,7.576,8.00,7.597,7.598,
2020/10/15,10:49:59,-0.3998,28.581,0.028,0.046,43.100,996.088,-3.910,-1.80,-1.80,0.82,97.43,7.577,8.03,7.599,7.599,
2020/10/15,10:49:59,-0.4194,28.562,0.028,0.046,43.019,996.093,-3.905,-2.65,-2.65,-0.07,97.46,7.580,8.00,7.602,7.602,
2020/10/15,10:49:59,-0.3998,28.557,0.028,0.047,43.401,996.095,-3.903,1.86,1.86,0.41,97.69,7.601,8.01,7.623,7.623,
2020/10/15,10:49:59,-0.4194,28.557,0.028,0.046,43.106,996.095,-3.903,-1.68,-1.68,0.80,97.54,7.590,8.01,7.611,7.612,
2020/10/15,10:49:59,-0.4194,28.558,0.028,0.047,43.360,996.094,-3.904,-2.73,-2.73,2.16,97.63,7.596,8.00,7.618,7.618,
2020/10/15,10:49:59,-0.4194,28.562,0.028,0.046,43.093,996.093,-3.905,-0.48,-0.48,2.57,97.50,7.586,8.03,7.607,7.607,
2020/10/15,10:49:59,-0.3998,28.563,0.028,0.046,42.987,996.093,-3.905,-4.74,-4.74,-8.67,97.54,7.588,8.02,7.609,7.609,
2020/10/15,10:50:00,-0.3998,28.560,0.028,0.046,42.815,996.094,-3.904,-3.90,-3.90,-8.93,97.32,7.569,8.03,7.591,7.591,
2020/10/15,10:50:00,-0.3998,28.557,0.028,0.047,43.394,996.095,-3.903,-4.94,-4.94,-9.19,97.25,7.562,8.06,7.583,7.584,
2020/10/15,10:50:00,-0.4194,28.552,0.028,0.047,43.149,996.096,-3.902,-4.20,-4.20,-7.17,97.16,7.553,8.03,7.574,7.574,
2020/10/15,10:50:00,-0.4194,28.550,0.028,0.046,43.010,996.097,-3.902,-5.05,-5.05,-9.10,97.20,7.556,8.04,7.577,7.577,
2020/10/15,10:50:00,-0.4194,28.553,0.028,0.046,43.121,996.096,-3.902,-5.05,-5.05,-9.17,97.36,7.572,8.03,7.593,7.594,
2020/10/15,10:50:00,-0.3998,28.566,0.028,0.046,43.059,996.092,-3.906,-4.23,-4.23,-4.96,97.25,7.567,8.07,7.589,7.589,
2020/10/15,10:50:00,-0.3998,28.583,0.028,0.047,43.207,996.087,-3.911,-5.05,-5.05,-9.19,97.23,7.567,8.07,7.589,7.589,
2020/10/15,10:50:00,-0.4194,28.591,0.028,0.046,42.975,996.085,-3.913,-5.05,-5.05,-9.19,97.17,7.562,8.05,7.583,7.584,
2020/10/15,10:50:00,-0.4194,28.601,0.028,0.046,42.681,996.082,-3.916,-5.05,-5.05,-9.12,97.17,7.562,8.05,7.583,7.584,
2020/10/15,10:50:00,-0.3998,28.607,0.028,0.047,43.329,996.080,-3.918,-3.65,-3.65,-4.24,97.28,7.570,8.04,7.591,7.591,
2020/10/15,10:50:01,-0.4194,28.613,0.028,0.046,43.063,996.079,-3.920,-3.60,-3.60,-5.02,97.38,7.578,8.06,7.599,7.600,
2020/10/15,10:50:01,-0.4194,28.621,0.028,0.046,42.957,996.076,-3.922,-5.05,-5.05,-9.19,97.33,7.574,8.06,7.596,7.596,
2020/10/15,10:50:01,-0.4194,28.637,0.028,0.047,43.105,996.071,-3.927,-5.05,-5.05,-9.19,97.23,7.564,8.07,7.586,7.586,
2020/10/15,10:50:01,-0.4194,28.656,0.028,0.047,43.169,996.066,-3.932,-5.05,-5.05,-9.19,97.29,7.566,8.05,7.588,7.588,
2020/10/15,10:50:01,-0.4194,28.671,0.028,0.046,42.835,996.062,-3.936,-4.94,-4.94,-6.89,97.21,7.558,8.06,7.579,7.580,
2020/10/15,10:50:01,-0.3998,28.679,0.028,0.047,43.110,996.059,-3.939,-1.00,-1.00,3.89,97.13,7.551,8.07,7.573,7.573,
2020/10/15,10:50:01,-0.3998,28.689,0.028,0.047,43.126,996.056,-3.942,-0.61,-0.61,43.58,96.99,7.539,8.07,7.560,7.560,
2020/10/15,10:50:01,-0.4194,28.708,0.028,0.046,42.852,996.051,-3.947,-0.98,-0.98,475.45,97.05,7.543,8.07,7.564,7.564,
2020/10/15,10:50:01,-0.3998,28.431,0.028,0.046,43.067,996.131,-3.867,-0.10,-0.10,109.07,97.21,7.596,8.07,7.618,7.618,
2020/10/15,10:50:01,-0.4194,27.824,0.028,0.047,43.956,996.304,-3.694,0.11,0.11,23.99,97.81,7.693,8.07,7.715,7.715,
2020/10/15,10:50:02,-0.3998,27.450,0.103,0.222,210.866,996.466,-3.532,0.16,0.16,6.41,98.09,7.743,8.08,7.765,7.765,
2020/10/15,10:50:02,-0.3605,27.231,34.030,54.047,51518.496,1021.912,21.914,0.17,0.17,2.52,98.22,6.426,8.08,6.444,6.445,
2020/10/15,10:50:02,-0.3605,27.090,23.140,38.147,36470.460,1013.784,13.785,0.18,0.18,1.68,98.31,6.844,8.07,6.864,6.864,
2020/10/15,10:50:02,-0.3605,27.003,26.109,42.460,40667.721,1016.035,16.037,0.17,0.17,1.28,98.26,6.733,8.08,6.753,6.753,
2020/10/15,10:50:02,-0.3605,26.950,34.563,54.506,52263.385,1022.403,22.404,0.15,0.15,1.32,98.28,6.426,8.08,6.444,6.445,
2020/10/15,10:50:02,-0.3605,26.917,34.968,55.038,52810.314,1022.718,22.720,0.18,0.18,1.41,98.14,6.404,8.07,6.422,6.423,
2020/10/15,10:50:02,-0.3213,26.895,34.857,54.861,52664.696,1022.642,22.644,0.18,0.18,1.52,97.98,6.398,8.11,6.416,6.418,
2020/10/15,10:50:02,-0.3213,26.879,34.691,54.610,52442.635,1022.522,22.523,0.18,0.18,1.08,97.73,6.389,8.07,6.407,6.408,
2020/10/15,10:50:02,-0.3213,26.875,34.706,54.627,52463.826,1022.535,22.536,0.19,0.19,1.02,97.74,6.390,8.08,6.408,6.409,
2020/10/15,10:50:02,-0.3213,26.878,34.716,54.644,52476.242,1022.541,22.543,0.19,0.19,1.00,97.69,6.388,8.07,6.406,6.407,
2020/10/15,10:50:03,-0.3016,26.875,34.733,54.665,52499.838,1022.555,22.556,0.28,0.28,1.08,97.47,6.373,8.08,6.391,6.393,
2020/10/15,10:50:03,-0.3016,26.868,34.745,54.675,52516.534,1022.566,22.568,0.20,0.20,1.11,97.39,6.369,8.10,6.387,6.389,
2020/10/15,10:50:03,-0.3016,26.866,34.730,54.652,52496.223,1022.555,22.557,0.18,0.18,1.07,97.34,6.369,8.06,6.387,6.388,
2020/10/15,10:50:03,-0.3213,26.867,34.740,54.666,52509.738,1022.563,22.564,0.18,0.18,0.94,97.31,6.367,8.09,6.385,6.386,
2020/10/15,10:50:03,-0.3213,26.868,34.757,54.693,52533.359,1022.576,22.577,0.17,0.17,0.98,97.21,6.361,8.05,6.379,6.380,
2020/10/15,10:50:03,-0.3213,26.881,34.740,54.681,52508.078,1022.558,22.560,0.20,0.20,1.24,97.01,6.348,8.09,6.366,6.367,
2020/10/15,10:50:03,-0.3213,26.905,34.710,54.666,52466.139,1022.528,22.530,0.18,0.18,1.22,96.85,6.338,8.10,6.356,6.357,
2020/10/15,10:50:03,-0.3213,26.917,34.699,54.662,52449.411,1022.516,22.517,0.18,0.18,1.25,96.65,6.324,8.07,6.342,6.343,
2020/10/15,10:50:03,-0.3213,26.929,34.699,54.674,52448.354,1022.512,22.514,0.18,0.18,1.27,96.53,6.315,8.08,6.333,6.334,
2020/10/15,10:50:03,-0.3213,26.948,34.678,54.664,52417.860,1022.490,22.492,0.20,0.20,1.17,96.44,6.310,8.08,6.328,6.329,
2020/10/15,10:50:04,-0.3213,26.982,34.664,54.681,52396.542,1022.469,22.471,0.18,0.18,1.09,96.22,6.295,8.09,6.313,6.314,
2020/10/15,10:50:04,-0.3016,27.012,34.630,54.665,52346.963,1022.434,22.435,0.18,0.18,1.15,96.15,6.292,8.10,6.310,6.311,
2020/10/15,10:50:04,-0.3213,27.031,34.639,54.697,52357.912,1022.435,22.436,0.18,0.18,1.28,96.10,6.289,8.08,6.307,6.308,
2020/10/15,10:50:04,-0.3213,27.051,34.632,54.708,52345.884,1022.423,22.424,0.18,0.18,1.15,96.02,6.283,8.11,6.301,6.302,
2020/10/15,10:50:04,-0.3016,27.066,34.609,54.692,52313.614,1022.401,22.402,0.19,0.19,0.97,95.95,6.279,8.09,6.297,6.298,
2020/10/15,10:50:04,-0.3213,27.070,34.586,54.663,52281.955,1022.382,22.383,0.18,0.18,1.01,95.85,6.275,8.09,6.292,6.294,
2020/10/15,10:50:04,-0.3016,27.072,34.598,54.682,52298.554,1022.391,22.392,0.18,0.18,0.98,95.75,6.268,8.09,6.286,6.287,
2020/10/15,10:50:04,-0.3016,27.049,34.623,54.693,52334.494,1022.417,22.418,0.20,0.20,0.94,95.73,6.266,8.10,6.284,6.285,
2020/10/15,10:50:04,-0.3016,27.014,34.658,54.706,52385.048,1022.454,22.456,0.21,0.21,1.15,95.71,6.263,8.09,6.280,6.282,
