//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=120       
StartTime=2020/10/29 09:50:51
EndTime=2020/10/29 09:51:02
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2020/10/29,09:50:51,-0.3998,25.624,34.595,53.170,52450.087,1022.842,22.844,0.20,0.20,3.37,95.91,6.413,7.81,6.431,6.432,
2020/10/29,09:50:51,-0.4194,25.701,34.538,53.172,52364.434,1022.775,22.777,0.24,0.24,1.82,95.70,6.399,7.82,6.416,6.418,
2020/10/29,09:50:51,-0.4194,25.752,34.498,53.171,52305.580,1022.730,22.732,0.24,0.24,1.36,95.55,6.388,7.81,6.406,6.407,
2020/10/29,09:50:51,-0.4194,25.781,34.477,53.172,52274.221,1022.705,22.707,0.27,0.27,1.25,95.44,6.380,7.85,6.398,6.399,
2020/10/29,09:50:51,-0.4194,25.797,34.471,53.180,52263.645,1022.695,22.697,0.28,0.28,1.18,95.23,6.365,7.84,6.383,6.384,
2020/10/29,09:50:51,-0.4194,25.806,34.468,53.185,52258.511,1022.690,22.692,0.28,0.28,1.12,95.07,6.354,7.85,6.371,6.372,
2020/10/29,09:50:51,-0.4194,25.811,34.469,53.192,52259.331,1022.689,22.691,0.29,0.29,1.17,94.89,6.341,7.87,6.359,6.360,
2020/10/29,09:50:51,-0.4194,25.815,34.461,53.185,52248.616,1022.683,22.684,0.30,0.30,1.24,94.73,6.330,7.87,6.347,6.348,
2020/10/29,09:50:51,-0.4194,25.817,34.463,53.190,52251.189,1022.683,22.685,0.31,0.31,1.25,94.61,6.320,7.87,6.338,6.339,
2020/10/29,09:50:51,-0.4194,25.819,34.464,53.194,52252.368,1022.684,22.685,0.31,0.31,1.44,94.43,6.308,7.87,6.326,6.327,
2020/10/29,09:50:52,-0.4194,25.822,34.464,53.197,52252.083,1022.683,22.685,0.28,0.28,1.39,94.33,6.300,7.86,6.318,6.319,
2020/10/29,09:50:52,-0.4194,25.824,34.463,53.198,52250.325,1022.681,22.683,0.28,0.28,1.49,94.19,6.291,7.90,6.308,6.309,
2020/10/29,09:50:52,-0.4194,25.826,34.461,53.198,52247.758,1022.679,22.681,0.28,0.28,1.75,94.11,6.285,7.88,6.303,6.304,
2020/10/29,09:50:52,-0.4194,25.826,34.463,53.199,52249.197,1022.680,22.682,0.28,0.28,2.16,93.98,6.276,7.92,6.294,6.295,
2020/10/29,09:50:52,-0.4194,25.826,34.466,53.204,52253.952,1022.683,22.684,0.29,0.29,2.06,93.87,6.269,7.88,6.286,6.287,
2020/10/29,09:50:52,-0.4194,25.841,34.461,53.212,52245.285,1022.674,22.676,0.28,0.28,1.76,93.81,6.264,7.91,6.282,6.283,
