//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=130       
StartTime=2020/10/29 12:07:12
EndTime=2020/10/29 12:07:24
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2020/10/29,12:07:12,-0.3998,26.229,33.259,51.947,50579.548,1021.648,21.649,0.23,0.23,1.08,104.48,6.939,7.81,6.959,6.960,
2020/10/29,12:07:12,-0.4390,26.228,33.247,51.929,50562.766,1021.638,21.640,0.23,0.23,1.07,105.00,6.975,7.81,6.995,6.996,
2020/10/29,12:07:12,-0.4390,26.227,33.254,51.939,50573.199,1021.644,21.646,0.21,0.21,1.08,105.40,7.002,7.81,7.022,7.023,
2020/10/29,12:07:12,-0.4390,26.227,33.273,51.965,50598.580,1021.659,21.660,0.23,0.23,1.12,105.81,7.028,7.84,7.048,7.049,
2020/10/29,12:07:12,-0.4390,26.227,33.294,51.994,50627.400,1021.675,21.676,0.23,0.23,1.09,106.23,7.054,7.84,7.074,7.075,
2020/10/29,12:07:12,-0.4390,26.229,33.303,52.008,50638.654,1021.680,21.682,0.23,0.23,1.04,106.55,7.075,7.84,7.095,7.096,
2020/10/29,12:07:12,-0.4390,26.233,33.291,51.996,50622.907,1021.671,21.673,0.22,0.22,1.01,106.88,7.099,7.84,7.119,7.120,
2020/10/29,12:07:12,-0.4390,26.236,33.300,52.011,50633.956,1021.676,21.678,0.21,0.21,1.00,107.07,7.111,7.88,7.131,7.132,
2020/10/29,12:07:12,-0.4390,26.241,33.285,51.996,50613.804,1021.664,21.665,0.22,0.22,0.98,107.31,7.126,7.86,7.146,7.147,
2020/10/29,12:07:12,-0.4390,26.245,33.289,52.005,50618.806,1021.665,21.667,0.21,0.21,0.98,107.51,7.138,7.87,7.159,7.160,
2020/10/29,12:07:13,-0.4390,26.248,33.282,51.999,50608.569,1021.659,21.661,0.21,0.21,1.00,107.72,7.152,7.90,7.172,7.173,
2020/10/29,12:07:13,-0.4390,26.252,33.272,51.987,50594.086,1021.650,21.652,0.22,0.22,0.98,107.83,7.158,7.90,7.178,7.179,
2020/10/29,12:07:13,-0.4587,26.254,33.290,52.015,50618.310,1021.663,21.665,0.21,0.21,0.97,108.00,7.166,7.88,7.186,7.187,
2020/10/29,12:07:13,-0.4390,26.255,33.333,52.075,50676.408,1021.695,21.697,0.22,0.22,0.97,108.11,7.171,7.91,7.191,7.192,
2020/10/29,12:07:13,-0.4390,26.259,33.309,52.048,50644.482,1021.676,21.678,0.23,0.23,0.97,108.23,7.178,7.91,7.199,7.200,
2020/10/29,12:07:13,-0.4390,26.284,33.291,52.047,50617.610,1021.655,21.657,0.22,0.22,0.94,108.39,7.189,7.91,7.210,7.211,
