"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2020/10/29","08:25:58",NA,NA,16.911,27.292,27577.487,NA,NA,0.65,0.65,NA,NA,NA,NA,NA,NA
"2","2020/10/29","08:25:58",-0.4587,24.566,16.899,27.295,27557.865,1009.841,9.843,0.64,0.64,NA,95.03,7.185,NA,7.205,7.204
"3","2020/10/29","08:25:58",-0.4587,24.586,16.894,27.298,27549.571,1009.832,9.834,0.62,0.62,NA,94.51,7.143,NA,7.163,7.163
"4","2020/10/29","08:25:58",-0.4587,24.597,16.893,27.302,27546.502,1009.828,9.83,0.64,0.64,NA,94.04,7.107,NA,7.126,7.126
"5","2020/10/29","08:25:58",-0.4587,24.604,16.888,27.299,27538.46,1009.822,9.824,0.64,0.64,NA,93.62,7.073,NA,7.092,7.092
"6","2020/10/29","08:25:58",-0.4587,24.607,16.892,27.307,27545.498,1009.825,9.827,0.62,0.62,NA,93.26,7.044,NA,7.064,7.063
"7","2020/10/29","08:25:58",-0.4587,24.601,16.9,27.315,27556.923,1009.832,9.834,0.63,0.63,NA,92.95,7.019,NA,7.038,7.038
"8","2020/10/29","08:25:58",-0.4587,24.591,16.906,27.319,27566.856,1009.84,9.842,NA,NA,1.42,92.57,6.989,NA,7.008,7.008
"9","2020/10/29","08:25:58",-0.4587,24.582,16.908,27.316,27569.954,1009.844,9.846,0.63,0.63,1.41,92.38,6.973,NA,6.993,6.992
"10","2020/10/29","08:25:59",NA,24.582,16.9,27.305,27558.741,1009.838,9.84,0.63,0.63,1.42,92.03,6.947,NA,6.966,6.966
"11","2020/10/29","08:25:59",-0.4587,24.588,16.895,27.3,27549.97,1009.832,9.834,0.61,0.61,1.38,91.65,6.918,NA,6.937,6.937
"12","2020/10/29","08:25:59",-0.4587,24.592,16.901,27.312,27559.417,1009.836,9.838,0.6,0.6,1.39,91.39,6.897,NA,6.916,6.916
"13","2020/10/29","08:25:59",-0.4587,24.594,16.904,27.317,27562.854,1009.837,9.839,0.6,0.6,1.39,91.22,6.884,NA,6.903,6.903
"14","2020/10/29","08:25:59",-0.4587,24.596,16.899,27.311,27556.119,1009.833,9.835,0.59,0.59,1.39,90.98,6.866,7.91,6.885,6.885
"15","2020/10/29","08:25:59",NA,24.601,16.893,27.305,27546.594,1009.827,9.829,0.56,0.56,1.36,90.78,6.85,7.92,6.869,6.869
"16","2020/10/29","08:25:59",-0.4587,24.605,16.889,27.301,27540.59,1009.823,9.825,0.57,0.57,1.35,90.66,6.843,7.9,6.862,6.861
"17","2020/10/29","08:25:59",-0.4587,24.608,16.89,27.304,27542.239,1009.823,9.825,0.58,0.58,1.32,90.4,6.823,7.92,6.842,6.842
"18","2020/10/29","08:25:59",-0.4587,24.608,16.893,27.309,27546.687,1009.826,9.828,0.58,0.58,1.31,90.3,6.816,7.92,6.834,6.834
"19","2020/10/29","08:25:59",NA,24.608,16.896,27.313,27550.221,1009.827,9.829,0.58,0.58,1.28,90.06,6.798,7.93,6.817,6.816
"20","2020/10/29","08:26:00",-0.4587,24.608,16.897,27.314,27551.544,1009.828,9.83,0.57,0.57,1.25,89.79,6.778,7.92,6.796,6.796
"21","2020/10/29","08:26:00",-0.4587,24.607,16.895,27.312,27549.582,1009.827,9.829,0.57,0.57,1.24,89.6,6.764,7.91,6.782,6.782
"22","2020/10/29","08:26:00",-0.4587,24.603,16.895,27.309,27549.174,1009.828,9.83,0.56,0.56,1.25,89.41,6.749,7.95,6.768,6.768
"23","2020/10/29","08:26:00",-0.4587,24.598,16.894,27.305,27548.302,1009.829,9.831,0.56,0.56,1.29,89.31,6.742,7.93,6.76,6.76
"24","2020/10/29","08:26:00",NA,24.596,16.893,27.302,27547.004,1009.829,9.831,0.55,0.55,1.32,89.17,6.732,7.96,6.75,6.75
"25","2020/10/29","08:26:00",NA,24.595,16.891,27.299,27544.213,1009.827,9.829,0.55,0.55,1.28,89.06,6.723,7.96,6.741,6.741
"26","2020/10/29","08:26:00",-0.4587,24.595,16.89,27.298,27543.078,1009.827,9.829,0.56,0.56,1.28,88.97,6.715,7.96,6.734,6.734
"27","2020/10/29","08:26:00",-0.4587,24.596,16.889,27.297,27541.086,1009.825,9.827,0.57,0.57,1.29,88.81,6.702,7.94,6.721,6.72
"28","2020/10/29","08:26:00",NA,24.594,16.888,27.294,27540.247,1009.826,9.828,0.57,0.57,1.27,88.6,6.686,7.96,6.705,6.705
"29","2020/10/29","08:26:00",-0.4587,24.589,16.89,27.294,27543.046,1009.828,9.83,0.57,0.57,1.29,88.47,6.676,7.96,6.695,6.694
"30","2020/10/29","08:26:01",-0.4587,24.587,16.891,27.294,27543.876,1009.829,9.831,0.57,0.57,1.31,88.38,6.669,7.96,6.688,6.688
"31","2020/10/29","08:26:01",-0.4587,24.585,16.892,27.295,27545.947,1009.831,9.833,0.59,0.59,1.41,88.32,6.665,7.95,6.683,6.683
"32","2020/10/29","08:26:01",-0.4587,24.586,16.895,27.299,27550.239,1009.833,9.835,0.59,0.59,1.42,88.19,6.654,7.96,6.673,6.672
"33","2020/10/29","08:26:01",-0.4587,24.59,16.888,27.292,27540.345,1009.827,9.829,0.55,0.55,1.28,88.04,6.643,7.96,6.661,6.661
"34","2020/10/29","08:26:01",-0.4587,24.596,16.885,27.29,27534.8,1009.822,9.824,0.55,0.55,1.24,87.97,6.638,7.96,6.656,6.656
"35","2020/10/29","08:26:01",-0.4587,24.599,16.883,27.289,27531.872,1009.82,9.822,0.54,0.54,1.21,87.85,6.629,7.95,6.648,6.647
"36","2020/10/29","08:26:01",NA,24.601,16.884,27.291,27532.627,1009.82,9.822,0.53,0.53,1.22,87.71,6.618,7.99,6.636,6.636
"37","2020/10/29","08:26:01",NA,24.603,16.881,27.288,27528.976,1009.818,9.82,0.52,0.52,1.21,87.65,6.613,7.97,6.631,6.631
"38","2020/10/29","08:26:01",NA,24.604,16.883,27.292,27532.214,1009.819,9.821,0.54,0.54,1.25,87.56,6.606,7.96,6.624,6.624
"39","2020/10/29","08:26:01",-0.4587,24.605,16.884,27.294,27533.897,1009.82,9.822,0.54,0.54,1.25,87.49,6.601,7.99,6.619,6.619
