//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=130       
StartTime=2020/10/29 08:17:07
EndTime=2020/10/29 08:17:19
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2020/10/29,08:17:07,-0.3409,25.579,33.927,52.212,51554.570,1022.353,22.354,0.58,0.58,1.72,98.44,6.650,7.83,6.669,6.670,
2020/10/29,08:17:07,-0.3605,25.635,33.878,52.201,51481.887,1022.299,22.300,0.55,0.55,1.71,98.26,6.636,7.81,6.654,6.655,
2020/10/29,08:17:07,-0.3605,25.654,33.845,52.175,51434.695,1022.268,22.269,0.52,0.52,1.65,97.94,6.615,7.83,6.633,6.634,
2020/10/29,08:17:07,-0.3802,25.660,33.825,52.154,51407.565,1022.251,22.252,0.53,0.53,1.54,97.89,6.612,7.83,6.630,6.631,
2020/10/29,08:17:07,-0.3802,25.638,33.846,52.160,51437.854,1022.273,22.275,0.54,0.54,1.54,97.63,6.593,7.85,6.611,6.612,
2020/10/29,08:17:07,-0.3802,25.606,33.862,52.150,51463.696,1022.295,22.297,0.60,0.60,1.46,97.37,6.572,7.85,6.591,6.592,
2020/10/29,08:17:07,-0.3802,25.597,33.871,52.153,51476.853,1022.305,22.307,0.81,0.81,1.56,97.09,6.553,7.85,6.572,6.573,
2020/10/29,08:17:07,-0.3605,25.586,33.871,52.141,51477.494,1022.308,22.310,0.60,0.60,1.49,96.74,6.529,7.87,6.547,6.548,
2020/10/29,08:17:07,-0.3605,25.585,33.864,52.131,51468.187,1022.303,22.305,0.54,0.54,1.45,96.41,6.503,7.88,6.522,6.523,
2020/10/29,08:17:07,-0.3802,25.599,33.848,52.122,51445.024,1022.287,22.288,0.68,0.68,1.66,96.23,6.489,7.88,6.507,6.508,
2020/10/29,08:17:08,-0.3605,25.603,33.837,52.112,51429.730,1022.277,22.279,0.97,0.97,1.54,95.84,6.461,7.89,6.479,6.480,
2020/10/29,08:17:08,-0.3802,25.605,33.835,52.111,51427.126,1022.275,22.277,0.84,0.84,1.42,95.57,6.441,7.88,6.459,6.460,
2020/10/29,08:17:08,-0.3605,25.603,33.832,52.104,51422.320,1022.273,22.275,0.58,0.58,1.39,95.14,6.410,7.88,6.428,6.429,
2020/10/29,08:17:08,-0.3802,25.603,33.831,52.104,51422.167,1022.273,22.275,0.51,0.51,1.35,94.93,6.395,7.90,6.413,6.414,
2020/10/29,08:17:08,-0.3802,25.601,33.842,52.117,51437.276,1022.282,22.284,0.50,0.50,1.34,94.57,6.370,7.90,6.387,6.388,
2020/10/29,08:17:08,-0.3802,25.605,33.849,52.130,51445.121,1022.285,22.287,0.48,0.48,1.32,94.26,6.348,7.92,6.366,6.367,
2020/10/29,08:17:08,-0.3605,25.613,33.847,52.137,51442.643,1022.282,22.283,0.49,0.49,1.38,93.83,6.318,7.91,6.336,6.337,
2020/10/29,08:17:08,-0.3802,25.617,33.845,52.137,51438.947,1022.279,22.281,0.49,0.49,1.36,93.55,6.300,7.92,6.318,6.319,
2020/10/29,08:17:08,-0.3802,25.618,33.846,52.139,51439.450,1022.279,22.281,0.47,0.47,1.38,93.37,6.289,7.92,6.306,6.307,
2020/10/29,08:17:08,-0.3605,25.618,33.843,52.135,51435.602,1022.277,22.278,0.48,0.48,1.61,93.12,6.273,7.92,6.291,6.292,
2020/10/29,08:17:09,-0.3605,25.581,33.866,52.129,51471.661,1022.306,22.308,0.48,0.48,1.48,92.93,6.260,7.91,6.278,6.279,
2020/10/29,08:17:09,-0.3802,25.535,33.899,52.127,51521.304,1022.345,22.347,0.47,0.47,1.35,92.74,6.247,7.92,6.265,6.266,
2020/10/29,08:17:09,-0.3802,25.498,33.925,52.124,51559.969,1022.376,22.377,0.46,0.46,1.41,92.37,6.221,7.91,6.239,6.240,
2020/10/29,08:17:09,-0.3802,25.492,33.927,52.122,51564.309,1022.379,22.381,0.47,0.47,1.58,92.28,6.215,7.91,6.233,6.234,
2020/10/29,08:17:09,-0.3605,25.502,33.924,52.128,51558.197,1022.373,22.375,0.46,0.46,1.58,92.04,6.199,7.92,6.217,6.218,
2020/10/29,08:17:09,-0.3605,25.499,33.925,52.127,51561.075,1022.376,22.377,0.46,0.46,1.49,91.78,6.182,7.95,6.199,6.200,
2020/10/29,08:17:09,-0.3802,25.500,33.919,52.120,51552.782,1022.371,22.372,0.47,0.47,1.39,91.65,6.173,7.95,6.191,6.192,
2020/10/29,08:17:09,-0.3802,25.523,33.900,52.116,51523.315,1022.349,22.350,0.47,0.47,1.39,91.43,6.161,7.94,6.178,6.179,
2020/10/29,08:17:09,-0.3605,25.550,33.876,52.112,51488.491,1022.323,22.324,0.46,0.46,1.36,91.31,6.154,7.96,6.171,6.172,
2020/10/29,08:17:09,-0.3605,25.568,33.864,52.113,51469.592,1022.308,22.309,0.47,0.47,1.36,91.10,6.140,7.96,6.157,6.158,
2020/10/29,08:17:10,-0.3605,25.574,33.862,52.116,51466.597,1022.305,22.306,0.47,0.47,1.35,90.92,6.127,7.96,6.144,6.145,
2020/10/29,08:17:10,-0.3605,25.568,33.866,52.116,51473.108,1022.310,22.312,0.47,0.47,1.25,90.79,6.118,7.95,6.135,6.136,
2020/10/29,08:17:10,-0.3605,25.561,33.868,52.112,51476.469,1022.313,22.315,0.46,0.46,1.15,90.62,6.107,7.96,6.124,6.125,
