//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=130       
StartTime=2020/10/29 11:18:56
EndTime=2020/10/29 11:19:08
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2020/10/29,11:18:56,-0.4194,26.572,34.545,54.087,52278.812,1022.509,22.511,0.51,0.51,2.75,97.37,6.394,7.81,6.412,6.413,
2020/10/29,11:18:56,-0.4390,26.597,34.533,54.096,52260.073,1022.492,22.494,0.47,0.47,1.82,97.39,6.400,7.81,6.418,6.419,
2020/10/29,11:18:56,-0.4390,26.612,34.515,54.086,52233.669,1022.473,22.475,0.47,0.47,1.56,97.38,6.400,7.84,6.418,6.419,
2020/10/29,11:18:56,-0.4390,26.620,34.524,54.107,52245.195,1022.478,22.480,0.46,0.46,1.52,97.23,6.390,7.84,6.408,6.409,
2020/10/29,11:18:56,-0.4390,26.624,34.530,54.121,52253.313,1022.481,22.483,0.44,0.44,1.51,97.28,6.392,7.84,6.410,6.411,
2020/10/29,11:18:56,-0.4390,26.628,34.535,54.131,52260.175,1022.484,22.486,0.45,0.45,1.45,97.22,6.388,7.86,6.406,6.407,
2020/10/29,11:18:56,-0.4390,26.629,34.556,54.162,52288.121,1022.499,22.501,0.43,0.43,1.44,97.08,6.378,7.87,6.396,6.397,
2020/10/29,11:18:56,-0.4390,26.632,34.573,54.188,52309.759,1022.511,22.513,0.44,0.44,1.42,96.94,6.368,7.88,6.386,6.387,
2020/10/29,11:18:56,-0.4390,26.632,34.587,54.208,52328.738,1022.521,22.523,0.41,0.41,1.48,96.80,6.357,7.88,6.375,6.376,
2020/10/29,11:18:56,-0.4390,26.640,34.596,54.229,52340.377,1022.526,22.528,0.39,0.39,1.35,96.79,6.356,7.88,6.374,6.375,
2020/10/29,11:18:57,-0.4390,26.669,34.588,54.249,52326.820,1022.511,22.513,0.38,0.38,1.27,96.54,6.339,7.88,6.357,6.358,
2020/10/29,11:18:57,-0.4587,26.718,34.574,54.279,52302.000,1022.484,22.486,0.38,0.38,1.27,96.50,6.336,7.90,6.354,6.355,
2020/10/29,11:18:57,-0.4390,26.814,34.517,54.300,52216.188,1022.411,22.413,0.40,0.40,1.29,96.41,6.331,7.90,6.349,6.350,
2020/10/29,11:18:57,-0.4390,26.901,34.460,54.310,52130.066,1022.341,22.343,0.41,0.41,1.32,96.33,6.327,7.90,6.345,6.346,
2020/10/29,11:18:57,-0.4587,26.867,34.471,54.290,52147.931,1022.359,22.361,0.40,0.40,1.31,96.17,6.315,7.91,6.333,6.334,
2020/10/29,11:18:57,-0.4390,26.795,34.515,54.277,52215.353,1022.416,22.418,0.40,0.40,1.22,95.97,6.300,7.91,6.318,6.319,
