//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=140       
StartTime=2020/11/12 09:40:48
EndTime=2020/11/12 09:41:01
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2020/11/12,09:40:48,-0.4390,21.188,0.029,0.046,49.791,997.973,-2.025,0.21,0.21,1.28,92.02,7.897,7.72,7.915,7.916,
2020/11/12,09:40:48,-0.4587,21.172,0.029,0.046,49.979,997.976,-2.022,0.17,0.17,1.56,91.98,7.894,7.72,7.912,7.913,
2020/11/12,09:40:48,-0.4587,21.158,0.029,0.046,50.231,997.979,-2.019,0.15,0.15,1.29,92.01,7.898,7.73,7.917,7.917,
2020/11/12,09:40:48,-0.4587,21.143,0.029,0.046,50.018,997.982,-2.015,0.16,0.16,1.25,91.96,7.894,7.76,7.913,7.913,
2020/11/12,09:40:48,-0.4587,21.128,0.029,0.046,49.829,997.986,-2.012,0.18,0.18,1.32,91.81,7.882,7.76,7.901,7.901,
2020/11/12,09:40:48,-0.4587,21.115,0.029,0.046,49.914,997.989,-2.009,0.18,0.18,1.01,91.90,7.891,7.78,7.909,7.910,
2020/11/12,09:40:48,-0.4587,21.107,0.029,0.046,50.085,997.990,-2.007,0.20,0.20,1.85,91.85,7.887,7.78,7.905,7.906,
2020/11/12,09:40:48,-0.4587,21.117,0.029,0.046,50.136,997.988,-2.010,0.18,0.18,3.60,91.86,7.889,7.78,7.907,7.908,
2020/11/12,09:40:48,-0.4783,21.145,0.029,0.046,49.961,997.982,-2.016,0.16,0.16,18.21,91.86,7.889,7.79,7.907,7.907,
2020/11/12,09:40:48,-0.4783,21.225,0.029,0.046,49.937,997.964,-2.033,-0.67,-0.67,503.82,92.16,7.909,7.81,7.928,7.928,
2020/11/12,09:40:49,-0.3998,21.972,0.102,0.198,212.147,997.854,-2.144,0.11,0.11,145.12,92.21,7.892,7.80,7.911,7.911,
2020/11/12,09:40:49,-0.3998,22.596,32.766,47.688,50351.653,1022.353,22.355,0.35,0.35,35.29,91.94,6.500,7.83,6.517,6.518,
2020/11/12,09:40:49,-0.4194,22.948,32.512,47.699,49953.764,1022.061,22.063,0.39,0.39,10.35,91.82,6.489,7.81,6.506,6.507,
2020/11/12,09:40:49,-0.3605,23.168,35.341,51.609,53776.822,1024.142,24.144,0.40,0.40,4.26,91.76,6.374,7.82,6.390,6.391,
2020/11/12,09:40:49,-0.3605,23.316,34.910,51.203,53172.332,1023.772,23.774,0.44,0.44,2.60,91.77,6.387,7.83,6.404,6.405,
2020/11/12,09:40:49,-0.3605,23.420,34.840,51.219,53062.789,1023.689,23.691,0.41,0.41,2.16,91.86,6.394,7.82,6.411,6.412,
2020/11/12,09:40:49,-0.3605,23.470,34.801,51.220,53003.274,1023.645,23.647,0.41,0.41,1.88,91.99,6.401,7.83,6.418,6.419,
2020/11/12,09:40:49,-0.3605,23.502,34.786,51.232,52978.166,1023.624,23.626,0.40,0.40,1.75,92.07,6.400,7.84,6.416,6.417,
2020/11/12,09:40:49,-0.3605,23.533,34.766,51.238,52946.577,1023.600,23.602,0.39,0.39,1.81,92.13,6.398,7.83,6.415,6.416,
2020/11/12,09:40:49,-0.3605,23.558,34.741,51.231,52909.100,1023.574,23.575,0.38,0.38,1.81,92.29,6.405,7.85,6.422,6.423,
2020/11/12,09:40:50,-0.3605,23.566,34.729,51.224,52892.290,1023.563,23.564,0.37,0.37,1.78,92.40,6.411,7.85,6.428,6.429,
2020/11/12,09:40:50,-0.3605,23.566,34.733,51.229,52897.753,1023.566,23.567,0.38,0.38,1.68,92.54,6.419,7.86,6.436,6.437,
2020/11/12,09:40:50,-0.3605,23.559,34.738,51.227,52904.323,1023.571,23.572,0.38,0.38,1.79,92.61,6.423,7.86,6.440,6.441,
2020/11/12,09:40:50,-0.3605,23.555,34.740,51.226,52907.791,1023.574,23.575,0.38,0.38,1.83,92.62,6.423,7.85,6.440,6.441,
2020/11/12,09:40:50,-0.3605,23.555,34.743,51.230,52912.592,1023.576,23.578,0.38,0.38,1.79,92.80,6.435,7.86,6.452,6.453,
2020/11/12,09:40:50,-0.3605,23.552,34.748,51.233,52919.162,1023.581,23.582,0.39,0.39,1.78,92.78,6.433,7.86,6.450,6.451,
2020/11/12,09:40:50,-0.3605,23.564,34.736,51.230,52901.196,1023.568,23.570,0.42,0.42,1.92,92.85,6.438,7.86,6.455,6.456,
2020/11/12,09:40:50,-0.3802,23.571,34.734,51.234,52897.338,1023.564,23.566,0.40,0.40,1.88,92.89,6.440,7.86,6.457,6.458,
2020/11/12,09:40:50,-0.3605,23.571,34.731,51.231,52894.008,1023.562,23.564,0.38,0.38,2.03,93.03,6.449,7.86,6.466,6.467,
2020/11/12,09:40:50,-0.3802,23.568,34.739,51.239,52905.549,1023.569,23.571,0.37,0.37,2.12,93.11,6.454,7.89,6.471,6.472,
