//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=160       
StartTime=2020/11/12 12:23:45
EndTime=2020/11/12 12:24:00
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2020/11/12,12:23:45,-0.3605,24.661,36.124,54.219,54625.693,1024.293,24.294,0.35,0.35,4.91,101.06,6.814,7.72,6.832,6.834,
2020/11/12,12:23:45,-0.3605,24.820,34.643,52.403,52610.959,1023.124,23.126,0.35,0.35,2.30,101.80,6.913,7.73,6.932,6.933,
2020/11/12,12:23:45,-0.3605,24.882,34.570,52.369,52504.891,1023.050,23.052,0.36,0.36,1.51,102.53,6.961,7.74,6.980,6.981,
2020/11/12,12:23:45,-0.3605,24.902,34.555,52.368,52482.041,1023.033,23.035,0.37,0.37,1.24,103.16,7.002,7.74,7.021,7.022,
2020/11/12,12:23:45,-0.3802,24.912,34.555,52.380,52481.512,1023.030,23.032,0.35,0.35,1.11,103.77,7.041,7.74,7.061,7.062,
2020/11/12,12:23:45,-0.3605,24.917,34.574,52.411,52506.563,1023.043,23.045,0.35,0.35,1.02,104.14,7.063,7.76,7.083,7.084,
2020/11/12,12:23:45,-0.3605,24.941,34.553,52.407,52475.694,1023.020,23.022,0.34,0.34,1.00,104.46,7.086,7.77,7.105,7.106,
2020/11/12,12:23:45,-0.3605,24.961,34.553,52.427,52472.529,1023.014,23.015,0.34,0.34,0.97,104.66,7.098,7.78,7.117,7.118,
2020/11/12,12:23:45,-0.3605,24.976,34.535,52.418,52445.936,1022.995,22.997,0.34,0.34,0.91,105.08,7.126,7.78,7.146,7.147,
2020/11/12,12:23:45,-0.3605,24.985,34.521,52.409,52426.260,1022.982,22.984,0.33,0.33,0.88,105.43,7.149,7.79,7.169,7.170,
2020/11/12,12:23:46,-0.3802,24.985,34.526,52.416,52433.584,1022.986,22.988,0.34,0.34,0.88,105.79,7.171,7.79,7.191,7.192,
2020/11/12,12:23:46,-0.3802,24.972,34.530,52.408,52439.675,1022.993,22.994,0.32,0.32,0.84,106.14,7.194,7.79,7.214,7.215,
2020/11/12,12:23:46,-0.3605,24.949,34.549,52.410,52468.994,1023.014,23.016,0.33,0.33,0.87,106.47,7.215,7.80,7.235,7.236,
2020/11/12,12:23:46,-0.3605,24.931,34.561,52.407,52486.396,1023.028,23.030,0.33,0.33,0.88,106.81,7.238,7.80,7.257,7.259,
2020/11/12,12:23:46,-0.3605,24.922,34.571,52.412,52502.235,1023.040,23.041,0.34,0.34,0.87,107.19,7.263,7.81,7.283,7.284,
2020/11/12,12:23:46,-0.3802,24.920,34.576,52.417,52508.805,1023.043,23.045,0.34,0.34,0.87,107.66,7.294,7.82,7.314,7.315,
