//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=180       
StartTime=2020/11/12 12:17:26
EndTime=2020/11/12 12:17:43
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2020/11/12,12:17:26,-0.4587,22.727,0.029,0.046,48.636,997.624,-2.374,-0.02,-0.02,11.02,96.67,8.136,7.72,8.156,8.157,
2020/11/12,12:17:26,-0.4979,22.707,0.029,0.046,48.586,997.628,-2.369,-0.03,-0.03,10.46,96.70,8.143,7.72,8.163,8.164,
2020/11/12,12:17:26,-0.4979,22.695,0.029,0.046,48.612,997.631,-2.366,-0.02,-0.02,16.51,96.69,8.147,7.73,8.167,8.167,
2020/11/12,12:17:26,-0.4979,22.704,0.029,0.046,48.590,997.629,-2.369,-0.94,-0.94,540.71,96.86,8.160,7.73,8.180,8.181,
2020/11/12,12:17:26,-0.4979,22.955,0.029,0.046,48.537,997.570,-2.428,-0.64,-0.64,432.47,97.49,8.193,7.77,8.213,8.214,
2020/11/12,12:17:26,-0.4390,23.518,36.884,53.986,55805.275,1025.210,25.212,0.05,0.05,99.11,98.11,6.651,7.77,6.669,6.670,
2020/11/12,12:17:26,-0.4390,23.890,24.443,37.633,38575.007,1015.700,15.702,0.18,0.18,26.25,98.53,7.159,7.77,7.179,7.179,
2020/11/12,12:17:26,-0.3802,24.107,35.430,52.710,53765.462,1023.933,23.935,0.20,0.20,8.70,98.92,6.742,7.77,6.760,6.761,
2020/11/12,12:17:26,-0.3998,24.251,33.769,50.650,51498.871,1022.634,22.636,0.21,0.21,4.14,99.54,6.846,7.79,6.864,6.865,
2020/11/12,12:17:26,-0.3998,24.334,33.715,50.662,51415.565,1022.569,22.570,0.21,0.21,2.79,99.88,6.867,7.76,6.885,6.886,
2020/11/12,12:17:27,-0.3802,24.377,33.687,50.668,51371.912,1022.535,22.536,0.22,0.22,2.35,100.24,6.887,7.77,6.906,6.907,
2020/11/12,12:17:27,-0.3998,24.412,33.663,50.670,51334.491,1022.506,22.507,0.22,0.22,2.23,100.61,6.911,7.79,6.929,6.930,
2020/11/12,12:17:27,-0.3998,24.441,33.647,50.679,51309.765,1022.485,22.487,0.24,0.24,2.10,100.95,6.933,7.80,6.952,6.953,
2020/11/12,12:17:27,-0.3998,24.471,33.626,50.680,51277.094,1022.460,22.462,0.23,0.23,1.92,101.07,6.942,7.82,6.960,6.961,
2020/11/12,12:17:27,-0.3998,24.493,33.614,50.686,51258.152,1022.445,22.446,0.21,0.21,1.91,101.33,6.959,7.81,6.977,6.978,
2020/11/12,12:17:27,-0.3998,24.514,33.598,50.686,51233.319,1022.426,22.428,0.21,0.21,1.95,101.73,6.986,7.81,7.005,7.006,
2020/11/12,12:17:27,-0.3998,24.545,33.567,50.675,51187.456,1022.393,22.395,0.22,0.22,2.08,102.09,7.010,7.81,7.029,7.030,
2020/11/12,12:17:27,-0.3998,24.570,33.545,50.672,51155.222,1022.370,22.371,0.23,0.23,1.98,102.31,7.024,7.83,7.043,7.044,
2020/11/12,12:17:27,-0.3998,24.575,33.549,50.682,51160.107,1022.371,22.373,0.22,0.22,2.08,102.39,7.026,7.83,7.046,7.047,
2020/11/12,12:17:27,-0.3998,24.568,33.555,50.683,51169.359,1022.378,22.380,0.24,0.24,1.96,102.49,7.030,7.83,7.049,7.050,
2020/11/12,12:17:28,-0.4194,24.563,33.558,50.682,51173.794,1022.382,22.383,0.23,0.23,2.10,102.67,7.039,7.84,7.058,7.059,
2020/11/12,12:17:28,-0.3998,24.562,33.557,50.679,51172.010,1022.381,22.383,0.23,0.23,2.56,102.76,7.042,7.81,7.062,7.063,
2020/11/12,12:17:28,-0.3998,24.560,33.553,50.672,51167.650,1022.379,22.381,0.21,0.21,2.13,102.94,7.053,7.84,7.072,7.073,
2020/11/12,12:17:28,-0.3998,24.566,33.558,50.684,51172.791,1022.380,22.382,0.21,0.21,1.91,103.12,7.064,7.85,7.083,7.084,
2020/11/12,12:17:28,-0.3998,24.589,33.560,50.711,51172.768,1022.375,22.377,0.21,0.21,1.86,103.21,7.070,7.84,7.089,7.090,
2020/11/12,12:17:28,-0.3802,24.619,33.540,50.713,51142.472,1022.351,22.353,0.21,0.21,1.88,103.46,7.087,7.86,7.107,7.108,
2020/11/12,12:17:28,-0.3998,24.640,33.522,50.710,51114.776,1022.331,22.333,0.20,0.20,1.83,103.56,7.094,7.85,7.113,7.114,
2020/11/12,12:17:28,-0.3998,24.643,33.516,50.705,51106.816,1022.326,22.328,0.22,0.22,2.03,103.70,7.105,7.85,7.124,7.125,
2020/11/12,12:17:28,-0.3998,24.633,33.525,50.707,51119.355,1022.335,22.337,0.21,0.21,1.99,103.87,7.115,7.84,7.135,7.136,
2020/11/12,12:17:28,-0.3998,24.632,33.525,50.706,51119.752,1022.336,22.337,0.21,0.21,1.91,104.10,7.131,7.87,7.150,7.151,
2020/11/12,12:17:29,-0.3998,24.623,33.536,50.712,51136.136,1022.347,22.348,0.21,0.21,1.83,104.33,7.146,7.89,7.165,7.167,
2020/11/12,12:17:29,-0.3998,24.621,33.538,50.713,51139.384,1022.349,22.351,0.20,0.20,1.83,104.59,7.164,7.86,7.183,7.184,
2020/11/12,12:17:29,-0.3802,24.636,33.526,50.712,51121.503,1022.336,22.337,0.21,0.21,1.85,104.76,7.176,7.85,7.196,7.197,
2020/11/12,12:17:29,-0.3998,24.653,33.517,50.717,51107.148,1022.324,22.325,0.21,0.21,1.86,105.08,7.198,7.87,7.218,7.219,
2020/11/12,12:17:29,-0.3998,24.659,33.514,50.718,51101.880,1022.319,22.321,0.20,0.20,1.95,105.13,7.201,7.87,7.220,7.221,
2020/11/12,12:17:29,-0.3998,24.658,33.511,50.714,51098.732,1022.318,22.320,0.21,0.21,2.08,105.47,7.223,7.87,7.243,7.244,
2020/11/12,12:17:29,-0.3802,24.655,33.512,50.712,51100.023,1022.319,22.321,0.21,0.21,2.01,105.42,7.219,7.87,7.238,7.240,
2020/11/12,12:17:29,-0.3802,24.660,33.509,50.712,51094.480,1022.315,22.317,0.21,0.21,2.16,105.69,7.237,7.90,7.256,7.258,
2020/11/12,12:17:29,-0.3802,24.660,33.510,50.714,51095.744,1022.316,22.317,0.21,0.21,2.13,105.99,7.257,7.88,7.277,7.278,
2020/11/12,12:17:29,-0.3802,24.668,33.505,50.716,51089.280,1022.310,22.312,0.20,0.20,2.09,106.09,7.264,7.89,7.283,7.284,
2020/11/12,12:17:30,-0.3802,24.678,33.497,50.715,51076.956,1022.301,22.303,0.20,0.20,2.09,106.31,7.278,7.87,7.298,7.299,
2020/11/12,12:17:30,-0.3998,24.680,33.492,50.710,51069.297,1022.296,22.298,0.18,0.18,2.05,106.44,7.287,7.88,7.307,7.308,
2020/11/12,12:17:30,-0.3802,24.677,33.492,50.707,51069.238,1022.297,22.299,0.18,0.18,1.92,106.65,7.301,7.89,7.321,7.322,
2020/11/12,12:17:30,-0.3998,24.679,33.500,50.720,51080.615,1022.303,22.305,0.18,0.18,1.89,106.85,7.315,7.86,7.335,7.336,
2020/11/12,12:17:30,-0.3998,24.677,33.502,50.721,51083.857,1022.305,22.307,0.20,0.20,1.86,106.86,7.316,7.88,7.336,7.337,
2020/11/12,12:17:30,-0.3998,24.674,33.494,50.708,51073.406,1022.300,22.302,0.19,0.19,1.75,106.88,7.318,7.88,7.338,7.339,
2020/11/12,12:17:30,-0.3802,24.679,33.495,50.713,51073.389,1022.299,22.301,0.19,0.19,1.79,107.04,7.328,7.89,7.348,7.349,
2020/11/12,12:17:30,-0.3998,24.684,33.495,50.718,51072.612,1022.297,22.299,0.18,0.18,1.76,107.25,7.342,7.89,7.362,7.363,
2020/11/12,12:17:30,-0.3998,24.688,33.497,50.726,51075.907,1022.298,22.300,0.20,0.20,1.73,107.52,7.361,7.88,7.381,7.382,
2020/11/12,12:17:30,-0.3998,24.692,33.490,50.719,51065.376,1022.292,22.293,0.20,0.20,1.82,107.62,7.368,7.88,7.388,7.389,
2020/11/12,12:17:31,-0.3998,24.692,33.491,50.721,51067.288,1022.293,22.294,0.18,0.18,1.88,107.80,7.380,7.89,7.400,7.401,
2020/11/12,12:17:31,-0.3998,24.694,33.488,50.718,51062.121,1022.289,22.291,0.19,0.19,1.88,108.15,7.404,7.88,7.424,7.425,
2020/11/12,12:17:31,-0.3802,24.694,33.486,50.715,51059.702,1022.288,22.290,0.21,0.21,1.95,108.44,7.424,7.88,7.444,7.445,
2020/11/12,12:17:31,-0.3802,24.692,33.486,50.714,51059.396,1022.288,22.290,0.22,0.22,1.76,108.71,7.442,7.88,7.463,7.464,
2020/11/12,12:17:31,-0.3802,24.695,33.482,50.712,51054.014,1022.284,22.286,0.20,0.20,1.89,108.90,7.455,7.88,7.475,7.476,
2020/11/12,12:17:31,-0.3998,24.698,33.481,50.713,51052.193,1022.283,22.284,0.18,0.18,2.10,109.10,7.468,7.88,7.489,7.490,
2020/11/12,12:17:31,-0.3998,24.698,33.480,50.712,51051.083,1022.282,22.284,0.19,0.19,2.08,109.34,7.485,7.88,7.505,7.506,
2020/11/12,12:17:31,-0.3998,24.698,33.482,50.715,51053.749,1022.284,22.285,0.24,0.24,1.89,109.54,7.499,7.89,7.519,7.520,
2020/11/12,12:17:31,-0.3998,24.698,33.479,50.711,51049.490,1022.281,22.283,0.21,0.21,1.81,109.78,7.514,7.89,7.535,7.536,
2020/11/12,12:17:31,-0.3802,24.699,33.480,50.712,51050.506,1022.282,22.283,0.20,0.20,1.83,109.89,7.522,7.92,7.543,7.544,
2020/11/12,12:17:32,-0.3802,24.699,33.480,50.713,51050.656,1022.282,22.283,0.18,0.18,1.83,110.14,7.539,7.89,7.560,7.561,
2020/11/12,12:17:32,-0.3802,24.700,33.479,50.712,51049.295,1022.281,22.282,0.20,0.20,1.83,110.11,7.537,7.87,7.558,7.559,
2020/11/12,12:17:32,-0.3998,24.698,33.479,50.711,51049.486,1022.281,22.283,0.19,0.19,1.83,110.34,7.553,7.89,7.574,7.575,
2020/11/12,12:17:32,-0.3998,24.699,33.478,50.711,51048.908,1022.281,22.282,0.19,0.19,1.83,110.52,7.565,7.90,7.586,7.587,
2020/11/12,12:17:32,-0.3998,24.700,33.479,50.713,51050.188,1022.281,22.283,0.18,0.18,1.79,110.73,7.580,7.89,7.600,7.601,
2020/11/12,12:17:32,-0.3998,24.701,33.478,50.711,51047.576,1022.280,22.281,0.20,0.20,1.95,110.69,7.577,7.88,7.598,7.599,
2020/11/12,12:17:32,-0.3998,24.702,33.477,50.711,51046.356,1022.279,22.280,0.22,0.22,1.93,110.76,7.581,7.92,7.602,7.603,
2020/11/12,12:17:32,-0.3998,24.703,33.475,50.710,51044.041,1022.277,22.279,0.20,0.20,1.81,110.82,7.586,7.90,7.606,7.607,
2020/11/12,12:17:32,-0.3998,24.704,33.474,50.711,51042.578,1022.276,22.278,0.20,0.20,1.82,111.00,7.598,7.89,7.619,7.620,
2020/11/12,12:17:32,-0.3802,24.705,33.474,50.711,51041.971,1022.276,22.277,0.19,0.19,2.01,111.04,7.601,7.90,7.621,7.623,
2020/11/12,12:17:33,-0.3802,24.703,33.474,50.709,51042.628,1022.276,22.278,0.18,0.18,2.05,111.12,7.606,7.89,7.627,7.628,
2020/11/12,12:17:33,-0.3998,24.699,33.479,50.712,51049.734,1022.281,22.283,0.18,0.18,1.86,111.17,7.609,7.89,7.630,7.631,
2020/11/12,12:17:33,-0.3998,24.699,33.480,50.713,51051.667,1022.282,22.284,0.18,0.18,1.76,111.16,7.609,7.92,7.630,7.631,
2020/11/12,12:17:33,-0.3802,24.700,33.479,50.713,51049.268,1022.281,22.282,0.18,0.18,1.73,111.26,7.615,7.87,7.636,7.637,
2020/11/12,12:17:33,-0.3998,24.701,33.474,50.707,51042.876,1022.277,22.279,0.18,0.18,1.71,111.30,7.619,7.89,7.639,7.641,
2020/11/12,12:17:33,-0.3998,24.702,33.473,50.707,51041.613,1022.276,22.278,0.18,0.18,1.71,111.50,7.632,7.89,7.653,7.654,
2020/11/12,12:17:33,-0.3998,24.701,33.476,50.710,51045.760,1022.278,22.280,0.17,0.17,1.69,111.63,7.641,7.89,7.661,7.663,
2020/11/12,12:17:33,-0.3998,24.703,33.477,50.712,51046.004,1022.278,22.280,0.17,0.17,1.81,111.74,7.648,7.88,7.669,7.670,
2020/11/12,12:17:33,-0.3998,24.703,33.473,50.707,51040.457,1022.275,22.277,0.18,0.18,1.82,111.72,7.647,7.89,7.667,7.669,
2020/11/12,12:17:33,-0.3998,24.703,33.473,50.708,51041.421,1022.276,22.277,0.18,0.18,1.82,111.92,7.660,7.92,7.681,7.682,
2020/11/12,12:17:34,-0.3998,24.703,33.473,50.707,51040.762,1022.275,22.277,0.17,0.17,1.66,112.06,7.671,7.88,7.692,7.693,
2020/11/12,12:17:34,-0.4194,24.703,33.474,50.709,51042.611,1022.276,22.278,0.17,0.17,1.59,112.18,7.678,7.90,7.699,7.700,
2020/11/12,12:17:34,-0.3998,24.703,33.470,50.703,51036.573,1022.273,22.275,0.17,0.17,1.59,112.08,7.672,7.91,7.693,7.694,
2020/11/12,12:17:34,-0.4194,24.703,33.469,50.702,51035.894,1022.272,22.274,0.18,0.18,1.72,112.19,7.679,7.89,7.700,7.701,
2020/11/12,12:17:34,-0.3998,24.702,33.468,50.700,51034.053,1022.272,22.273,0.18,0.18,1.69,112.20,7.681,7.89,7.702,7.703,
2020/11/12,12:17:34,-0.4194,24.704,33.466,50.698,51030.714,1022.269,22.271,0.17,0.17,1.73,112.24,7.684,7.89,7.705,7.706,
2020/11/12,12:17:34,-0.3998,24.705,33.463,50.696,51027.491,1022.267,22.269,0.18,0.18,1.81,112.25,7.685,7.88,7.706,7.707,
2020/11/12,12:17:34,-0.3998,24.706,33.464,50.698,51028.453,1022.268,22.269,0.18,0.18,1.82,112.31,7.689,7.90,7.710,7.711,
2020/11/12,12:17:34,-0.3802,24.706,33.464,50.699,51028.167,1022.267,22.269,0.18,0.18,1.73,112.54,7.705,7.92,7.726,7.727,
2020/11/12,12:17:34,-0.3998,24.708,33.462,50.697,51025.160,1022.265,22.267,0.18,0.18,1.69,112.57,7.707,7.92,7.728,7.729,
2020/11/12,12:17:35,-0.3998,24.709,33.461,50.698,51024.373,1022.265,22.266,0.17,0.17,1.85,112.57,7.707,7.88,7.728,7.730,
2020/11/12,12:17:35,-0.3998,24.710,33.459,50.695,51020.803,1022.262,22.264,0.18,0.18,1.82,112.55,7.706,7.92,7.727,7.728,
2020/11/12,12:17:35,-0.3998,24.710,33.460,50.696,51022.224,1022.263,22.265,0.18,0.18,1.73,112.66,7.713,7.89,7.735,7.736,
2020/11/12,12:17:35,-0.3998,24.712,33.458,50.695,51019.077,1022.261,22.263,0.18,0.18,1.72,112.67,7.714,7.89,7.735,7.736,
2020/11/12,12:17:35,-0.3998,24.712,33.458,50.696,51018.949,1022.261,22.263,0.17,0.17,1.72,112.70,7.716,7.92,7.737,7.738,
2020/11/12,12:17:35,-0.3998,24.711,33.458,50.695,51019.287,1022.261,22.263,0.18,0.18,1.71,112.70,7.715,7.92,7.736,7.738,
2020/11/12,12:17:35,-0.3998,24.710,33.458,50.694,51019.399,1022.262,22.263,0.18,0.18,1.71,112.80,7.722,7.89,7.744,7.745,
2020/11/12,12:17:35,-0.3998,24.706,33.463,50.698,51027.270,1022.267,22.269,0.15,0.15,1.68,112.75,7.719,7.92,7.740,7.741,
2020/11/12,12:17:35,-0.3998,24.706,33.463,50.696,51026.409,1022.267,22.268,0.15,0.15,1.69,112.73,7.717,7.90,7.738,7.739,
2020/11/12,12:17:35,-0.3998,24.706,33.464,50.698,51027.956,1022.267,22.269,0.18,0.18,1.79,112.92,7.730,7.89,7.751,7.752,
2020/11/12,12:17:36,-0.3998,24.706,33.462,50.696,51026.067,1022.266,22.268,0.17,0.17,1.76,113.03,7.737,7.90,7.758,7.759,
2020/11/12,12:17:36,-0.3998,24.704,33.466,50.699,51030.855,1022.269,22.271,0.17,0.17,1.66,112.94,7.730,7.92,7.751,7.753,
2020/11/12,12:17:36,-0.4194,24.704,33.464,50.696,51028.698,1022.268,22.270,0.17,0.17,1.58,112.94,7.730,7.91,7.751,7.752,
2020/11/12,12:17:36,-0.3998,24.702,33.463,50.693,51028.048,1022.268,22.270,0.16,0.16,1.52,113.04,7.737,7.90,7.758,7.759,
2020/11/12,12:17:36,-0.3998,24.701,33.466,50.696,51031.635,1022.271,22.272,0.15,0.15,1.51,113.10,7.742,7.90,7.763,7.764,
2020/11/12,12:17:36,-0.3998,24.704,33.464,50.695,51028.172,1022.268,22.270,0.17,0.17,1.56,113.19,7.748,7.89,7.769,7.770,
2020/11/12,12:17:36,-0.3998,24.707,33.458,50.691,51019.459,1022.262,22.264,0.16,0.16,1.56,113.19,7.748,7.90,7.769,7.770,
2020/11/12,12:17:36,-0.3998,24.706,33.455,50.687,51016.782,1022.261,22.263,0.16,0.16,1.64,113.28,7.754,7.90,7.776,7.777,
2020/11/12,12:17:36,-0.3998,24.706,33.456,50.687,51017.431,1022.262,22.263,0.16,0.16,1.85,113.28,7.754,7.90,7.775,7.776,
2020/11/12,12:17:36,-0.3998,24.705,33.457,50.688,51019.689,1022.263,22.265,0.17,0.17,1.71,113.37,7.760,7.92,7.781,7.782,
2020/11/12,12:17:37,-0.3998,24.706,33.457,50.689,51019.070,1022.262,22.264,0.17,0.17,1.66,113.25,7.752,7.89,7.773,7.775,
2020/11/12,12:17:37,-0.3998,24.704,33.456,50.686,51018.075,1022.262,22.264,0.18,0.18,1.76,113.32,7.757,7.90,7.778,7.780,
2020/11/12,12:17:37,-0.3998,24.701,33.457,50.684,51019.416,1022.264,22.266,0.18,0.18,1.73,113.35,7.759,7.92,7.780,7.781,
2020/11/12,12:17:37,-0.3802,24.700,33.454,50.679,51015.519,1022.262,22.264,0.17,0.17,1.73,113.41,7.763,7.90,7.784,7.785,
2020/11/12,12:17:37,-0.3998,24.700,33.456,50.681,51017.979,1022.263,22.265,0.16,0.16,1.79,113.45,7.766,7.89,7.787,7.788,
2020/11/12,12:17:37,-0.3802,24.701,33.455,50.681,51016.594,1022.262,22.264,0.18,0.18,1.96,113.58,7.774,7.87,7.796,7.797,
2020/11/12,12:17:37,-0.3998,24.701,33.457,50.684,51019.852,1022.264,22.266,0.18,0.18,2.03,113.51,7.770,7.87,7.791,7.793,
2020/11/12,12:17:37,-0.3802,24.700,33.455,50.680,51016.435,1022.262,22.264,0.17,0.17,1.91,113.55,7.773,7.88,7.794,7.795,
2020/11/12,12:17:37,-0.3802,24.699,33.458,50.683,51020.818,1022.265,22.267,0.16,0.16,2.06,113.56,7.773,7.90,7.794,7.796,
2020/11/12,12:17:37,-0.3802,24.701,33.457,50.684,51020.161,1022.264,22.266,0.18,0.18,2.03,113.51,7.770,7.92,7.792,7.793,
2020/11/12,12:17:38,-0.3802,24.701,33.458,50.686,51021.204,1022.265,22.266,0.16,0.16,1.85,113.64,7.779,7.89,7.801,7.802,
2020/11/12,12:17:38,-0.3998,24.701,33.457,50.683,51019.221,1022.264,22.266,0.17,0.17,1.76,113.56,7.774,7.92,7.795,7.796,
2020/11/12,12:17:38,-0.3998,24.700,33.461,50.687,51024.753,1022.267,22.269,0.18,0.18,1.73,113.66,7.780,7.89,7.802,7.803,
2020/11/12,12:17:38,-0.3998,24.699,33.460,50.686,51024.364,1022.267,22.269,0.17,0.17,1.72,113.54,7.772,7.92,7.793,7.794,
2020/11/12,12:17:38,-0.3998,24.698,33.459,50.684,51023.026,1022.266,22.268,0.18,0.18,1.69,113.59,7.775,7.88,7.796,7.798,
2020/11/12,12:17:38,-0.3802,24.698,33.461,50.687,51025.163,1022.268,22.269,0.18,0.18,1.79,113.52,7.770,7.92,7.792,7.793,
2020/11/12,12:17:38,-0.3802,24.698,33.460,50.685,51023.865,1022.267,22.269,0.17,0.17,1.65,113.79,7.788,7.92,7.810,7.811,
2020/11/12,12:17:38,-0.3802,24.698,33.459,50.684,51022.679,1022.266,22.268,0.16,0.16,1.61,113.77,7.788,7.88,7.809,7.810,
2020/11/12,12:17:38,-0.3998,24.698,33.461,50.687,51025.679,1022.268,22.270,0.16,0.16,1.62,113.80,7.789,7.89,7.810,7.812,
2020/11/12,12:17:38,-0.3998,24.698,33.461,50.687,51025.585,1022.268,22.270,0.15,0.15,1.68,113.67,7.780,7.90,7.802,7.803,
2020/11/12,12:17:39,-0.3998,24.699,33.458,50.683,51020.583,1022.265,22.267,0.15,0.15,1.78,113.74,7.786,7.88,7.807,7.808,
2020/11/12,12:17:39,-0.3998,24.700,33.458,50.684,51020.462,1022.265,22.266,0.15,0.15,1.75,113.82,7.791,7.89,7.812,7.813,
2020/11/12,12:17:39,-0.3998,24.700,33.458,50.685,51021.253,1022.265,22.267,0.16,0.16,1.73,113.95,7.800,7.90,7.821,7.822,
2020/11/12,12:17:39,-0.3998,24.700,33.458,50.683,51020.350,1022.265,22.266,0.16,0.16,1.68,113.94,7.800,7.91,7.821,7.822,
2020/11/12,12:17:39,-0.3802,24.699,33.459,50.684,51021.877,1022.266,22.267,0.16,0.16,1.68,114.08,7.809,7.92,7.830,7.832,
