"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2020/11/12","12:17:26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.7,8.143,NA,8.163,8.164
"2","2020/11/12","12:17:26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.69,8.147,NA,8.167,8.167
"3","2020/11/12","12:17:26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.86,8.16,NA,8.18,8.181
"4","2020/11/12","12:17:26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.49,8.193,NA,8.213,8.214
"5","2020/11/12","12:17:26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.11,NA,NA,NA,NA
"6","2020/11/12","12:17:26",NA,NA,NA,NA,NA,NA,NA,0.18,0.18,NA,98.53,7.159,NA,7.179,7.179
"7","2020/11/12","12:17:26",NA,NA,NA,NA,NA,NA,NA,0.2,0.2,NA,98.92,6.742,NA,6.76,6.761
"8","2020/11/12","12:17:26",-0.3998,NA,NA,50.65,NA,NA,NA,0.21,0.21,NA,99.54,6.846,NA,6.864,6.865
"9","2020/11/12","12:17:26",-0.3998,NA,NA,50.662,NA,NA,NA,0.21,0.21,NA,99.88,6.867,NA,6.885,6.886
"10","2020/11/12","12:17:27",NA,NA,NA,50.668,NA,NA,NA,0.22,0.22,2.35,100.24,6.887,NA,6.906,6.907
"11","2020/11/12","12:17:27",-0.3998,NA,NA,50.67,NA,NA,NA,0.22,0.22,2.23,100.61,6.911,NA,6.929,6.93
"12","2020/11/12","12:17:27",-0.3998,NA,NA,50.679,NA,NA,NA,0.24,0.24,2.1,100.95,6.933,NA,6.952,6.953
"13","2020/11/12","12:17:27",-0.3998,NA,NA,50.68,NA,NA,NA,0.23,0.23,1.92,101.07,6.942,NA,6.96,6.961
"14","2020/11/12","12:17:27",-0.3998,NA,NA,50.686,NA,NA,NA,0.21,0.21,1.91,101.33,6.959,NA,6.977,6.978
"15","2020/11/12","12:17:27",-0.3998,NA,NA,50.686,NA,NA,NA,0.21,0.21,1.95,101.73,6.986,NA,7.005,7.006
"16","2020/11/12","12:17:27",-0.3998,NA,NA,50.675,NA,NA,NA,0.22,0.22,2.08,102.09,7.01,NA,7.029,7.03
"17","2020/11/12","12:17:27",-0.3998,NA,NA,50.672,NA,NA,NA,0.23,0.23,1.98,102.31,7.024,NA,7.043,7.044
"18","2020/11/12","12:17:27",-0.3998,NA,NA,50.682,NA,NA,NA,0.22,0.22,2.08,102.39,7.026,NA,7.046,7.047
"19","2020/11/12","12:17:27",-0.3998,NA,NA,50.683,NA,NA,NA,0.24,0.24,1.96,102.49,7.03,NA,7.049,7.05
"20","2020/11/12","12:17:28",NA,NA,NA,50.682,NA,NA,NA,0.23,0.23,2.1,102.67,7.039,NA,7.058,7.059
"21","2020/11/12","12:17:28",-0.3998,NA,NA,50.679,NA,NA,NA,0.23,0.23,NA,102.76,7.042,NA,7.062,7.063
"22","2020/11/12","12:17:28",-0.3998,NA,NA,50.672,NA,NA,NA,0.21,0.21,2.13,102.94,7.053,NA,7.072,7.073
"23","2020/11/12","12:17:28",-0.3998,NA,NA,50.684,NA,NA,NA,0.21,0.21,1.91,103.12,7.064,7.85,7.083,7.084
"24","2020/11/12","12:17:28",-0.3998,NA,NA,50.711,NA,NA,NA,0.21,0.21,1.86,103.21,7.07,NA,7.089,7.09
"25","2020/11/12","12:17:28",NA,NA,NA,50.713,NA,NA,NA,0.21,0.21,1.88,103.46,7.087,7.86,7.107,7.108
"26","2020/11/12","12:17:28",-0.3998,NA,33.522,50.71,51114.776,NA,NA,0.2,0.2,1.83,103.56,7.094,7.85,7.113,7.114
"27","2020/11/12","12:17:28",-0.3998,NA,33.516,50.705,51106.816,NA,NA,0.22,0.22,2.03,103.7,7.105,7.85,7.124,7.125
"28","2020/11/12","12:17:28",-0.3998,NA,33.525,50.707,51119.355,NA,NA,0.21,0.21,1.99,103.87,7.115,NA,7.135,7.136
"29","2020/11/12","12:17:28",-0.3998,NA,33.525,50.706,51119.752,NA,NA,0.21,0.21,1.91,104.1,7.131,7.87,7.15,7.151
"30","2020/11/12","12:17:29",-0.3998,NA,NA,50.712,NA,NA,NA,0.21,0.21,1.83,104.33,7.146,7.89,7.165,7.167
"31","2020/11/12","12:17:29",-0.3998,NA,NA,50.713,NA,NA,NA,0.2,0.2,1.83,104.59,7.164,7.86,7.183,7.184
"32","2020/11/12","12:17:29",NA,NA,33.526,50.712,51121.503,NA,NA,0.21,0.21,1.85,104.76,7.176,7.85,7.196,7.197
"33","2020/11/12","12:17:29",-0.3998,24.653,33.517,50.717,51107.148,1022.324,22.325,0.21,0.21,1.86,105.08,7.198,7.87,7.218,7.219
"34","2020/11/12","12:17:29",-0.3998,24.659,33.514,50.718,51101.88,1022.319,22.321,0.2,0.2,1.95,105.13,7.201,7.87,7.22,7.221
"35","2020/11/12","12:17:29",-0.3998,24.658,33.511,50.714,51098.732,1022.318,22.32,0.21,0.21,2.08,105.47,7.223,7.87,7.243,7.244
"36","2020/11/12","12:17:29",NA,24.655,33.512,50.712,51100.023,1022.319,22.321,0.21,0.21,2.01,105.42,7.219,7.87,7.238,7.24
"37","2020/11/12","12:17:29",NA,24.66,33.509,50.712,51094.48,1022.315,22.317,0.21,0.21,2.16,105.69,7.237,7.9,7.256,7.258
"38","2020/11/12","12:17:29",NA,24.66,33.51,50.714,51095.744,1022.316,22.317,0.21,0.21,2.13,105.99,7.257,7.88,7.277,7.278
"39","2020/11/12","12:17:29",NA,24.668,33.505,50.716,51089.28,1022.31,22.312,0.2,0.2,2.09,106.09,7.264,7.89,7.283,7.284
"40","2020/11/12","12:17:30",NA,24.678,33.497,50.715,51076.956,1022.301,22.303,0.2,0.2,2.09,106.31,7.278,7.87,7.298,7.299
"41","2020/11/12","12:17:30",-0.3998,24.68,33.492,50.71,51069.297,1022.296,22.298,0.18,0.18,2.05,106.44,7.287,7.88,7.307,7.308
"42","2020/11/12","12:17:30",NA,24.677,33.492,50.707,51069.238,1022.297,22.299,0.18,0.18,1.92,106.65,7.301,7.89,7.321,7.322
"43","2020/11/12","12:17:30",-0.3998,24.679,33.5,50.72,51080.615,1022.303,22.305,0.18,0.18,1.89,106.85,7.315,7.86,7.335,7.336
"44","2020/11/12","12:17:30",-0.3998,24.677,33.502,50.721,51083.857,1022.305,22.307,0.2,0.2,1.86,106.86,7.316,7.88,7.336,7.337
"45","2020/11/12","12:17:30",-0.3998,24.674,33.494,50.708,51073.406,1022.3,22.302,0.19,0.19,1.75,106.88,7.318,7.88,7.338,7.339
"46","2020/11/12","12:17:30",NA,24.679,33.495,50.713,51073.389,1022.299,22.301,0.19,0.19,1.79,107.04,7.328,7.89,7.348,7.349
"47","2020/11/12","12:17:30",-0.3998,24.684,33.495,50.718,51072.612,1022.297,22.299,0.18,0.18,1.76,107.25,7.342,7.89,7.362,7.363
"48","2020/11/12","12:17:30",-0.3998,24.688,33.497,50.726,51075.907,1022.298,22.3,0.2,0.2,1.73,107.52,7.361,7.88,7.381,7.382
"49","2020/11/12","12:17:30",-0.3998,24.692,33.49,50.719,51065.376,1022.292,22.293,0.2,0.2,1.82,107.62,7.368,7.88,7.388,7.389
"50","2020/11/12","12:17:31",-0.3998,24.692,33.491,50.721,51067.288,1022.293,22.294,0.18,0.18,1.88,107.8,7.38,7.89,7.4,7.401
"51","2020/11/12","12:17:31",-0.3998,24.694,33.488,50.718,51062.121,1022.289,22.291,0.19,0.19,1.88,108.15,7.404,7.88,7.424,7.425
"52","2020/11/12","12:17:31",NA,24.694,33.486,50.715,51059.702,1022.288,22.29,0.21,0.21,1.95,108.44,7.424,7.88,7.444,7.445
"53","2020/11/12","12:17:31",NA,24.692,33.486,50.714,51059.396,1022.288,22.29,0.22,0.22,1.76,108.71,7.442,7.88,7.463,7.464
"54","2020/11/12","12:17:31",NA,24.695,33.482,50.712,51054.014,1022.284,22.286,0.2,0.2,1.89,108.9,7.455,7.88,7.475,7.476
"55","2020/11/12","12:17:31",-0.3998,24.698,33.481,50.713,51052.193,1022.283,22.284,0.18,0.18,2.1,109.1,7.468,7.88,7.489,7.49
"56","2020/11/12","12:17:31",-0.3998,24.698,33.48,50.712,51051.083,1022.282,22.284,0.19,0.19,2.08,109.34,7.485,7.88,7.505,7.506
"57","2020/11/12","12:17:31",-0.3998,24.698,33.482,50.715,51053.749,1022.284,22.285,0.24,0.24,1.89,109.54,7.499,7.89,7.519,7.52
"58","2020/11/12","12:17:31",-0.3998,24.698,33.479,50.711,51049.49,1022.281,22.283,0.21,0.21,1.81,109.78,7.514,7.89,7.535,7.536
"59","2020/11/12","12:17:31",NA,24.699,33.48,50.712,51050.506,1022.282,22.283,0.2,0.2,1.83,109.89,7.522,7.92,7.543,7.544
"60","2020/11/12","12:17:32",NA,24.699,33.48,50.713,51050.656,1022.282,22.283,0.18,0.18,1.83,110.14,7.539,7.89,7.56,7.561
"61","2020/11/12","12:17:32",NA,24.7,33.479,50.712,51049.295,1022.281,22.282,0.2,0.2,1.83,110.11,7.537,7.87,7.558,7.559
"62","2020/11/12","12:17:32",-0.3998,24.698,33.479,50.711,51049.486,1022.281,22.283,0.19,0.19,1.83,110.34,7.553,7.89,7.574,7.575
"63","2020/11/12","12:17:32",-0.3998,24.699,33.478,50.711,51048.908,1022.281,22.282,0.19,0.19,1.83,110.52,7.565,7.9,7.586,7.587
"64","2020/11/12","12:17:32",-0.3998,24.7,33.479,50.713,51050.188,1022.281,22.283,0.18,0.18,1.79,110.73,7.58,7.89,7.6,7.601
"65","2020/11/12","12:17:32",-0.3998,24.701,33.478,50.711,51047.576,1022.28,22.281,0.2,0.2,1.95,110.69,7.577,7.88,7.598,7.599
"66","2020/11/12","12:17:32",-0.3998,24.702,33.477,50.711,51046.356,1022.279,22.28,0.22,0.22,1.93,110.76,7.581,7.92,7.602,7.603
"67","2020/11/12","12:17:32",-0.3998,24.703,33.475,50.71,51044.041,1022.277,22.279,0.2,0.2,1.81,110.82,7.586,7.9,7.606,7.607
"68","2020/11/12","12:17:32",-0.3998,24.704,33.474,50.711,51042.578,1022.276,22.278,0.2,0.2,1.82,111,7.598,7.89,7.619,7.62
"69","2020/11/12","12:17:32",NA,24.705,33.474,50.711,51041.971,1022.276,22.277,0.19,0.19,2.01,111.04,7.601,7.9,7.621,7.623
