"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2020/11/12","08:15:23",-0.3605,24.324,28.89,44.121,44787.622,1018.928,18.93,0.68,0.68,NA,98.27,7.01,NA,7.029,7.029
"2","2020/11/12","08:15:23",-0.3409,24.35,28.872,44.119,44758.942,1018.907,18.908,0.7,0.7,NA,97.98,6.989,NA,7.008,7.008
"3","2020/11/12","08:15:23",-0.3409,24.366,28.849,44.101,44725.276,1018.885,18.886,0.72,0.72,1.65,97.63,6.962,NA,6.981,6.981
"4","2020/11/12","08:15:23",-0.3409,24.367,28.858,44.116,44738.264,1018.892,18.893,0.72,0.72,1.66,97.29,6.931,NA,6.95,6.95
"5","2020/11/12","08:15:23",-0.3409,24.367,28.861,44.118,44741.64,1018.894,18.895,0.69,0.69,1.55,97.09,6.911,NA,6.93,6.93
"6","2020/11/12","08:15:23",-0.3409,24.372,28.846,44.102,44720.247,1018.881,18.882,0.7,0.7,1.46,96.9,6.896,NA,6.915,6.915
"7","2020/11/12","08:15:23",-0.3409,24.368,28.868,44.128,44751.196,1018.899,18.9,0.69,0.69,1.38,96.71,6.883,NA,6.901,6.902
"8","2020/11/12","08:15:23",-0.3605,24.356,28.842,44.083,44716.404,1018.882,18.884,0.68,0.68,1.68,96.46,6.864,NA,6.883,6.883
"9","2020/11/12","08:15:23",-0.3409,24.356,28.857,44.103,44737.251,1018.894,18.895,0.69,0.69,1.54,96.21,6.845,NA,6.863,6.864
"10","2020/11/12","08:15:24",-0.3409,24.351,28.835,44.069,44707.082,1018.878,18.88,0.69,0.69,1.41,96.01,6.83,NA,6.848,6.849
"11","2020/11/12","08:15:24",-0.3409,24.301,28.899,44.113,44801.558,1018.941,18.943,0.7,0.7,1.44,95.88,6.818,NA,6.836,6.837
"12","2020/11/12","08:15:24",-0.3213,24.23,28.915,44.071,44831.203,1018.974,18.975,NA,NA,1.38,95.58,6.792,NA,6.811,6.811
"13","2020/11/12","08:15:24",-0.3409,24.191,28.926,44.053,44851.339,1018.994,18.995,NA,NA,1.46,95.32,6.771,NA,6.789,6.79
"14","2020/11/12","08:15:24",-0.3409,24.16,28.984,44.105,44935.631,1019.047,19.048,0.7,0.7,1.52,95.23,6.761,NA,6.78,6.78
"15","2020/11/12","08:15:24",-0.3605,24.113,28.972,44.047,44923.463,1019.051,19.052,0.67,0.67,1.46,95.08,6.749,7.82,6.767,6.768
"16","2020/11/12","08:15:24",-0.3409,24.121,28.976,44.06,44928.954,1019.052,19.054,0.64,0.64,1.39,94.9,6.735,7.83,6.753,6.754
"17","2020/11/12","08:15:24",-0.3409,24.117,28.968,44.046,44918.054,1019.047,19.049,0.66,0.66,1.41,94.74,6.724,7.84,6.742,6.742
"18","2020/11/12","08:15:24",-0.3213,24.108,28.946,44.007,44887.567,1019.033,19.034,0.64,0.64,1.35,94.64,6.72,7.85,6.738,6.739
"19","2020/11/12","08:15:24",-0.3409,24.095,28.942,43.991,44884.516,1019.034,19.036,0.62,0.62,1.28,94.54,6.713,7.85,6.731,6.731
"20","2020/11/12","08:15:25",-0.3409,24.103,28.931,43.982,44868.21,1019.023,19.025,0.61,0.61,1.45,94.47,6.706,7.84,6.724,6.725
"21","2020/11/12","08:15:25",-0.3409,24.092,28.928,43.968,44864.283,1019.024,19.025,0.63,0.63,1.51,94.31,6.694,7.84,6.712,6.712
"22","2020/11/12","08:15:25",-0.3409,24.083,28.929,43.962,44866.995,1019.027,19.029,0.64,0.64,1.54,94.35,6.695,7.86,6.713,6.714
"23","2020/11/12","08:15:25",-0.3409,24.073,28.92,43.94,44855.227,1019.023,19.025,0.64,0.64,1.51,94.16,6.681,7.84,6.699,6.7
"24","2020/11/12","08:15:25",-0.3605,24.073,28.921,43.943,44857.535,1019.024,19.026,0.64,0.64,1.32,94.04,6.673,7.86,6.691,6.691
"25","2020/11/12","08:15:25",-0.3605,24.072,28.977,44.018,44934.789,1019.066,19.068,0.61,0.61,1.24,93.92,6.663,7.87,6.681,6.681
"26","2020/11/12","08:15:25",-0.3605,24.038,28.954,43.957,44906.723,1019.059,19.061,0.6,0.6,1.27,93.72,6.652,7.87,6.67,6.671
"27","2020/11/12","08:15:25",-0.3605,24.017,28.98,43.973,44945.685,1019.085,19.087,0.58,0.58,1.22,93.46,6.636,7.86,6.654,6.655
"28","2020/11/12","08:15:25",-0.3605,24.031,28.957,43.954,44911.236,1019.063,19.065,0.58,0.58,1.28,93.23,6.624,7.87,6.642,6.643
"29","2020/11/12","08:15:25",-0.3605,24.066,28.948,43.973,44895.7,1019.047,19.048,0.6,0.6,1.54,93.16,6.621,7.87,6.639,6.64
"30","2020/11/12","08:15:26",-0.3802,24.089,28.997,44.06,44960.431,1019.076,19.078,0.6,0.6,1.48,92.94,6.605,7.86,6.623,6.624
"31","2020/11/12","08:15:26",-0.3605,24.078,28.95,43.986,44896.438,1019.044,19.046,0.65,0.65,1.36,92.85,6.599,7.87,6.617,6.618
"32","2020/11/12","08:15:26",-0.3605,24.097,28.983,44.048,44940.737,1019.064,19.066,0.61,0.61,1.24,92.62,6.581,7.88,6.599,6.599
"33","2020/11/12","08:15:26",-0.3605,24.037,28.979,43.99,44941.931,1019.078,19.08,0.6,0.6,1.31,92.5,6.571,7.88,6.589,6.589
