//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=90        
StartTime=2020/11/12 08:26:59
EndTime=2020/11/12 08:27:07
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2020/11/12,08:26:59,-0.3409,24.031,33.068,49.495,50572.429,1022.169,22.170,1.35,1.35,4.30,78.50,5.456,7.72,5.470,5.471,
2020/11/12,08:26:59,-0.3605,24.407,31.548,47.817,48448.802,1020.910,20.911,1.32,1.32,2.13,78.57,5.499,7.73,5.514,5.514,
2020/11/12,08:26:59,-0.3605,24.590,31.421,47.817,48252.607,1020.759,20.761,1.27,1.27,1.61,78.66,5.502,7.73,5.517,5.518,
2020/11/12,08:26:59,-0.3605,24.689,31.343,47.806,48135.440,1020.672,20.673,1.23,1.23,1.56,78.69,5.500,7.76,5.515,5.516,
2020/11/12,08:26:59,-0.3605,24.749,31.291,47.791,48056.072,1020.614,20.616,1.23,1.23,1.59,78.93,5.513,7.76,5.528,5.528,
2020/11/12,08:26:59,-0.3605,24.785,31.287,47.820,48047.022,1020.600,20.602,1.24,1.24,1.58,79.01,5.516,7.77,5.531,5.532,
2020/11/12,08:26:59,-0.3605,24.803,31.281,47.830,48037.358,1020.591,20.592,1.23,1.23,1.66,79.11,5.522,7.78,5.537,5.537,
2020/11/12,08:26:59,-0.3605,24.815,31.285,47.845,48040.710,1020.590,20.592,1.22,1.22,1.69,79.09,5.518,7.80,5.533,5.533,
2020/11/12,08:26:59,-0.3409,24.833,31.259,47.827,48004.037,1020.566,20.567,1.20,1.20,1.76,79.11,5.519,7.79,5.534,5.535,
2020/11/12,08:26:59,-0.3605,24.847,31.238,47.811,47972.621,1020.545,20.547,1.14,1.14,1.79,79.09,5.517,7.80,5.532,5.532,
2020/11/12,08:27:00,-0.3409,24.856,31.227,47.806,47957.345,1020.534,20.536,1.19,1.19,1.86,79.08,5.511,7.81,5.526,5.527,
2020/11/12,08:27:00,-0.3409,24.861,31.223,47.804,47950.328,1020.529,20.531,1.25,1.25,1.83,79.10,5.510,7.82,5.525,5.526,
2020/11/12,08:27:00,-0.3605,24.863,31.217,47.798,47941.976,1020.524,20.526,1.27,1.27,1.93,79.12,5.512,7.81,5.527,5.528,
2020/11/12,08:27:00,-0.3409,24.865,31.212,47.793,47935.125,1020.520,20.522,1.22,1.22,1.91,79.19,5.517,7.83,5.533,5.533,
2020/11/12,08:27:00,-0.3213,24.864,31.215,47.796,47940.142,1020.523,20.525,1.26,1.26,1.83,79.17,5.516,7.83,5.531,5.531,
2020/11/12,08:27:00,-0.3409,24.857,31.226,47.804,47955.243,1020.533,20.535,1.22,1.22,1.81,79.08,5.508,7.84,5.523,5.524,
