"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2020/11/12","08:26:59",-0.3605,NA,NA,47.817,NA,NA,NA,1.32,1.32,2.13,78.57,5.499,NA,5.514,5.514
"2","2020/11/12","08:26:59",-0.3605,NA,NA,47.817,NA,NA,NA,1.27,1.27,1.61,78.66,5.502,NA,5.517,5.518
"3","2020/11/12","08:26:59",-0.3605,NA,31.343,47.806,NA,NA,NA,1.23,1.23,1.56,78.69,5.5,NA,5.515,5.516
"4","2020/11/12","08:26:59",-0.3605,24.749,31.291,47.791,48056.072,1020.614,20.616,1.23,1.23,1.59,78.93,5.513,NA,5.528,5.528
"5","2020/11/12","08:26:59",-0.3605,24.785,31.287,47.82,48047.022,1020.6,20.602,1.24,1.24,1.58,79.01,5.516,NA,5.531,5.532
"6","2020/11/12","08:26:59",-0.3605,24.803,31.281,47.83,48037.358,1020.591,20.592,1.23,1.23,1.66,79.11,5.522,NA,5.537,5.537
"7","2020/11/12","08:26:59",-0.3605,24.815,31.285,47.845,48040.71,1020.59,20.592,1.22,1.22,1.69,79.09,5.518,NA,5.533,5.533
"8","2020/11/12","08:26:59",-0.3409,24.833,31.259,47.827,48004.037,1020.566,20.567,1.2,1.2,1.76,79.11,5.519,NA,5.534,5.535
"9","2020/11/12","08:26:59",-0.3605,24.847,31.238,47.811,47972.621,1020.545,20.547,1.14,1.14,1.79,79.09,5.517,NA,5.532,5.532
"10","2020/11/12","08:27:00",-0.3409,24.856,31.227,47.806,47957.345,1020.534,20.536,1.19,1.19,1.86,79.08,5.511,7.81,5.526,5.527
"11","2020/11/12","08:27:00",-0.3409,24.861,31.223,47.804,47950.328,1020.529,20.531,1.25,1.25,1.83,79.1,5.51,7.82,5.525,5.526
"12","2020/11/12","08:27:00",-0.3605,24.863,31.217,47.798,47941.976,1020.524,20.526,1.27,1.27,1.93,79.12,5.512,7.81,5.527,5.528
"13","2020/11/12","08:27:00",-0.3409,24.865,31.212,47.793,47935.125,1020.52,20.522,1.22,1.22,1.91,79.19,5.517,7.83,5.533,5.533
"14","2020/11/12","08:27:00",-0.3213,24.864,31.215,47.796,47940.142,1020.523,20.525,1.26,1.26,1.83,79.17,5.516,7.83,5.531,5.531
"15","2020/11/12","08:27:00",-0.3409,24.857,31.226,47.804,47955.243,1020.533,20.535,1.22,1.22,1.81,79.08,5.508,7.84,5.523,5.524
"16","2020/11/12","08:27:00",-0.3409,24.848,31.23,47.802,47962.073,1020.539,20.54,1.22,1.22,1.73,79.12,5.51,7.83,5.525,5.526
"17","2020/11/12","08:27:00",-0.3605,24.842,31.231,47.798,47964.649,1020.542,20.543,1.26,1.26,1.75,79.12,5.51,7.83,5.525,5.526
"18","2020/11/12","08:27:00",-0.3409,24.839,31.231,47.793,47963.747,1020.542,20.544,1.26,1.26,1.79,79.07,5.507,7.85,5.522,5.523
"19","2020/11/12","08:27:00",-0.3409,24.835,31.23,47.79,47963.352,1020.543,20.544,1.3,1.3,1.82,79.06,5.506,7.84,5.521,5.522
"20","2020/11/12","08:27:01",-0.3605,24.835,31.227,47.785,47958.955,1020.54,20.542,1.27,1.27,1.81,79.07,5.506,7.85,5.521,5.522
"21","2020/11/12","08:27:01",-0.3605,24.832,31.226,47.782,47958.463,1020.541,20.542,1.28,1.28,1.73,79.05,5.504,7.85,5.519,5.52
"22","2020/11/12","08:27:01",-0.3605,24.827,31.227,47.777,47960.144,1020.543,20.544,1.31,1.31,1.73,78.98,5.499,7.84,5.514,5.514
"23","2020/11/12","08:27:01",-0.3409,24.821,31.227,47.772,47961.492,1020.545,20.547,1.33,1.33,1.73,78.9,5.492,7.87,5.507,5.508
"24","2020/11/12","08:27:01",-0.3605,24.822,31.222,47.766,47953.938,1020.541,20.542,1.29,1.29,1.73,78.9,5.491,7.87,5.506,5.507
"25","2020/11/12","08:27:01",-0.3409,24.827,31.22,47.767,47949.908,1020.537,20.539,1.26,1.26,1.72,78.96,5.494,7.88,5.509,5.51
"26","2020/11/12","08:27:01",-0.3605,24.834,31.217,47.771,47945.697,1020.533,20.535,1.21,1.21,1.71,78.93,5.493,7.88,5.508,5.508
"27","2020/11/12","08:27:01",-0.3605,24.838,31.217,47.774,47944.951,1020.532,20.533,1.16,1.16,1.72,78.93,5.493,7.88,5.508,5.508
"28","2020/11/12","08:27:01",-0.3605,24.839,31.218,47.777,47946.41,1020.532,20.534,1.16,1.16,1.69,78.9,5.49,7.86,5.505,5.506
"29","2020/11/12","08:27:01",-0.3605,24.838,31.22,47.778,47948.747,1020.534,20.535,1.15,1.15,1.62,78.9,5.489,7.87,5.504,5.505
"30","2020/11/12","08:27:02",-0.3605,24.825,31.229,47.779,47963.674,1020.545,20.547,1.13,1.13,1.55,78.95,5.492,7.88,5.507,5.508
"31","2020/11/12","08:27:02",-0.3605,24.794,31.247,47.774,47991.036,1020.567,20.569,1.15,1.15,1.52,78.97,5.494,7.87,5.509,5.509
"32","2020/11/12","08:27:02",-0.3605,24.783,31.249,47.766,47994.719,1020.572,20.574,1.15,1.15,1.55,78.96,5.493,7.87,5.508,5.508
"33","2020/11/12","08:27:02",-0.3605,24.775,31.255,47.767,48004.868,1020.58,20.581,1.17,1.17,1.62,78.95,5.491,7.87,5.507,5.507
"34","2020/11/12","08:27:02",-0.3409,24.764,31.262,47.765,48014.601,1020.588,20.589,1.19,1.19,1.69,78.91,5.488,7.88,5.503,5.503
"35","2020/11/12","08:27:02",-0.3605,24.753,31.27,47.767,48027.8,1020.598,20.599,1.17,1.17,1.69,78.97,5.491,7.87,5.506,5.506
"36","2020/11/12","08:27:02",-0.3605,24.743,31.275,47.764,48035.959,1020.604,20.606,1.16,1.16,1.81,78.92,5.486,7.87,5.501,5.501
"37","2020/11/12","08:27:02",-0.3409,24.743,31.275,47.764,48035.936,1020.604,20.606,1.14,1.14,1.71,78.92,5.484,7.88,5.499,5.499
"38","2020/11/12","08:27:02",-0.3605,24.748,31.272,47.764,48030.827,1020.6,20.602,1.15,1.15,1.58,78.95,5.484,7.88,5.499,5.5
"39","2020/11/12","08:27:02",-0.3409,24.753,31.272,47.768,48029.477,1020.598,20.6,1.13,1.13,1.52,78.88,5.479,7.89,5.494,5.495
"40","2020/11/12","08:27:03",-0.3409,24.76,31.266,47.767,48020.903,1020.592,20.594,1.13,1.13,1.52,78.92,5.483,7.89,5.498,5.498
"41","2020/11/12","08:27:03",-0.3409,24.77,31.258,47.767,48009.712,1020.584,20.585,1.11,1.11,1.56,78.91,5.482,7.88,5.497,5.498
"42","2020/11/12","08:27:03",-0.3605,24.779,31.252,47.767,48000.431,1020.576,20.578,1.12,1.12,1.56,78.91,5.482,7.91,5.497,5.498
"43","2020/11/12","08:27:03",-0.3605,24.781,31.253,47.77,48000.797,1020.576,20.578,1.12,1.12,1.58,78.94,5.483,7.9,5.498,5.499
"44","2020/11/12","08:27:03",-0.3409,24.781,31.265,47.786,48017.974,1020.586,20.587,1.15,1.15,1.51,78.96,5.483,7.9,5.498,5.498
"45","2020/11/12","08:27:03",-0.3605,24.776,31.28,47.801,48037.922,1020.598,20.599,1.18,1.18,1.38,78.94,5.48,7.89,5.495,5.496
"46","2020/11/12","08:27:03",-0.3605,24.775,31.272,47.79,48028.376,1020.593,20.594,1.18,1.18,1.46,78.91,5.476,7.9,5.491,5.492
"47","2020/11/12","08:27:03",-0.3605,24.793,31.263,47.795,48013.797,1020.58,20.582,1.19,1.19,1.73,78.87,5.474,7.9,5.489,5.489
"48","2020/11/12","08:27:03",-0.3605,24.802,31.254,47.791,48000.449,1020.571,20.572,1.17,1.17,1.64,78.87,5.473,7.9,5.489,5.489
"49","2020/11/12","08:27:03",-0.3213,24.816,31.242,47.788,47981.798,1020.557,20.559,1.16,1.16,1.66,78.82,5.471,7.89,5.486,5.487
"50","2020/11/12","08:27:04",-0.3409,24.829,31.239,47.796,47975.859,1020.551,20.552,1.14,1.14,1.86,78.85,5.472,7.9,5.487,5.488
"51","2020/11/12","08:27:04",-0.3605,24.811,31.253,47.798,47997.339,1020.567,20.569,1.12,1.12,1.83,78.91,5.474,7.89,5.489,5.489
"52","2020/11/12","08:27:04",-0.3409,24.798,31.273,47.813,48026.04,1020.586,20.587,1.13,1.13,1.76,78.99,5.478,7.88,5.493,5.494
"53","2020/11/12","08:27:04",-0.3605,24.791,31.277,47.812,48032.77,1020.591,20.593,1.11,1.11,1.71,79,5.478,7.89,5.493,5.494
"54","2020/11/12","08:27:04",-0.3409,24.777,31.286,47.811,48046.163,1020.602,20.603,1.11,1.11,1.82,79,5.477,7.9,5.492,5.493
"55","2020/11/12","08:27:04",-0.3409,24.769,31.29,47.808,48052.954,1020.608,20.609,1.09,1.09,2.02,78.96,5.475,7.9,5.49,5.49
"56","2020/11/12","08:27:04",-0.3409,24.772,31.285,47.804,48045.713,1020.603,20.605,1.08,1.08,1.95,78.92,5.471,7.9,5.487,5.487
"57","2020/11/12","08:27:04",-0.3409,24.779,31.279,47.802,48036.397,1020.596,20.598,1.08,1.08,2.19,78.91,5.471,7.92,5.486,5.487
"58","2020/11/12","08:27:04",-0.3213,24.782,31.289,47.819,48049.863,1020.603,20.604,1.11,1.11,1.96,78.92,5.47,7.91,5.485,5.486
"59","2020/11/12","08:27:04",-0.3409,24.779,31.281,47.806,48039.686,1020.598,20.599,1.14,1.14,NA,78.94,5.472,7.88,5.487,5.488
"60","2020/11/12","08:27:05",-0.3409,24.775,31.287,47.811,48048.289,1020.604,20.605,1.11,1.11,NA,78.99,5.476,7.9,5.491,5.492
"61","2020/11/12","08:27:05",-0.3409,24.781,31.288,47.817,48048.682,1020.602,20.604,1.12,1.12,NA,79.02,5.477,7.91,5.493,5.493
"62","2020/11/12","08:27:05",-0.3409,24.785,31.285,47.816,48044.21,1020.599,20.601,1.13,1.13,NA,78.97,5.474,7.91,5.489,5.49
"63","2020/11/12","08:27:05",-0.3213,24.785,31.288,47.822,48049.173,1020.602,20.603,1.11,1.11,2.02,79.01,5.477,7.92,5.492,5.493
"64","2020/11/12","08:27:05",-0.3409,24.787,31.285,47.819,48043.836,1020.598,20.6,1.1,1.1,1.89,78.96,5.474,7.9,5.489,5.49
"65","2020/11/12","08:27:05",-0.3409,24.793,31.28,47.817,48036.037,1020.593,20.594,1.09,1.09,1.83,78.95,5.473,7.9,5.488,5.489
"66","2020/11/12","08:27:05",-0.3605,24.794,31.281,47.82,48037.896,1020.593,20.595,1.1,1.1,1.83,78.94,5.472,7.9,5.487,5.488
"67","2020/11/12","08:27:05",-0.3605,24.792,31.278,47.815,48034.584,1020.592,20.593,1.11,1.11,1.72,78.84,5.464,7.91,5.479,5.48
"68","2020/11/12","08:27:05",-0.3605,24.796,31.272,47.81,48025.928,1020.586,20.588,1.11,1.11,1.68,78.83,5.463,7.9,5.478,5.479
"69","2020/11/12","08:27:05",-0.3409,24.8,31.266,47.806,48016.94,1020.58,20.582,1.08,1.08,1.65,78.82,5.462,7.92,5.477,5.478
