//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=70        
StartTime=2020/11/12 07:58:17
EndTime=2020/11/12 07:58:23
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2020/11/12,07:58:17,-0.2820,24.218,34.096,51.053,51947.227,1022.892,22.893,0.28,0.28,0.58,94.21,6.488,7.71,6.506,6.507,
2020/11/12,07:58:17,-0.3016,24.194,34.112,51.050,51971.568,1022.911,22.912,0.28,0.28,0.60,94.04,6.475,7.73,6.492,6.494,
2020/11/12,07:58:17,-0.3016,24.203,34.087,51.026,51937.188,1022.889,22.891,0.28,0.28,0.61,94.11,6.481,7.73,6.498,6.499,
2020/11/12,07:58:17,-0.3016,24.218,34.069,51.018,51910.774,1022.871,22.872,0.28,0.28,0.63,94.01,6.476,7.74,6.493,6.494,
2020/11/12,07:58:17,-0.3016,24.222,34.085,51.043,51931.921,1022.882,22.883,0.28,0.28,0.65,93.87,6.466,7.76,6.484,6.485,
2020/11/12,07:58:17,-0.3016,24.213,34.092,51.043,51941.822,1022.890,22.891,0.28,0.28,0.64,93.66,6.451,7.76,6.469,6.470,
2020/11/12,07:58:17,-0.3016,24.210,34.087,51.033,51935.457,1022.887,22.888,0.28,0.28,0.61,93.71,6.456,7.76,6.474,6.475,
2020/11/12,07:58:17,-0.2820,24.214,34.077,51.025,51921.907,1022.878,22.879,0.28,0.28,0.58,93.60,6.451,7.78,6.468,6.469,
2020/11/12,07:58:17,-0.3016,24.192,34.088,51.016,51938.960,1022.893,22.894,0.28,0.28,0.57,93.57,6.450,7.78,6.467,6.468,
2020/11/12,07:58:17,-0.3016,24.151,34.112,51.007,51977.308,1022.923,22.925,0.28,0.28,0.58,93.45,6.442,7.79,6.460,6.461,
2020/11/12,07:58:18,-0.3016,24.130,34.125,51.002,51996.900,1022.939,22.940,0.28,0.28,0.60,93.34,6.435,7.79,6.452,6.453,
2020/11/12,07:58:18,-0.3016,24.125,34.122,50.994,51994.360,1022.939,22.940,0.28,0.28,0.61,93.23,6.426,7.80,6.443,6.444,
2020/11/12,07:58:18,-0.3016,24.142,34.104,50.987,51967.968,1022.920,22.921,0.28,0.28,0.65,93.23,6.426,7.82,6.443,6.444,
2020/11/12,07:58:18,-0.3016,24.169,34.083,50.986,51935.500,1022.896,22.897,0.27,0.27,0.71,93.17,6.421,7.82,6.438,6.439,
2020/11/12,07:58:18,-0.3016,24.196,34.065,50.990,51907.753,1022.874,22.876,0.27,0.27,0.65,93.17,6.422,7.83,6.439,6.440,
2020/11/12,07:58:18,-0.3016,24.210,34.053,50.987,51889.172,1022.861,22.862,0.27,0.27,0.63,93.04,6.414,7.83,6.431,6.432,
2020/11/12,07:58:18,-0.3016,24.219,34.042,50.983,51874.108,1022.850,22.852,0.27,0.27,0.64,92.97,6.410,7.83,6.428,6.429,
2020/11/12,07:58:18,-0.3016,24.232,34.027,50.975,51851.717,1022.835,22.837,0.28,0.28,0.63,92.98,6.411,7.83,6.428,6.429,
2020/11/12,07:58:18,-0.3016,24.234,34.025,50.974,51847.844,1022.832,22.834,0.27,0.27,0.61,92.87,6.402,7.83,6.420,6.421,
2020/11/12,07:58:18,-0.3016,24.229,34.046,50.997,51877.710,1022.850,22.852,0.28,0.28,0.60,92.84,6.399,7.84,6.416,6.417,
2020/11/12,07:58:19,-0.3016,24.222,34.035,50.976,51863.653,1022.844,22.845,0.28,0.28,0.57,92.83,6.400,7.84,6.417,6.418,
2020/11/12,07:58:19,-0.3016,24.203,34.042,50.967,51876.201,1022.855,22.857,0.28,0.28,0.54,92.78,6.398,7.84,6.415,6.416,
2020/11/12,07:58:19,-0.3016,24.192,34.042,50.955,51877.362,1022.858,22.860,0.28,0.28,0.54,92.84,6.402,7.85,6.420,6.421,
2020/11/12,07:58:19,-0.3016,24.244,34.009,50.963,51825.444,1022.818,22.819,0.28,0.28,0.57,92.85,6.403,7.83,6.420,6.421,
2020/11/12,07:58:19,-0.3016,24.304,33.968,50.970,51762.811,1022.769,22.771,0.28,0.28,0.84,92.76,6.396,7.85,6.413,6.414,
2020/11/12,07:58:19,-0.3016,24.328,33.943,50.961,51725.417,1022.743,22.744,0.28,0.28,1.09,92.76,6.396,7.87,6.413,6.414,
2020/11/12,07:58:19,-0.3016,24.334,33.938,50.960,51717.888,1022.738,22.739,0.29,0.29,1.07,92.70,6.390,7.87,6.407,6.408,
2020/11/12,07:58:19,-0.3016,24.344,33.928,50.957,51702.660,1022.727,22.728,0.28,0.28,0.97,92.67,6.386,7.86,6.403,6.404,
2020/11/12,07:58:19,-0.3016,24.333,33.934,50.953,51712.432,1022.735,22.736,0.28,0.28,0.70,92.60,6.381,7.87,6.399,6.400,
