//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=110       
StartTime=2020/11/12 10:59:53
EndTime=2020/11/12 11:00:03
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2020/11/12,10:59:53,-0.3802,24.667,23.520,36.918,37190.295,1014.785,14.787,0.61,0.61,2.82,96.45,6.999,7.72,7.019,7.019,
2020/11/12,10:59:53,-0.3998,24.670,23.522,36.922,37192.413,1014.786,14.788,0.60,0.60,2.80,96.50,7.004,7.72,7.023,7.023,
2020/11/12,10:59:53,-0.3998,24.674,23.522,36.926,37192.853,1014.785,14.787,0.61,0.61,2.95,96.53,7.005,7.73,7.024,7.024,
2020/11/12,10:59:53,-0.3998,24.670,23.523,36.925,37195.197,1014.787,14.789,0.62,0.62,2.73,96.41,6.994,7.75,7.013,7.013,
2020/11/12,10:59:53,-0.3998,24.666,23.526,36.925,37198.853,1014.790,14.792,0.60,0.60,2.69,96.53,7.001,7.76,7.021,7.021,
2020/11/12,10:59:53,-0.3998,24.670,23.517,36.916,37186.026,1014.782,14.784,0.59,0.59,2.75,96.60,7.008,7.76,7.028,7.028,
2020/11/12,10:59:53,-0.3998,24.665,23.515,36.909,37182.986,1014.782,14.784,0.60,0.60,2.67,96.66,7.013,7.76,7.032,7.032,
2020/11/12,10:59:53,-0.4194,24.659,23.519,36.910,37189.146,1014.787,14.788,0.58,0.58,2.66,96.64,7.012,7.77,7.031,7.031,
2020/11/12,10:59:53,-0.4194,24.656,23.516,36.904,37184.958,1014.785,14.787,0.57,0.57,2.76,96.58,7.007,7.77,7.027,7.027,
2020/11/12,10:59:53,-0.3998,24.651,23.513,36.896,37181.421,1014.785,14.786,0.58,0.58,2.80,96.63,7.011,7.79,7.030,7.030,
2020/11/12,10:59:54,-0.4194,24.647,23.512,36.892,37180.510,1014.785,14.787,0.58,0.58,2.76,96.58,7.009,7.79,7.028,7.028,
2020/11/12,10:59:54,-0.4194,24.649,23.510,36.891,37177.867,1014.783,14.785,0.58,0.58,2.63,96.50,7.007,7.80,7.026,7.026,
2020/11/12,10:59:54,-0.4194,24.647,23.508,36.886,37175.027,1014.782,14.784,0.56,0.56,2.70,96.54,7.014,7.81,7.033,7.033,
2020/11/12,10:59:54,-0.4194,24.648,23.506,36.885,37172.296,1014.780,14.782,0.56,0.56,2.75,96.56,7.017,7.82,7.037,7.037,
2020/11/12,10:59:54,-0.4194,24.650,23.504,36.883,37168.963,1014.778,14.780,0.57,0.57,2.62,96.61,7.024,7.83,7.043,7.043,
2020/11/12,10:59:54,-0.4194,24.652,23.501,36.881,37165.177,1014.776,14.778,0.56,0.56,2.57,96.55,7.020,7.83,7.040,7.040,
2020/11/12,10:59:54,-0.4194,24.651,23.499,36.877,37162.181,1014.774,14.776,0.57,0.57,2.70,96.52,7.020,7.82,7.040,7.040,
2020/11/12,10:59:54,-0.3998,24.650,23.500,36.877,37162.959,1014.775,14.777,0.57,0.57,2.85,96.37,7.009,7.83,7.028,7.028,
2020/11/12,10:59:54,-0.4194,24.638,23.506,36.877,37173.117,1014.783,14.785,0.56,0.56,2.87,96.40,7.010,7.83,7.029,7.029,
2020/11/12,10:59:54,-0.4194,24.627,23.509,36.873,37178.751,1014.789,14.791,0.55,0.55,2.89,96.36,7.005,7.85,7.025,7.025,
2020/11/12,10:59:55,-0.4194,24.626,23.508,36.871,37177.166,1014.788,14.790,0.56,0.56,2.95,96.35,7.005,7.86,7.025,7.025,
2020/11/12,10:59:55,-0.3998,24.616,23.511,36.868,37182.252,1014.793,14.795,0.57,0.57,2.96,96.28,6.998,7.84,7.017,7.017,
2020/11/12,10:59:55,-0.3998,24.614,23.512,36.868,37183.611,1014.795,14.796,0.58,0.58,2.92,96.33,6.999,7.84,7.018,7.018,
2020/11/12,10:59:55,-0.4194,24.626,23.507,36.869,37174.652,1014.787,14.789,0.56,0.56,2.82,96.34,6.998,7.85,7.017,7.017,
2020/11/12,10:59:55,-0.4194,24.643,23.496,36.866,37158.212,1014.774,14.776,0.54,0.54,2.65,96.33,6.997,7.84,7.016,7.016,
2020/11/12,10:59:55,-0.4194,24.660,23.490,36.870,37148.191,1014.765,14.767,0.54,0.54,2.55,96.32,6.995,7.86,7.015,7.015,
2020/11/12,10:59:55,-0.4194,24.669,23.487,36.872,37142.788,1014.760,14.762,0.56,0.56,2.57,96.28,6.992,7.86,7.011,7.011,
2020/11/12,10:59:55,-0.4194,24.670,23.487,36.873,37143.111,1014.760,14.762,0.55,0.55,2.82,96.36,6.998,7.85,7.017,7.017,
2020/11/12,10:59:55,-0.4194,24.669,23.488,36.875,37145.053,1014.761,14.763,0.54,0.54,2.76,96.31,6.995,7.87,7.014,7.014,
2020/11/12,10:59:55,-0.4194,24.667,23.488,36.873,37144.895,1014.761,14.763,0.54,0.54,2.62,96.33,6.997,7.83,7.017,7.017,
2020/11/12,10:59:56,-0.4194,24.664,23.487,36.869,37143.680,1014.761,14.763,0.54,0.54,2.69,96.35,6.999,7.88,7.019,7.019,
2020/11/12,10:59:56,-0.4194,24.660,23.487,36.866,37143.407,1014.762,14.764,0.54,0.54,2.80,96.31,6.996,7.87,7.016,7.016,
2020/11/12,10:59:56,-0.4194,24.658,23.488,36.866,37145.756,1014.764,14.766,0.54,0.54,2.62,96.33,6.998,7.87,7.018,7.018,
2020/11/12,10:59:56,-0.4194,24.653,23.490,36.866,37149.342,1014.767,14.769,0.54,0.54,2.52,96.31,6.996,7.87,7.016,7.016,
2020/11/12,10:59:56,-0.4194,24.641,23.497,36.867,37160.026,1014.776,14.777,0.54,0.54,2.46,96.31,6.997,7.87,7.016,7.016,
2020/11/12,10:59:56,-0.4194,24.638,23.498,36.866,37162.079,1014.778,14.779,0.54,0.54,2.40,96.22,6.990,7.86,7.010,7.010,
2020/11/12,10:59:56,-0.4194,24.641,23.498,36.867,37160.571,1014.776,14.778,0.53,0.53,2.39,96.35,7.000,7.88,7.019,7.019,
2020/11/12,10:59:56,-0.4390,24.638,23.502,36.872,37167.622,1014.780,14.782,0.52,0.52,2.43,96.26,6.992,7.86,7.011,7.011,
2020/11/12,10:59:56,-0.4194,24.630,23.508,36.873,37175.977,1014.787,14.789,0.51,0.51,2.48,96.33,6.996,7.88,7.015,7.015,
2020/11/12,10:59:56,-0.4194,24.622,23.511,36.871,37180.612,1014.791,14.793,0.51,0.51,2.48,96.36,6.997,7.89,7.016,7.016,
2020/11/12,10:59:57,-0.4194,24.612,23.517,36.873,37190.731,1014.799,14.801,0.51,0.51,2.43,96.30,6.991,7.88,7.011,7.011,
