//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=150       
StartTime=2020/11/12 11:13:03
EndTime=2020/11/12 11:13:17
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2020/11/12,11:13:03,-0.4587,22.943,0.028,0.045,46.641,997.572,-2.426,0.05,0.05,0.47,95.48,7.988,7.71,8.008,8.008,
2020/11/12,11:13:03,-0.4783,22.952,0.028,0.045,46.627,997.570,-2.428,0.05,0.05,0.68,95.42,7.985,7.74,8.005,8.005,
2020/11/12,11:13:03,-0.4783,22.959,0.028,0.044,46.223,997.569,-2.429,0.55,0.55,4.20,95.49,7.993,7.74,8.013,8.013,
2020/11/12,11:13:03,-0.4783,22.964,0.028,0.044,46.532,997.567,-2.430,1.18,1.18,5.75,95.46,7.990,7.74,8.010,8.011,
2020/11/12,11:13:03,-0.4783,22.960,0.028,0.045,46.657,997.568,-2.429,1.88,1.88,13.13,95.36,7.981,7.75,8.001,8.001,
2020/11/12,11:13:03,-0.4979,22.927,0.028,0.044,46.454,997.576,-2.422,1.55,1.55,12.48,95.27,7.972,7.76,7.991,7.992,
2020/11/12,11:13:03,-0.4783,22.890,0.028,0.045,46.893,997.585,-2.413,1.03,1.03,18.42,95.34,7.979,7.76,7.999,7.999,
2020/11/12,11:13:03,-0.4783,22.969,0.031,0.052,54.516,997.569,-2.429,0.81,0.81,163.90,95.58,7.995,7.79,8.015,8.015,
2020/11/12,11:13:03,-0.4390,23.605,23.665,36.340,37490.771,1015.194,15.196,0.42,0.42,35.89,95.77,6.980,7.79,6.999,6.999,
2020/11/12,11:13:03,-0.3998,24.055,35.342,52.538,53653.504,1023.882,23.884,0.36,0.36,9.14,95.80,6.522,7.79,6.540,6.541,
2020/11/12,11:13:04,-0.3998,24.316,34.344,51.484,52270.861,1023.050,23.051,0.39,0.39,3.44,95.80,6.553,7.79,6.571,6.572,
2020/11/12,11:13:04,-0.3802,24.466,34.236,51.492,52104.610,1022.923,22.924,0.34,0.34,2.06,95.87,6.557,7.80,6.574,6.575,
2020/11/12,11:13:04,-0.3998,24.549,34.174,51.494,52010.577,1022.851,22.853,0.32,0.32,1.68,95.84,6.554,7.80,6.572,6.573,
2020/11/12,11:13:04,-0.3802,24.585,34.144,51.490,51965.092,1022.818,22.819,0.32,0.32,1.52,95.86,6.553,7.82,6.571,6.572,
2020/11/12,11:13:04,-0.3802,24.600,34.133,51.493,51949.477,1022.805,22.807,0.32,0.32,1.45,95.82,6.550,7.83,6.568,6.569,
2020/11/12,11:13:04,-0.3998,24.603,34.136,51.499,51953.039,1022.807,22.808,0.35,0.35,1.42,95.84,6.549,7.82,6.567,6.568,
