//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=140       
StartTime=2020/11/12 10:48:27
EndTime=2020/11/12 10:48:40
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2020/11/12,10:48:27,-0.4390,22.078,0.028,0.046,48.705,997.774,-2.224,-0.72,-0.72,489.96,97.79,8.416,7.72,8.435,8.436,
2020/11/12,10:48:27,-0.4587,22.512,0.029,0.046,48.745,997.674,-2.324,-0.02,-0.02,116.86,99.04,8.456,7.74,8.476,8.477,
2020/11/12,10:48:27,-0.4587,23.278,0.029,0.048,49.710,997.494,-2.504,0.15,0.15,26.83,99.07,8.391,7.73,8.411,8.412,
2020/11/12,10:48:27,-0.3998,23.794,33.732,50.140,51507.065,1022.740,22.742,0.18,0.18,7.34,98.80,6.858,7.75,6.876,6.877,
2020/11/12,10:48:27,-0.4194,24.162,30.367,45.988,46851.013,1020.089,20.091,0.18,0.18,2.72,98.39,6.940,7.76,6.959,6.959,
2020/11/12,10:48:27,-0.4194,24.413,23.078,36.106,36578.712,1014.525,14.527,0.18,0.18,1.49,98.10,7.200,7.76,7.219,7.219,
2020/11/12,10:48:27,-0.3605,24.553,35.584,53.384,53914.251,1023.917,23.918,0.18,0.18,1.17,97.86,6.675,7.77,6.693,6.694,
2020/11/12,10:48:27,-0.3605,24.593,34.625,52.144,52614.931,1023.179,23.180,0.18,0.18,1.09,97.77,6.700,7.77,6.718,6.719,
2020/11/12,10:48:27,-0.3605,24.568,34.690,52.205,52706.850,1023.236,23.238,0.20,0.20,1.00,97.51,6.678,7.79,6.696,6.698,
2020/11/12,10:48:27,-0.3605,24.587,34.685,52.218,52697.572,1023.227,23.228,0.20,0.20,0.91,97.29,6.661,7.79,6.679,6.680,
2020/11/12,10:48:28,-0.3605,24.649,34.652,52.238,52644.738,1023.183,23.184,0.19,0.19,0.82,97.12,6.647,7.80,6.665,6.666,
2020/11/12,10:48:28,-0.3605,24.702,34.595,52.217,52560.716,1023.123,23.125,0.21,0.21,0.87,96.95,6.636,7.80,6.654,6.655,
2020/11/12,10:48:28,-0.3605,24.738,34.557,52.202,52504.781,1023.084,23.085,0.23,0.23,0.82,96.60,6.612,7.82,6.630,6.631,
2020/11/12,10:48:28,-0.3605,24.757,34.559,52.225,52505.675,1023.080,23.081,0.20,0.20,0.77,96.32,6.591,7.82,6.609,6.610,
2020/11/12,10:48:28,-0.3605,24.776,34.545,52.226,52485.027,1023.064,23.066,0.19,0.19,0.71,96.12,6.578,7.81,6.596,6.597,
2020/11/12,10:48:28,-0.3605,24.788,34.554,52.251,52495.648,1023.067,23.069,0.18,0.18,0.70,95.97,6.565,7.82,6.583,6.584,
2020/11/12,10:48:28,-0.3605,24.796,34.535,52.233,52468.148,1023.050,23.051,0.20,0.20,0.70,95.80,6.549,7.82,6.567,6.568,
2020/11/12,10:48:28,-0.3605,24.784,34.530,52.213,52462.633,1023.050,23.051,0.20,0.20,0.72,95.69,6.540,7.81,6.558,6.559,
2020/11/12,10:48:28,-0.3409,24.780,34.516,52.190,52444.230,1023.040,23.042,0.21,0.21,0.81,95.73,6.543,7.85,6.560,6.562,
