"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2020/11/12","10:48:27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020/11/12","10:48:27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020/11/12","10:48:27",NA,NA,NA,NA,NA,NA,NA,0.18,0.18,NA,NA,NA,NA,NA,NA
"4","2020/11/12","10:48:27",NA,NA,NA,NA,NA,NA,NA,0.18,0.18,NA,98.39,NA,NA,NA,NA
"5","2020/11/12","10:48:27",NA,NA,NA,NA,NA,NA,NA,0.18,0.18,NA,98.1,NA,NA,NA,NA
"6","2020/11/12","10:48:27",-0.3605,NA,NA,NA,NA,NA,NA,0.18,0.18,1.17,97.86,6.675,NA,6.693,6.694
"7","2020/11/12","10:48:27",-0.3605,NA,34.625,52.144,52614.931,1023.179,23.18,0.18,0.18,1.09,97.77,6.7,NA,6.718,6.719
"8","2020/11/12","10:48:27",-0.3605,NA,34.69,52.205,52706.85,1023.236,23.238,NA,NA,1,97.51,6.678,NA,6.696,6.698
"9","2020/11/12","10:48:27",-0.3605,NA,34.685,52.218,52697.572,1023.227,23.228,NA,NA,0.91,97.29,6.661,NA,6.679,6.68
"10","2020/11/12","10:48:28",-0.3605,24.649,34.652,52.238,52644.738,1023.183,23.184,0.19,0.19,0.82,97.12,6.647,NA,6.665,6.666
"11","2020/11/12","10:48:28",-0.3605,24.702,34.595,52.217,52560.716,1023.123,23.125,NA,NA,0.87,96.95,6.636,NA,6.654,6.655
"12","2020/11/12","10:48:28",-0.3605,24.738,34.557,52.202,52504.781,1023.084,23.085,NA,NA,0.82,96.6,6.612,NA,6.63,6.631
"13","2020/11/12","10:48:28",-0.3605,24.757,34.559,52.225,52505.675,1023.08,23.081,NA,NA,0.77,96.32,6.591,NA,6.609,6.61
"14","2020/11/12","10:48:28",-0.3605,24.776,34.545,52.226,52485.027,1023.064,23.066,0.19,0.19,0.71,96.12,6.578,NA,6.596,6.597
"15","2020/11/12","10:48:28",-0.3605,24.788,34.554,52.251,52495.648,1023.067,23.069,0.18,0.18,0.7,95.97,6.565,NA,6.583,6.584
"16","2020/11/12","10:48:28",-0.3605,24.796,34.535,52.233,52468.148,1023.05,23.051,NA,NA,0.7,95.8,6.549,NA,6.567,6.568
"17","2020/11/12","10:48:28",-0.3605,24.784,34.53,52.213,52462.633,1023.05,23.051,NA,NA,0.72,95.69,6.54,NA,6.558,6.559
"18","2020/11/12","10:48:28",-0.3409,24.78,34.516,52.19,52444.23,1023.04,23.042,NA,NA,0.81,95.73,6.543,7.85,6.56,6.562
"19","2020/11/12","10:48:28",-0.3605,24.784,34.49,52.16,52409.25,1023.02,23.021,NA,NA,0.84,95.59,6.535,7.84,6.552,6.553
"20","2020/11/12","10:48:29",-0.3605,24.789,34.472,52.141,52384.064,1023.004,23.006,NA,NA,0.87,95.38,6.521,7.86,6.539,6.54
"21","2020/11/12","10:48:29",-0.3409,24.789,34.465,52.131,52374.251,1022.999,23,NA,NA,0.85,95.22,6.511,7.84,6.528,6.53
"22","2020/11/12","10:48:29",-0.3605,24.786,34.472,52.138,52384.869,1023.006,23.007,0.19,0.19,0.9,95.03,6.497,7.85,6.515,6.516
"23","2020/11/12","10:48:29",-0.3409,24.779,34.483,52.146,52400.074,1023.016,23.017,0.19,0.19,0.94,94.99,6.495,7.86,6.512,6.513
"24","2020/11/12","10:48:29",-0.3409,24.77,34.486,52.14,52405.504,1023.021,23.022,0.18,0.18,0.91,94.8,6.483,7.85,6.5,6.501
"25","2020/11/12","10:48:29",-0.3605,24.773,34.481,52.136,52398.244,1023.016,23.018,0.19,0.19,0.88,94.77,6.481,7.86,6.499,6.5
"26","2020/11/12","10:48:29",-0.3605,24.763,34.484,52.131,52404.081,1023.022,23.023,0.19,0.19,0.87,94.62,6.472,7.86,6.489,6.49
"27","2020/11/12","10:48:29",-0.3409,24.753,34.491,52.129,52414.302,1023.03,23.031,0.18,0.18,0.97,94.42,6.456,7.88,6.474,6.475
"28","2020/11/12","10:48:29",-0.3409,24.72,34.555,52.182,52505.099,1023.088,23.09,0.19,0.19,0.91,94.42,6.452,7.84,6.469,6.47
"29","2020/11/12","10:48:29",-0.3605,24.685,34.597,52.202,52566.26,1023.13,23.132,0.18,0.18,0.87,94.21,6.434,7.87,6.451,6.452
"30","2020/11/12","10:48:30",-0.3605,24.683,34.613,52.222,52588.223,1023.143,23.145,0.18,0.18,0.84,94.18,6.429,7.86,6.447,6.448
"31","2020/11/12","10:48:30",-0.3409,24.673,34.632,52.236,52615.263,1023.161,23.162,0.18,0.18,0.85,94.15,6.421,7.87,6.439,6.44
"32","2020/11/12","10:48:30",-0.3409,24.661,34.627,52.218,52609.592,1023.16,23.162,0.18,0.18,0.84,94.02,6.409,7.88,6.426,6.428
"33","2020/11/12","10:48:30",-0.3409,24.649,34.628,52.207,52613.067,1023.165,23.167,0.17,0.17,0.87,93.95,6.403,7.87,6.42,6.421
"34","2020/11/12","10:48:30",-0.3409,24.645,34.643,52.222,52633.017,1023.177,23.179,0.18,0.18,0.82,93.99,6.404,7.87,6.421,6.422
"35","2020/11/12","10:48:30",-0.3409,24.644,34.641,52.218,52630.865,1023.176,23.178,0.18,0.18,0.78,93.93,6.399,7.88,6.416,6.417
"36","2020/11/12","10:48:30",-0.3409,24.643,34.642,52.219,52631.883,1023.177,23.178,0.18,0.18,0.8,93.84,6.391,7.88,6.409,6.41
"37","2020/11/12","10:48:30",-0.3409,24.647,34.634,52.213,52621.314,1023.17,23.172,0.18,0.18,0.85,93.75,6.384,7.88,6.402,6.403
"38","2020/11/12","10:48:30",-0.3409,24.647,34.644,52.226,52634.739,1023.178,23.179,0.18,0.18,0.81,93.7,6.38,7.88,6.397,6.398
"39","2020/11/12","10:48:30",-0.3409,24.65,34.641,52.225,52629.833,1023.174,23.176,0.18,0.18,0.84,93.5,6.366,7.88,6.383,6.384
"40","2020/11/12","10:48:31",-0.3409,24.649,34.644,52.228,52634.477,1023.177,23.178,0.18,0.18,0.84,93.38,6.358,7.89,6.375,6.376
"41","2020/11/12","10:48:31",-0.3605,24.644,34.645,52.224,52636.515,1023.179,23.181,0.18,0.18,0.88,93.24,6.349,7.89,6.366,6.367
"42","2020/11/12","10:48:31",-0.3409,24.645,34.633,52.208,52619.207,1023.169,23.171,0.18,0.18,0.88,93.22,6.349,7.89,6.366,6.367
"43","2020/11/12","10:48:31",-0.3409,24.654,34.624,52.205,52605.809,1023.16,23.161,0.17,0.17,1.01,93.17,6.347,7.88,6.364,6.365
"44","2020/11/12","10:48:31",-0.3409,24.673,34.608,52.204,52583.141,1023.143,23.144,0.17,0.17,1,93.09,6.343,7.9,6.36,6.361
"45","2020/11/12","10:48:31",-0.3409,24.697,34.587,52.201,52551.574,1023.12,23.121,0.18,0.18,0.94,93,6.338,7.88,6.355,6.356
"46","2020/11/12","10:48:31",NA,24.713,34.569,52.193,52524.772,1023.101,23.102,NA,NA,0.95,92.95,6.336,7.91,6.353,6.354
"47","2020/11/12","10:48:31",-0.3409,24.714,34.568,52.193,52523.132,1023.1,23.101,0.18,0.18,0.98,92.81,6.327,7.88,6.344,6.346
"48","2020/11/12","10:48:31",NA,24.71,34.573,52.195,52530.072,1023.105,23.106,0.18,0.18,1.01,92.72,6.321,7.92,6.339,6.34
"49","2020/11/12","10:48:31",-0.3409,24.701,34.578,52.193,52539.026,1023.112,23.113,0.18,0.18,0.98,92.63,6.315,7.92,6.333,6.334
"50","2020/11/12","10:48:32",-0.3409,24.685,34.587,52.189,52552.328,1023.123,23.124,0.18,0.18,0.98,92.51,6.305,7.89,6.322,6.323
"51","2020/11/12","10:48:32",-0.3409,24.673,34.587,52.177,52554.61,1023.127,23.128,0.18,0.18,0.95,92.5,6.3,7.9,6.317,6.318
"52","2020/11/12","10:48:32",-0.3409,24.672,34.582,52.168,52547.957,1023.123,23.125,NA,NA,1,92.41,6.293,7.89,6.31,6.311
"53","2020/11/12","10:48:32",NA,24.674,34.588,52.178,52554.852,1023.127,23.128,NA,NA,1,92.45,6.297,7.91,6.314,6.315
"54","2020/11/12","10:48:32",NA,24.693,34.575,52.181,52535.224,1023.111,23.113,NA,NA,1.08,92.44,6.297,7.88,6.314,6.315
"55","2020/11/12","10:48:32",-0.3409,24.717,34.557,52.181,52508.655,1023.091,23.092,0.19,0.19,1.07,92.41,6.296,7.91,6.313,6.314
"56","2020/11/12","10:48:32",-0.3409,24.728,34.546,52.178,52492.032,1023.079,23.081,0.19,0.19,1.07,92.53,6.306,7.89,6.323,6.324
