//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=120       
StartTime=2020/11/26 09:44:10
EndTime=2020/11/26 09:44:21
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2020/11/26,09:44:10,-0.3016,23.084,34.649,50.624,52851.423,1023.642,23.643,0.21,0.21,1.24,96.35,6.739,7.65,6.757,6.758,
2020/11/26,09:44:10,-0.3213,23.080,34.649,50.620,52852.393,1023.643,23.645,0.21,0.21,1.15,96.10,6.722,7.64,6.740,6.741,
2020/11/26,09:44:10,-0.3213,23.081,34.650,50.622,52853.302,1023.644,23.645,0.22,0.22,1.08,95.86,6.706,7.65,6.724,6.725,
2020/11/26,09:44:10,-0.3016,23.083,34.650,50.623,52852.656,1023.643,23.644,0.21,0.21,1.08,95.69,6.694,7.68,6.711,6.713,
2020/11/26,09:44:10,-0.3016,23.084,34.648,50.622,52849.673,1023.641,23.642,0.21,0.21,1.14,95.67,6.693,7.67,6.710,6.712,
2020/11/26,09:44:10,-0.3016,23.085,34.646,50.621,52847.285,1023.639,23.641,0.20,0.20,1.19,95.68,6.694,7.70,6.712,6.713,
2020/11/26,09:44:10,-0.3016,23.086,34.645,50.621,52846.203,1023.639,23.640,0.20,0.20,1.17,95.46,6.679,7.69,6.696,6.697,
2020/11/26,09:44:10,-0.3016,23.086,34.646,50.622,52847.313,1023.639,23.641,0.20,0.20,1.18,95.35,6.672,7.69,6.689,6.690,
2020/11/26,09:44:10,-0.3016,23.087,34.644,50.620,52844.265,1023.637,23.639,0.20,0.20,1.24,95.28,6.667,7.70,6.684,6.685,
2020/11/26,09:44:10,-0.3016,23.087,34.643,50.619,52842.804,1023.637,23.638,0.21,0.21,1.22,95.19,6.661,7.71,6.678,6.679,
2020/11/26,09:44:11,-0.3016,23.088,34.644,50.621,52843.705,1023.637,23.638,0.22,0.22,1.27,95.10,6.654,7.72,6.672,6.673,
2020/11/26,09:44:11,-0.3016,23.088,34.643,50.619,52841.946,1023.636,23.637,0.21,0.21,1.24,95.00,6.647,7.70,6.664,6.665,
2020/11/26,09:44:11,-0.2820,23.088,34.642,50.618,52841.160,1023.636,23.637,0.21,0.21,1.19,94.91,6.641,7.73,6.658,6.659,
2020/11/26,09:44:11,-0.3016,23.088,34.642,50.618,52840.702,1023.635,23.637,0.21,0.21,1.27,94.82,6.635,7.73,6.651,6.653,
2020/11/26,09:44:11,-0.3016,23.087,34.643,50.619,52842.456,1023.636,23.638,0.21,0.21,1.34,94.79,6.632,7.73,6.649,6.650,
2020/11/26,09:44:11,-0.3016,23.087,34.642,50.617,52840.698,1023.635,23.637,0.21,0.21,1.46,94.74,6.629,7.73,6.646,6.647,
