//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=120       
StartTime=2020/11/26 09:18:57
EndTime=2020/11/26 09:19:08
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2020/11/26,09:18:57,-0.2820,22.739,33.889,49.287,51866.699,1023.164,23.166,0.51,0.51,1.54,96.44,6.816,7.63,6.834,6.835,
2020/11/26,09:18:57,-0.3016,22.737,33.895,49.292,51875.237,1023.170,23.171,0.51,0.51,1.49,96.13,6.794,7.65,6.811,6.812,
2020/11/26,09:18:57,-0.3016,22.736,33.900,49.298,51882.112,1023.174,23.175,0.51,0.51,1.52,95.75,6.767,7.66,6.784,6.785,
2020/11/26,09:18:57,-0.3016,22.736,33.900,49.298,51882.464,1023.174,23.175,0.52,0.52,1.51,95.45,6.746,7.66,6.763,6.764,
2020/11/26,09:18:57,-0.3016,22.737,33.899,49.298,51880.550,1023.172,23.174,0.51,0.51,1.52,95.15,6.725,7.66,6.742,6.743,
2020/11/26,09:18:57,-0.3016,22.734,33.900,49.296,51882.513,1023.174,23.176,0.51,0.51,1.44,95.04,6.718,7.69,6.735,6.736,
2020/11/26,09:18:57,-0.3016,22.735,33.897,49.293,51877.950,1023.171,23.173,0.56,0.56,1.62,94.60,6.687,7.68,6.704,6.704,
2020/11/26,09:18:57,-0.3016,22.741,33.894,49.295,51872.909,1023.167,23.169,0.51,0.51,1.46,94.39,6.672,7.70,6.689,6.690,
2020/11/26,09:18:57,-0.3016,22.742,33.892,49.294,51870.976,1023.166,23.168,0.48,0.48,1.45,94.07,6.649,7.71,6.666,6.667,
2020/11/26,09:18:57,-0.3016,22.741,33.893,49.295,51872.380,1023.167,23.168,0.47,0.47,1.41,93.78,6.629,7.72,6.645,6.646,
2020/11/26,09:18:58,-0.3016,22.741,33.892,49.293,51870.698,1023.166,23.167,0.48,0.48,1.38,93.53,6.610,7.73,6.627,6.628,
2020/11/26,09:18:58,-0.2820,22.742,33.864,49.257,51832.337,1023.145,23.146,0.47,0.47,1.35,93.26,6.593,7.72,6.610,6.611,
2020/11/26,09:18:58,-0.3016,22.741,33.889,49.289,51865.816,1023.163,23.165,0.48,0.48,1.31,93.03,6.576,7.74,6.592,6.593,
2020/11/26,09:18:58,-0.3016,22.740,33.890,49.288,51867.685,1023.165,23.166,0.48,0.48,1.32,92.65,6.549,7.73,6.566,6.567,
2020/11/26,09:18:58,-0.3016,22.739,33.889,49.288,51867.349,1023.165,23.166,0.48,0.48,1.34,92.42,6.533,7.74,6.550,6.551,
2020/11/26,09:18:58,-0.3016,22.741,33.889,49.288,51865.981,1023.164,23.165,0.47,0.47,1.39,92.31,6.525,7.73,6.542,6.543,
