//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=170       
StartTime=2020/11/26 13:14:03
EndTime=2020/11/26 13:14:19
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2020/11/26,13:14:03,-0.4194,22.648,0.029,0.046,49.008,997.643,-2.355,0.10,0.10,0.44,95.71,8.024,7.63,8.044,8.044,
2020/11/26,13:14:03,-0.4390,22.679,0.029,0.046,48.710,997.635,-2.363,0.10,0.10,0.44,95.48,8.002,7.66,8.022,8.022,
2020/11/26,13:14:03,-0.4390,22.709,0.029,0.046,48.602,997.628,-2.370,0.09,0.09,0.43,95.47,7.999,7.66,8.019,8.019,
2020/11/26,13:14:03,-0.4390,22.735,0.029,0.046,48.752,997.622,-2.376,0.09,0.09,0.43,95.52,8.001,7.68,8.021,8.021,
2020/11/26,13:14:03,-0.4390,22.752,0.029,0.046,48.732,997.618,-2.380,0.09,0.09,0.43,95.60,8.007,7.67,8.027,8.028,
2020/11/26,13:14:03,-0.4390,22.783,0.029,0.046,48.405,997.611,-2.387,0.08,0.08,0.41,95.57,8.003,7.68,8.023,8.024,
2020/11/26,13:14:03,-0.4390,22.814,0.029,0.046,48.547,997.604,-2.394,0.08,0.08,0.41,95.65,8.009,7.69,8.029,8.030,
2020/11/26,13:14:03,-0.4390,22.835,0.029,0.047,49.014,997.599,-2.399,0.08,0.08,0.40,95.54,8.000,7.69,8.020,8.021,
2020/11/26,13:14:03,-0.4587,22.839,0.029,0.046,48.471,997.598,-2.400,0.08,0.08,0.40,95.53,8.003,7.69,8.023,8.023,
2020/11/26,13:14:03,-0.4390,22.821,0.029,0.046,48.754,997.602,-2.396,0.08,0.08,0.40,95.55,8.006,7.70,8.026,8.026,
2020/11/26,13:14:04,-0.4390,22.812,0.029,0.046,48.358,997.604,-2.394,0.08,0.08,0.40,95.56,8.004,7.71,8.024,8.025,
2020/11/26,13:14:04,-0.4390,22.807,0.029,0.046,48.654,997.605,-2.393,0.08,0.08,0.38,95.60,8.008,7.72,8.028,8.028,
2020/11/26,13:14:04,-0.4390,22.821,0.029,0.046,48.603,997.602,-2.396,0.07,0.07,0.38,95.59,8.008,7.72,8.028,8.029,
2020/11/26,13:14:04,-0.4390,22.827,0.029,0.046,48.507,997.601,-2.397,0.07,0.07,0.38,95.57,8.007,7.73,8.027,8.027,
2020/11/26,13:14:04,-0.4390,22.816,0.029,0.046,48.783,997.603,-2.395,0.07,0.07,0.37,95.58,8.007,7.73,8.027,8.027,
2020/11/26,13:14:04,-0.4390,22.801,0.029,0.046,48.820,997.607,-2.391,0.07,0.07,0.37,95.52,8.000,7.75,8.020,8.020,
