"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2020/11/26","13:14:03",NA,NA,NA,NA,NA,NA,NA,0.1,0.1,NA,95.48,NA,NA,NA,NA
"2","2020/11/26","13:14:03",NA,NA,NA,NA,NA,NA,NA,0.09,0.09,NA,95.47,NA,NA,NA,NA
"3","2020/11/26","13:14:03",NA,NA,NA,NA,NA,NA,NA,0.09,0.09,NA,95.52,NA,NA,NA,NA
"4","2020/11/26","13:14:03",NA,NA,NA,NA,NA,NA,NA,0.09,0.09,NA,95.6,NA,NA,NA,NA
"5","2020/11/26","13:14:03",NA,NA,NA,NA,NA,NA,NA,0.08,0.08,NA,95.57,NA,NA,NA,NA
"6","2020/11/26","13:14:03",NA,NA,NA,NA,NA,NA,NA,0.08,0.08,NA,95.65,NA,NA,NA,NA
"7","2020/11/26","13:14:03",NA,NA,NA,NA,NA,NA,NA,0.08,0.08,NA,95.54,NA,NA,NA,NA
"8","2020/11/26","13:14:03",NA,NA,NA,NA,NA,NA,NA,0.08,0.08,NA,95.53,NA,NA,NA,NA
"9","2020/11/26","13:14:03",NA,NA,NA,NA,NA,NA,NA,0.08,0.08,NA,95.55,NA,NA,NA,NA
"10","2020/11/26","13:14:04",NA,NA,NA,NA,NA,NA,NA,0.08,0.08,NA,95.56,NA,NA,NA,NA
"11","2020/11/26","13:14:04",NA,NA,NA,NA,NA,NA,NA,0.08,0.08,NA,95.6,NA,NA,NA,NA
"12","2020/11/26","13:14:04",NA,NA,NA,NA,NA,NA,NA,0.07,0.07,NA,95.59,NA,NA,NA,NA
"13","2020/11/26","13:14:04",NA,NA,NA,NA,NA,NA,NA,0.07,0.07,NA,95.57,NA,NA,NA,NA
"14","2020/11/26","13:14:04",NA,NA,NA,NA,NA,NA,NA,0.07,0.07,NA,95.58,NA,NA,NA,NA
"15","2020/11/26","13:14:04",NA,NA,NA,NA,NA,NA,NA,0.07,0.07,NA,95.52,NA,NA,NA,NA
"16","2020/11/26","13:14:04",NA,NA,NA,NA,NA,NA,NA,0.06,0.06,NA,95.65,NA,NA,NA,NA
"17","2020/11/26","13:14:04",NA,NA,NA,NA,NA,NA,NA,0.06,0.06,NA,95.59,NA,NA,NA,NA
"18","2020/11/26","13:14:04",NA,NA,NA,NA,NA,NA,NA,0.06,0.06,NA,95.59,NA,NA,NA,NA
"19","2020/11/26","13:14:04",NA,NA,NA,NA,NA,NA,NA,0.06,0.06,NA,95.49,NA,NA,NA,NA
"20","2020/11/26","13:14:05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.4,NA,NA,NA,NA
"21","2020/11/26","13:14:05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.33,NA,NA,NA,NA
"22","2020/11/26","13:14:05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.29,NA,7.77,NA,NA
"23","2020/11/26","13:14:05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.27,NA,7.78,NA,NA
