"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2020/11/26","08:18:59",-0.3213,24.175,28.634,43.64,44446.607,1018.778,18.78,NA,NA,1.11,NA,NA,NA,NA,NA
"2","2020/11/26","08:18:59",-0.3016,24.167,28.6,43.587,44400.581,1018.755,18.757,NA,NA,1.07,NA,NA,NA,NA,NA
"3","2020/11/26","08:18:59",-0.3016,24.169,28.596,43.583,44394.815,1018.752,18.753,NA,NA,1.05,NA,NA,NA,NA,NA
"4","2020/11/26","08:18:59",-0.3016,24.136,28.623,43.59,44435.121,1018.781,18.782,NA,NA,1.05,NA,NA,NA,NA,NA
"5","2020/11/26","08:18:59",-0.3016,24.169,28.595,43.582,44393.598,1018.751,18.752,NA,NA,1.05,NA,NA,NA,NA,NA
"6","2020/11/26","08:18:59",-0.3016,24.173,28.589,43.577,44384.686,1018.745,18.746,NA,NA,1.02,NA,NA,NA,NA,NA
"7","2020/11/26","08:18:59",-0.3016,24.192,28.575,43.574,44362.152,1018.729,18.73,0.61,0.61,1.01,NA,NA,NA,NA,NA
"8","2020/11/26","08:18:59",-0.3016,24.219,28.555,43.571,44332.28,1018.706,18.707,0.61,0.61,1.01,NA,NA,NA,NA,NA
"9","2020/11/26","08:18:59",-0.3016,24.216,28.586,43.61,44375.573,1018.73,18.732,0.59,0.59,1.04,NA,NA,NA,NA,NA
"10","2020/11/26","08:19:00",-0.3016,24.169,28.643,43.647,44459.797,1018.787,18.788,0.6,0.6,1.08,NA,NA,NA,NA,NA
"11","2020/11/26","08:19:00",-0.3016,24.192,NA,43.691,NA,1018.794,18.795,0.6,0.6,1.09,NA,NA,NA,NA,NA
"12","2020/11/26","08:19:00",-0.3016,24.212,28.641,43.682,44452.47,1018.773,18.774,0.59,0.59,1.09,83.87,NA,NA,NA,NA
"13","2020/11/26","08:19:00",-0.3016,24.221,NA,43.708,44469.769,1018.78,18.781,0.6,0.6,1.09,83.81,NA,NA,NA,NA
"14","2020/11/26","08:19:00",-0.3016,24.218,28.641,43.686,44451.445,1018.771,18.772,0.59,0.59,1.14,83.65,5.938,NA,5.954,5.955
"15","2020/11/26","08:19:00",-0.3016,24.21,NA,43.693,44465.357,1018.78,18.782,0.6,0.6,1.18,83.48,5.925,NA,5.941,5.941
"16","2020/11/26","08:19:00",-0.3016,24.197,NA,43.701,NA,1018.796,18.797,0.6,0.6,1.18,83.34,5.914,NA,5.93,5.93
"17","2020/11/26","08:19:00",-0.3016,24.135,NA,43.693,NA,NA,NA,0.58,0.58,1.21,83.28,5.909,NA,5.925,5.925
"18","2020/11/26","08:19:00",-0.3016,24.128,NA,43.682,NA,NA,NA,0.58,0.58,NA,83.19,5.903,NA,5.919,5.92
"19","2020/11/26","08:19:00",-0.3016,24.146,NA,43.684,NA,NA,NA,0.58,0.58,NA,83.17,5.901,NA,5.917,5.918
"20","2020/11/26","08:19:01",-0.3213,24.172,NA,43.687,NA,1018.806,18.808,0.56,0.56,1.15,83.13,5.899,NA,5.915,5.915
"21","2020/11/26","08:19:01",-0.3016,24.198,NA,43.678,44462.271,1018.781,18.783,0.58,0.58,1.11,83.12,5.899,NA,5.915,5.916
"22","2020/11/26","08:19:01",-0.3016,24.221,28.629,43.673,44434.803,1018.761,18.763,0.57,0.57,1.08,83.16,5.904,NA,5.92,5.92
"23","2020/11/26","08:19:01",-0.3016,24.228,28.627,43.676,44430.967,1018.758,18.759,0.57,0.57,1.09,83.19,5.906,NA,5.923,5.923
"24","2020/11/26","08:19:01",-0.3213,24.217,28.63,43.671,44436.075,1018.763,18.764,0.59,0.59,1.08,83.15,5.906,7.78,5.922,5.922
"25","2020/11/26","08:19:01",-0.3016,24.22,28.625,43.667,44429.736,1018.759,18.76,0.56,0.56,1.09,83.17,5.91,7.79,5.926,5.927
"26","2020/11/26","08:19:01",-0.3213,24.215,28.623,43.66,44426.735,1018.758,18.76,0.56,0.56,1.08,83.1,5.907,7.79,5.923,5.923
"27","2020/11/26","08:19:01",-0.3016,24.196,28.633,43.657,44443.486,1018.772,18.773,0.56,0.56,1.11,83.06,5.904,7.82,5.92,5.92
"28","2020/11/26","08:19:01",-0.3016,24.215,28.623,43.66,44427.348,1018.759,18.76,0.55,0.55,1.08,82.95,5.898,7.8,5.914,5.914
"29","2020/11/26","08:19:01",-0.3016,24.25,28.597,43.654,44386.668,1018.728,18.73,0.55,0.55,1.07,82.89,5.895,7.78,5.911,5.912
"30","2020/11/26","08:19:02",-0.3016,24.283,28.565,43.64,44339.596,1018.695,18.697,0.57,0.57,1.11,82.9,5.897,7.78,5.913,5.914
"31","2020/11/26","08:19:02",-0.3213,24.306,28.535,43.619,44295.173,1018.666,18.667,0.57,0.57,1.11,82.84,5.894,7.79,5.91,5.91
"32","2020/11/26","08:19:02",-0.3016,NA,28.509,43.596,44257.596,1018.642,18.643,0.57,0.57,1.09,82.83,5.893,7.8,5.909,5.909
"33","2020/11/26","08:19:02",-0.3213,24.315,28.509,43.59,44257.592,1018.643,18.645,0.55,0.55,1.07,82.81,5.89,7.79,5.906,5.907
"34","2020/11/26","08:19:02",-0.3213,24.301,28.522,43.597,44277.955,1018.658,18.659,NA,NA,1.14,82.68,5.88,7.79,5.896,5.897
"35","2020/11/26","08:19:02",-0.3016,24.289,28.526,43.591,44284.099,1018.664,18.665,NA,NA,1.07,82.61,5.875,7.79,5.891,5.892
"36","2020/11/26","08:19:02",-0.3016,24.285,28.525,43.586,44283.413,1018.664,18.666,0.56,0.56,1.04,82.53,5.87,7.8,5.886,5.886
"37","2020/11/26","08:19:02",-0.3213,24.281,28.524,43.581,44281.697,1018.664,18.666,0.54,0.54,1,82.72,5.888,7.8,5.904,5.905
"38","2020/11/26","08:19:02",-0.3213,24.275,28.522,43.574,44280.324,1018.665,18.666,0.53,0.53,0.95,82.7,5.888,7.8,5.904,5.905
"39","2020/11/26","08:19:02",-0.3016,24.254,28.536,43.575,44301.954,1018.682,18.683,0.52,0.52,0.95,82.6,5.877,7.8,5.893,5.894
"40","2020/11/26","08:19:03",-0.3213,24.237,28.552,43.582,44326.65,1018.699,18.7,0.52,0.52,0.94,82.57,5.871,7.81,5.887,5.888
"41","2020/11/26","08:19:03",-0.3016,24.227,28.551,43.572,44325.43,1018.701,18.702,0.53,0.53,0.94,82.5,5.864,7.82,5.88,5.88
"42","2020/11/26","08:19:03",-0.3213,24.207,28.567,43.577,44349.958,1018.718,18.72,0.52,0.52,1.01,82.43,5.856,7.81,5.872,5.872
"43","2020/11/26","08:19:03",-0.3016,24.22,28.575,43.598,44359.356,1018.721,18.722,0.51,0.51,NA,82.3,5.845,7.81,5.861,5.861
"44","2020/11/26","08:19:03",-0.3213,24.231,28.564,43.593,44343.517,1018.709,18.711,0.51,0.51,1.09,82.23,5.84,7.81,5.856,5.856
"45","2020/11/26","08:19:03",-0.3213,24.227,28.558,43.581,44334.758,1018.706,18.707,0.5,0.5,1.04,82.18,5.837,7.82,5.853,5.854
