//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=100       
StartTime=2020/11/26 07:53:16
EndTime=2020/11/26 07:53:25
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2020/11/26,07:53:16,-0.2231,24.020,33.858,50.536,51649.600,1022.770,22.771,0.33,0.33,0.88,98.36,6.815,7.64,6.833,6.834,
2020/11/26,07:53:16,-0.2624,24.016,33.841,50.508,51626.412,1022.758,22.759,0.33,0.33,0.94,98.39,6.818,7.65,6.837,6.838,
2020/11/26,07:53:16,-0.2428,24.016,33.821,50.483,51599.463,1022.743,22.744,0.33,0.33,0.97,98.38,6.819,7.65,6.837,6.838,
2020/11/26,07:53:16,-0.2624,24.014,33.817,50.476,51594.296,1022.741,22.742,0.33,0.33,0.94,98.22,6.807,7.68,6.825,6.826,
2020/11/26,07:53:16,-0.2624,24.012,33.823,50.481,51602.691,1022.746,22.747,0.36,0.36,0.91,98.10,6.797,7.67,6.815,6.816,
2020/11/26,07:53:16,-0.2624,24.012,33.834,50.495,51617.283,1022.754,22.755,0.34,0.34,1.08,97.89,6.781,7.68,6.799,6.800,
2020/11/26,07:53:16,-0.2624,24.002,33.832,50.482,51615.713,1022.755,22.757,0.34,0.34,1.01,97.82,6.777,7.69,6.795,6.796,
2020/11/26,07:53:16,-0.2624,23.996,33.829,50.473,51613.117,1022.755,22.756,0.33,0.33,0.97,97.83,6.778,7.69,6.796,6.797,
2020/11/26,07:53:16,-0.2820,23.968,33.853,50.477,51649.804,1022.782,22.783,0.32,0.32,1.02,97.65,6.764,7.69,6.782,6.783,
2020/11/26,07:53:16,-0.2624,23.987,33.835,50.472,51622.552,1022.763,22.764,0.32,0.32,0.91,97.51,6.753,7.70,6.771,6.772,
2020/11/26,07:53:17,-0.2624,23.985,33.830,50.463,51616.108,1022.759,22.761,0.34,0.34,0.85,97.51,6.755,7.72,6.773,6.774,
2020/11/26,07:53:17,-0.2624,23.995,33.834,50.478,51619.436,1022.759,22.760,0.34,0.34,0.85,97.47,6.752,7.72,6.770,6.771,
2020/11/26,07:53:17,-0.2820,24.017,33.809,50.467,51582.682,1022.733,22.735,0.35,0.35,0.94,97.29,6.742,7.73,6.760,6.761,
2020/11/26,07:53:17,-0.2820,24.021,33.806,50.467,51577.946,1022.730,22.731,0.34,0.34,1.18,97.09,6.728,7.74,6.746,6.747,
2020/11/26,07:53:17,-0.2624,24.034,33.812,50.489,51585.242,1022.731,22.732,0.34,0.34,0.91,96.99,6.722,7.74,6.739,6.740,
2020/11/26,07:53:17,-0.2624,24.039,33.832,50.521,51612.149,1022.745,22.746,0.33,0.33,0.85,96.80,6.707,7.73,6.725,6.726,
