//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=140       
StartTime=2020/11/26 11:17:42
EndTime=2020/11/26 11:17:55
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2020/11/26,11:17:42,-0.3605,24.016,35.692,52.959,54130.606,1024.159,24.160,0.20,0.20,140.94,97.55,6.601,7.64,6.618,6.620,
2020/11/26,11:17:42,-0.4194,24.384,27.838,42.728,43315.349,1018.118,18.119,0.58,0.58,34.36,98.05,6.933,7.65,6.952,6.952,
2020/11/26,11:17:42,-0.3605,24.608,34.801,52.395,52850.650,1023.307,23.309,0.64,0.64,10.72,98.19,6.667,7.66,6.685,6.686,
2020/11/26,11:17:42,-0.3605,24.744,34.695,52.395,52691.800,1023.187,23.189,0.64,0.64,5.11,98.16,6.664,7.67,6.682,6.684,
2020/11/26,11:17:42,-0.3802,24.824,34.643,52.407,52610.444,1023.123,23.125,0.66,0.66,3.42,98.03,6.656,7.67,6.674,6.675,
2020/11/26,11:17:42,-0.3605,24.870,34.619,52.422,52572.816,1023.091,23.093,0.64,0.64,3.06,98.13,6.662,7.69,6.680,6.681,
2020/11/26,11:17:42,-0.3802,24.893,34.609,52.433,52556.347,1023.076,23.078,0.64,0.64,2.67,98.02,6.652,7.69,6.671,6.672,
2020/11/26,11:17:42,-0.3802,24.901,34.608,52.440,52553.606,1023.073,23.075,0.66,0.66,2.70,98.00,6.650,7.69,6.668,6.669,
2020/11/26,11:17:42,-0.3802,24.895,34.617,52.446,52566.899,1023.082,23.083,0.66,0.66,2.69,98.02,6.649,7.71,6.667,6.668,
2020/11/26,11:17:42,-0.3605,24.904,34.620,52.459,52569.704,1023.081,23.083,0.64,0.64,3.02,98.01,6.645,7.72,6.663,6.665,
2020/11/26,11:17:43,-0.3605,24.909,34.617,52.460,52564.827,1023.078,23.079,0.60,0.60,2.73,97.94,6.638,7.72,6.656,6.657,
2020/11/26,11:17:43,-0.3802,24.910,34.621,52.468,52571.221,1023.081,23.082,0.57,0.57,2.59,97.87,6.631,7.73,6.649,6.651,
2020/11/26,11:17:43,-0.3802,24.915,34.613,52.461,52559.670,1023.073,23.075,0.58,0.58,2.48,97.78,6.624,7.73,6.642,6.643,
2020/11/26,11:17:43,-0.3802,24.922,34.609,52.463,52552.752,1023.068,23.069,0.57,0.57,2.46,97.82,6.625,7.75,6.643,6.645,
2020/11/26,11:17:43,-0.3802,24.937,34.602,52.468,52541.137,1023.058,23.059,0.55,0.55,2.43,97.72,6.617,7.72,6.635,6.636,
2020/11/26,11:17:43,-0.3802,24.942,34.599,52.470,52537.329,1023.054,23.056,0.55,0.55,2.35,97.74,6.617,7.76,6.636,6.637,
