"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2020/11/26","10:44:30",-0.3605,NA,NA,52.325,NA,NA,NA,0.33,0.33,0.88,NA,NA,NA,NA,NA
"2","2020/11/26","10:44:30",-0.3409,NA,NA,52.335,NA,NA,NA,0.31,0.31,0.88,NA,NA,NA,NA,NA
"3","2020/11/26","10:44:30",-0.3409,NA,NA,52.331,NA,NA,NA,0.31,0.31,0.87,NA,NA,NA,NA,NA
"4","2020/11/26","10:44:30",-0.3605,24.547,34.791,52.32,52846.166,1023.319,23.32,0.32,0.32,0.9,NA,NA,NA,NA,NA
"5","2020/11/26","10:44:30",-0.3605,24.551,34.772,52.298,52819.874,1023.303,23.305,0.29,0.29,0.85,NA,NA,NA,NA,NA
"6","2020/11/26","10:44:30",-0.3409,24.549,34.773,52.297,52821.268,1023.305,23.306,0.31,0.31,0.84,NA,6.663,NA,6.681,NA
"7","2020/11/26","10:44:30",-0.3605,24.546,34.78,52.303,52830.294,1023.31,23.312,0.31,0.31,0.85,97.52,6.647,NA,6.665,6.666
"8","2020/11/26","10:44:30",-0.3605,24.545,34.781,52.303,52831.795,1023.311,23.313,0.29,0.29,0.81,97.39,6.638,NA,6.656,6.657
"9","2020/11/26","10:44:30",-0.3605,24.549,34.777,52.302,52826.035,1023.307,23.309,0.31,0.31,0.81,97.31,6.632,7.73,6.65,6.651
"10","2020/11/26","10:44:31",-0.3605,24.557,34.784,52.319,52834.564,1023.31,23.312,0.31,0.31,0.82,97.19,6.623,NA,6.641,6.642
"11","2020/11/26","10:44:31",-0.3605,24.561,34.786,52.327,52836.736,1023.31,23.312,0.31,0.31,0.82,97.05,6.614,NA,6.632,6.633
"12","2020/11/26","10:44:31",-0.3605,24.561,34.78,52.319,52829.31,1023.306,23.308,0.31,0.31,0.8,96.94,6.606,7.74,6.624,6.626
"13","2020/11/26","10:44:31",-0.3605,24.562,34.783,52.323,52833.145,1023.308,23.31,0.31,0.31,0.78,96.83,6.599,7.73,6.617,6.618
"14","2020/11/26","10:44:31",-0.3802,24.567,34.784,52.331,52834.135,1023.307,23.309,0.3,0.3,0.81,96.66,6.588,7.73,6.606,6.607
"15","2020/11/26","10:44:31",-0.3409,24.568,34.78,52.326,52828.38,1023.304,23.306,0.3,0.3,0.81,96.54,6.581,7.73,6.598,6.6
"16","2020/11/26","10:44:31",-0.3605,24.566,34.785,52.331,52835.047,1023.308,23.31,0.3,0.3,0.81,96.48,6.576,7.77,6.594,6.595
"17","2020/11/26","10:44:31",-0.3409,24.564,34.789,52.333,52840.05,1023.312,23.313,0.3,0.3,0.8,96.39,6.57,7.76,6.588,6.589
"18","2020/11/26","10:44:31",-0.3605,24.562,34.787,52.329,52838.197,1023.311,23.313,0.3,0.3,0.87,96.26,6.561,7.74,6.579,6.58
"19","2020/11/26","10:44:31",-0.3605,24.559,34.794,52.335,52848.098,1023.317,23.319,0.29,0.29,0.92,96.13,6.552,7.76,6.569,6.57
"20","2020/11/26","10:44:32",-0.3605,24.558,34.8,NA,NA,1023.322,23.324,0.28,0.28,0.91,95.92,6.537,7.78,6.555,6.556
"21","2020/11/26","10:44:32",-0.3605,24.558,34.789,52.328,52842.104,1023.314,23.316,0.28,0.28,0.9,95.74,6.526,7.77,6.543,6.544
"22","2020/11/26","10:44:32",-0.3605,24.559,34.796,52.337,52850.487,1023.319,23.32,0.28,0.28,0.85,95.63,6.518,7.78,6.535,6.536
"23","2020/11/26","10:44:32",-0.3409,24.559,34.771,52.304,52816.511,1023.3,23.301,0.28,0.28,0.87,95.42,6.504,7.77,6.521,6.522
"24","2020/11/26","10:44:32",-0.3605,24.559,34.769,52.302,52813.677,1023.298,23.299,0.27,0.27,0.82,95.35,6.499,7.77,6.516,6.517
"25","2020/11/26","10:44:32",-0.3409,24.56,34.763,52.296,52806.506,1023.294,23.295,0.27,0.27,0.82,95.2,6.488,7.77,6.506,6.507
"26","2020/11/26","10:44:32",-0.3605,24.558,34.76,52.289,52802.769,1023.292,23.294,0.27,0.27,0.88,95,6.475,7.77,6.493,6.494
"27","2020/11/26","10:44:32",-0.3409,24.557,34.763,52.293,52806.984,1023.295,23.296,0.26,0.26,0.91,94.79,6.461,7.78,6.478,6.479
