//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=150       
StartTime=2020/12/10 09:48:55
EndTime=2020/12/10 09:49:09
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2020/12/10,09:48:55,-0.4587,21.482,0.028,0.045,48.596,997.908,-2.090,0.15,0.15,1.85,95.63,8.400,7.50,8.419,8.419,
2020/12/10,09:48:55,-0.4783,21.481,0.028,0.045,49.094,997.908,-2.090,0.14,0.14,1.99,95.56,8.394,7.51,8.412,8.413,
2020/12/10,09:48:55,-0.4979,21.477,0.028,0.045,48.890,997.909,-2.089,0.15,0.15,2.03,95.58,8.397,7.52,8.416,8.416,
2020/12/10,09:48:55,-0.4783,21.474,0.028,0.045,48.680,997.909,-2.089,0.15,0.15,2.96,95.58,8.397,7.51,8.415,8.416,
2020/12/10,09:48:55,-0.4979,21.471,0.028,0.045,48.930,997.910,-2.088,0.15,0.15,5.54,95.47,8.386,7.54,8.405,8.405,
2020/12/10,09:48:55,-0.4979,21.472,0.028,0.045,48.720,997.910,-2.088,0.12,0.12,72.54,95.57,8.395,7.55,8.414,8.414,
2020/12/10,09:48:55,-0.4783,21.531,4.475,7.518,8139.548,1001.266,1.269,-0.26,-0.26,384.69,96.10,8.214,7.57,8.233,8.233,
2020/12/10,09:48:55,-0.4390,21.754,25.215,37.048,39897.088,1016.865,16.867,0.49,0.49,85.86,96.07,7.257,7.55,7.275,7.275,
2020/12/10,09:48:55,-0.4194,21.911,35.288,50.235,53897.646,1024.459,24.461,0.62,0.62,22.50,96.00,6.828,7.57,6.844,6.845,
2020/12/10,09:48:55,-0.3998,22.018,33.916,48.599,52011.019,1023.388,23.389,0.65,0.65,8.43,95.81,6.862,7.58,6.879,6.880,
2020/12/10,09:48:56,-0.3998,22.088,33.876,48.619,51946.222,1023.338,23.340,0.62,0.62,5.35,95.52,6.840,7.57,6.856,6.857,
2020/12/10,09:48:56,-0.4194,22.134,33.844,48.623,51895.375,1023.301,23.303,0.57,0.57,4.56,95.34,6.825,7.58,6.842,6.843,
2020/12/10,09:48:56,-0.3998,22.163,33.816,48.616,51852.496,1023.271,23.273,0.56,0.56,4.24,95.12,6.808,7.58,6.824,6.825,
2020/12/10,09:48:56,-0.3998,22.177,33.789,48.596,51813.944,1023.247,23.249,0.54,0.54,3.80,94.87,6.791,7.60,6.807,6.808,
2020/12/10,09:48:56,-0.3998,22.184,33.790,48.604,51814.025,1023.246,23.247,0.52,0.52,3.60,94.79,6.784,7.60,6.800,6.801,
2020/12/10,09:48:56,-0.3998,22.194,33.794,48.619,51817.386,1023.246,23.247,0.50,0.50,3.33,94.62,6.772,7.61,6.788,6.789,
2020/12/10,09:48:56,-0.4194,22.204,33.788,48.620,51807.263,1023.238,23.240,0.51,0.51,3.12,94.46,6.761,7.60,6.778,6.778,
2020/12/10,09:48:56,-0.3998,22.205,33.770,48.600,51783.168,1023.224,23.226,0.51,0.51,3.12,94.26,6.746,7.62,6.763,6.764,
2020/12/10,09:48:56,-0.3998,22.196,33.771,48.591,51785.984,1023.228,23.230,0.51,0.51,3.16,94.06,6.731,7.62,6.747,6.748,
2020/12/10,09:48:56,-0.4194,22.183,33.786,48.598,51808.888,1023.243,23.245,0.49,0.49,3.19,94.03,6.728,7.61,6.744,6.745,
2020/12/10,09:48:57,-0.3998,22.170,33.794,48.595,51820.851,1023.252,23.254,0.47,0.47,3.13,93.94,6.721,7.64,6.737,6.738,
2020/12/10,09:48:57,-0.3998,22.160,33.812,48.608,51847.602,1023.269,23.271,0.47,0.47,3.32,93.79,6.709,7.61,6.726,6.727,
2020/12/10,09:48:57,-0.4194,22.156,33.822,48.617,51861.772,1023.278,23.279,0.47,0.47,3.53,93.60,6.695,7.63,6.711,6.712,
2020/12/10,09:48:57,-0.3998,22.165,33.817,48.619,51854.063,1023.272,23.274,0.48,0.48,3.50,93.44,6.683,7.63,6.700,6.701,
2020/12/10,09:48:57,-0.4194,22.174,33.797,48.603,51824.739,1023.254,23.255,0.50,0.50,3.37,93.38,6.679,7.65,6.695,6.696,
