//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=150       
StartTime=2020/12/10 12:29:06
EndTime=2020/12/10 12:29:20
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2020/12/10,12:29:06,-0.4390,21.541,0.028,0.045,48.809,997.895,-2.103,0.17,0.17,0.51,95.96,8.403,7.49,8.422,8.422,
2020/12/10,12:29:06,-0.4783,21.547,0.028,0.045,48.706,997.893,-2.105,0.17,0.17,0.51,95.97,8.404,7.51,8.422,8.423,
2020/12/10,12:29:06,-0.4783,21.558,0.028,0.045,48.219,997.890,-2.107,0.16,0.16,0.50,95.98,8.404,7.51,8.423,8.423,
2020/12/10,12:29:06,-0.4783,21.567,0.028,0.045,48.919,997.889,-2.109,0.16,0.16,0.50,95.97,8.403,7.53,8.422,8.423,
2020/12/10,12:29:06,-0.4783,21.576,0.028,0.045,49.020,997.887,-2.111,0.15,0.15,0.48,95.95,8.401,7.53,8.420,8.420,
2020/12/10,12:29:06,-0.4783,21.582,0.028,0.045,48.488,997.885,-2.113,0.15,0.15,0.48,96.01,8.406,7.55,8.425,8.425,
2020/12/10,12:29:06,-0.4783,21.578,0.028,0.045,48.706,997.886,-2.112,0.15,0.15,0.47,95.98,8.403,7.54,8.422,8.423,
2020/12/10,12:29:06,-0.4783,21.578,0.028,0.045,48.740,997.886,-2.112,0.15,0.15,0.47,96.07,8.411,7.55,8.429,8.430,
2020/12/10,12:29:06,-0.4783,21.580,0.028,0.045,48.772,997.886,-2.112,0.15,0.15,0.45,95.92,8.397,7.57,8.415,8.416,
2020/12/10,12:29:06,-0.4783,21.582,0.028,0.045,48.667,997.885,-2.113,0.15,0.15,0.45,95.90,8.395,7.57,8.414,8.414,
2020/12/10,12:29:07,-0.4783,21.585,0.028,0.045,48.700,997.885,-2.113,0.00,0.00,2.60,96.03,8.407,7.56,8.425,8.426,
2020/12/10,12:29:07,-0.4783,21.594,0.028,0.045,48.691,997.883,-2.115,-0.02,-0.02,3.70,95.98,8.402,7.58,8.421,8.422,
2020/12/10,12:29:07,-0.4783,21.605,0.028,0.045,48.679,997.880,-2.118,0.03,0.03,3.06,96.00,8.404,7.59,8.423,8.423,
2020/12/10,12:29:07,-0.4783,21.618,0.028,0.045,48.735,997.877,-2.121,0.08,0.08,4.94,96.04,8.406,7.60,8.425,8.425,
2020/12/10,12:29:07,-0.4390,21.671,11.319,17.817,19224.970,1006.397,6.399,-0.64,-0.64,383.42,96.34,7.891,7.58,7.910,7.910,
2020/12/10,12:29:07,-0.3802,22.161,35.918,51.295,54711.937,1024.868,24.870,0.02,0.02,113.33,96.79,6.830,7.59,6.846,6.848,
2020/12/10,12:29:07,-0.3802,22.563,34.447,49.830,52652.336,1023.637,23.639,0.22,0.22,27.46,96.54,6.838,7.59,6.855,6.856,
2020/12/10,12:29:07,-0.3802,22.757,34.269,49.797,52381.932,1023.447,23.449,0.27,0.27,8.40,96.32,6.813,7.61,6.830,6.831,
2020/12/10,12:29:07,-0.3802,22.847,34.211,49.814,52290.205,1023.378,23.379,0.28,0.28,3.84,96.31,6.802,7.61,6.820,6.821,
2020/12/10,12:29:07,-0.3802,22.885,34.169,49.797,52227.822,1023.335,23.337,0.28,0.28,2.63,96.26,6.792,7.60,6.809,6.810,
2020/12/10,12:29:08,-0.3802,22.893,34.168,49.804,52224.809,1023.332,23.333,0.27,0.27,2.26,96.32,6.791,7.61,6.809,6.810,
2020/12/10,12:29:08,-0.3998,22.910,34.164,49.816,52216.668,1023.324,23.325,0.26,0.26,2.10,96.33,6.790,7.63,6.808,6.809,
2020/12/10,12:29:08,-0.3802,22.930,34.162,49.833,52210.916,1023.316,23.318,0.27,0.27,2.08,96.40,6.792,7.62,6.810,6.811,
2020/12/10,12:29:08,-0.3802,22.943,34.154,49.836,52197.861,1023.306,23.308,0.26,0.26,2.08,96.44,6.794,7.62,6.811,6.812,
2020/12/10,12:29:08,-0.3802,22.942,34.154,49.836,52198.592,1023.307,23.309,0.27,0.27,2.05,96.36,6.788,7.63,6.805,6.806,
2020/12/10,12:29:08,-0.3802,22.926,34.161,49.829,52210.787,1023.317,23.319,0.28,0.28,2.03,96.39,6.788,7.63,6.805,6.806,
2020/12/10,12:29:08,-0.3802,22.908,34.176,49.829,52233.259,1023.333,23.335,0.27,0.27,2.06,96.52,6.796,7.62,6.813,6.814,
2020/12/10,12:29:08,-0.3998,22.889,34.202,49.843,52271.071,1023.358,23.360,0.26,0.26,1.99,96.66,6.806,7.62,6.823,6.824,
2020/12/10,12:29:08,-0.3802,22.886,34.219,49.864,52295.526,1023.373,23.374,0.27,0.27,1.92,96.78,6.814,7.61,6.831,6.832,
2020/12/10,12:29:08,-0.3998,22.903,34.208,49.866,52277.426,1023.359,23.361,0.27,0.27,1.85,96.81,6.817,7.63,6.834,6.835,
2020/12/10,12:29:09,-0.3802,22.913,34.170,49.827,52224.887,1023.328,23.329,0.26,0.26,1.79,96.93,6.827,7.64,6.844,6.845,
2020/12/10,12:29:09,-0.3998,22.904,34.094,49.719,52122.275,1023.272,23.274,0.26,0.26,1.78,97.10,6.842,7.64,6.860,6.861,
2020/12/10,12:29:09,-0.3802,22.897,34.144,49.776,52191.374,1023.312,23.314,0.25,0.25,1.73,97.16,6.846,7.64,6.863,6.864,
2020/12/10,12:29:09,-0.3998,22.895,34.181,49.823,52242.647,1023.341,23.343,0.26,0.26,1.82,97.18,6.845,7.64,6.862,6.863,
2020/12/10,12:29:09,-0.3802,22.892,34.177,49.815,52237.211,1023.339,23.341,0.25,0.25,1.79,97.38,6.859,7.64,6.876,6.877,
2020/12/10,12:29:09,-0.3998,22.889,34.163,49.793,52217.988,1023.329,23.330,0.24,0.24,1.83,97.39,6.860,7.65,6.877,6.878,
2020/12/10,12:29:09,-0.3802,22.865,34.169,49.776,52229.628,1023.340,23.342,0.24,0.24,1.79,97.41,6.859,7.65,6.877,6.878,
2020/12/10,12:29:09,-0.3802,22.820,34.190,49.758,52264.537,1023.369,23.370,0.24,0.24,1.76,97.42,6.858,7.63,6.876,6.877,
2020/12/10,12:29:09,-0.3998,22.808,34.182,49.736,52255.895,1023.366,23.368,0.23,0.23,1.69,97.54,6.870,7.65,6.887,6.888,
2020/12/10,12:29:09,-0.3998,22.811,34.180,49.736,52252.397,1023.364,23.366,0.23,0.23,1.82,97.63,6.880,7.65,6.897,6.898,
2020/12/10,12:29:10,-0.3998,22.824,34.167,49.733,52233.822,1023.351,23.353,0.24,0.24,1.75,97.68,6.886,7.63,6.903,6.904,
