"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2020/12/10","08:24:51",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.54,94.65,NA,NA,NA,NA
"2","2020/12/10","08:24:51",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.55,94.63,NA,NA,NA,NA
"3","2020/12/10","08:24:51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.7,NA,NA,NA,NA
"4","2020/12/10","08:24:51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.62,NA,NA,NA,NA
"5","2020/12/10","08:24:51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.59,NA,NA,NA,NA
"6","2020/12/10","08:24:51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.7,NA,NA,NA,NA
"7","2020/12/10","08:24:51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.7,NA,NA,NA,NA
"8","2020/12/10","08:24:51",NA,NA,NA,NA,NA,NA,NA,0.47,0.47,NA,94.3,7.223,NA,7.241,7.241
"9","2020/12/10","08:24:51",NA,NA,NA,NA,NA,NA,NA,0.57,0.57,NA,94.36,7.04,NA,7.058,7.058
"10","2020/12/10","08:24:52",-0.4194,NA,28.93,43.254,44960.232,1019.259,19.26,0.58,0.58,NA,94.76,6.858,NA,6.876,6.877
"11","2020/12/10","08:24:52",-0.4194,23.478,28.884,43.37,44872.323,1019.166,19.168,0.62,0.62,NA,95.32,6.882,NA,6.9,6.9
"12","2020/12/10","08:24:52",-0.4194,23.586,28.825,43.384,44777.115,1019.091,19.093,NA,NA,2.1,95.76,6.907,7.6,6.925,6.926
"13","2020/12/10","08:24:52",-0.4194,NA,28.778,43.374,44704.897,1019.038,19.04,0.6,0.6,1.91,96.32,6.949,7.6,6.967,6.968
"14","2020/12/10","08:24:52",NA,NA,28.762,43.383,44679.223,1019.016,19.018,0.59,0.59,1.91,96.45,6.96,7.61,6.978,6.979
"15","2020/12/10","08:24:52",-0.4194,NA,28.713,43.336,44608.811,1018.973,18.975,0.59,0.59,1.96,96.42,6.959,7.61,6.978,6.978
"16","2020/12/10","08:24:52",NA,NA,28.687,43.31,44571.035,1018.95,18.952,NA,NA,1.92,96.32,6.95,7.61,6.969,6.969
"17","2020/12/10","08:24:52",NA,NA,28.693,43.323,44578.459,1018.953,18.955,0.62,0.62,1.85,96.28,6.945,7.62,6.964,6.964
"18","2020/12/10","08:24:52",NA,NA,28.629,43.237,44488.661,NA,NA,0.57,0.57,1.85,96.04,6.929,7.62,6.948,6.948
"19","2020/12/10","08:24:52",-0.4194,NA,28.649,43.264,44516.686,1018.919,18.921,0.57,0.57,2.02,95.88,6.912,7.62,6.93,6.93
"20","2020/12/10","08:24:53",NA,NA,28.676,43.301,44555.459,1018.941,18.942,0.56,0.56,1.92,95.71,6.892,7.62,6.91,6.911
"21","2020/12/10","08:24:53",-0.4194,NA,28.623,43.231,44480.297,NA,NA,0.57,0.57,1.82,95.51,6.876,7.63,6.894,6.895
"22","2020/12/10","08:24:53",-0.4194,NA,28.604,43.206,NA,NA,NA,0.54,0.54,1.75,95.3,6.862,7.61,6.881,6.881
"23","2020/12/10","08:24:53",-0.4194,NA,NA,43.176,NA,NA,NA,0.54,0.54,1.78,95.27,6.864,7.61,6.882,6.882
"24","2020/12/10","08:24:53",-0.4194,NA,NA,43.182,NA,NA,NA,0.54,0.54,2.02,95.06,6.851,7.62,6.869,6.87
"25","2020/12/10","08:24:53",-0.4194,NA,28.642,43.222,44511.68,1018.925,18.927,0.55,0.55,1.79,94.88,6.839,7.64,6.857,6.857
"26","2020/12/10","08:24:53",-0.4194,NA,28.668,43.234,44550.605,1018.952,18.954,0.54,0.54,1.66,94.79,6.832,7.64,6.85,6.85
"27","2020/12/10","08:24:53",NA,23.632,28.686,43.237,44578.592,1018.973,18.975,0.54,0.54,1.55,94.62,6.819,7.64,6.837,6.838
"28","2020/12/10","08:24:53",-0.4194,23.612,28.689,43.224,44585.259,1018.981,18.983,0.53,0.53,1.52,94.48,6.81,7.65,6.828,6.829
"29","2020/12/10","08:24:53",-0.4194,23.621,28.679,43.218,44569.698,1018.97,18.972,0.53,0.53,1.68,94.29,6.798,7.64,6.816,6.817
"30","2020/12/10","08:24:54",-0.4194,NA,28.656,43.203,44536.08,1018.948,18.95,0.53,0.53,1.79,94.17,6.791,7.64,6.809,6.809
"31","2020/12/10","08:24:54",-0.4194,23.63,28.654,43.191,44533.534,1018.949,18.951,0.51,0.51,1.64,94,6.78,7.64,6.797,6.798
"32","2020/12/10","08:24:54",-0.4194,23.603,28.674,43.195,44564.618,1018.972,18.974,0.53,0.53,1.68,93.79,6.764,7.66,6.782,6.782
"33","2020/12/10","08:24:54",-0.4194,23.587,28.673,43.18,44565.326,1018.976,18.978,0.52,0.52,1.62,93.6,6.749,7.65,6.767,6.768
"34","2020/12/10","08:24:54",-0.4194,23.578,28.691,43.197,44592.14,1018.992,18.994,0.51,0.51,1.58,93.53,6.742,7.65,6.76,6.76
"35","2020/12/10","08:24:54",-0.4194,23.583,28.708,43.224,44614.189,1019.003,19.005,0.55,0.55,1.48,93.37,6.729,7.65,6.747,6.747
"36","2020/12/10","08:24:54",-0.4194,23.608,28.743,43.293,44660.401,1019.022,19.024,0.6,0.6,1.56,93.25,6.717,7.66,6.735,6.736
"37","2020/12/10","08:24:54",-0.4194,23.608,28.83,43.411,44782.417,1019.089,19.091,0.57,0.57,1.59,93.11,6.699,7.65,6.717,6.718
"38","2020/12/10","08:24:54",NA,23.548,28.844,43.377,44808.372,1019.116,19.118,0.55,0.55,1.71,92.88,6.676,7.66,6.694,6.694
"39","2020/12/10","08:24:54",-0.4194,23.517,28.886,43.406,44869.954,1019.156,19.158,0.61,0.61,1.81,92.75,6.662,7.66,6.68,6.68
"40","2020/12/10","08:24:55",NA,23.499,28.905,43.416,44898.958,1019.176,19.178,0.58,0.58,1.69,92.8,6.664,7.65,6.682,6.682
"41","2020/12/10","08:24:55",-0.4194,23.474,28.936,43.437,44945.211,1019.207,19.208,0.56,0.56,1.65,92.82,6.663,7.66,6.681,6.681
"42","2020/12/10","08:24:55",-0.4194,23.454,28.902,43.373,44900.145,1019.187,19.188,0.55,0.55,2.19,92.81,6.664,7.65,6.682,6.682
"43","2020/12/10","08:24:55",-0.4194,23.464,28.894,43.37,44887.308,1019.178,19.179,0.55,0.55,1.89,92.68,6.656,7.66,6.673,6.674
"44","2020/12/10","08:24:55",-0.4194,23.469,28.909,43.395,44907.435,1019.187,19.189,0.54,0.54,1.73,92.36,6.632,7.66,6.65,6.65
"45","2020/12/10","08:24:55",NA,23.469,28.91,43.397,44909.275,1019.188,19.19,0.54,0.54,1.66,92.19,6.62,7.67,6.638,6.638
"46","2020/12/10","08:24:55",NA,23.457,28.899,43.372,44895.809,1019.184,19.185,0.56,0.56,1.59,91.94,6.603,7.67,6.62,6.621
"47","2020/12/10","08:24:55",-0.4194,23.447,28.884,43.342,44875.07,1019.175,19.176,0.53,0.53,1.68,91.64,6.583,7.66,6.6,6.601
"48","2020/12/10","08:24:55",NA,23.453,28.888,43.353,44880.452,1019.176,19.178,0.51,0.51,1.85,91.41,6.568,7.69,6.586,6.586
"49","2020/12/10","08:24:55",-0.4194,23.48,28.865,43.345,44844.859,1019.151,19.153,0.54,0.54,1.73,91.31,6.564,7.67,6.581,6.582
"50","2020/12/10","08:24:56",-0.4194,23.518,28.828,43.329,44789.462,1019.112,19.114,0.52,0.52,1.76,91.21,6.559,7.68,6.577,6.577
"51","2020/12/10","08:24:56",-0.4194,23.524,28.856,43.372,44827.276,1019.132,19.134,0.5,0.5,1.64,91.01,6.543,7.69,6.56,6.561
"52","2020/12/10","08:24:56",-0.4194,23.529,28.852,43.371,44822.141,1019.128,19.13,0.5,0.5,1.64,90.78,6.525,7.67,6.542,6.542
"53","2020/12/10","08:24:56",-0.4194,23.565,28.828,43.37,44783.986,1019.099,19.101,0.5,0.5,1.65,90.57,6.511,7.67,6.528,6.528
"54","2020/12/10","08:24:56",-0.4194,23.593,28.802,43.36,44744.267,1019.071,19.073,0.5,0.5,1.66,90.5,6.505,7.66,6.522,6.522
"55","2020/12/10","08:24:56",-0.4194,23.586,28.8,43.351,44742.35,1019.072,19.074,0.5,0.5,1.59,90.35,6.493,7.68,6.51,6.511
"56","2020/12/10","08:24:56",-0.4194,23.558,28.819,43.352,44771.972,1019.094,19.096,0.48,0.48,1.64,90.15,6.475,7.66,6.492,6.493
"57","2020/12/10","08:24:56",-0.4194,23.544,28.834,43.359,44794.666,1019.11,19.111,0.51,0.51,1.58,89.94,6.455,7.66,6.473,6.473
"58","2020/12/10","08:24:56",NA,23.525,28.87,43.392,44847.836,1019.143,19.145,NA,NA,1.68,89.71,6.437,7.67,6.454,6.454
"59","2020/12/10","08:24:56",-0.4194,23.522,28.905,43.436,44896.014,1019.169,19.171,0.59,0.59,NA,89.49,6.419,7.69,6.436,6.436
"60","2020/12/10","08:24:57",-0.4194,23.528,28.9,43.435,44888.531,1019.164,19.166,0.55,0.55,1.79,89.35,6.41,7.67,6.427,6.428
"61","2020/12/10","08:24:57",-0.4194,23.536,28.882,43.418,44863.31,1019.149,19.15,0.52,0.52,1.61,89.23,6.404,7.66,6.421,6.422
"62","2020/12/10","08:24:57",NA,23.564,28.868,43.423,44839.409,1019.129,19.131,0.51,0.51,1.54,89.06,6.396,7.69,6.413,6.414
"63","2020/12/10","08:24:57",NA,23.574,28.865,43.428,44834.74,1019.125,19.126,0.47,0.47,1.56,88.91,6.388,7.67,6.405,6.405
"64","2020/12/10","08:24:57",NA,23.552,28.882,43.431,44860.401,1019.143,19.145,0.47,0.47,1.54,88.68,6.373,7.7,6.39,6.391
"65","2020/12/10","08:24:57",-0.4194,23.549,28.888,43.437,44870.101,1019.149,19.151,0.47,0.47,1.55,88.56,6.367,7.67,6.384,6.384
"66","2020/12/10","08:24:57",-0.4194,23.537,28.889,43.427,44871.762,1019.153,19.155,0.51,0.51,1.59,88.47,6.362,7.67,6.379,6.379
"67","2020/12/10","08:24:57",-0.4194,23.507,28.905,43.423,44897.337,1019.173,19.175,0.52,0.52,1.59,88.44,6.361,7.66,6.377,6.378
"68","2020/12/10","08:24:57",NA,23.504,28.918,43.438,44916.104,1019.184,19.186,0.51,0.51,1.68,88.42,6.359,7.69,6.376,6.376
"69","2020/12/10","08:24:57",-0.4194,23.497,28.929,43.447,44932.287,1019.195,19.196,0.5,0.5,1.62,88.37,6.355,7.68,6.372,6.372
"70","2020/12/10","08:24:58",-0.4194,23.521,28.91,43.442,44903.575,1019.174,19.176,0.51,0.51,1.58,88.2,6.343,7.67,6.36,6.36
"71","2020/12/10","08:24:58",NA,23.541,28.895,43.44,44880.548,1019.157,19.159,0.52,0.52,1.58,88.14,6.339,7.67,6.356,6.356
"72","2020/12/10","08:24:58",-0.4194,23.543,28.895,43.441,44879.813,1019.156,19.158,0.5,0.5,1.56,88.04,6.333,7.68,6.349,6.35
"73","2020/12/10","08:24:58",-0.4194,23.525,28.904,43.438,44894.942,1019.168,19.17,0.47,0.47,1.69,87.91,6.324,7.68,6.341,6.341
"74","2020/12/10","08:24:58",-0.4194,23.518,28.902,43.429,44892.615,1019.168,19.17,0.47,0.47,1.85,87.88,6.322,7.68,6.339,6.339
"75","2020/12/10","08:24:58",-0.4194,23.526,28.892,43.422,44877.106,1019.158,19.16,0.48,0.48,1.98,87.78,6.316,7.68,6.333,6.333
"76","2020/12/10","08:24:58",-0.4194,23.528,28.884,43.413,44865.915,1019.152,19.153,0.47,0.47,NA,87.66,6.308,7.66,6.325,6.325
"77","2020/12/10","08:24:58",-0.4194,23.523,28.884,43.409,44866.7,1019.153,19.155,0.48,0.48,NA,87.55,6.3,7.66,6.317,6.317
"78","2020/12/10","08:24:58",-0.4194,23.52,28.878,43.399,44858.896,1019.15,19.151,0.53,0.53,NA,87.46,6.294,7.69,6.311,6.311
"79","2020/12/10","08:24:58",-0.4194,23.516,28.873,43.387,44851.767,1019.147,19.149,0.51,0.51,NA,87.35,6.286,7.69,6.303,6.303
"80","2020/12/10","08:24:59",-0.4194,23.514,28.867,43.379,44844.409,1019.143,19.145,0.49,0.49,2.18,87.3,6.283,7.68,6.3,6.3
