//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=140       
StartTime=2020/12/10 07:58:07
EndTime=2020/12/10 07:58:20
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2020/12/10,07:58:07,-0.4390,20.285,0.029,0.046,50.831,998.166,-1.832,-0.02,-0.02,1.58,95.74,8.678,7.51,8.695,8.696,
2020/12/10,07:58:07,-0.4587,20.289,0.029,0.046,51.326,998.165,-1.833,-0.02,-0.02,1.51,95.67,8.672,7.52,8.689,8.690,
2020/12/10,07:58:07,-0.4783,20.295,0.029,0.046,50.820,998.164,-1.834,-0.04,-0.04,1.38,95.56,8.662,7.51,8.680,8.680,
2020/12/10,07:58:07,-0.4783,20.303,0.029,0.046,50.771,998.162,-1.836,-0.08,-0.08,1.39,95.52,8.659,7.55,8.677,8.677,
2020/12/10,07:58:07,-0.4783,20.309,0.029,0.046,51.146,998.161,-1.837,-0.05,-0.05,1.58,95.55,8.662,7.55,8.680,8.680,
2020/12/10,07:58:07,-0.4587,20.315,0.029,0.046,50.988,998.160,-1.838,-0.05,-0.05,0.78,95.63,8.670,7.55,8.688,8.688,
2020/12/10,07:58:07,-0.4587,20.318,0.029,0.046,51.058,998.159,-1.839,-0.06,-0.06,0.98,95.67,8.674,7.55,8.691,8.692,
2020/12/10,07:58:07,-0.4587,20.319,0.029,0.046,51.022,998.159,-1.839,-0.05,-0.05,1.54,95.68,8.675,7.56,8.693,8.693,
2020/12/10,07:58:07,-0.4587,20.319,0.029,0.046,50.983,998.159,-1.839,-0.04,-0.04,3.19,95.70,8.677,7.57,8.694,8.694,
2020/12/10,07:58:07,-0.4587,20.317,0.029,0.046,51.136,998.159,-1.839,-0.02,-0.02,10.86,95.74,8.681,7.57,8.698,8.699,
2020/12/10,07:58:08,-0.4783,20.342,0.029,0.046,51.364,998.154,-1.844,-0.73,-0.73,454.19,97.16,8.788,7.59,8.806,8.806,
2020/12/10,07:58:08,-0.4587,21.311,0.029,0.046,50.087,997.946,-2.052,-0.07,-0.07,144.62,100.03,8.875,7.59,8.894,8.894,
2020/12/10,07:58:08,-0.4390,22.283,23.771,35.513,37770.848,1015.633,15.635,0.21,0.21,27.69,100.32,7.639,7.59,7.658,7.658,
2020/12/10,07:58:08,-0.4194,22.862,25.345,38.080,39959.481,1016.665,16.667,0.28,0.28,6.60,100.02,7.488,7.60,7.507,7.507,
2020/12/10,07:58:08,-0.3605,23.168,34.056,49.936,52032.970,1023.168,23.169,0.38,0.38,2.30,99.49,7.041,7.61,7.059,7.060,
2020/12/10,07:58:08,-0.3605,23.334,33.694,49.629,51517.386,1022.846,22.847,0.37,0.37,1.32,99.29,7.017,7.60,7.034,7.035,
2020/12/10,07:58:08,-0.3605,23.430,33.586,49.583,51357.086,1022.736,22.738,0.31,0.31,1.05,99.08,6.995,7.60,7.013,7.014,
2020/12/10,07:58:08,-0.3605,23.490,33.522,49.558,51261.184,1022.670,22.672,0.37,0.37,1.00,98.87,6.979,7.61,6.996,6.997,
2020/12/10,07:58:08,-0.3802,23.531,33.479,49.542,51197.417,1022.626,22.627,0.49,0.49,0.95,98.91,6.978,7.61,6.996,6.997,
2020/12/10,07:58:08,-0.3605,23.551,33.468,49.549,51180.377,1022.612,22.613,0.54,0.54,0.91,98.94,6.978,7.61,6.996,6.997,
2020/12/10,07:58:09,-0.3605,23.554,33.449,49.526,51153.488,1022.596,22.598,0.37,0.37,0.85,98.65,6.955,7.64,6.973,6.974,
2020/12/10,07:58:09,-0.3605,23.566,33.409,49.485,51097.044,1022.562,22.564,0.28,0.28,0.90,98.38,6.935,7.61,6.952,6.953,
2020/12/10,07:58:09,-0.3802,23.575,33.380,49.456,51057.349,1022.538,22.540,0.31,0.31,1.15,98.18,6.916,7.63,6.934,6.934,
2020/12/10,07:58:09,-0.3605,23.527,33.407,49.444,51100.431,1022.573,22.574,0.28,0.28,0.95,97.81,6.882,7.64,6.900,6.901,
2020/12/10,07:58:09,-0.3802,23.486,33.421,49.422,51123.996,1022.594,22.596,0.28,0.28,1.85,97.80,6.881,7.63,6.899,6.900,
2020/12/10,07:58:09,-0.3605,23.450,33.445,49.418,51162.632,1022.624,22.625,0.30,0.30,2.09,97.80,6.882,7.64,6.900,6.901,
2020/12/10,07:58:09,-0.3605,23.430,33.477,49.439,51208.145,1022.653,22.655,0.31,0.31,1.09,97.73,6.876,7.64,6.894,6.895,
2020/12/10,07:58:09,-0.3802,23.474,33.418,49.407,51122.681,1022.596,22.598,0.28,0.28,0.84,97.71,6.877,7.64,6.895,6.895,
2020/12/10,07:58:09,-0.3802,23.440,33.450,49.414,51170.178,1022.630,22.632,0.27,0.27,0.71,97.71,6.874,7.64,6.892,6.893,
2020/12/10,07:58:09,-0.3605,23.430,33.430,49.378,51144.189,1022.618,22.619,0.25,0.25,0.78,97.60,6.857,7.65,6.875,6.876,
2020/12/10,07:58:10,-0.3802,23.475,33.462,49.465,51182.066,1022.629,22.631,0.26,0.26,0.85,97.68,6.854,7.64,6.872,6.873,
2020/12/10,07:58:10,-0.3802,23.526,33.465,49.520,51178.807,1022.616,22.618,0.26,0.26,0.80,97.79,6.854,7.64,6.872,6.873,
2020/12/10,07:58:10,-0.3802,23.532,33.445,49.500,51151.592,1022.600,22.602,0.28,0.28,0.71,97.70,6.841,7.65,6.859,6.860,
2020/12/10,07:58:10,-0.3802,23.521,33.440,49.482,51146.377,1022.599,22.601,0.28,0.28,0.65,97.54,6.826,7.66,6.844,6.845,
2020/12/10,07:58:10,-0.3802,23.497,33.493,49.528,51220.798,1022.646,22.648,0.26,0.26,0.74,97.32,6.807,7.65,6.824,6.825,
2020/12/10,07:58:10,-0.3605,23.444,33.502,49.486,51240.260,1022.668,22.670,0.25,0.25,0.84,97.23,6.801,7.66,6.818,6.819,
2020/12/10,07:58:10,-0.3802,23.419,33.547,49.521,51305.535,1022.710,22.711,0.26,0.26,0.80,97.12,6.793,7.65,6.811,6.812,
2020/12/10,07:58:10,-0.3605,23.435,33.541,49.528,51294.737,1022.700,22.702,0.26,0.26,0.71,97.12,6.795,7.64,6.813,6.814,
2020/12/10,07:58:10,-0.3802,23.397,33.546,49.497,51306.825,1022.715,22.717,0.26,0.26,0.88,97.12,6.794,7.64,6.812,6.813,
2020/12/10,07:58:10,-0.3802,23.446,33.494,49.478,51228.858,1022.661,22.663,0.24,0.24,0.77,97.06,6.792,7.67,6.809,6.810,
2020/12/10,07:58:11,-0.3802,23.490,33.466,49.485,51185.811,1022.628,22.630,0.24,0.24,0.75,97.00,6.791,7.66,6.808,6.809,
2020/12/10,07:58:11,-0.3802,23.514,33.456,49.496,51168.725,1022.613,22.615,0.25,0.25,0.72,96.90,6.788,7.66,6.806,6.807,
2020/12/10,07:58:11,-0.3802,23.533,33.418,49.464,51113.990,1022.579,22.581,0.25,0.25,0.68,97.13,6.809,7.66,6.827,6.828,
2020/12/10,07:58:11,-0.3802,23.533,33.436,49.488,51138.472,1022.592,22.594,0.27,0.27,0.67,96.94,6.791,7.67,6.809,6.810,
2020/12/10,07:58:11,-0.3802,23.516,33.455,49.497,51166.874,1022.612,22.614,0.26,0.26,0.70,96.91,6.783,7.66,6.801,6.802,
2020/12/10,07:58:11,-0.3802,23.494,33.498,49.531,51228.421,1022.651,22.652,0.26,0.26,0.71,96.87,6.777,7.66,6.795,6.796,
2020/12/10,07:58:11,-0.3802,23.451,33.546,49.551,51299.528,1022.700,22.701,0.25,0.25,2.50,96.76,6.768,7.66,6.786,6.787,
2020/12/10,07:58:11,-0.3802,23.442,33.541,49.536,51294.164,1022.699,22.700,0.27,0.27,1.92,96.86,6.777,7.66,6.794,6.795,
2020/12/10,07:58:11,-0.3802,23.435,33.546,49.535,51301.388,1022.704,22.706,0.27,0.27,1.15,96.73,6.768,7.66,6.786,6.787,
2020/12/10,07:58:11,-0.3605,23.431,33.541,49.526,51296.130,1022.702,22.704,0.27,0.27,0.90,96.72,6.767,7.67,6.785,6.786,
2020/12/10,07:58:12,-0.3802,23.449,33.526,49.522,51272.358,1022.685,22.687,0.27,0.27,0.81,96.86,6.778,7.67,6.795,6.796,
2020/12/10,07:58:12,-0.3802,23.470,33.519,49.535,51260.014,1022.674,22.675,0.28,0.28,0.74,96.85,6.780,7.66,6.798,6.799,
2020/12/10,07:58:12,-0.3605,23.477,33.504,49.522,51239.116,1022.661,22.662,0.27,0.27,0.82,96.74,6.777,7.66,6.794,6.795,
2020/12/10,07:58:12,-0.3802,23.480,33.486,49.502,51214.714,1022.646,22.648,0.26,0.26,0.84,96.79,6.783,7.66,6.801,6.802,
2020/12/10,07:58:12,-0.3802,23.485,33.477,49.494,51200.634,1022.637,22.639,0.31,0.31,0.80,96.65,6.774,7.66,6.792,6.793,
2020/12/10,07:58:12,-0.3802,23.516,33.452,49.493,51163.086,1022.610,22.611,0.28,0.28,0.81,96.42,6.757,7.67,6.775,6.776,
2020/12/10,07:58:12,-0.3802,23.496,33.460,49.483,51176.902,1022.622,22.623,0.28,0.28,0.90,96.33,6.748,7.68,6.766,6.767,
2020/12/10,07:58:12,-0.3802,23.467,33.472,49.469,51196.114,1022.639,22.640,0.28,0.28,0.72,96.15,6.734,7.66,6.751,6.752,
2020/12/10,07:58:12,-0.3802,23.444,33.477,49.454,51206.768,1022.650,22.651,0.26,0.26,0.70,96.16,6.735,7.67,6.753,6.754,
2020/12/10,07:58:12,-0.3605,23.449,33.461,49.438,51184.729,1022.636,22.638,0.26,0.26,0.75,96.20,6.742,7.67,6.759,6.760,
2020/12/10,07:58:13,-0.3802,23.473,33.426,49.415,51133.138,1022.602,22.604,0.24,0.24,0.78,96.13,6.739,7.69,6.757,6.758,
2020/12/10,07:58:13,-0.3802,23.503,33.391,49.399,51081.089,1022.567,22.569,0.24,0.24,0.80,96.08,6.738,7.67,6.756,6.757,
2020/12/10,07:58:13,-0.3802,23.527,33.362,49.385,51038.716,1022.538,22.540,0.24,0.24,0.74,96.02,6.736,7.66,6.754,6.755,
2020/12/10,07:58:13,-0.3802,23.544,33.345,49.379,51013.480,1022.521,22.522,0.24,0.24,0.72,96.05,6.740,7.68,6.758,6.759,
2020/12/10,07:58:13,-0.3802,23.560,33.335,49.381,50997.391,1022.508,22.510,0.24,0.24,0.72,96.02,6.739,7.67,6.756,6.757,
2020/12/10,07:58:13,-0.3605,23.557,33.343,49.390,51009.104,1022.515,22.517,0.24,0.24,0.71,96.02,6.739,7.69,6.757,6.757,
2020/12/10,07:58:13,-0.3802,23.535,33.349,49.375,51020.298,1022.526,22.528,0.24,0.24,0.68,95.92,6.732,7.68,6.749,6.750,
2020/12/10,07:58:13,-0.3605,23.512,33.358,49.364,51034.940,1022.540,22.541,0.25,0.25,0.71,95.93,6.732,7.68,6.750,6.751,
2020/12/10,07:58:13,-0.3802,23.499,33.358,49.351,51036.402,1022.543,22.545,0.24,0.24,0.77,95.83,6.725,7.69,6.743,6.744,
2020/12/10,07:58:13,-0.3605,23.515,33.338,49.341,51007.468,1022.524,22.525,0.24,0.24,0.74,95.86,6.729,7.66,6.746,6.747,
2020/12/10,07:58:14,-0.3802,23.545,33.307,49.331,50961.662,1022.492,22.493,0.25,0.25,0.72,95.77,6.724,7.66,6.742,6.743,
2020/12/10,07:58:14,-0.3802,23.575,33.313,49.367,50964.942,1022.487,22.489,0.26,0.26,0.74,95.91,6.734,7.66,6.752,6.753,
2020/12/10,07:58:14,-0.3605,23.574,33.346,49.410,51010.093,1022.512,22.514,0.27,0.27,0.81,95.82,6.727,7.68,6.744,6.745,
2020/12/10,07:58:14,-0.3605,23.554,33.370,49.422,51046.298,1022.537,22.538,0.30,0.30,0.91,95.78,6.722,7.69,6.740,6.741,
2020/12/10,07:58:14,-0.3802,23.541,33.391,49.437,51075.885,1022.556,22.558,0.28,0.28,0.92,95.56,6.705,7.68,6.723,6.724,
2020/12/10,07:58:14,-0.3802,23.549,33.424,49.489,51120.120,1022.579,22.580,0.30,0.30,0.90,95.57,6.705,7.66,6.722,6.723,
2020/12/10,07:58:14,-0.3802,23.573,33.437,49.530,51135.329,1022.582,22.584,0.30,0.30,0.88,95.68,6.712,7.70,6.730,6.730,
2020/12/10,07:58:14,-0.3802,23.598,33.453,49.575,51152.971,1022.586,22.588,0.31,0.31,0.88,95.68,6.712,7.69,6.730,6.730,
2020/12/10,07:58:14,-0.3802,23.618,33.447,49.588,51142.832,1022.576,22.578,0.31,0.31,0.91,95.55,6.704,7.68,6.722,6.723,
2020/12/10,07:58:14,-0.3605,23.633,33.425,49.573,51110.258,1022.555,22.557,0.28,0.28,0.92,95.47,6.700,7.66,6.718,6.719,
2020/12/10,07:58:15,-0.3802,23.640,33.401,49.549,51077.238,1022.535,22.537,0.28,0.28,0.90,95.51,6.704,7.68,6.721,6.722,
2020/12/10,07:58:15,-0.3802,23.649,33.386,49.537,51054.617,1022.521,22.522,0.26,0.26,0.85,95.43,6.698,7.66,6.715,6.716,
2020/12/10,07:58:15,-0.3802,23.657,33.381,49.540,51048.152,1022.515,22.517,0.27,0.27,0.85,95.43,6.697,7.66,6.715,6.715,
2020/12/10,07:58:15,-0.3802,23.658,33.388,49.549,51056.379,1022.520,22.521,0.27,0.27,0.85,95.39,6.693,7.69,6.711,6.712,
2020/12/10,07:58:15,-0.3802,23.656,33.381,49.538,51047.968,1022.516,22.517,0.28,0.28,0.88,95.32,6.688,7.67,6.706,6.706,
2020/12/10,07:58:15,-0.3802,23.652,33.381,49.534,51048.401,1022.517,22.518,0.26,0.26,0.91,95.32,6.689,7.68,6.707,6.708,
2020/12/10,07:58:15,-0.3802,23.649,33.386,49.537,51054.912,1022.521,22.522,0.25,0.25,0.91,95.23,6.684,7.68,6.701,6.702,
2020/12/10,07:58:15,-0.3802,23.646,33.386,49.534,51055.385,1022.522,22.523,0.24,0.24,0.94,95.17,6.681,7.67,6.699,6.700,
2020/12/10,07:58:15,-0.3802,23.643,33.384,49.529,51052.987,1022.521,22.523,0.25,0.25,0.91,95.07,6.677,7.66,6.694,6.695,
2020/12/10,07:58:15,-0.3802,23.642,33.389,49.535,51060.842,1022.526,22.527,0.25,0.25,0.91,95.07,6.677,7.68,6.694,6.695,
2020/12/10,07:58:16,-0.3802,23.641,33.385,49.528,51054.382,1022.522,22.524,0.27,0.27,0.90,95.07,6.678,7.69,6.695,6.696,
2020/12/10,07:58:16,-0.3605,23.639,33.378,49.517,51045.262,1022.518,22.519,0.28,0.28,0.82,95.11,6.680,7.69,6.698,6.699,
2020/12/10,07:58:16,-0.3605,23.631,33.378,49.510,51047.166,1022.520,22.522,0.25,0.25,0.80,95.07,6.679,7.70,6.696,6.697,
2020/12/10,07:58:16,-0.3605,23.619,33.385,49.507,51057.987,1022.529,22.531,0.26,0.26,0.77,95.11,6.682,7.66,6.699,6.700,
2020/12/10,07:58:16,-0.3802,23.608,33.398,49.513,51076.575,1022.542,22.543,0.25,0.25,0.75,95.08,6.681,7.68,6.698,6.699,
2020/12/10,07:58:16,-0.3802,23.600,33.417,49.531,51104.369,1022.559,22.561,0.24,0.24,0.77,95.16,6.685,7.68,6.703,6.704,
2020/12/10,07:58:16,-0.3802,23.596,33.419,49.529,51107.515,1022.561,22.563,0.24,0.24,0.78,95.16,6.686,7.68,6.704,6.705,
2020/12/10,07:58:16,-0.3802,23.596,33.404,49.509,51087.127,1022.550,22.552,0.24,0.24,0.80,95.13,6.686,7.68,6.703,6.704,
2020/12/10,07:58:16,-0.3802,23.593,33.391,49.488,51069.541,1022.541,22.543,0.26,0.26,0.81,95.10,6.684,7.69,6.702,6.703,
2020/12/10,07:58:16,-0.3605,23.591,33.386,49.480,51062.733,1022.538,22.539,0.27,0.27,0.81,95.07,6.683,7.67,6.700,6.701,
2020/12/10,07:58:17,-0.3802,23.593,33.387,49.483,51063.650,1022.538,22.539,0.28,0.28,0.92,94.98,6.675,7.69,6.693,6.693,
2020/12/10,07:58:17,-0.3605,23.599,33.380,49.480,51053.931,1022.531,22.533,0.28,0.28,1.08,94.96,6.674,7.68,6.691,6.692,
2020/12/10,07:58:17,-0.3802,23.606,33.376,49.482,51046.892,1022.526,22.527,0.27,0.27,1.07,94.92,6.671,7.68,6.689,6.689,
2020/12/10,07:58:17,-0.3605,23.614,33.373,49.486,51042.276,1022.521,22.523,0.27,0.27,1.02,94.85,6.667,7.68,6.684,6.685,
2020/12/10,07:58:17,-0.3605,23.619,33.370,49.487,51037.428,1022.518,22.519,0.27,0.27,1.00,94.82,6.666,7.69,6.683,6.684,
2020/12/10,07:58:17,-0.3802,23.624,33.366,49.486,51030.963,1022.513,22.515,0.26,0.26,0.98,94.89,6.672,7.69,6.689,6.690,
2020/12/10,07:58:17,-0.3802,23.627,33.361,49.483,51024.637,1022.509,22.510,0.24,0.24,0.95,94.78,6.664,7.68,6.681,6.682,
2020/12/10,07:58:17,-0.3802,23.625,33.362,49.482,51025.707,1022.510,22.511,0.26,0.26,0.85,94.60,6.650,7.66,6.668,6.669,
2020/12/10,07:58:17,-0.3802,23.615,33.393,49.512,51068.950,1022.536,22.538,0.25,0.25,0.77,94.63,6.651,7.69,6.668,6.669,
2020/12/10,07:58:17,-0.3605,23.601,33.423,49.539,51112.697,1022.563,22.565,0.25,0.25,0.71,94.71,6.657,7.67,6.675,6.676,
2020/12/10,07:58:18,-0.3802,23.586,33.420,49.520,51109.457,1022.565,22.566,0.26,0.26,0.67,94.62,6.651,7.68,6.668,6.669,
2020/12/10,07:58:18,-0.3802,23.567,33.433,49.518,51129.969,1022.580,22.582,0.25,0.25,0.67,94.61,6.650,7.69,6.667,6.668,
2020/12/10,07:58:18,-0.3802,23.532,33.463,49.523,51175.746,1022.613,22.615,0.24,0.24,0.68,94.69,6.655,7.66,6.672,6.673,
2020/12/10,07:58:18,-0.3802,23.436,33.521,49.503,51267.351,1022.685,22.687,0.26,0.26,0.72,94.64,6.650,7.69,6.667,6.668,
2020/12/10,07:58:18,-0.3802,23.365,33.552,49.474,51319.960,1022.729,22.731,0.25,0.25,0.75,94.61,6.647,7.70,6.665,6.665,
2020/12/10,07:58:18,-0.3802,23.348,33.567,49.477,51342.589,1022.746,22.747,0.24,0.24,0.75,94.57,6.642,7.68,6.659,6.660,
2020/12/10,07:58:18,-0.3802,23.341,33.593,49.504,51378.776,1022.767,22.769,0.24,0.24,0.78,94.36,6.621,7.68,6.639,6.639,
2020/12/10,07:58:18,-0.3802,23.248,33.628,49.457,51439.723,1022.821,22.822,0.25,0.25,0.94,94.40,6.622,7.68,6.639,6.640,
2020/12/10,07:58:18,-0.3802,23.152,33.699,49.454,51549.680,1022.902,22.904,0.27,0.27,1.07,94.39,6.621,7.68,6.638,6.639,
2020/12/10,07:58:18,-0.3605,23.142,33.745,49.503,51613.038,1022.940,22.941,0.24,0.24,0.85,94.33,6.612,7.69,6.629,6.630,
2020/12/10,07:58:19,-0.3605,23.181,33.699,49.483,51545.039,1022.894,22.895,0.25,0.25,0.82,94.22,6.599,7.69,6.617,6.617,
2020/12/10,07:58:19,-0.3605,23.320,33.677,49.593,51496.087,1022.837,22.838,0.26,0.26,0.94,94.17,6.594,7.66,6.611,6.612,
2020/12/10,07:58:19,-0.3802,23.392,33.704,49.700,51522.520,1022.836,22.838,0.28,0.28,1.09,94.05,6.583,7.69,6.601,6.601,
2020/12/10,07:58:19,-0.3802,23.417,33.609,49.601,51390.699,1022.758,22.759,0.28,0.28,0.97,93.91,6.574,7.69,6.591,6.592,
