"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2020/12/10","07:58:07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.67,NA,NA,NA,NA
"2","2020/12/10","07:58:07",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.38,95.56,NA,NA,NA,NA
"3","2020/12/10","07:58:07",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.39,95.52,NA,NA,NA,NA
"4","2020/12/10","07:58:07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.55,NA,NA,NA,NA
"5","2020/12/10","07:58:07",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.78,95.63,NA,NA,NA,NA
"6","2020/12/10","07:58:07",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98,95.67,NA,NA,NA,NA
"7","2020/12/10","07:58:07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.68,NA,NA,NA,NA
"8","2020/12/10","07:58:07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.7,NA,NA,NA,NA
"9","2020/12/10","07:58:07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.74,NA,NA,NA,NA
"10","2020/12/10","07:58:08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.16,NA,NA,NA,NA
"11","2020/12/10","07:58:08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020/12/10","07:58:08",NA,NA,NA,NA,NA,NA,NA,0.21,0.21,NA,NA,NA,NA,NA,NA
"13","2020/12/10","07:58:08",NA,NA,NA,NA,NA,NA,NA,0.28,0.28,NA,NA,NA,NA,NA,NA
"14","2020/12/10","07:58:08",-0.3605,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.49,NA,7.61,NA,NA
"15","2020/12/10","07:58:08",-0.3605,23.334,NA,49.629,NA,NA,NA,NA,NA,1.32,99.29,NA,NA,NA,NA
"16","2020/12/10","07:58:08",-0.3605,23.43,33.586,49.583,51357.086,1022.736,22.738,0.31,0.31,1.05,99.08,6.995,NA,7.013,7.014
"17","2020/12/10","07:58:08",-0.3605,23.49,33.522,49.558,51261.184,1022.67,22.672,NA,NA,1,98.87,6.979,7.61,6.996,6.997
"18","2020/12/10","07:58:08",-0.3802,23.531,33.479,49.542,51197.417,1022.626,22.627,NA,NA,0.95,98.91,6.978,7.61,6.996,6.997
"19","2020/12/10","07:58:08",-0.3605,23.551,33.468,49.549,51180.377,1022.612,22.613,NA,NA,0.91,98.94,6.978,7.61,6.996,6.997
"20","2020/12/10","07:58:09",-0.3605,23.554,33.449,49.526,51153.488,1022.596,22.598,NA,NA,0.85,98.65,6.955,7.64,6.973,6.974
"21","2020/12/10","07:58:09",-0.3605,23.566,33.409,49.485,51097.044,1022.562,22.564,0.28,0.28,0.9,98.38,6.935,7.61,6.952,6.953
"22","2020/12/10","07:58:09",-0.3802,23.575,33.38,49.456,51057.349,1022.538,22.54,0.31,0.31,1.15,98.18,6.916,7.63,6.934,6.934
"23","2020/12/10","07:58:09",-0.3605,23.527,33.407,49.444,51100.431,1022.573,22.574,0.28,0.28,0.95,97.81,6.882,7.64,6.9,6.901
