//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=230       
StartTime=2020/12/10 10:59:06
EndTime=2020/12/10 10:59:28
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2020/12/10,10:59:06,-0.4783,21.473,0.028,0.045,48.750,997.909,-2.088,0.77,0.77,1.98,95.54,8.375,7.49,8.394,8.394,
2020/12/10,10:59:06,-0.4979,21.461,0.028,0.045,48.520,997.912,-2.086,0.74,0.74,2.05,95.40,8.364,7.50,8.383,8.383,
2020/12/10,10:59:06,-0.4979,21.451,0.028,0.045,48.810,997.914,-2.083,0.74,0.74,1.93,95.40,8.365,7.54,8.384,8.384,
2020/12/10,10:59:06,-0.4783,21.443,0.028,0.045,48.854,997.916,-2.082,0.77,0.77,1.95,95.40,8.366,7.53,8.384,8.385,
2020/12/10,10:59:06,-0.4783,21.438,0.028,0.045,48.996,997.917,-2.081,0.67,0.67,1.99,95.39,8.365,7.54,8.384,8.384,
2020/12/10,10:59:06,-0.4979,21.429,0.028,0.045,48.762,997.919,-2.079,0.54,0.54,2.10,95.46,8.372,7.55,8.390,8.391,
2020/12/10,10:59:06,-0.4979,21.422,0.028,0.045,48.803,997.921,-2.077,0.44,0.44,2.06,95.55,8.380,7.54,8.399,8.399,
2020/12/10,10:59:06,-0.4979,21.425,0.028,0.045,48.763,997.920,-2.078,0.60,0.60,1.79,95.44,8.369,7.56,8.388,8.388,
2020/12/10,10:59:06,-0.4979,21.428,0.028,0.045,48.758,997.919,-2.078,0.70,0.70,1.59,95.49,8.372,7.56,8.391,8.391,
2020/12/10,10:59:06,-0.4783,21.434,0.028,0.045,48.401,997.918,-2.080,0.64,0.64,1.46,95.43,8.368,7.56,8.386,8.387,
2020/12/10,10:59:07,-0.4979,21.436,0.028,0.045,48.398,997.917,-2.080,0.64,0.64,1.36,95.47,8.371,7.58,8.389,8.390,
2020/12/10,10:59:07,-0.4979,21.441,0.028,0.045,48.570,997.916,-2.081,0.73,0.73,1.32,95.45,8.369,7.58,8.387,8.388,
2020/12/10,10:59:07,-0.4979,21.448,0.028,0.045,48.633,997.915,-2.083,0.73,0.73,1.34,95.42,8.365,7.60,8.384,8.384,
2020/12/10,10:59:07,-0.4979,21.462,0.028,0.045,48.407,997.912,-2.086,0.64,0.64,1.32,95.42,8.364,7.58,8.382,8.383,
2020/12/10,10:59:07,-0.4979,21.478,0.028,0.045,48.775,997.908,-2.089,0.64,0.64,1.39,95.37,8.357,7.61,8.376,8.376,
2020/12/10,10:59:07,-0.4979,21.500,0.028,0.045,49.130,997.904,-2.094,0.65,0.65,1.42,95.43,8.361,7.61,8.380,8.380,
