//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=130       
StartTime=2020/12/10 11:13:29
EndTime=2020/12/10 11:13:41
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2020/12/10,11:13:29,-0.4194,21.372,0.033,0.055,59.891,997.936,-2.062,0.26,0.26,284.84,96.04,8.416,7.49,8.434,8.435,
2020/12/10,11:13:29,-0.4587,21.887,28.507,41.490,44539.596,1019.321,19.323,0.46,0.46,69.86,96.87,7.142,7.50,7.160,7.160,
2020/12/10,11:13:29,-0.4390,22.505,24.552,36.733,38866.491,1016.163,16.165,0.49,0.49,17.86,96.30,7.218,7.51,7.236,7.236,
2020/12/10,11:13:29,-0.3998,22.918,34.830,50.688,53121.049,1023.827,23.828,0.47,0.47,6.53,95.80,6.738,7.54,6.755,6.756,
2020/12/10,11:13:29,-0.3998,23.107,34.152,50.000,52172.303,1023.258,23.260,0.47,0.47,4.40,95.56,6.732,7.53,6.749,6.750,
2020/12/10,11:13:29,-0.3998,23.200,34.067,49.982,52043.589,1023.167,23.169,0.44,0.44,3.30,95.39,6.713,7.54,6.730,6.731,
2020/12/10,11:13:29,-0.3998,23.279,34.028,50.011,51979.547,1023.114,23.116,0.48,0.48,3.04,95.20,6.693,7.55,6.710,6.711,
2020/12/10,11:13:29,-0.3998,23.352,34.028,50.085,51969.517,1023.093,23.095,0.52,0.52,2.93,95.08,6.676,7.56,6.693,6.694,
2020/12/10,11:13:29,-0.3998,23.400,33.973,50.062,51888.535,1023.038,23.040,0.50,0.50,2.89,95.08,6.671,7.57,6.688,6.689,
2020/12/10,11:13:29,-0.3998,23.427,33.951,50.060,51854.303,1023.013,23.015,0.51,0.51,2.83,95.00,6.662,7.57,6.679,6.680,
2020/12/10,11:13:30,-0.3998,23.443,33.937,50.058,51833.487,1022.998,23.000,0.49,0.49,2.75,94.88,6.651,7.58,6.668,6.669,
2020/12/10,11:13:30,-0.3998,23.452,33.936,50.065,51830.770,1022.995,22.997,0.48,0.48,3.02,94.69,6.633,7.60,6.650,6.651,
2020/12/10,11:13:30,-0.3802,23.457,33.930,50.063,51822.275,1022.989,22.991,0.49,0.49,2.96,94.56,6.620,7.58,6.638,6.639,
2020/12/10,11:13:30,-0.3998,23.456,33.930,50.062,51821.993,1022.989,22.991,0.50,0.50,2.97,94.49,6.611,7.58,6.629,6.630,
2020/12/10,11:13:30,-0.3998,23.444,33.940,50.063,51837.405,1023.000,23.002,0.49,0.49,2.80,94.60,6.616,7.60,6.634,6.635,
2020/12/10,11:13:30,-0.3802,23.436,33.954,50.073,51857.855,1023.013,23.015,0.47,0.47,2.70,94.52,6.609,7.59,6.626,6.627,
2020/12/10,11:13:30,-0.3998,23.425,33.968,50.080,51877.501,1023.027,23.028,0.48,0.48,2.65,94.49,6.604,7.61,6.622,6.623,
2020/12/10,11:13:30,-0.3802,23.418,33.973,50.080,51885.363,1023.032,23.034,0.47,0.47,2.75,94.36,6.596,7.60,6.613,6.614,
2020/12/10,11:13:30,-0.3802,23.418,33.981,50.091,51896.916,1023.039,23.041,0.50,0.50,2.72,94.23,6.587,7.61,6.604,6.605,
2020/12/10,11:13:30,-0.3802,23.408,33.996,50.099,51918.144,1023.053,23.055,0.50,0.50,2.76,94.07,6.574,7.61,6.592,6.593,
2020/12/10,11:13:31,-0.3802,23.401,34.005,50.105,51932.046,1023.062,23.064,0.51,0.51,2.77,93.85,6.558,7.62,6.575,6.576,
2020/12/10,11:13:31,-0.3998,23.401,34.004,50.103,51929.838,1023.061,23.063,0.52,0.52,3.02,93.58,6.539,7.62,6.556,6.557,
2020/12/10,11:13:31,-0.3802,23.396,34.001,50.094,51926.932,1023.060,23.062,0.48,0.48,2.77,93.22,6.514,7.62,6.531,6.532,
2020/12/10,11:13:31,-0.3802,23.394,33.996,50.085,51920.043,1023.057,23.059,0.51,0.51,2.65,93.03,6.502,7.62,6.519,6.520,
2020/12/10,11:13:31,-0.3802,23.398,33.998,50.092,51921.790,1023.057,23.059,0.52,0.52,2.67,92.75,6.483,7.63,6.500,6.501,
2020/12/10,11:13:31,-0.3802,23.398,33.996,50.089,51919.166,1023.056,23.057,0.51,0.51,2.73,92.44,6.462,7.62,6.479,6.480,
2020/12/10,11:13:31,-0.3802,23.409,33.988,50.090,51907.644,1023.047,23.049,0.51,0.51,3.13,92.08,6.437,7.62,6.454,6.455,
2020/12/10,11:13:31,-0.3802,23.409,33.988,50.090,51906.960,1023.046,23.048,0.51,0.51,2.89,91.90,6.425,7.62,6.442,6.443,
2020/12/10,11:13:31,-0.3802,23.406,33.988,50.087,51908.072,1023.048,23.049,0.51,0.51,2.69,91.74,6.414,7.63,6.431,6.431,
2020/12/10,11:13:31,-0.3802,23.397,33.992,50.083,51913.807,1023.053,23.055,0.52,0.52,2.93,91.45,6.393,7.64,6.410,6.411,
2020/12/10,11:13:32,-0.3802,23.401,33.981,50.073,51898.620,1023.043,23.045,0.51,0.51,2.90,91.32,6.383,7.64,6.400,6.401,
2020/12/10,11:13:32,-0.3802,23.404,33.979,50.074,51896.042,1023.041,23.043,0.54,0.54,2.75,91.13,6.370,7.64,6.387,6.388,
2020/12/10,11:13:32,-0.3802,23.398,33.982,50.072,51900.953,1023.045,23.047,0.54,0.54,2.66,90.92,6.355,7.64,6.372,6.373,
2020/12/10,11:13:32,-0.3802,23.393,33.980,50.064,51898.236,1023.045,23.047,0.53,0.53,2.65,90.66,6.337,7.64,6.353,6.354,
2020/12/10,11:13:32,-0.3802,23.391,33.975,50.055,51892.166,1023.042,23.044,0.51,0.51,2.87,90.55,6.329,7.66,6.345,6.346,
2020/12/10,11:13:32,-0.3802,23.393,33.963,50.041,51875.049,1023.032,23.034,0.52,0.52,3.14,90.31,6.313,7.65,6.329,6.330,
2020/12/10,11:13:32,-0.3802,23.393,33.957,50.033,51866.702,1023.028,23.029,0.54,0.54,2.79,90.10,6.299,7.65,6.315,6.316,
2020/12/10,11:13:32,-0.3802,23.390,33.952,50.024,51861.201,1023.025,23.027,0.54,0.54,2.69,89.96,6.290,7.64,6.307,6.308,
2020/12/10,11:13:32,-0.3605,23.390,33.949,50.020,51856.948,1023.023,23.024,0.57,0.57,2.77,89.79,6.278,7.66,6.295,6.296,
2020/12/10,11:13:32,-0.3802,23.392,33.960,50.036,51871.193,1023.030,23.032,0.57,0.57,2.85,89.68,6.270,7.65,6.286,6.287,
2020/12/10,11:13:33,-0.3802,23.384,33.975,50.048,51892.634,1023.044,23.045,0.57,0.57,2.95,89.69,6.269,7.63,6.286,6.287,
2020/12/10,11:13:33,-0.3802,23.372,33.968,50.026,51885.286,1023.042,23.044,0.57,0.57,3.00,89.67,6.268,7.64,6.284,6.285,
2020/12/10,11:13:33,-0.3605,23.374,33.966,50.026,51882.159,1023.040,23.042,0.57,0.57,2.89,89.55,6.259,7.65,6.275,6.276,
2020/12/10,11:13:33,-0.3802,23.365,33.979,50.034,51900.864,1023.052,23.054,0.52,0.52,2.67,89.44,6.251,7.65,6.267,6.268,
2020/12/10,11:13:33,-0.3802,23.352,33.979,50.021,51902.697,1023.056,23.058,0.57,0.57,2.73,89.32,6.243,7.66,6.259,6.260,
2020/12/10,11:13:33,-0.3998,23.330,33.985,50.007,51914.450,1023.067,23.069,0.55,0.55,2.72,89.24,6.236,7.66,6.252,6.253,
2020/12/10,11:13:33,-0.3802,23.316,33.991,50.000,51923.575,1023.075,23.077,0.51,0.51,2.85,89.27,6.238,7.66,6.255,6.255,
2020/12/10,11:13:33,-0.3998,23.316,33.993,50.004,51927.395,1023.078,23.079,0.51,0.51,2.87,89.10,6.227,7.65,6.244,6.244,
2020/12/10,11:13:33,-0.3998,23.324,33.993,50.011,51925.180,1023.075,23.076,0.50,0.50,2.77,89.05,6.225,7.67,6.241,6.242,
2020/12/10,11:13:33,-0.3998,23.331,33.989,50.013,51919.275,1023.070,23.072,0.51,0.51,2.63,88.93,6.217,7.65,6.233,6.234,
2020/12/10,11:13:34,-0.4194,23.328,33.984,50.004,51913.225,1023.067,23.069,0.50,0.50,2.65,88.93,6.218,7.65,6.235,6.235,
2020/12/10,11:13:34,-0.3998,23.315,34.001,50.013,51938.309,1023.084,23.086,0.46,0.46,2.67,89.06,6.229,7.66,6.245,6.246,
2020/12/10,11:13:34,-0.4194,23.314,34.006,50.018,51944.919,1023.088,23.089,0.50,0.50,2.63,88.93,6.220,7.67,6.236,6.237,
2020/12/10,11:13:34,-0.3998,23.321,33.990,50.004,51921.728,1023.073,23.075,0.50,0.50,2.59,88.73,6.205,7.66,6.221,6.222,
2020/12/10,11:13:34,-0.3998,23.316,33.991,50.000,51923.972,1023.076,23.077,0.47,0.47,2.53,88.54,6.191,7.66,6.207,6.208,
2020/12/10,11:13:34,-0.3998,23.320,33.993,50.007,51926.849,1023.076,23.078,0.44,0.44,2.48,88.42,6.181,7.66,6.198,6.198,
2020/12/10,11:13:34,-0.3998,23.329,33.992,50.014,51923.278,1023.073,23.074,0.44,0.44,2.60,88.36,6.177,7.66,6.193,6.194,
2020/12/10,11:13:34,-0.3802,23.325,33.995,50.015,51928.339,1023.076,23.078,0.47,0.47,2.73,88.34,6.176,7.66,6.192,6.193,
2020/12/10,11:13:34,-0.3998,23.333,33.989,50.014,51918.981,1023.069,23.071,0.49,0.49,2.76,88.38,6.180,7.67,6.196,6.197,
2020/12/10,11:13:34,-0.3998,23.357,33.983,50.031,51907.003,1023.057,23.059,0.49,0.49,2.59,88.35,6.178,7.67,6.194,6.195,
2020/12/10,11:13:35,-0.3802,23.388,33.955,50.027,51865.794,1023.028,23.030,0.51,0.51,2.53,88.30,6.177,7.68,6.193,6.194,
2020/12/10,11:13:35,-0.3802,23.401,33.937,50.015,51838.915,1023.010,23.012,0.51,0.51,2.65,88.24,6.174,7.66,6.190,6.191,
2020/12/10,11:13:35,-0.3998,23.397,33.933,50.006,51834.477,1023.009,23.010,0.52,0.52,2.66,88.27,6.177,7.66,6.193,6.194,
2020/12/10,11:13:35,-0.3998,23.389,33.939,50.006,51843.740,1023.015,23.017,0.51,0.51,2.60,88.20,6.171,7.66,6.187,6.188,
2020/12/10,11:13:35,-0.3998,23.397,33.936,50.009,51837.754,1023.010,23.012,0.47,0.47,2.48,88.17,6.169,7.65,6.185,6.186,
2020/12/10,11:13:35,-0.3998,23.402,33.935,50.014,51836.389,1023.009,23.010,0.46,0.46,2.52,88.06,6.161,7.66,6.177,6.178,
2020/12/10,11:13:35,-0.3998,23.378,33.953,50.014,51864.287,1023.029,23.031,0.47,0.47,2.55,88.04,6.159,7.66,6.175,6.176,
2020/12/10,11:13:35,-0.3998,23.367,33.957,50.008,51870.875,1023.035,23.037,0.47,0.47,2.70,88.01,6.156,7.66,6.172,6.173,
2020/12/10,11:13:35,-0.3998,23.371,33.960,50.015,51873.770,1023.036,23.038,0.48,0.48,2.59,87.90,6.149,7.68,6.165,6.166,
2020/12/10,11:13:35,-0.3802,23.368,33.969,50.024,51886.864,1023.044,23.046,0.47,0.47,2.53,87.92,6.149,7.66,6.165,6.166,
2020/12/10,11:13:36,-0.3998,23.364,33.971,50.023,51891.051,1023.047,23.049,0.47,0.47,2.53,87.83,6.144,7.69,6.160,6.160,
2020/12/10,11:13:36,-0.3998,23.364,33.971,50.023,51890.369,1023.047,23.048,0.51,0.51,2.57,87.82,6.144,7.69,6.160,6.161,
2020/12/10,11:13:36,-0.3998,23.370,33.957,50.011,51870.311,1023.034,23.036,0.52,0.52,2.60,87.83,6.145,7.66,6.161,6.162,
2020/12/10,11:13:36,-0.3998,23.379,33.947,50.007,51855.919,1023.024,23.026,0.51,0.51,2.56,87.73,6.138,7.67,6.154,6.155,
2020/12/10,11:13:36,-0.3802,23.377,33.946,50.004,51854.708,1023.024,23.026,0.51,0.51,2.55,87.74,6.138,7.66,6.154,6.155,
2020/12/10,11:13:36,-0.3802,23.383,33.936,49.997,51840.468,1023.015,23.017,0.51,0.51,2.56,87.75,6.139,7.68,6.155,6.156,
2020/12/10,11:13:36,-0.3802,23.389,33.932,49.997,51834.101,1023.010,23.012,0.49,0.49,2.57,87.71,6.136,7.67,6.152,6.153,
2020/12/10,11:13:36,-0.3802,23.390,33.926,49.990,51825.574,1023.005,23.007,0.47,0.47,2.60,87.73,6.137,7.69,6.153,6.154,
2020/12/10,11:13:36,-0.3998,23.392,33.904,49.963,51795.712,1022.988,22.990,0.48,0.48,2.53,87.62,6.131,7.66,6.147,6.147,
2020/12/10,11:13:36,-0.3998,23.394,33.902,49.963,51792.888,1022.986,22.988,0.47,0.47,2.43,87.59,6.129,7.66,6.145,6.145,
2020/12/10,11:13:37,-0.3998,23.365,33.938,49.981,51845.458,1023.021,23.023,0.48,0.48,2.45,87.50,6.122,7.68,6.138,6.139,
2020/12/10,11:13:37,-0.3802,23.310,33.977,49.977,51906.495,1023.067,23.069,0.46,0.46,2.45,87.49,6.121,7.69,6.137,6.138,
2020/12/10,11:13:37,-0.3998,23.282,34.013,49.994,51958.453,1023.102,23.104,0.47,0.47,2.62,87.43,6.118,7.67,6.134,6.135,
2020/12/10,11:13:37,-0.3998,23.278,34.015,49.993,51962.367,1023.105,23.107,0.49,0.49,2.62,87.46,6.122,7.66,6.138,6.138,
2020/12/10,11:13:37,-0.3998,23.289,34.000,49.985,51940.697,1023.091,23.092,0.53,0.53,2.57,87.49,6.125,7.66,6.141,6.142,
2020/12/10,11:13:37,-0.3998,23.300,33.994,49.989,51930.571,1023.083,23.084,0.51,0.51,2.62,87.53,6.128,7.68,6.144,6.145,
2020/12/10,11:13:37,-0.3998,23.298,34.003,49.998,51942.314,1023.090,23.091,0.53,0.53,2.59,87.45,6.121,7.68,6.137,6.138,
2020/12/10,11:13:37,-0.3998,23.309,33.995,49.999,51930.450,1023.081,23.082,0.51,0.51,2.56,87.39,6.117,7.69,6.132,6.133,
2020/12/10,11:13:37,-0.3998,23.308,33.989,49.989,51922.126,1023.076,23.078,0.49,0.49,2.65,87.34,6.111,7.69,6.127,6.128,
2020/12/10,11:13:37,-0.3802,23.290,33.995,49.980,51933.632,1023.087,23.088,0.50,0.50,2.67,87.39,6.113,7.68,6.129,6.130,
2020/12/10,11:13:38,-0.3998,23.290,33.991,49.974,51927.615,1023.083,23.085,0.45,0.45,2.59,87.34,6.109,7.69,6.125,6.126,
2020/12/10,11:13:38,-0.3998,23.290,33.992,49.975,51929.169,1023.084,23.086,0.47,0.47,2.59,87.34,6.108,7.66,6.124,6.125,
2020/12/10,11:13:38,-0.3802,23.289,33.990,49.972,51927.179,1023.083,23.085,0.47,0.47,2.63,87.30,6.105,7.68,6.121,6.122,
2020/12/10,11:13:38,-0.3998,23.290,33.988,49.971,51923.781,1023.081,23.083,0.45,0.45,2.59,87.17,6.094,7.66,6.110,6.111,
2020/12/10,11:13:38,-0.3802,23.299,33.986,49.977,51919.613,1023.077,23.079,0.48,0.48,2.72,87.17,6.094,7.66,6.110,6.111,
2020/12/10,11:13:38,-0.3802,23.313,33.972,49.973,51899.041,1023.063,23.064,0.48,0.48,2.76,87.19,6.096,7.66,6.112,6.113,
2020/12/10,11:13:38,-0.3802,23.330,33.968,49.984,51891.229,1023.055,23.056,0.47,0.47,2.79,87.16,6.094,7.69,6.110,6.111,
2020/12/10,11:13:38,-0.3802,23.345,33.972,50.005,51893.701,1023.053,23.054,0.51,0.51,2.87,87.06,6.087,7.65,6.103,6.104,
2020/12/10,11:13:38,-0.3802,23.361,33.957,50.001,51872.047,1023.037,23.039,0.48,0.48,2.72,87.13,6.093,7.69,6.108,6.109,
2020/12/10,11:13:38,-0.3802,23.373,33.944,49.997,51852.474,1023.024,23.025,0.47,0.47,2.62,87.07,6.090,7.66,6.106,6.107,
2020/12/10,11:13:39,-0.3802,23.380,33.939,49.997,51845.103,1023.018,23.020,0.51,0.51,2.57,87.02,6.087,7.67,6.103,6.104,
2020/12/10,11:13:39,-0.3802,23.374,33.948,50.004,51858.255,1023.027,23.028,0.52,0.52,2.59,87.00,6.087,7.69,6.102,6.103,
2020/12/10,11:13:39,-0.3802,23.373,33.951,50.005,51862.006,1023.029,23.031,0.49,0.49,2.60,86.96,6.084,7.66,6.100,6.101,
2020/12/10,11:13:39,-0.3802,23.374,33.943,49.997,51851.397,1023.023,23.025,0.51,0.51,2.63,86.91,6.080,7.69,6.096,6.097,
2020/12/10,11:13:39,-0.3998,23.374,33.935,49.985,51839.698,1023.016,23.018,0.52,0.52,2.48,86.87,6.079,7.69,6.095,6.096,
2020/12/10,11:13:39,-0.3802,23.370,33.932,49.978,51837.117,1023.016,23.018,0.51,0.51,2.45,86.88,6.080,7.66,6.096,6.097,
2020/12/10,11:13:39,-0.3802,23.368,33.934,49.978,51838.771,1023.017,23.019,0.50,0.50,2.52,86.82,6.076,7.68,6.092,6.093,
2020/12/10,11:13:39,-0.3802,23.366,33.936,49.979,51842.532,1023.020,23.021,0.51,0.51,2.57,86.82,6.077,7.67,6.093,6.094,
2020/12/10,11:13:39,-0.3998,23.365,33.930,49.970,51834.894,1023.016,23.017,0.48,0.48,2.60,86.83,6.078,7.66,6.094,6.095,
2020/12/10,11:13:39,-0.3998,23.359,33.931,49.964,51836.017,1023.018,23.019,0.49,0.49,2.50,86.90,6.082,7.68,6.098,6.099,
2020/12/10,11:13:40,-0.3802,23.352,33.934,49.962,51842.113,1023.023,23.024,0.47,0.47,2.59,86.97,6.087,7.67,6.103,6.104,
2020/12/10,11:13:40,-0.3998,23.349,33.938,49.964,51847.160,1023.026,23.028,0.49,0.49,2.62,86.84,6.078,7.67,6.094,6.095,
2020/12/10,11:13:40,-0.3802,23.354,33.936,49.966,51843.992,1023.023,23.025,0.49,0.49,2.57,86.88,6.081,7.68,6.097,6.097,
2020/12/10,11:13:40,-0.3998,23.361,33.932,49.969,51837.914,1023.018,23.020,0.51,0.51,2.53,86.81,6.076,7.66,6.092,6.093,
2020/12/10,11:13:40,-0.3802,23.366,33.922,49.961,51823.723,1023.009,23.011,0.48,0.48,2.52,86.78,6.075,7.69,6.090,6.091,
2020/12/10,11:13:40,-0.3998,23.370,33.913,49.952,51810.215,1023.001,23.003,0.50,0.50,2.45,86.76,6.074,7.69,6.090,6.091,
2020/12/10,11:13:40,-0.3998,23.370,33.910,49.948,51806.355,1022.999,23.000,0.53,0.53,2.46,86.67,6.068,7.66,6.084,6.085,
2020/12/10,11:13:40,-0.3998,23.355,33.918,49.945,51820.079,1023.009,23.011,0.55,0.55,2.62,86.63,6.065,7.66,6.081,6.082,
2020/12/10,11:13:40,-0.3998,23.351,33.920,49.942,51822.857,1023.012,23.014,0.53,0.53,2.56,86.65,6.067,7.66,6.083,6.084,
2020/12/10,11:13:40,-0.3998,23.341,33.927,49.942,51833.836,1023.020,23.022,0.51,0.51,2.43,86.65,6.067,7.66,6.082,6.083,
2020/12/10,11:13:41,-0.4194,23.338,33.928,49.941,51835.670,1023.022,23.023,0.48,0.48,2.43,86.61,6.064,7.67,6.080,6.081,
2020/12/10,11:13:41,-0.3998,23.348,33.917,49.935,51818.345,1023.010,23.012,0.50,0.50,2.50,86.57,6.062,7.69,6.078,6.079,
2020/12/10,11:13:41,-0.4194,23.343,33.948,49.971,51862.005,1023.035,23.037,0.47,0.47,2.49,86.52,6.057,7.68,6.072,6.073,
2020/12/10,11:13:41,-0.3998,23.291,33.985,49.966,51919.096,1023.078,23.080,0.45,0.45,2.55,86.56,6.057,7.66,6.073,6.074,
2020/12/10,11:13:41,-0.3998,23.258,34.008,49.964,51955.111,1023.105,23.107,0.49,0.49,2.57,86.55,6.054,7.66,6.070,6.071,
2020/12/10,11:13:41,-0.3998,23.223,34.056,49.991,52025.233,1023.152,23.153,0.52,0.52,2.56,86.55,6.052,7.67,6.067,6.068,
2020/12/10,11:13:41,-0.4194,23.206,34.067,49.989,52043.339,1023.165,23.167,0.52,0.52,2.76,86.50,6.047,7.67,6.062,6.063,
2020/12/10,11:13:41,-0.3998,23.209,34.071,49.997,52047.366,1023.167,23.169,0.53,0.53,2.65,86.48,6.045,7.67,6.061,6.062,
2020/12/10,11:13:41,-0.3998,23.227,33.959,49.869,51893.059,1023.077,23.079,0.53,0.53,2.48,86.42,6.044,7.67,6.060,6.060,
2020/12/10,11:13:41,-0.4194,23.251,22.549,34.538,35919.688,1014.450,14.452,0.47,0.47,2.39,86.43,6.456,7.67,6.473,6.473,
