//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=120       
StartTime=2020/12/24 09:34:54
EndTime=2020/12/24 09:35:05
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2020/12/24,09:34:54,-0.5176,20.399,0.029,0.045,50.535,998.142,-1.856,0.00,0.00,0.40,94.88,8.490,7.45,8.508,8.508,
2020/12/24,09:34:54,-0.5372,20.392,0.029,0.045,50.431,998.143,-1.854,-0.01,-0.01,0.38,94.73,8.477,7.47,8.494,8.495,
2020/12/24,09:34:54,-0.5372,20.383,0.029,0.045,50.593,998.145,-1.852,-0.01,-0.01,0.38,94.88,8.488,7.48,8.506,8.506,
2020/12/24,09:34:54,-0.5372,20.376,0.029,0.045,50.380,998.146,-1.851,0.00,0.00,0.38,94.77,8.479,7.50,8.496,8.497,
2020/12/24,09:34:54,-0.5372,20.371,0.029,0.045,50.647,998.148,-1.850,-0.01,-0.01,0.37,94.86,8.486,7.48,8.504,8.504,
2020/12/24,09:34:54,-0.5372,20.368,0.029,0.046,50.687,998.148,-1.849,-0.01,-0.01,0.37,94.85,8.486,7.50,8.504,8.504,
2020/12/24,09:34:54,-0.5372,20.369,0.029,0.045,50.314,998.148,-1.850,-0.01,-0.01,0.37,94.87,8.488,7.51,8.505,8.506,
2020/12/24,09:34:54,-0.5372,20.368,0.029,0.045,50.500,998.148,-1.849,-0.02,-0.02,1.07,94.73,8.475,7.49,8.493,8.493,
2020/12/24,09:34:54,-0.5176,20.370,0.029,0.045,50.239,998.148,-1.850,-0.01,-0.01,1.00,94.77,8.480,7.52,8.497,8.498,
2020/12/24,09:34:54,-0.5372,20.375,0.028,0.045,50.156,998.146,-1.851,0.04,0.04,1.46,94.75,8.477,7.52,8.495,8.495,
2020/12/24,09:34:55,-0.5372,20.384,0.029,0.045,50.481,998.145,-1.853,0.07,0.07,3.19,94.75,8.476,7.52,8.494,8.494,
2020/12/24,09:34:55,-0.5372,20.398,0.029,0.045,50.600,998.142,-1.856,-0.37,-0.37,224.94,94.83,8.479,7.55,8.497,8.497,
2020/12/24,09:34:55,-0.4979,20.958,22.594,32.994,36214.583,1015.087,15.089,-0.08,-0.08,164.12,94.94,7.369,7.54,7.386,7.386,
2020/12/24,09:34:55,-0.4390,21.627,36.623,51.619,55756.247,1025.555,25.557,0.26,0.26,36.32,95.62,6.793,7.55,6.809,6.811,
2020/12/24,09:34:55,-0.4390,22.093,34.332,49.206,52567.902,1023.683,23.684,0.32,0.32,9.17,95.65,6.851,7.56,6.868,6.869,
2020/12/24,09:34:55,-0.4390,22.354,34.157,49.246,52289.580,1023.477,23.478,0.33,0.33,3.14,95.60,6.834,7.56,6.851,6.852,
