//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=210       
StartTime=2020/12/24 13:47:32
EndTime=2020/12/24 13:47:52
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2020/12/24,13:47:32,-0.4783,20.698,0.029,0.045,50.029,998.078,-1.919,0.15,0.15,0.50,94.94,8.410,7.45,8.428,8.429,
2020/12/24,13:47:32,-0.4979,20.697,0.029,0.046,50.311,998.079,-1.919,0.15,0.15,0.48,94.97,8.414,7.46,8.433,8.433,
2020/12/24,13:47:32,-0.4979,20.695,0.029,0.045,49.945,998.079,-1.919,0.14,0.14,0.47,95.05,8.423,7.47,8.441,8.441,
2020/12/24,13:47:32,-0.4979,20.689,0.029,0.045,50.245,998.080,-1.917,0.14,0.14,0.47,95.11,8.430,7.50,8.448,8.448,
2020/12/24,13:47:32,-0.4979,20.689,0.029,0.045,49.912,998.080,-1.917,0.13,0.13,0.45,95.12,8.431,7.48,8.449,8.450,
2020/12/24,13:47:32,-0.4979,20.675,0.028,0.045,49.683,998.083,-1.915,0.13,0.13,0.45,95.24,8.441,7.50,8.459,8.459,
2020/12/24,13:47:32,-0.4979,20.662,0.029,0.045,50.064,998.086,-1.912,0.12,0.12,0.44,95.10,8.427,7.50,8.445,8.445,
2020/12/24,13:47:32,-0.4979,20.668,0.029,0.046,50.455,998.085,-1.913,0.12,0.12,0.44,95.02,8.417,7.50,8.436,8.436,
2020/12/24,13:47:32,-0.4979,20.673,0.029,0.045,50.229,998.084,-1.914,0.11,0.11,0.44,95.03,8.415,7.51,8.433,8.434,
2020/12/24,13:47:32,-0.4979,20.677,0.029,0.045,49.931,998.083,-1.915,0.11,0.11,0.43,94.98,8.409,7.55,8.427,8.427,
2020/12/24,13:47:33,-0.4979,20.683,0.028,0.045,49.851,998.081,-1.916,0.11,0.11,0.43,95.14,8.420,7.53,8.438,8.439,
2020/12/24,13:47:33,-0.4979,20.691,0.029,0.045,50.062,998.080,-1.918,0.11,0.11,0.41,95.16,8.420,7.53,8.438,8.438,
2020/12/24,13:47:33,-0.4783,20.702,0.029,0.045,50.044,998.078,-1.920,0.11,0.11,0.41,95.08,8.410,7.55,8.428,8.429,
2020/12/24,13:47:33,-0.4979,20.713,0.028,0.045,49.660,998.075,-1.923,0.11,0.11,0.41,95.08,8.409,7.55,8.427,8.428,
2020/12/24,13:47:33,-0.4979,20.721,0.029,0.045,49.940,998.073,-1.924,0.10,0.10,0.40,94.98,8.401,7.54,8.419,8.419,
2020/12/24,13:47:33,-0.4979,20.727,0.029,0.045,50.010,998.072,-1.926,0.10,0.10,0.40,94.96,8.401,7.55,8.419,8.420,
2020/12/24,13:47:33,-0.5176,20.738,0.029,0.045,50.143,998.070,-1.928,0.10,0.10,0.40,94.90,8.397,7.56,8.415,8.416,
2020/12/24,13:47:33,-0.4783,20.749,0.028,0.045,49.839,998.067,-1.930,0.09,0.09,0.38,95.01,8.409,7.55,8.427,8.427,
2020/12/24,13:47:33,-0.4979,20.750,0.029,0.045,49.910,998.067,-1.930,0.09,0.09,0.38,94.96,8.405,7.57,8.424,8.424,
2020/12/24,13:47:33,-0.4783,20.751,0.029,0.045,50.128,998.067,-1.931,0.09,0.09,0.38,94.99,8.407,7.55,8.425,8.426,
2020/12/24,13:47:34,-0.4979,20.753,0.029,0.045,50.089,998.067,-1.931,0.09,0.09,0.38,94.97,8.403,7.57,8.421,8.422,
2020/12/24,13:47:34,-0.4783,20.758,0.028,0.045,49.828,998.065,-1.932,0.08,0.08,0.37,94.92,8.397,7.57,8.415,8.416,
2020/12/24,13:47:34,-0.4979,20.763,0.028,0.045,49.783,998.064,-1.933,0.08,0.08,0.37,94.91,8.395,7.58,8.414,8.414,
2020/12/24,13:47:34,-0.4979,20.771,0.028,0.045,49.633,998.063,-1.935,-0.05,-0.05,0.88,94.97,8.399,7.57,8.417,8.417,
2020/12/24,13:47:34,-0.4979,20.770,0.029,0.045,49.994,998.063,-1.935,-0.02,-0.02,2.72,94.87,8.389,7.58,8.407,8.407,
2020/12/24,13:47:34,-0.4979,20.765,0.029,0.045,49.856,998.064,-1.934,-0.03,-0.03,8.20,94.86,8.387,7.58,8.406,8.406,
2020/12/24,13:47:34,-0.4979,20.767,0.028,0.045,49.632,998.063,-1.934,-0.41,-0.41,273.64,94.84,8.385,7.58,8.404,8.404,
2020/12/24,13:47:34,-0.4390,20.838,19.205,28.396,31258.206,1012.553,12.555,0.04,0.04,151.78,94.94,7.509,7.58,7.527,7.526,
2020/12/24,13:47:34,-0.4587,21.001,23.691,34.471,37796.214,1015.906,15.908,0.24,0.24,36.57,95.18,7.335,7.61,7.353,7.352,
