"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2020/12/24","08:17:14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.73,NA,NA,NA,NA
"2","2020/12/24","08:17:14",NA,NA,NA,NA,NA,NA,NA,0.54,0.54,NA,96.31,NA,NA,NA,NA
"3","2020/12/24","08:17:14",NA,NA,NA,NA,NA,NA,NA,0.68,0.68,NA,95.63,NA,NA,NA,NA
"4","2020/12/24","08:17:14",NA,NA,NA,NA,NA,NA,NA,NA,NA,20.84,94.93,NA,NA,NA,NA
"5","2020/12/24","08:17:14",-0.4783,22.324,NA,NA,NA,NA,NA,0.74,0.74,13.56,94.4,6.771,NA,6.787,6.788
"6","2020/12/24","08:17:14",NA,22.492,31.777,46.301,49005.548,1021.632,21.634,0.74,0.74,7.94,93.9,6.794,NA,6.811,6.812
"7","2020/12/24","08:17:14",NA,22.58,31.677,46.254,48855.244,1021.532,21.534,NA,NA,6.37,93.43,6.754,NA,6.771,6.772
"8","2020/12/24","08:17:14",NA,22.631,31.611,46.217,48757.443,1021.467,21.469,NA,NA,5.6,93.08,6.724,NA,6.741,6.741
"9","2020/12/24","08:17:14",NA,22.663,31.618,46.255,48762.735,1021.464,21.466,NA,NA,7.41,92.87,6.704,NA,6.721,6.722
"10","2020/12/24","08:17:15",-0.4783,22.681,31.584,46.229,48714.45,1021.434,21.436,0.73,0.73,12.07,92.61,6.686,NA,6.702,6.703
"11","2020/12/24","08:17:15",NA,22.695,31.55,46.197,48665.151,1021.404,21.406,0.74,0.74,12.71,92.55,6.684,NA,6.7,6.701
"12","2020/12/24","08:17:15",-0.4783,22.716,31.506,46.159,48601.419,1021.364,21.366,0.74,0.74,8.81,92.42,6.674,NA,6.69,6.691
"13","2020/12/24","08:17:15",-0.4783,22.717,31.533,46.195,48638.162,1021.384,21.386,0.69,0.69,8.13,92.24,6.657,NA,6.673,6.674
"14","2020/12/24","08:17:15",NA,22.713,31.561,46.229,48677.737,1021.407,21.409,0.66,0.66,14.31,92.05,6.64,NA,6.657,6.658
"15","2020/12/24","08:17:15",NA,22.734,31.541,46.221,48647.074,1021.386,21.388,0.66,0.66,15.05,91.88,6.629,NA,6.646,6.647
"16","2020/12/24","08:17:15",NA,22.745,31.528,46.216,48628.262,1021.373,21.375,0.66,0.66,11.91,91.85,6.629,NA,6.646,6.646
"17","2020/12/24","08:17:15",-0.4783,22.748,31.518,46.206,48614.283,1021.364,21.367,0.67,0.67,11.08,91.83,6.627,NA,6.643,6.644
