"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2020/12/24","07:59:16",-0.5176,19.379,0.029,0.046,52.479,998.352,-1.646,-0.08,-0.08,0.45,95.38,8.881,NA,8.898,8.898
"2","2020/12/24","07:59:16",-0.5176,19.384,0.029,0.046,52.357,998.35,-1.647,-0.08,-0.08,0.44,95.38,8.882,NA,8.899,8.899
"3","2020/12/24","07:59:16",-0.5372,19.39,0.029,0.046,52.109,998.349,-1.648,-0.05,-0.05,0.41,95.37,8.88,NA,8.897,8.897
"4","2020/12/24","07:59:16",-0.5372,19.403,0.029,0.046,52.528,998.347,-1.651,-0.08,-0.08,0.41,95.4,8.883,NA,8.9,8.9
"5","2020/12/24","07:59:16",-0.5176,19.415,0.029,0.045,51.842,998.344,-1.654,-0.08,-0.08,0.4,95.49,8.891,NA,8.908,8.908
"6","2020/12/24","07:59:16",-0.5372,19.42,0.029,0.046,52.35,998.343,-1.654,-0.05,-0.05,0.43,95.46,8.89,NA,8.906,8.906
"7","2020/12/24","07:59:16",-0.5372,19.42,0.029,0.046,52.31,998.343,-1.654,-0.08,-0.08,0.34,95.4,8.883,NA,8.9,8.9
"8","2020/12/24","07:59:16",-0.5176,19.418,0.029,0.046,51.958,998.344,-1.654,-0.05,-0.05,0.24,95.38,8.882,NA,8.899,8.899
"9","2020/12/24","07:59:16",-0.5176,19.416,0.029,0.046,51.92,998.344,-1.654,-0.08,-0.08,NA,95.34,8.878,NA,8.894,8.895
"10","2020/12/24","07:59:17",-0.5176,19.417,0.029,0.046,52.469,998.344,-1.654,-0.08,-0.08,NA,95.38,8.882,NA,8.899,8.899
"11","2020/12/24","07:59:17",-0.5372,19.416,0.029,0.046,52.356,998.344,-1.654,-0.07,-0.07,NA,95.37,8.88,NA,8.897,8.897
"12","2020/12/24","07:59:17",-0.5372,19.415,0.029,0.046,52.037,998.344,-1.653,0.02,0.02,NA,95.43,8.887,NA,8.903,8.903
"13","2020/12/24","07:59:17",-0.5568,19.416,0.029,0.046,52.155,998.344,-1.654,-0.05,-0.05,NA,95.42,8.885,NA,8.902,8.902
"14","2020/12/24","07:59:17",-0.5372,19.421,0.029,0.046,51.954,998.343,-1.655,-0.05,-0.05,NA,95.41,8.884,NA,8.901,8.901
"15","2020/12/24","07:59:17",-0.5372,19.421,0.029,0.046,52.664,998.343,-1.654,-0.05,-0.05,NA,95.37,8.88,NA,8.896,8.897
"16","2020/12/24","07:59:17",-0.5372,19.422,0.029,0.046,52.383,998.343,-1.655,-0.05,-0.05,NA,95.41,8.884,NA,8.901,8.901
"17","2020/12/24","07:59:17",-0.5372,19.42,0.029,0.046,52.231,998.343,-1.654,-0.05,-0.05,NA,95.35,8.879,NA,8.895,8.895
"18","2020/12/24","07:59:17",-0.5372,19.414,0.029,0.046,52.16,998.344,-1.653,-0.05,-0.05,NA,95.43,8.886,NA,8.903,8.903
"19","2020/12/24","07:59:17",-0.5372,19.407,0.029,0.046,52.25,998.346,-1.652,-0.06,-0.06,NA,95.4,8.883,NA,8.899,8.9
"20","2020/12/24","07:59:18",-0.5372,19.399,0.029,0.046,52.26,998.347,-1.65,-0.06,-0.06,NA,95.37,8.88,NA,8.897,8.897
"21","2020/12/24","07:59:18",-0.5372,19.403,0.029,0.046,52.375,998.346,-1.651,-0.06,-0.06,NA,95.33,8.876,7.58,8.893,8.893
"22","2020/12/24","07:59:18",-0.5372,19.421,0.029,0.046,51.956,998.343,-1.655,-0.06,-0.06,NA,95.3,8.874,7.58,8.89,8.891
"23","2020/12/24","07:59:18",-0.5372,19.447,0.029,0.046,52.037,998.338,-1.66,-0.06,-0.06,NA,95.33,8.876,NA,8.892,8.893
"24","2020/12/24","07:59:18",-0.5372,19.447,0.029,0.046,52.238,998.338,-1.66,-0.06,-0.06,NA,95.44,8.887,7.6,8.904,8.904
"25","2020/12/24","07:59:18",-0.5372,19.442,0.029,0.046,52.005,998.339,-1.659,-0.06,-0.06,NA,95.29,8.873,7.6,8.89,8.89
"26","2020/12/24","07:59:18",-0.5372,19.434,0.029,0.046,52.334,998.34,-1.657,-0.06,-0.06,NA,95.22,8.866,7.59,8.883,8.883
"27","2020/12/24","07:59:18",-0.5372,19.428,0.029,0.046,52.418,998.342,-1.656,-0.06,-0.06,NA,95.22,8.863,7.61,8.88,8.88
"28","2020/12/24","07:59:18",-0.5568,19.421,0.029,0.046,52.151,998.343,-1.655,-0.06,-0.06,NA,94.99,8.829,7.61,8.845,8.845
"29","2020/12/24","07:59:18",-0.5372,19.414,0.029,0.046,52.12,998.344,-1.653,-0.05,-0.05,NA,94.79,8.804,7.6,8.82,8.82
"30","2020/12/24","07:59:19",-0.5372,19.409,0.029,0.046,52.442,998.345,-1.652,-0.06,-0.06,NA,94.78,8.8,7.6,8.816,8.816
"31","2020/12/24","07:59:19",-0.5372,19.402,0.029,0.046,52.056,998.347,-1.651,-0.06,-0.06,NA,94.72,8.79,7.61,8.807,8.807
"32","2020/12/24","07:59:19",-0.5372,19.395,0.029,0.046,52.225,998.348,-1.649,-0.06,-0.06,NA,94.81,8.798,7.61,8.814,8.815
"33","2020/12/24","07:59:19",-0.5372,19.389,0.029,0.046,52.273,998.349,-1.648,-0.06,-0.06,NA,94.85,8.799,7.61,8.816,8.816
"34","2020/12/24","07:59:19",-0.5372,19.384,0.029,0.046,52.2,998.35,-1.647,-0.06,-0.06,NA,94.79,8.793,7.6,8.81,8.81
