//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=210       
StartTime=2020/12/24 11:07:33
EndTime=2020/12/24 11:07:53
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2020/12/24,11:07:33,-0.4390,22.419,22.906,34.439,36512.294,1014.943,14.945,0.52,0.52,3.34,87.00,6.594,7.46,6.611,6.611,
2020/12/24,11:07:33,-0.4587,22.413,22.908,34.438,36516.830,1014.947,14.949,0.56,0.56,3.23,86.70,6.572,7.46,6.588,6.588,
2020/12/24,11:07:33,-0.4587,22.410,22.909,34.437,36517.507,1014.948,14.950,0.55,0.55,3.22,86.47,6.554,7.47,6.571,6.570,
2020/12/24,11:07:33,-0.4783,22.411,22.908,34.436,36516.363,1014.947,14.949,0.54,0.54,3.20,86.13,6.528,7.50,6.545,6.544,
2020/12/24,11:07:33,-0.4783,22.413,22.906,34.435,36512.913,1014.945,14.947,0.53,0.53,3.24,85.94,6.514,7.50,6.530,6.530,
2020/12/24,11:07:33,-0.4587,22.411,22.904,34.431,36510.223,1014.944,14.946,0.53,0.53,3.19,85.70,6.496,7.50,6.512,6.512,
2020/12/24,11:07:33,-0.4783,22.412,22.903,34.430,36508.908,1014.943,14.945,0.53,0.53,3.32,85.54,6.484,7.50,6.500,6.500,
2020/12/24,11:07:33,-0.4587,22.412,22.901,34.428,36506.708,1014.942,14.944,0.51,0.51,3.29,85.16,6.456,7.52,6.472,6.472,
2020/12/24,11:07:33,-0.4783,22.409,22.902,34.427,36507.354,1014.943,14.945,0.51,0.51,3.39,84.99,6.443,7.51,6.459,6.459,
2020/12/24,11:07:33,-0.4587,22.409,22.900,34.425,36505.361,1014.942,14.944,0.51,0.51,3.36,84.86,6.433,7.51,6.449,6.449,
2020/12/24,11:07:34,-0.4783,22.412,22.897,34.423,36501.029,1014.939,14.941,0.51,0.51,3.20,84.66,6.418,7.54,6.434,6.434,
2020/12/24,11:07:34,-0.4783,22.417,22.892,34.419,36493.349,1014.934,14.936,0.51,0.51,3.13,84.43,6.401,7.55,6.417,6.417,
2020/12/24,11:07:34,-0.4783,22.419,22.890,34.418,36489.956,1014.932,14.934,0.51,0.51,3.10,84.23,6.385,7.55,6.402,6.401,
2020/12/24,11:07:34,-0.4783,22.419,22.890,34.418,36489.748,1014.931,14.933,0.52,0.52,3.17,84.17,6.379,7.55,6.396,6.396,
2020/12/24,11:07:34,-0.4783,22.423,22.887,34.416,36484.671,1014.928,14.930,0.52,0.52,3.22,84.10,6.375,7.55,6.391,6.391,
2020/12/24,11:07:34,-0.4783,22.423,22.885,34.415,36482.598,1014.927,14.929,0.52,0.52,3.09,84.00,6.367,7.55,6.383,6.383,
2020/12/24,11:07:34,-0.4783,22.425,22.882,34.412,36478.341,1014.924,14.926,0.53,0.53,3.04,83.91,6.361,7.56,6.377,6.377,
2020/12/24,11:07:34,-0.4783,22.424,22.883,34.412,36479.023,1014.925,14.927,0.52,0.52,3.06,83.91,6.360,7.55,6.377,6.377,
2020/12/24,11:07:34,-0.4587,22.413,22.889,34.412,36488.894,1014.932,14.934,0.51,0.51,3.09,83.83,6.355,7.57,6.371,6.371,
2020/12/24,11:07:34,-0.4783,22.407,22.890,34.410,36490.998,1014.935,14.937,0.51,0.51,3.07,83.77,6.350,7.56,6.366,6.366,
2020/12/24,11:07:35,-0.4783,22.410,22.888,34.409,36487.464,1014.932,14.934,0.51,0.51,3.16,83.64,6.341,7.57,6.357,6.357,
2020/12/24,11:07:35,-0.4783,22.411,22.887,34.408,36486.831,1014.932,14.934,0.50,0.50,3.14,83.56,6.335,7.58,6.351,6.351,
2020/12/24,11:07:35,-0.4783,22.409,22.889,34.409,36489.330,1014.933,14.935,0.52,0.52,3.19,83.42,6.326,7.58,6.342,6.342,
2020/12/24,11:07:35,-0.4783,22.407,22.890,34.409,36491.168,1014.935,14.937,0.51,0.51,3.23,83.38,6.323,7.59,6.339,6.339,
2020/12/24,11:07:35,-0.4783,22.407,22.890,34.408,36490.367,1014.934,14.937,0.54,0.54,3.23,83.44,6.327,7.59,6.343,6.343,
2020/12/24,11:07:35,-0.4783,22.408,22.888,34.407,36487.379,1014.933,14.935,0.51,0.51,3.20,83.44,6.328,7.59,6.344,6.344,
2020/12/24,11:07:35,-0.4783,22.413,22.884,34.405,36481.102,1014.928,14.930,0.51,0.51,3.16,83.30,6.318,7.59,6.334,6.334,
2020/12/24,11:07:35,-0.4783,22.420,22.880,34.405,36475.621,1014.924,14.926,0.51,0.51,3.07,83.23,6.313,7.60,6.329,6.329,
2020/12/24,11:07:35,-0.4979,22.424,22.878,34.405,36471.644,1014.921,14.923,0.51,0.51,3.03,83.25,6.315,7.61,6.331,6.331,
2020/12/24,11:07:35,-0.4783,22.426,22.876,34.403,36468.205,1014.919,14.921,0.51,0.51,3.07,83.32,6.320,7.61,6.336,6.336,
2020/12/24,11:07:36,-0.4783,22.427,22.876,34.405,36468.834,1014.919,14.921,0.53,0.53,3.06,83.24,6.314,7.59,6.330,6.330,
2020/12/24,11:07:36,-0.4979,22.428,22.875,34.404,36467.488,1014.918,14.920,0.54,0.54,2.99,83.16,6.308,7.60,6.324,6.324,
2020/12/24,11:07:36,-0.4979,22.427,22.874,34.402,36466.574,1014.917,14.920,0.54,0.54,2.90,83.06,6.301,7.59,6.317,6.316,
2020/12/24,11:07:36,-0.4783,22.424,22.876,34.403,36469.632,1014.920,14.922,0.54,0.54,2.82,83.00,6.296,7.60,6.312,6.312,
2020/12/24,11:07:36,-0.4783,22.422,22.876,34.400,36468.933,1014.920,14.922,0.52,0.52,2.82,83.01,6.298,7.61,6.314,6.313,
2020/12/24,11:07:36,-0.4783,22.421,22.874,34.397,36466.810,1014.919,14.921,0.52,0.52,2.89,83.07,6.302,7.61,6.318,6.318,
2020/12/24,11:07:36,-0.4783,22.421,22.873,34.397,36465.383,1014.918,14.920,0.53,0.53,2.95,82.94,6.292,7.61,6.308,6.308,
2020/12/24,11:07:36,-0.4783,22.422,22.871,34.394,36462.231,1014.916,14.919,0.54,0.54,2.92,82.91,6.290,7.61,6.306,6.306,
2020/12/24,11:07:36,-0.4979,22.420,22.872,34.394,36463.441,1014.917,14.920,0.51,0.51,2.90,82.94,6.292,7.61,6.308,6.307,
2020/12/24,11:07:36,-0.4783,22.419,22.871,34.392,36462.691,1014.917,14.919,0.52,0.52,2.90,82.91,6.290,7.60,6.306,6.305,
