//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=160       
StartTime=2020/12/24 11:22:41
EndTime=2020/12/24 11:22:56
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2020/12/24,11:22:41,-0.5176,22.046,0.028,0.043,46.484,997.780,-2.218,0.02,0.02,2.20,94.45,8.165,7.46,8.183,8.184,
2020/12/24,11:22:41,-0.5568,22.048,0.028,0.044,46.719,997.780,-2.218,0.05,0.05,15.53,94.41,8.160,7.47,8.179,8.180,
2020/12/24,11:22:41,-0.5568,22.123,16.540,25.461,27181.220,1010.219,10.221,-0.08,-0.08,246.38,94.79,7.439,7.48,7.458,7.457,
2020/12/24,11:22:41,-0.4979,22.479,22.301,33.656,35632.542,1014.471,14.473,0.50,0.50,53.49,95.20,7.203,7.50,7.221,7.221,
2020/12/24,11:22:41,-0.4587,22.725,34.638,50.241,52888.329,1023.736,23.738,0.60,0.60,12.84,95.08,6.686,7.49,6.703,6.704,
2020/12/24,11:22:41,-0.4783,22.861,34.440,50.124,52598.859,1023.546,23.548,0.61,0.61,3.97,95.07,6.685,7.50,6.702,6.703,
2020/12/24,11:22:41,-0.4587,22.933,34.393,50.136,52524.534,1023.490,23.492,0.57,0.57,1.85,94.97,6.676,7.50,6.693,6.694,
2020/12/24,11:22:41,-0.4783,22.974,34.372,50.151,52491.222,1023.463,23.465,0.56,0.56,1.29,94.96,6.672,7.49,6.689,6.690,
2020/12/24,11:22:41,-0.4587,22.998,34.355,50.152,52463.565,1023.443,23.445,0.54,0.54,1.12,94.88,6.666,7.52,6.683,6.684,
2020/12/24,11:22:41,-0.4587,23.013,34.339,50.148,52440.344,1023.427,23.429,0.54,0.54,1.17,94.80,6.659,7.53,6.676,6.677,
2020/12/24,11:22:42,-0.4587,23.019,34.327,50.138,52423.423,1023.416,23.418,0.55,0.55,1.05,94.67,6.649,7.53,6.666,6.667,
2020/12/24,11:22:42,-0.4587,23.018,34.331,50.142,52428.439,1023.419,23.421,0.54,0.54,1.00,94.62,6.643,7.56,6.660,6.661,
2020/12/24,11:22:42,-0.4587,23.019,34.332,50.145,52429.938,1023.420,23.422,0.57,0.57,1.00,94.53,6.636,7.54,6.653,6.654,
2020/12/24,11:22:42,-0.4783,23.020,34.340,50.156,52441.184,1023.426,23.428,0.57,0.57,0.95,94.47,6.630,7.55,6.647,6.648,
2020/12/24,11:22:42,-0.4783,23.019,34.352,50.171,52457.457,1023.435,23.437,0.57,0.57,0.94,94.39,6.624,7.55,6.641,6.642,
2020/12/24,11:22:42,-0.4587,23.026,34.347,50.172,52449.599,1023.429,23.431,0.59,0.59,0.97,94.39,6.623,7.55,6.640,6.641,
2020/12/24,11:22:42,-0.4783,23.025,34.348,50.171,52450.720,1023.430,23.432,0.61,0.61,0.98,94.50,6.631,7.56,6.648,6.649,
2020/12/24,11:22:42,-0.4783,23.027,34.351,50.177,52454.032,1023.431,23.434,0.62,0.62,0.95,94.45,6.627,7.57,6.644,6.645,
2020/12/24,11:22:42,-0.4783,23.027,34.354,50.181,52457.964,1023.434,23.436,0.60,0.60,1.07,94.39,6.624,7.56,6.640,6.641,
2020/12/24,11:22:42,-0.4587,23.029,34.355,50.185,52459.765,1023.434,23.436,0.60,0.60,1.08,94.25,6.614,7.58,6.630,6.631,
2020/12/24,11:22:43,-0.4587,23.030,34.357,50.189,52462.764,1023.436,23.438,0.63,0.63,1.24,94.18,6.608,7.57,6.625,6.626,
2020/12/24,11:22:43,-0.4587,23.029,34.357,50.188,52462.568,1023.436,23.438,0.67,0.67,1.19,94.11,6.603,7.58,6.620,6.621,
2020/12/24,11:22:43,-0.4587,23.030,34.355,50.185,52458.988,1023.434,23.436,0.67,0.67,1.00,94.08,6.601,7.58,6.618,6.619,
2020/12/24,11:22:43,-0.4587,23.028,34.359,50.189,52464.752,1023.437,23.439,0.67,0.67,1.01,94.00,6.595,7.58,6.612,6.613,
2020/12/24,11:22:43,-0.4587,23.027,34.359,50.188,52464.808,1023.437,23.439,0.64,0.64,1.12,93.89,6.588,7.58,6.605,6.606,
2020/12/24,11:22:43,-0.4587,23.026,34.360,50.188,52466.409,1023.439,23.441,0.65,0.65,1.04,93.88,6.587,7.58,6.604,6.605,
2020/12/24,11:22:43,-0.4783,23.025,34.361,50.188,52467.936,1023.440,23.442,0.64,0.64,1.11,93.83,6.584,7.58,6.601,6.602,
2020/12/24,11:22:43,-0.4587,23.025,34.361,50.188,52468.085,1023.440,23.442,0.60,0.60,1.44,93.77,6.580,7.58,6.597,6.598,
2020/12/24,11:22:43,-0.4587,23.025,34.362,50.190,52469.508,1023.440,23.442,0.55,0.55,1.19,93.62,6.570,7.60,6.586,6.587,
2020/12/24,11:22:43,-0.4587,23.024,34.360,50.187,52467.498,1023.440,23.442,0.56,0.56,1.09,93.54,6.563,7.61,6.580,6.581,
2020/12/24,11:22:44,-0.4587,23.022,34.361,50.186,52468.667,1023.441,23.443,0.56,0.56,1.02,93.53,6.564,7.59,6.580,6.581,
2020/12/24,11:22:44,-0.4587,23.022,34.359,50.183,52466.150,1023.439,23.441,0.54,0.54,0.97,93.54,6.564,7.60,6.581,6.582,
2020/12/24,11:22:44,-0.4587,23.021,34.359,50.182,52466.045,1023.439,23.441,0.55,0.55,1.01,93.44,6.557,7.60,6.574,6.575,
2020/12/24,11:22:44,-0.4587,23.022,34.359,50.182,52465.883,1023.439,23.441,0.60,0.60,1.01,93.39,6.553,7.60,6.570,6.571,
2020/12/24,11:22:44,-0.4587,23.022,34.357,50.180,52462.636,1023.437,23.439,0.60,0.60,1.02,93.29,6.547,7.61,6.564,6.565,
2020/12/24,11:22:44,-0.4587,23.026,34.355,50.182,52459.989,1023.435,23.437,0.55,0.55,1.07,93.29,6.546,7.62,6.563,6.564,
2020/12/24,11:22:44,-0.4587,23.030,34.351,50.181,52454.046,1023.431,23.433,0.57,0.57,1.04,93.36,6.552,7.61,6.569,6.570,
