"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2020/12/24","11:22:41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.41,NA,NA,NA,NA
"2","2020/12/24","11:22:41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.79,NA,NA,NA,NA
"3","2020/12/24","11:22:41",-0.4979,NA,NA,NA,NA,NA,NA,0.5,0.5,NA,NA,NA,NA,NA,NA
"4","2020/12/24","11:22:41",-0.4587,NA,NA,NA,NA,NA,NA,0.6,0.6,NA,95.08,NA,NA,NA,NA
"5","2020/12/24","11:22:41",-0.4783,NA,NA,NA,NA,NA,NA,0.61,0.61,NA,95.07,NA,NA,NA,NA
"6","2020/12/24","11:22:41",-0.4587,NA,NA,NA,NA,NA,NA,0.57,0.57,NA,94.97,6.676,NA,6.693,6.694
"7","2020/12/24","11:22:41",-0.4783,NA,34.372,50.151,52491.222,1023.463,23.465,0.56,0.56,1.29,94.96,6.672,NA,6.689,6.69
"8","2020/12/24","11:22:41",-0.4587,22.998,34.355,50.152,52463.565,1023.443,23.445,0.54,0.54,1.12,94.88,6.666,NA,6.683,6.684
"9","2020/12/24","11:22:41",-0.4587,23.013,34.339,NA,52440.344,1023.427,23.429,0.54,0.54,1.17,94.8,6.659,NA,6.676,6.677
"10","2020/12/24","11:22:42",-0.4587,23.019,NA,NA,NA,NA,NA,0.55,0.55,1.05,94.67,6.649,NA,6.666,6.667
"11","2020/12/24","11:22:42",-0.4587,23.018,NA,NA,NA,1023.419,23.421,0.54,0.54,1,94.62,6.643,NA,6.66,6.661
"12","2020/12/24","11:22:42",-0.4587,23.019,NA,NA,NA,1023.42,23.422,0.57,0.57,1,94.53,6.636,NA,6.653,6.654
"13","2020/12/24","11:22:42",-0.4783,23.02,34.34,50.156,52441.184,1023.426,23.428,0.57,0.57,0.95,94.47,6.63,NA,6.647,6.648
"14","2020/12/24","11:22:42",-0.4783,23.019,34.352,50.171,52457.457,1023.435,23.437,0.57,0.57,0.94,94.39,6.624,NA,6.641,6.642
"15","2020/12/24","11:22:42",-0.4587,23.026,34.347,50.172,52449.599,1023.429,23.431,0.59,0.59,0.97,94.39,6.623,NA,6.64,6.641
"16","2020/12/24","11:22:42",-0.4783,23.025,34.348,50.171,52450.72,1023.43,23.432,0.61,0.61,0.98,94.5,6.631,NA,6.648,6.649
"17","2020/12/24","11:22:42",-0.4783,23.027,34.351,50.177,52454.032,1023.431,23.434,0.62,0.62,0.95,94.45,6.627,NA,6.644,6.645
"18","2020/12/24","11:22:42",-0.4783,23.027,34.354,50.181,52457.964,1023.434,23.436,0.6,0.6,1.07,94.39,6.624,NA,6.64,6.641
"19","2020/12/24","11:22:42",-0.4587,23.029,34.355,50.185,52459.765,1023.434,23.436,0.6,0.6,1.08,94.25,6.614,NA,6.63,6.631
"20","2020/12/24","11:22:43",-0.4587,23.03,34.357,50.189,52462.764,1023.436,23.438,0.63,0.63,1.24,94.18,6.608,NA,6.625,6.626
"21","2020/12/24","11:22:43",-0.4587,23.029,34.357,50.188,52462.568,1023.436,23.438,NA,NA,1.19,94.11,6.603,NA,6.62,6.621
"22","2020/12/24","11:22:43",-0.4587,23.03,34.355,50.185,52458.988,1023.434,23.436,NA,NA,1,94.08,6.601,NA,6.618,6.619
"23","2020/12/24","11:22:43",-0.4587,23.028,34.359,50.189,52464.752,1023.437,23.439,NA,NA,1.01,94,6.595,NA,6.612,6.613
"24","2020/12/24","11:22:43",-0.4587,23.027,34.359,50.188,52464.808,1023.437,23.439,NA,NA,1.12,93.89,6.588,NA,6.605,6.606
"25","2020/12/24","11:22:43",-0.4587,23.026,34.36,50.188,52466.409,1023.439,23.441,NA,NA,1.04,93.88,6.587,NA,6.604,6.605
"26","2020/12/24","11:22:43",-0.4783,23.025,34.361,50.188,52467.936,1023.44,23.442,NA,NA,1.11,93.83,6.584,NA,6.601,6.602
"27","2020/12/24","11:22:43",-0.4587,23.025,34.361,50.188,52468.085,1023.44,23.442,0.6,0.6,NA,93.77,6.58,NA,6.597,6.598
"28","2020/12/24","11:22:43",-0.4587,23.025,34.362,50.19,52469.508,1023.44,23.442,0.55,0.55,1.19,93.62,6.57,7.6,6.586,6.587
"29","2020/12/24","11:22:43",-0.4587,23.024,34.36,50.187,52467.498,1023.44,23.442,0.56,0.56,1.09,93.54,6.563,7.61,6.58,6.581
"30","2020/12/24","11:22:44",-0.4587,23.022,34.361,50.186,52468.667,1023.441,23.443,0.56,0.56,1.02,93.53,6.564,7.59,6.58,6.581
