//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=180       
StartTime=2021/01/06 09:50:04
EndTime=2021/01/06 09:50:21
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/01/06,09:50:04,-0.2820,17.564,32.440,42.477,50784.954,1023.416,23.417,0.44,0.44,5.14,97.59,7.637,7.41,7.650,7.650,
2021/01/06,09:50:04,-0.3213,17.661,32.396,42.517,50702.646,1023.359,23.360,0.43,0.43,2.99,97.57,7.636,7.42,7.649,7.649,
2021/01/06,09:50:04,-0.3016,17.713,32.379,42.545,50668.006,1023.334,23.335,0.44,0.44,2.39,97.62,7.639,7.43,7.652,7.652,
2021/01/06,09:50:04,-0.3016,17.742,32.358,42.547,50632.616,1023.311,23.312,0.44,0.44,2.26,97.51,7.630,7.45,7.643,7.643,
2021/01/06,09:50:04,-0.2820,17.756,32.349,42.550,50616.391,1023.300,23.302,0.42,0.42,2.08,97.39,7.619,7.45,7.632,7.632,
2021/01/06,09:50:04,-0.3016,17.764,32.342,42.549,50605.195,1023.293,23.294,0.42,0.42,1.89,97.14,7.599,7.47,7.612,7.612,
2021/01/06,09:50:04,-0.3016,17.770,32.337,42.549,50596.681,1023.288,23.289,0.42,0.42,1.83,96.90,7.578,7.47,7.592,7.592,
2021/01/06,09:50:04,-0.3016,17.773,32.335,42.548,50592.786,1023.285,23.287,0.41,0.41,1.76,96.60,7.554,7.47,7.567,7.567,
2021/01/06,09:50:04,-0.3016,17.774,31.199,41.208,48998.091,1022.417,22.418,0.40,0.40,1.73,96.28,7.580,7.48,7.593,7.594,
2021/01/06,09:50:04,-0.3016,17.774,31.884,42.019,49960.680,1022.940,22.942,0.39,0.39,1.71,96.05,7.530,7.49,7.544,7.544,
2021/01/06,09:50:05,-0.3016,17.775,32.331,42.546,50587.047,1023.282,23.283,0.41,0.41,1.75,95.91,7.499,7.49,7.512,7.513,
2021/01/06,09:50:05,-0.3016,17.776,32.333,42.549,50589.344,1023.283,23.284,0.41,0.41,1.72,95.73,7.485,7.50,7.498,7.498,
2021/01/06,09:50:05,-0.3016,17.777,32.331,42.548,50586.995,1023.282,23.283,0.38,0.38,1.62,95.52,7.469,7.50,7.482,7.482,
2021/01/06,09:50:05,-0.3213,17.777,32.331,42.548,50586.878,1023.281,23.283,0.39,0.39,1.58,95.34,7.454,7.49,7.467,7.468,
2021/01/06,09:50:05,-0.3016,17.778,32.329,42.547,50584.494,1023.280,23.281,0.41,0.41,1.56,95.25,7.448,7.52,7.461,7.461,
2021/01/06,09:50:05,-0.3016,17.778,32.329,42.548,50584.418,1023.280,23.281,0.40,0.40,1.58,95.07,7.433,7.50,7.446,7.446,
2021/01/06,09:50:05,-0.3016,17.778,32.330,42.548,50584.671,1023.280,23.281,0.39,0.39,1.58,94.98,7.427,7.51,7.440,7.440,
2021/01/06,09:50:05,-0.3016,17.778,32.332,42.550,50587.758,1023.282,23.283,0.40,0.40,1.64,94.80,7.412,7.53,7.425,7.425,
2021/01/06,09:50:05,-0.2820,17.778,32.330,42.548,50585.040,1023.280,23.282,0.39,0.39,1.64,94.65,7.401,7.54,7.413,7.414,
2021/01/06,09:50:05,-0.2820,17.777,32.330,42.547,50585.250,1023.281,23.282,0.38,0.38,1.68,94.57,7.394,7.53,7.407,7.408,
2021/01/06,09:50:06,-0.3016,17.776,32.333,42.550,50589.577,1023.283,23.284,0.37,0.37,1.71,94.53,7.391,7.54,7.404,7.404,
2021/01/06,09:50:06,-0.3016,17.776,32.332,42.549,50588.747,1023.283,23.284,0.38,0.38,1.76,94.54,7.391,7.53,7.404,7.405,
2021/01/06,09:50:06,-0.3016,17.776,32.334,42.551,50591.620,1023.284,23.286,0.37,0.37,1.73,94.48,7.386,7.55,7.399,7.399,
2021/01/06,09:50:06,-0.3016,17.776,32.333,42.550,50590.226,1023.283,23.285,0.37,0.37,1.64,94.34,7.375,7.55,7.388,7.388,
2021/01/06,09:50:06,-0.3016,17.776,32.333,42.550,50589.642,1023.283,23.284,0.37,0.37,1.59,94.28,7.370,7.55,7.383,7.383,
2021/01/06,09:50:06,-0.3016,17.776,32.333,42.550,50590.064,1023.283,23.285,0.37,0.37,1.59,94.30,7.372,7.54,7.385,7.385,
2021/01/06,09:50:06,-0.3213,17.776,32.334,42.551,50590.943,1023.284,23.285,0.36,0.36,1.58,94.23,7.367,7.54,7.380,7.380,
2021/01/06,09:50:06,-0.3213,17.777,32.334,42.551,50590.805,1023.284,23.285,0.36,0.36,1.61,94.13,7.360,7.54,7.373,7.373,
2021/01/06,09:50:06,-0.3016,17.777,32.335,42.553,50592.821,1023.285,23.286,0.36,0.36,1.54,94.12,7.359,7.55,7.372,7.372,
2021/01/06,09:50:06,-0.3016,17.777,32.335,42.553,50591.862,1023.284,23.286,0.35,0.35,1.55,94.06,7.354,7.55,7.367,7.367,
2021/01/06,09:50:07,-0.3016,17.777,32.336,42.554,50593.628,1023.285,23.287,0.36,0.36,1.56,94.05,7.353,7.56,7.366,7.366,
2021/01/06,09:50:07,-0.3016,17.777,32.337,42.556,50595.210,1023.286,23.287,0.34,0.34,1.58,94.18,7.363,7.57,7.376,7.376,
2021/01/06,09:50:07,-0.3016,17.777,32.337,42.555,50595.154,1023.286,23.287,0.35,0.35,1.54,94.08,7.356,7.55,7.369,7.369,
2021/01/06,09:50:07,-0.3016,17.777,32.338,42.557,50596.713,1023.287,23.288,0.34,0.34,1.72,94.05,7.353,7.57,7.366,7.366,
2021/01/06,09:50:07,-0.3016,17.776,32.338,42.556,50597.168,1023.287,23.289,0.34,0.34,1.65,93.98,7.347,7.57,7.360,7.361,
2021/01/06,09:50:07,-0.3016,17.775,32.340,42.557,50599.573,1023.289,23.290,0.35,0.35,1.56,93.98,7.347,7.55,7.360,7.360,
