//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=150       
StartTime=2021/01/06 09:32:27
EndTime=2021/01/06 09:32:41
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/01/06,09:32:27,-0.3605,17.033,0.030,0.046,55.566,998.792,-1.207,-0.03,-0.03,156.72,96.44,9.114,7.41,9.131,9.131,
2021/01/06,09:32:27,-0.3409,17.004,30.499,39.695,48167.724,1022.060,22.062,0.27,0.27,34.48,96.89,7.672,7.42,7.686,7.686,
2021/01/06,09:32:27,-0.3409,17.098,27.642,36.410,44071.296,1019.853,19.854,0.31,0.31,9.40,97.62,7.891,7.44,7.905,7.905,
2021/01/06,09:32:27,-0.3213,17.176,32.840,42.578,51431.372,1023.814,23.816,0.31,0.31,4.11,98.14,7.703,7.44,7.716,7.716,
2021/01/06,09:32:27,-0.3409,17.225,32.811,42.592,51380.467,1023.781,23.782,0.31,0.31,2.82,98.57,7.746,7.47,7.759,7.759,
2021/01/06,09:32:27,-0.3016,17.268,32.772,42.586,51315.020,1023.740,23.742,0.30,0.30,2.45,98.83,7.772,7.46,7.784,7.785,
2021/01/06,09:32:27,-0.3213,17.293,32.749,42.584,51277.869,1023.717,23.718,0.31,0.31,2.25,98.96,7.782,7.46,7.795,7.795,
2021/01/06,09:32:27,-0.3213,17.309,32.738,42.585,51258.746,1023.705,23.706,0.31,0.31,2.30,99.01,7.788,7.47,7.801,7.801,
2021/01/06,09:32:27,-0.3213,17.316,32.730,42.583,51246.043,1023.697,23.698,0.31,0.31,2.25,99.08,7.793,7.50,7.806,7.806,
2021/01/06,09:32:27,-0.3409,17.318,32.727,42.581,51240.615,1023.694,23.695,0.30,0.30,2.42,99.11,7.795,7.49,7.807,7.808,
2021/01/06,09:32:28,-0.3213,17.317,32.722,42.575,51234.992,1023.691,23.692,0.31,0.31,2.62,99.02,7.787,7.49,7.800,7.800,
2021/01/06,09:32:28,-0.3213,17.317,32.717,42.569,51227.940,1023.687,23.688,0.29,0.29,2.80,98.90,7.778,7.49,7.790,7.791,
2021/01/06,09:32:28,-0.3213,17.320,32.714,42.569,51223.376,1023.684,23.685,0.30,0.30,2.82,98.79,7.768,7.51,7.781,7.781,
2021/01/06,09:32:28,-0.3016,17.323,32.713,42.570,51220.786,1023.682,23.684,0.31,0.31,2.93,98.87,7.774,7.49,7.787,7.787,
2021/01/06,09:32:28,-0.3016,17.326,32.710,42.570,51216.292,1023.680,23.681,0.31,0.31,3.30,98.72,7.762,7.52,7.775,7.775,
2021/01/06,09:32:28,-0.3016,17.331,32.712,42.576,51217.206,1023.680,23.681,0.31,0.31,2.97,98.66,7.757,7.51,7.770,7.770,
