//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=110       
StartTime=2021/01/06 12:17:52
EndTime=2021/01/06 12:18:02
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/01/06,12:17:52,-0.2820,20.661,34.395,47.842,52890.950,1024.124,24.125,0.19,0.19,4.70,99.75,7.306,7.41,7.322,7.323,
2021/01/06,12:17:52,-0.3213,20.646,34.401,47.834,52901.492,1024.132,24.134,0.18,0.18,4.61,99.46,7.283,7.40,7.299,7.300,
2021/01/06,12:17:52,-0.3213,20.655,34.403,47.845,52902.814,1024.131,24.133,0.17,0.17,4.41,99.30,7.272,7.44,7.288,7.289,
2021/01/06,12:17:52,-0.3409,20.653,34.381,47.816,52872.733,1024.115,24.116,0.18,0.18,4.30,99.29,7.276,7.43,7.293,7.293,
2021/01/06,12:17:52,-0.3409,20.645,34.383,47.810,52876.454,1024.118,24.120,0.18,0.18,4.33,99.18,7.271,7.44,7.287,7.288,
2021/01/06,12:17:52,-0.3213,20.616,34.394,47.796,52897.110,1024.135,24.136,0.18,0.18,4.41,99.07,7.262,7.45,7.278,7.279,
2021/01/06,12:17:52,-0.3213,20.611,34.411,47.811,52921.058,1024.149,24.150,0.18,0.18,4.36,98.95,7.249,7.47,7.265,7.266,
2021/01/06,12:17:52,-0.3409,20.615,34.425,47.833,52939.591,1024.158,24.160,0.18,0.18,4.43,98.94,7.248,7.45,7.264,7.265,
2021/01/06,12:17:52,-0.3213,20.611,34.425,47.828,52940.005,1024.159,24.161,0.18,0.18,4.51,98.89,7.246,7.47,7.262,7.262,
2021/01/06,12:17:52,-0.3213,20.582,34.447,47.827,52975.221,1024.184,24.185,0.17,0.17,4.70,98.73,7.232,7.48,7.248,7.248,
2021/01/06,12:17:53,-0.3213,20.598,34.440,47.834,52963.061,1024.174,24.176,0.18,0.18,4.67,98.72,7.227,7.48,7.243,7.244,
2021/01/06,12:17:53,-0.3213,20.640,34.403,47.831,52905.110,1024.135,24.136,0.17,0.17,4.57,98.58,7.213,7.50,7.229,7.230,
2021/01/06,12:17:53,-0.3213,20.648,34.393,47.827,52890.049,1024.125,24.127,0.18,0.18,4.71,98.64,7.215,7.49,7.231,7.232,
2021/01/06,12:17:53,-0.3409,20.656,34.390,47.830,52883.937,1024.121,24.122,0.19,0.19,4.83,98.71,7.220,7.49,7.236,7.237,
2021/01/06,12:17:53,-0.3409,20.645,34.390,47.820,52886.207,1024.124,24.125,0.19,0.19,4.78,98.80,7.225,7.50,7.242,7.242,
2021/01/06,12:17:53,-0.3409,20.646,34.380,47.808,52871.877,1024.116,24.117,0.24,0.24,4.70,98.79,7.226,7.49,7.242,7.243,
2021/01/06,12:17:53,-0.3409,20.670,34.355,47.801,52834.111,1024.091,24.092,0.21,0.21,4.67,98.84,7.235,7.49,7.251,7.252,
2021/01/06,12:17:53,-0.3409,20.689,34.370,47.838,52850.823,1024.097,24.098,0.21,0.21,4.81,98.80,7.235,7.51,7.251,7.252,
2021/01/06,12:17:53,-0.3409,20.667,34.381,47.830,52870.677,1024.111,24.113,0.18,0.18,4.96,98.66,7.225,7.51,7.241,7.242,
2021/01/06,12:17:53,-0.3409,20.654,34.378,47.813,52867.621,1024.112,24.113,0.18,0.18,4.67,98.58,7.226,7.49,7.242,7.243,
2021/01/06,12:17:54,-0.3409,20.655,34.377,47.813,52866.566,1024.111,24.113,0.20,0.20,4.54,98.58,7.232,7.53,7.248,7.249,
2021/01/06,12:17:54,-0.3409,20.657,34.386,47.826,52879.182,1024.118,24.119,0.20,0.20,4.66,98.74,7.246,7.53,7.262,7.263,
2021/01/06,12:17:54,-0.3213,20.679,34.359,47.816,52838.405,1024.091,24.093,0.19,0.19,4.67,98.70,7.245,7.53,7.261,7.262,
2021/01/06,12:17:54,-0.3409,20.690,34.356,47.822,52831.189,1024.085,24.087,0.24,0.24,4.66,98.60,7.238,7.53,7.254,7.254,
2021/01/06,12:17:54,-0.3213,20.697,34.367,47.843,52845.789,1024.093,24.094,0.21,0.21,4.70,98.57,7.231,7.55,7.247,7.248,
2021/01/06,12:17:54,-0.3213,20.704,34.349,47.827,52819.543,1024.077,24.078,0.17,0.17,4.78,98.51,7.222,7.54,7.238,7.239,
2021/01/06,12:17:54,-0.3409,20.711,34.335,47.817,52799.601,1024.064,24.066,0.18,0.18,4.76,98.29,7.200,7.54,7.217,7.217,
2021/01/06,12:17:54,-0.3409,20.713,34.332,47.815,52794.701,1024.061,24.063,0.17,0.17,4.88,98.25,7.194,7.53,7.210,7.211,
2021/01/06,12:17:54,-0.3409,20.701,34.345,47.820,52814.387,1024.074,24.076,0.18,0.18,4.76,98.08,7.178,7.54,7.194,7.195,
2021/01/06,12:17:54,-0.3409,20.703,34.345,47.822,52814.319,1024.074,24.075,0.17,0.17,4.77,98.07,7.175,7.55,7.191,7.192,
2021/01/06,12:17:55,-0.3213,20.702,34.338,47.812,52805.111,1024.069,24.070,0.18,0.18,4.83,98.07,7.175,7.56,7.191,7.192,
2021/01/06,12:17:55,-0.3213,20.695,34.333,47.799,52799.366,1024.067,24.068,0.17,0.17,4.78,98.08,7.177,7.55,7.193,7.194,
2021/01/06,12:17:55,-0.3409,20.677,34.340,47.789,52811.931,1024.077,24.079,0.18,0.18,4.76,98.05,7.176,7.55,7.192,7.193,
2021/01/06,12:17:55,-0.3409,20.660,34.353,47.788,52832.971,1024.092,24.093,0.17,0.17,4.94,98.11,7.183,7.55,7.199,7.200,
2021/01/06,12:17:55,-0.3409,20.649,34.358,47.784,52842.146,1024.099,24.100,0.18,0.18,5.07,97.99,7.174,7.55,7.190,7.191,
2021/01/06,12:17:55,-0.3409,20.656,34.334,47.760,52807.019,1024.078,24.079,0.19,0.19,5.37,97.91,7.170,7.55,7.186,7.187,
2021/01/06,12:17:55,-0.3213,20.658,34.349,47.781,52827.342,1024.089,24.090,0.18,0.18,5.10,97.77,7.160,7.55,7.176,7.177,
2021/01/06,12:17:55,-0.3213,20.658,34.393,47.835,52887.747,1024.122,24.124,0.18,0.18,5.14,97.74,7.157,7.57,7.173,7.174,
2021/01/06,12:17:55,-0.3409,20.656,34.402,47.845,52900.998,1024.130,24.132,0.18,0.18,4.88,97.66,7.150,7.55,7.166,7.167,
2021/01/06,12:17:55,-0.3409,20.627,34.408,47.824,52914.784,1024.143,24.144,0.18,0.18,4.91,97.62,7.147,7.55,7.163,7.164,
2021/01/06,12:17:56,-0.3409,20.620,34.413,47.823,52922.459,1024.148,24.150,0.18,0.18,4.80,97.59,7.146,7.55,7.162,7.163,
2021/01/06,12:17:56,-0.3409,20.623,34.412,47.825,52920.999,1024.147,24.148,0.17,0.17,4.80,97.64,7.151,7.57,7.167,7.168,
2021/01/06,12:17:56,-0.3213,20.637,34.412,47.839,52918.171,1024.143,24.144,0.17,0.17,4.66,97.60,7.148,7.56,7.164,7.165,
2021/01/06,12:17:56,-0.3409,20.663,34.391,47.838,52884.635,1024.120,24.121,0.21,0.21,4.41,97.48,7.140,7.56,7.156,7.157,
2021/01/06,12:17:56,-0.3409,20.687,34.363,47.828,52841.982,1024.092,24.094,0.21,0.21,4.53,97.47,7.140,7.57,7.156,7.156,
2021/01/06,12:17:56,-0.3409,20.667,34.373,47.821,52859.464,1024.105,24.107,0.17,0.17,4.77,97.44,7.136,7.56,7.152,7.153,
2021/01/06,12:17:56,-0.3213,20.595,34.457,47.851,52986.609,1024.188,24.190,0.17,0.17,4.78,97.41,7.126,7.57,7.141,7.142,
2021/01/06,12:17:56,-0.3409,20.595,34.476,47.876,53013.453,1024.203,24.204,0.16,0.16,4.86,97.29,7.115,7.57,7.131,7.132,
2021/01/06,12:17:56,-0.3409,20.606,34.484,47.897,53022.200,1024.206,24.207,0.15,0.15,4.80,97.49,7.127,7.55,7.143,7.144,
2021/01/06,12:17:56,-0.3213,20.588,34.528,47.933,53085.836,1024.244,24.246,0.15,0.15,4.80,97.59,7.132,7.56,7.148,7.148,
2021/01/06,12:17:57,-0.3409,20.596,34.526,47.938,53080.943,1024.240,24.242,0.16,0.16,4.57,97.58,7.131,7.58,7.147,7.148,
2021/01/06,12:17:57,-0.3409,20.595,34.505,47.911,53052.198,1024.224,24.226,0.16,0.16,4.58,97.60,7.135,7.57,7.151,7.152,
2021/01/06,12:17:57,-0.3409,20.579,34.537,47.934,53099.240,1024.253,24.255,0.16,0.16,4.53,97.55,7.131,7.57,7.147,7.148,
2021/01/06,12:17:57,-0.3409,20.561,34.538,47.918,53103.711,1024.259,24.260,0.17,0.17,4.58,97.53,7.135,7.57,7.150,7.151,
2021/01/06,12:17:57,-0.3409,20.578,34.501,47.889,53050.810,1024.227,24.228,0.16,0.16,4.84,97.47,7.133,7.57,7.149,7.150,
2021/01/06,12:17:57,-0.3409,20.619,34.481,47.906,53015.201,1024.200,24.201,0.16,0.16,5.04,97.49,7.137,7.57,7.153,7.153,
2021/01/06,12:17:57,-0.3409,20.637,34.465,47.905,52990.681,1024.183,24.185,0.17,0.17,4.86,97.49,7.137,7.57,7.152,7.153,
2021/01/06,12:17:57,-0.3213,20.630,34.460,47.890,52984.577,1024.181,24.182,0.17,0.17,4.96,97.43,7.130,7.57,7.146,7.147,
2021/01/06,12:17:57,-0.3409,20.617,34.452,47.868,52976.453,1024.179,24.180,0.16,0.16,4.97,97.52,7.135,7.57,7.151,7.152,
2021/01/06,12:17:57,-0.3409,20.624,34.438,47.858,52955.487,1024.166,24.167,0.16,0.16,5.08,97.62,7.142,7.58,7.158,7.159,
2021/01/06,12:17:58,-0.3409,20.623,34.424,47.839,52936.775,1024.156,24.157,0.16,0.16,5.07,97.75,7.151,7.57,7.167,7.168,
2021/01/06,12:17:58,-0.3409,20.628,34.417,47.836,52926.984,1024.149,24.151,0.15,0.15,4.93,97.71,7.147,7.55,7.163,7.164,
2021/01/06,12:17:58,-0.3409,20.638,34.419,47.848,52927.053,1024.148,24.149,0.16,0.16,4.84,97.62,7.143,7.57,7.159,7.160,
2021/01/06,12:17:58,-0.3409,20.643,34.423,47.858,52931.862,1024.149,24.151,0.18,0.18,4.87,97.66,7.149,7.57,7.165,7.165,
2021/01/06,12:17:58,-0.3409,20.640,34.438,47.874,52953.516,1024.162,24.163,0.18,0.18,4.90,97.70,7.153,7.58,7.169,7.170,
2021/01/06,12:17:58,-0.3409,20.635,34.437,47.867,52952.230,1024.162,24.164,0.18,0.18,4.88,97.61,7.147,7.58,7.163,7.164,
2021/01/06,12:17:58,-0.3409,20.605,34.460,47.865,52988.706,1024.187,24.189,0.18,0.18,4.97,97.56,7.140,7.59,7.156,7.157,
2021/01/06,12:17:58,-0.3213,20.609,34.457,47.866,52984.868,1024.185,24.186,0.22,0.22,5.10,97.52,7.136,7.57,7.152,7.152,
2021/01/06,12:17:58,-0.3409,20.609,34.451,47.859,52977.037,1024.180,24.182,0.20,0.20,5.31,97.41,7.127,7.60,7.142,7.143,
2021/01/06,12:17:58,-0.3409,20.636,34.427,47.857,52939.164,1024.155,24.156,0.20,0.20,5.27,97.31,7.121,7.57,7.136,7.137,
2021/01/06,12:17:59,-0.3409,20.670,34.387,47.841,52878.407,1024.115,24.117,0.18,0.18,5.06,97.21,7.115,7.57,7.130,7.131,
2021/01/06,12:17:59,-0.3409,20.691,34.379,47.851,52862.716,1024.103,24.104,0.17,0.17,5.21,97.25,7.118,7.57,7.134,7.135,
2021/01/06,12:17:59,-0.3409,20.704,34.378,47.864,52860.027,1024.099,24.101,0.17,0.17,5.23,97.32,7.124,7.58,7.140,7.141,
2021/01/06,12:17:59,-0.3409,20.732,34.353,47.860,52819.738,1024.072,24.073,0.18,0.18,5.27,97.31,7.124,7.58,7.140,7.140,
2021/01/06,12:17:59,-0.3213,20.736,34.348,47.859,52812.256,1024.067,24.068,0.18,0.18,5.17,97.35,7.126,7.57,7.142,7.143,
2021/01/06,12:17:59,-0.3409,20.702,34.372,47.854,52852.359,1024.095,24.097,0.18,0.18,5.27,97.34,7.123,7.58,7.139,7.140,
2021/01/06,12:17:59,-0.3213,20.704,34.373,47.857,52852.057,1024.095,24.096,0.19,0.19,5.28,97.26,7.115,7.58,7.131,7.132,
2021/01/06,12:17:59,-0.3409,20.707,34.368,47.854,52845.509,1024.091,24.092,0.18,0.18,5.20,97.15,7.107,7.58,7.123,7.124,
2021/01/06,12:17:59,-0.3213,20.706,34.375,47.862,52855.266,1024.096,24.098,0.18,0.18,5.07,97.20,7.110,7.58,7.126,7.127,
2021/01/06,12:17:59,-0.3409,20.713,34.374,47.868,52853.166,1024.094,24.095,0.18,0.18,5.27,97.15,7.106,7.58,7.122,7.123,
2021/01/06,12:18:00,-0.3409,20.709,34.381,47.872,52862.819,1024.100,24.101,0.19,0.19,5.34,97.14,7.106,7.59,7.121,7.122,
2021/01/06,12:18:00,-0.3213,20.684,34.400,47.871,52893.347,1024.121,24.123,0.18,0.18,5.30,97.13,7.105,7.58,7.121,7.122,
2021/01/06,12:18:00,-0.3409,20.654,34.425,47.872,52932.975,1024.148,24.150,0.18,0.18,5.28,97.15,7.105,7.57,7.120,7.121,
2021/01/06,12:18:00,-0.3409,20.630,34.446,47.874,52965.863,1024.171,24.172,0.18,0.18,5.15,97.09,7.100,7.58,7.116,7.117,
2021/01/06,12:18:00,-0.3213,20.615,34.458,47.874,52985.457,1024.184,24.185,0.18,0.18,5.17,97.09,7.099,7.58,7.115,7.115,
2021/01/06,12:18:00,-0.3409,20.603,34.467,47.873,52999.203,1024.194,24.195,0.20,0.20,5.25,97.11,7.101,7.61,7.117,7.118,
2021/01/06,12:18:00,-0.3213,20.603,34.465,47.871,52997.155,1024.193,24.194,0.21,0.21,5.31,97.17,7.105,7.57,7.121,7.122,
2021/01/06,12:18:00,-0.3213,20.610,34.463,47.875,52992.785,1024.189,24.190,0.19,0.19,5.33,97.12,7.101,7.61,7.117,7.118,
