"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/01/06","12:17:52",-0.3213,20.646,34.401,47.834,52901.492,1024.132,24.134,0.18,0.18,4.61,99.46,7.283,NA,7.299,7.3
"2","2021/01/06","12:17:52",-0.3213,20.655,34.403,47.845,52902.814,1024.131,24.133,0.17,0.17,4.41,99.3,7.272,NA,7.288,7.289
"3","2021/01/06","12:17:52",-0.3409,20.653,34.381,47.816,52872.733,1024.115,24.116,0.18,0.18,4.3,99.29,7.276,NA,7.293,7.293
"4","2021/01/06","12:17:52",-0.3409,20.645,34.383,47.81,52876.454,1024.118,24.12,0.18,0.18,4.33,99.18,7.271,NA,7.287,7.288
"5","2021/01/06","12:17:52",-0.3213,20.616,34.394,47.796,52897.11,1024.135,24.136,0.18,0.18,4.41,99.07,7.262,NA,7.278,7.279
"6","2021/01/06","12:17:52",-0.3213,20.611,34.411,47.811,52921.058,1024.149,24.15,0.18,0.18,4.36,98.95,7.249,NA,7.265,7.266
"7","2021/01/06","12:17:52",-0.3409,20.615,34.425,47.833,52939.591,1024.158,24.16,0.18,0.18,4.43,98.94,7.248,NA,7.264,7.265
"8","2021/01/06","12:17:52",-0.3213,20.611,34.425,47.828,52940.005,1024.159,24.161,0.18,0.18,4.51,98.89,7.246,NA,7.262,7.262
"9","2021/01/06","12:17:52",-0.3213,20.582,34.447,47.827,52975.221,1024.184,24.185,0.17,0.17,4.7,98.73,7.232,NA,7.248,7.248
"10","2021/01/06","12:17:53",-0.3213,20.598,34.44,47.834,52963.061,1024.174,24.176,0.18,0.18,4.67,98.72,7.227,NA,7.243,7.244
"11","2021/01/06","12:17:53",-0.3213,20.64,34.403,47.831,52905.11,1024.135,24.136,0.17,0.17,4.57,98.58,7.213,NA,7.229,7.23
"12","2021/01/06","12:17:53",-0.3213,20.648,34.393,47.827,52890.049,1024.125,24.127,0.18,0.18,4.71,98.64,7.215,NA,7.231,7.232
"13","2021/01/06","12:17:53",-0.3409,20.656,34.39,47.83,52883.937,1024.121,24.122,0.19,0.19,4.83,98.71,7.22,NA,7.236,7.237
"14","2021/01/06","12:17:53",-0.3409,20.645,34.39,47.82,52886.207,1024.124,24.125,0.19,0.19,4.78,98.8,7.225,NA,7.242,7.242
"15","2021/01/06","12:17:53",-0.3409,20.646,34.38,47.808,52871.877,1024.116,24.117,NA,NA,4.7,98.79,7.226,NA,7.242,7.243
"16","2021/01/06","12:17:53",-0.3409,20.67,34.355,47.801,52834.111,1024.091,24.092,NA,NA,4.67,98.84,7.235,NA,7.251,7.252
"17","2021/01/06","12:17:53",-0.3409,20.689,34.37,47.838,52850.823,1024.097,24.098,NA,NA,4.81,98.8,7.235,7.51,7.251,7.252
"18","2021/01/06","12:17:53",-0.3409,20.667,34.381,47.83,52870.677,1024.111,24.113,0.18,0.18,4.96,98.66,7.225,7.51,7.241,7.242
"19","2021/01/06","12:17:53",-0.3409,20.654,34.378,47.813,52867.621,1024.112,24.113,0.18,0.18,4.67,98.58,7.226,NA,7.242,7.243
"20","2021/01/06","12:17:54",-0.3409,20.655,34.377,47.813,52866.566,1024.111,24.113,NA,NA,4.54,98.58,7.232,7.53,7.248,7.249
"21","2021/01/06","12:17:54",-0.3409,20.657,34.386,47.826,52879.182,1024.118,24.119,NA,NA,4.66,98.74,7.246,7.53,7.262,7.263
"22","2021/01/06","12:17:54",-0.3213,20.679,34.359,47.816,52838.405,1024.091,24.093,0.19,0.19,4.67,98.7,7.245,7.53,7.261,7.262
"23","2021/01/06","12:17:54",-0.3409,20.69,34.356,47.822,52831.189,1024.085,24.087,NA,NA,4.66,98.6,7.238,7.53,7.254,7.254
"24","2021/01/06","12:17:54",-0.3213,20.697,34.367,47.843,52845.789,1024.093,24.094,NA,NA,4.7,98.57,7.231,7.55,7.247,7.248
"25","2021/01/06","12:17:54",-0.3213,20.704,34.349,47.827,52819.543,1024.077,24.078,0.17,0.17,4.78,98.51,7.222,7.54,7.238,7.239
"26","2021/01/06","12:17:54",-0.3409,20.711,34.335,47.817,52799.601,1024.064,24.066,0.18,0.18,4.76,98.29,7.2,7.54,7.217,7.217
"27","2021/01/06","12:17:54",-0.3409,20.713,34.332,47.815,52794.701,1024.061,24.063,0.17,0.17,4.88,98.25,7.194,7.53,7.21,7.211
"28","2021/01/06","12:17:54",-0.3409,20.701,34.345,47.82,52814.387,1024.074,24.076,0.18,0.18,4.76,98.08,7.178,7.54,7.194,7.195
"29","2021/01/06","12:17:54",-0.3409,20.703,34.345,47.822,52814.319,1024.074,24.075,0.17,0.17,4.77,98.07,7.175,7.55,7.191,7.192
"30","2021/01/06","12:17:55",-0.3213,20.702,34.338,47.812,52805.111,1024.069,24.07,0.18,0.18,4.83,98.07,7.175,7.56,7.191,7.192
"31","2021/01/06","12:17:55",-0.3213,20.695,34.333,47.799,52799.366,1024.067,24.068,0.17,0.17,4.78,98.08,7.177,7.55,7.193,7.194
"32","2021/01/06","12:17:55",-0.3409,20.677,34.34,47.789,52811.931,1024.077,24.079,0.18,0.18,4.76,98.05,7.176,7.55,7.192,7.193
"33","2021/01/06","12:17:55",-0.3409,20.66,34.353,47.788,52832.971,1024.092,24.093,0.17,0.17,4.94,98.11,7.183,7.55,7.199,7.2
"34","2021/01/06","12:17:55",-0.3409,20.649,34.358,47.784,52842.146,1024.099,24.1,0.18,0.18,5.07,97.99,7.174,7.55,7.19,7.191
"35","2021/01/06","12:17:55",-0.3409,20.656,34.334,47.76,52807.019,1024.078,24.079,0.19,0.19,5.37,97.91,7.17,7.55,7.186,7.187
"36","2021/01/06","12:17:55",-0.3213,20.658,34.349,47.781,52827.342,1024.089,24.09,0.18,0.18,5.1,97.77,7.16,7.55,7.176,7.177
"37","2021/01/06","12:17:55",-0.3213,20.658,34.393,47.835,52887.747,1024.122,24.124,0.18,0.18,5.14,97.74,7.157,7.57,7.173,7.174
"38","2021/01/06","12:17:55",-0.3409,20.656,34.402,47.845,52900.998,1024.13,24.132,0.18,0.18,4.88,97.66,7.15,7.55,7.166,7.167
"39","2021/01/06","12:17:55",-0.3409,20.627,34.408,47.824,52914.784,1024.143,24.144,0.18,0.18,4.91,97.62,7.147,7.55,7.163,7.164
"40","2021/01/06","12:17:56",-0.3409,20.62,34.413,47.823,52922.459,1024.148,24.15,0.18,0.18,4.8,97.59,7.146,7.55,7.162,7.163
"41","2021/01/06","12:17:56",-0.3409,20.623,34.412,47.825,52920.999,1024.147,24.148,0.17,0.17,4.8,97.64,7.151,7.57,7.167,7.168
"42","2021/01/06","12:17:56",-0.3213,20.637,34.412,47.839,52918.171,1024.143,24.144,0.17,0.17,4.66,97.6,7.148,7.56,7.164,7.165
"43","2021/01/06","12:17:56",-0.3409,20.663,34.391,47.838,52884.635,1024.12,24.121,NA,NA,4.41,97.48,7.14,7.56,7.156,7.157
"44","2021/01/06","12:17:56",-0.3409,20.687,34.363,47.828,52841.982,1024.092,24.094,NA,NA,4.53,97.47,7.14,7.57,7.156,7.156
"45","2021/01/06","12:17:56",-0.3409,20.667,34.373,47.821,52859.464,1024.105,24.107,0.17,0.17,4.77,97.44,7.136,7.56,7.152,7.153
"46","2021/01/06","12:17:56",-0.3213,20.595,34.457,47.851,52986.609,1024.188,24.19,0.17,0.17,4.78,97.41,7.126,7.57,7.141,7.142
"47","2021/01/06","12:17:56",-0.3409,20.595,34.476,47.876,53013.453,1024.203,24.204,0.16,0.16,4.86,97.29,7.115,7.57,7.131,7.132
"48","2021/01/06","12:17:56",-0.3409,20.606,34.484,47.897,53022.2,1024.206,24.207,NA,NA,4.8,97.49,7.127,7.55,7.143,7.144
"49","2021/01/06","12:17:56",-0.3213,20.588,NA,47.933,NA,NA,24.246,NA,NA,4.8,97.59,7.132,7.56,7.148,7.148
"50","2021/01/06","12:17:57",-0.3409,20.596,NA,47.938,NA,1024.24,24.242,0.16,0.16,4.57,97.58,7.131,7.58,7.147,7.148
"51","2021/01/06","12:17:57",-0.3409,20.595,34.505,47.911,53052.198,1024.224,24.226,0.16,0.16,4.58,97.6,7.135,7.57,7.151,7.152
"52","2021/01/06","12:17:57",-0.3409,20.579,NA,47.934,NA,NA,NA,0.16,0.16,4.53,97.55,7.131,7.57,7.147,7.148
"53","2021/01/06","12:17:57",-0.3409,20.561,NA,47.918,NA,NA,NA,0.17,0.17,4.58,97.53,7.135,7.57,7.15,7.151
"54","2021/01/06","12:17:57",-0.3409,20.578,34.501,47.889,53050.81,1024.227,24.228,0.16,0.16,4.84,97.47,7.133,7.57,7.149,7.15
"55","2021/01/06","12:17:57",-0.3409,20.619,34.481,47.906,53015.201,1024.2,24.201,0.16,0.16,5.04,97.49,7.137,7.57,7.153,7.153
"56","2021/01/06","12:17:57",-0.3409,20.637,34.465,47.905,52990.681,1024.183,24.185,0.17,0.17,4.86,97.49,7.137,7.57,7.152,7.153
"57","2021/01/06","12:17:57",-0.3213,20.63,34.46,47.89,52984.577,1024.181,24.182,0.17,0.17,4.96,97.43,7.13,7.57,7.146,7.147
"58","2021/01/06","12:17:57",-0.3409,20.617,34.452,47.868,52976.453,1024.179,24.18,0.16,0.16,4.97,97.52,7.135,7.57,7.151,7.152
"59","2021/01/06","12:17:57",-0.3409,20.624,34.438,47.858,52955.487,1024.166,24.167,0.16,0.16,5.08,97.62,7.142,7.58,7.158,7.159
"60","2021/01/06","12:17:58",-0.3409,20.623,34.424,47.839,52936.775,1024.156,24.157,0.16,0.16,5.07,97.75,7.151,7.57,7.167,7.168
"61","2021/01/06","12:17:58",-0.3409,20.628,34.417,47.836,52926.984,1024.149,24.151,NA,NA,4.93,97.71,7.147,7.55,7.163,7.164
"62","2021/01/06","12:17:58",-0.3409,20.638,34.419,47.848,52927.053,1024.148,24.149,0.16,0.16,4.84,97.62,7.143,7.57,7.159,7.16
"63","2021/01/06","12:17:58",-0.3409,20.643,34.423,47.858,52931.862,1024.149,24.151,0.18,0.18,4.87,97.66,7.149,7.57,7.165,7.165
"64","2021/01/06","12:17:58",-0.3409,20.64,34.438,47.874,52953.516,1024.162,24.163,0.18,0.18,4.9,97.7,7.153,7.58,7.169,7.17
"65","2021/01/06","12:17:58",-0.3409,20.635,34.437,47.867,52952.23,1024.162,24.164,0.18,0.18,4.88,97.61,7.147,7.58,7.163,7.164
"66","2021/01/06","12:17:58",-0.3409,20.605,34.46,47.865,52988.706,1024.187,24.189,0.18,0.18,4.97,97.56,7.14,7.59,7.156,7.157
"67","2021/01/06","12:17:58",-0.3213,20.609,34.457,47.866,52984.868,1024.185,24.186,NA,NA,5.1,97.52,7.136,7.57,7.152,7.152
"68","2021/01/06","12:17:58",-0.3409,20.609,34.451,47.859,52977.037,1024.18,24.182,NA,NA,5.31,97.41,7.127,7.6,7.142,7.143
"69","2021/01/06","12:17:58",-0.3409,20.636,34.427,47.857,52939.164,1024.155,24.156,NA,NA,5.27,97.31,7.121,7.57,7.136,7.137
"70","2021/01/06","12:17:59",-0.3409,20.67,34.387,47.841,52878.407,1024.115,24.117,0.18,0.18,5.06,97.21,7.115,7.57,7.13,7.131
"71","2021/01/06","12:17:59",-0.3409,20.691,34.379,47.851,52862.716,1024.103,24.104,0.17,0.17,5.21,97.25,7.118,7.57,7.134,7.135
"72","2021/01/06","12:17:59",-0.3409,20.704,34.378,47.864,52860.027,1024.099,24.101,0.17,0.17,5.23,97.32,7.124,7.58,7.14,7.141
"73","2021/01/06","12:17:59",-0.3409,20.732,34.353,47.86,52819.738,1024.072,24.073,0.18,0.18,5.27,97.31,7.124,7.58,7.14,7.14
"74","2021/01/06","12:17:59",-0.3213,20.736,34.348,47.859,52812.256,1024.067,24.068,0.18,0.18,5.17,97.35,7.126,7.57,7.142,7.143
"75","2021/01/06","12:17:59",-0.3409,20.702,34.372,47.854,52852.359,1024.095,24.097,0.18,0.18,5.27,97.34,7.123,7.58,7.139,7.14
"76","2021/01/06","12:17:59",-0.3213,20.704,34.373,47.857,52852.057,1024.095,24.096,0.19,0.19,5.28,97.26,7.115,7.58,7.131,7.132
"77","2021/01/06","12:17:59",-0.3409,20.707,34.368,47.854,52845.509,1024.091,24.092,0.18,0.18,5.2,97.15,7.107,7.58,7.123,7.124
"78","2021/01/06","12:17:59",-0.3213,20.706,34.375,47.862,52855.266,1024.096,24.098,0.18,0.18,5.07,97.2,7.11,7.58,7.126,7.127
"79","2021/01/06","12:17:59",-0.3409,20.713,34.374,47.868,52853.166,1024.094,24.095,0.18,0.18,5.27,97.15,7.106,7.58,7.122,7.123
"80","2021/01/06","12:18:00",-0.3409,20.709,34.381,47.872,52862.819,1024.1,24.101,0.19,0.19,5.34,97.14,7.106,7.59,7.121,7.122
"81","2021/01/06","12:18:00",-0.3213,20.684,34.4,47.871,52893.347,1024.121,24.123,0.18,0.18,5.3,97.13,7.105,7.58,7.121,7.122
"82","2021/01/06","12:18:00",-0.3409,20.654,34.425,47.872,52932.975,1024.148,24.15,0.18,0.18,5.28,97.15,7.105,7.57,7.12,7.121
"83","2021/01/06","12:18:00",-0.3409,20.63,34.446,47.874,52965.863,1024.171,24.172,0.18,0.18,5.15,97.09,7.1,7.58,7.116,7.117
"84","2021/01/06","12:18:00",-0.3213,20.615,34.458,47.874,52985.457,1024.184,24.185,0.18,0.18,5.17,97.09,7.099,7.58,7.115,7.115
"85","2021/01/06","12:18:00",-0.3409,20.603,34.467,47.873,52999.203,1024.194,24.195,NA,NA,5.25,97.11,7.101,7.61,7.117,7.118
"86","2021/01/06","12:18:00",-0.3213,20.603,34.465,47.871,52997.155,1024.193,24.194,NA,NA,5.31,97.17,7.105,7.57,7.121,7.122
