//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=200       
StartTime=2021/01/06 10:56:18
EndTime=2021/01/06 10:56:37
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/01/06,10:56:18,-0.3998,16.964,0.029,0.046,55.413,998.803,-1.195,0.05,0.05,0.51,99.23,9.436,7.42,9.452,9.452,
2021/01/06,10:56:18,-0.4390,16.973,0.030,0.046,55.628,998.802,-1.196,0.04,0.04,0.50,99.17,9.432,7.42,9.448,9.448,
2021/01/06,10:56:18,-0.4194,16.989,0.030,0.046,55.501,998.799,-1.199,0.04,0.04,0.50,99.22,9.440,7.44,9.457,9.457,
2021/01/06,10:56:18,-0.4194,17.008,0.030,0.046,55.624,998.796,-1.202,0.04,0.04,0.48,99.24,9.442,7.43,9.459,9.459,
2021/01/06,10:56:18,-0.4194,17.011,0.030,0.046,55.547,998.795,-1.203,0.03,0.03,0.48,99.21,9.438,7.45,9.455,9.455,
2021/01/06,10:56:18,-0.4194,17.005,0.030,0.046,55.475,998.796,-1.202,0.03,0.03,0.47,99.21,9.436,7.45,9.453,9.453,
2021/01/06,10:56:18,-0.4194,17.007,0.030,0.046,55.680,998.796,-1.202,0.03,0.03,0.47,99.23,9.438,7.47,9.455,9.455,
2021/01/06,10:56:18,-0.4194,16.998,0.029,0.046,55.367,998.797,-1.201,0.04,0.04,0.45,99.31,9.444,7.47,9.460,9.460,
2021/01/06,10:56:18,-0.4194,16.985,0.030,0.046,55.599,998.800,-1.198,0.03,0.03,0.45,99.30,9.440,7.48,9.457,9.457,
2021/01/06,10:56:18,-0.4194,16.980,0.030,0.046,55.553,998.800,-1.198,0.02,0.02,0.58,99.19,9.427,7.48,9.444,9.444,
2021/01/06,10:56:19,-0.4194,16.986,0.030,0.046,55.570,998.799,-1.199,-0.06,-0.06,0.95,99.07,9.414,7.48,9.430,9.430,
2021/01/06,10:56:19,-0.4194,16.993,0.030,0.046,55.539,998.798,-1.200,-0.05,-0.05,0.88,99.09,9.414,7.50,9.431,9.431,
2021/01/06,10:56:19,-0.4194,17.000,0.029,0.046,55.399,998.797,-1.201,-0.01,-0.01,0.84,99.07,9.411,7.50,9.428,9.428,
2021/01/06,10:56:19,-0.4194,17.005,0.030,0.046,55.468,998.796,-1.202,-0.01,-0.01,1.12,99.16,9.418,7.51,9.435,9.435,
2021/01/06,10:56:19,-0.4194,17.013,0.030,0.046,55.484,998.795,-1.203,0.00,0.00,2.15,99.11,9.412,7.50,9.429,9.429,
2021/01/06,10:56:19,-0.4194,17.019,0.029,0.046,55.378,998.794,-1.204,0.02,0.02,6.74,99.16,9.415,7.49,9.432,9.432,
2021/01/06,10:56:19,-0.4194,17.035,0.030,0.046,55.445,998.791,-1.207,-0.49,-0.49,345.93,99.41,9.428,7.52,9.444,9.445,
2021/01/06,10:56:19,-0.3409,17.928,0.094,0.167,198.071,998.681,-1.318,0.15,0.15,131.68,100.21,9.360,7.52,9.378,9.378,
2021/01/06,10:56:19,-0.3605,18.952,29.236,39.885,46006.438,1020.632,20.634,0.44,0.44,30.47,99.82,7.743,7.53,7.759,7.759,
2021/01/06,10:56:19,-0.3605,19.640,29.611,40.946,46419.985,1020.747,20.748,0.50,0.50,8.81,99.13,7.608,7.53,7.624,7.624,
2021/01/06,10:56:20,-0.3409,20.098,28.266,39.656,44449.626,1019.607,19.609,0.51,0.51,3.99,98.66,7.592,7.54,7.608,7.608,
2021/01/06,10:56:20,-0.3409,20.385,28.073,39.653,44134.014,1019.387,19.389,0.51,0.51,2.90,98.38,7.560,7.55,7.576,7.576,
2021/01/06,10:56:20,-0.3213,20.580,27.960,39.673,43946.363,1019.252,19.253,0.51,0.51,2.59,98.20,7.541,7.54,7.558,7.558,
2021/01/06,10:56:20,-0.3409,20.700,27.881,39.673,43817.698,1019.160,19.162,0.51,0.51,2.57,98.00,7.522,7.54,7.538,7.538,
2021/01/06,10:56:20,-0.3409,20.748,27.815,39.629,43718.433,1019.098,19.100,0.50,0.50,2.50,97.88,7.511,7.55,7.528,7.528,
2021/01/06,10:56:20,-0.3409,20.760,27.840,39.671,43751.712,1019.114,19.116,0.51,0.51,2.28,97.65,7.487,7.55,7.504,7.504,
2021/01/06,10:56:20,-0.3409,20.774,27.801,39.631,43694.244,1019.081,19.082,0.49,0.49,2.40,97.35,7.461,7.55,7.478,7.478,
2021/01/06,10:56:20,-0.3605,20.811,27.814,39.679,43707.295,1019.081,19.082,0.49,0.49,2.30,97.17,7.439,7.55,7.456,7.456,
2021/01/06,10:56:20,-0.3213,20.833,27.789,39.666,43670.118,1019.057,19.058,0.50,0.50,2.39,97.06,7.424,7.56,7.440,7.440,
2021/01/06,10:56:20,-0.3409,20.821,27.784,39.650,43664.179,1019.056,19.057,0.50,0.50,2.45,96.99,7.411,7.55,7.428,7.428,
2021/01/06,10:56:21,-0.3213,20.796,27.785,39.630,43668.342,1019.063,19.064,0.49,0.49,2.45,96.86,7.396,7.57,7.413,7.413,
2021/01/06,10:56:21,-0.3213,20.752,27.787,39.596,43678.193,1019.076,19.078,0.51,0.51,2.43,96.71,7.380,7.56,7.397,7.397,
2021/01/06,10:56:21,-0.3213,20.721,27.823,39.617,43733.713,1019.112,19.113,0.51,0.51,2.48,96.53,7.360,7.57,7.377,7.377,
