//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=190       
StartTime=2021/01/06 11:09:44
EndTime=2021/01/06 11:10:02
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/01/06,11:09:44,-0.3802,18.675,0.038,0.064,74.424,998.497,-1.501,0.29,0.29,4.30,95.39,8.654,7.41,8.672,8.672,
2021/01/06,11:09:44,-0.3998,18.570,0.029,0.046,53.679,998.510,-1.488,0.17,0.17,4.41,95.09,8.627,7.42,8.645,8.645,
2021/01/06,11:09:44,-0.3998,18.473,0.029,0.045,52.961,998.528,-1.470,0.08,0.08,2.52,94.64,8.591,7.47,8.609,8.609,
2021/01/06,11:09:44,-0.4194,18.393,0.029,0.046,53.263,998.544,-1.454,0.11,0.11,3.52,94.33,8.567,7.43,8.585,8.585,
2021/01/06,11:09:44,-0.4194,18.323,0.029,0.045,53.186,998.557,-1.441,0.19,0.19,1.86,94.10,8.555,7.45,8.572,8.572,
2021/01/06,11:09:44,-0.4194,18.259,0.029,0.045,53.352,998.569,-1.429,-0.02,-0.02,1.34,93.86,8.548,7.46,8.565,8.566,
2021/01/06,11:09:44,-0.4194,18.194,0.029,0.046,53.568,998.581,-1.417,-0.02,-0.02,1.39,93.63,8.540,7.47,8.557,8.557,
2021/01/06,11:09:44,-0.4194,18.114,0.029,0.045,53.331,998.596,-1.402,-0.06,-0.06,1.18,93.42,8.532,7.50,8.549,8.550,
2021/01/06,11:09:44,-0.3998,18.035,0.029,0.046,53.802,998.611,-1.387,0.01,0.01,1.51,93.31,8.532,7.46,8.549,8.549,
2021/01/06,11:09:44,-0.3998,17.968,0.029,0.046,53.995,998.623,-1.375,0.05,0.05,1.15,93.08,8.515,7.49,8.532,8.532,
2021/01/06,11:09:45,-0.3998,17.920,0.029,0.045,53.788,998.632,-1.366,0.02,0.02,1.38,92.83,8.496,7.49,8.513,8.513,
2021/01/06,11:09:45,-0.4194,17.887,0.029,0.045,53.710,998.638,-1.360,0.02,0.02,1.04,92.71,8.487,7.49,8.504,8.504,
2021/01/06,11:09:45,-0.4194,17.869,0.029,0.045,53.777,998.641,-1.357,0.01,0.01,1.09,92.67,8.485,7.50,8.502,8.502,
2021/01/06,11:09:45,-0.4194,17.831,0.029,0.045,53.992,998.648,-1.350,0.01,0.01,1.62,92.48,8.470,7.51,8.487,8.487,
2021/01/06,11:09:45,-0.4194,17.794,0.029,0.046,54.238,998.655,-1.343,0.08,0.08,1.19,92.34,8.458,7.51,8.475,8.475,
2021/01/06,11:09:45,-0.4194,17.747,0.029,0.045,54.019,998.664,-1.334,0.05,0.05,1.05,92.13,8.441,7.53,8.457,8.457,
2021/01/06,11:09:45,-0.4194,17.693,0.029,0.045,53.966,998.674,-1.325,0.05,0.05,1.35,92.02,8.431,7.53,8.448,8.448,
2021/01/06,11:09:45,-0.4194,17.620,0.029,0.045,54.223,998.687,-1.311,0.01,0.01,1.18,91.96,8.427,7.51,8.444,8.444,
2021/01/06,11:09:45,-0.4194,17.541,0.029,0.045,54.247,998.701,-1.297,-0.02,-0.02,1.05,91.83,8.418,7.53,8.435,8.435,
2021/01/06,11:09:45,-0.3998,17.469,0.029,0.046,54.546,998.714,-1.284,-0.03,-0.03,1.31,91.79,8.417,7.53,8.434,8.434,
2021/01/06,11:09:46,-0.4194,17.409,0.029,0.045,54.620,998.725,-1.273,-0.05,-0.05,2.12,91.71,8.413,7.54,8.429,8.430,
2021/01/06,11:09:46,-0.4194,17.368,0.029,0.045,54.223,998.732,-1.266,-0.02,-0.02,2.08,91.61,8.406,7.52,8.422,8.423,
2021/01/06,11:09:46,-0.4390,17.342,0.029,0.046,54.728,998.737,-1.261,-0.02,-0.02,4.07,91.56,8.403,7.55,8.419,8.419,
2021/01/06,11:09:46,-0.3998,17.525,0.048,0.082,97.912,998.719,-1.279,-0.54,-0.54,305.70,91.97,8.427,7.55,8.444,8.444,
2021/01/06,11:09:46,-0.3605,18.958,26.238,36.187,41734.847,1018.347,18.349,0.18,0.18,75.45,92.61,7.209,7.53,7.225,7.225,
2021/01/06,11:09:46,-0.3213,19.997,33.575,46.171,51881.580,1023.675,23.676,0.34,0.34,19.12,92.48,6.846,7.54,6.861,6.862,
2021/01/06,11:09:46,-0.3213,20.562,34.735,48.162,53373.777,1024.409,24.410,0.41,0.41,6.95,92.17,6.744,7.56,6.759,6.760,
2021/01/06,11:09:46,-0.3213,20.863,34.495,48.169,52992.130,1024.145,24.146,0.38,0.38,4.41,91.86,6.711,7.56,6.726,6.726,
2021/01/06,11:09:46,-0.3213,21.034,34.366,48.180,52785.845,1024.001,24.002,0.37,0.37,3.56,91.77,6.697,7.56,6.712,6.713,
