"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/01/06","10:45:23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021/01/06","10:45:23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021/01/06","10:45:23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021/01/06","10:45:23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021/01/06","10:45:23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021/01/06","10:45:23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021/01/06","10:45:23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021/01/06","10:45:23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021/01/06","10:45:23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021/01/06","10:45:24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021/01/06","10:45:24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021/01/06","10:45:24",NA,NA,NA,NA,NA,NA,NA,0.27,0.27,NA,NA,NA,NA,NA,NA
"13","2021/01/06","10:45:24",-0.3016,NA,NA,NA,NA,NA,NA,0.34,0.34,NA,NA,NA,NA,NA,NA
"14","2021/01/06","10:45:24",-0.282,NA,NA,49.122,NA,NA,NA,0.34,0.34,NA,NA,NA,NA,NA,NA
"15","2021/01/06","10:45:24",-0.3016,NA,NA,49.113,NA,NA,NA,0.34,0.34,NA,NA,NA,NA,NA,NA
"16","2021/01/06","10:45:24",-0.3016,21.511,34.698,49.081,53160.661,1024.123,24.124,0.33,0.33,NA,NA,NA,NA,NA,NA
"17","2021/01/06","10:45:24",-0.3016,21.672,34.545,49.05,52924.791,1023.962,23.963,0.32,0.32,1.02,NA,NA,7.53,NA,NA
"18","2021/01/06","10:45:24",-0.3016,21.766,34.442,49.016,52769.776,1023.858,23.859,0.33,0.33,0.97,NA,NA,NA,NA,NA
"19","2021/01/06","10:45:24",-0.3016,21.801,34.426,49.03,52741.352,1023.835,23.837,0.34,0.34,1,NA,NA,7.55,NA,NA
"20","2021/01/06","10:45:25",-0.282,21.82,34.411,49.031,52718.453,1023.819,23.82,0.33,0.33,0.97,NA,NA,7.54,NA,NA
"21","2021/01/06","10:45:25",-0.282,21.834,34.416,49.05,52722.667,1023.819,23.82,0.34,0.34,1.01,NA,NA,7.53,NA,NA
"22","2021/01/06","10:45:25",-0.282,21.839,34.378,49.007,52669.951,1023.789,23.79,0.36,0.36,1,NA,NA,7.54,NA,NA
"23","2021/01/06","10:45:25",-0.282,21.827,34.337,48.943,52616.918,1023.761,23.763,0.36,0.36,0.97,NA,NA,7.53,NA,NA
"24","2021/01/06","10:45:25",-0.282,21.803,34.383,48.977,52683.235,1023.803,23.804,0.36,0.36,0.94,NA,NA,7.54,NA,NA
"25","2021/01/06","10:45:25",-0.3016,21.768,34.404,48.969,52717.792,1023.829,23.83,0.36,0.36,0.97,NA,NA,7.55,NA,NA
"26","2021/01/06","10:45:25",-0.3016,21.724,34.425,48.951,52752.759,1023.856,23.858,0.36,0.36,1.01,NA,NA,7.55,NA,NA
"27","2021/01/06","10:45:25",-0.3016,21.702,34.417,48.92,52746.096,1023.857,23.858,0.34,0.34,1.01,NA,NA,7.55,NA,NA
"28","2021/01/06","10:45:25",-0.282,21.697,34.422,48.92,52753.807,1023.862,23.863,0.34,0.34,NA,NA,NA,7.55,NA,NA
"29","2021/01/06","10:45:25",-0.282,21.685,34.432,48.921,52769.224,1023.873,23.874,0.36,0.36,NA,NA,NA,7.56,NA,NA
"30","2021/01/06","10:45:26",-0.282,21.68,34.411,48.889,52740.658,1023.858,23.859,0.36,0.36,1.05,NA,NA,7.57,NA,NA
"31","2021/01/06","10:45:26",-0.3016,21.664,34.462,48.937,52812.843,1023.901,23.902,0.34,0.34,0.98,NA,NA,7.55,NA,NA
"32","2021/01/06","10:45:26",-0.282,21.647,34.486,48.95,52848.634,1023.924,23.926,0.34,0.34,0.94,NA,NA,7.55,NA,NA
"33","2021/01/06","10:45:26",-0.282,21.628,34.489,48.934,52855.404,1023.932,23.933,0.35,0.35,0.95,NA,NA,7.56,NA,NA
"34","2021/01/06","10:45:26",-0.282,21.612,34.519,48.956,52899.115,1023.959,23.96,0.35,0.35,1.07,NA,NA,7.56,NA,NA
"35","2021/01/06","10:45:26",-0.282,21.607,34.509,48.94,52887.155,1023.953,23.954,0.34,0.34,1.07,NA,6.845,7.55,6.862,6.862
"36","2021/01/06","10:45:26",-0.282,21.561,34.544,48.936,52941.555,1023.992,23.993,0.34,0.34,0.94,NA,6.827,7.55,6.844,6.845
"37","2021/01/06","10:45:26",-0.3016,21.566,34.541,48.938,52937.446,1023.989,23.99,0.33,0.33,0.94,NA,6.811,7.54,6.827,6.828
