"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do"
"1","2021/09/02","07:55:56",-0.439,28.613,32.502,53.255,49334.069,1020.316,20.318,0.36,0.36,NA,NA,NA,NA,NA
"2","2021/09/02","07:55:56",-0.439,28.619,32.496,53.253,49325.316,1020.309,20.311,0.31,0.31,NA,NA,NA,NA,NA
"3","2021/09/02","07:55:56",-0.439,28.623,32.494,53.254,49322.657,1020.307,20.309,0.31,0.31,NA,NA,NA,NA,NA
"4","2021/09/02","07:55:56",-0.4587,28.625,32.488,53.246,49313.668,1020.301,20.303,0.31,0.31,NA,NA,NA,NA,NA
"5","2021/09/02","07:55:56",-0.4587,28.627,32.489,53.25,49314.754,1020.301,20.303,0.31,0.31,NA,NA,NA,NA,NA
"6","2021/09/02","07:55:56",-0.4587,28.627,32.487,53.246,49311.726,1020.299,20.301,0.31,0.31,NA,NA,NA,NA,NA
"7","2021/09/02","07:55:56",-0.439,28.622,32.49,53.247,49317.148,1020.304,20.306,0.32,0.32,NA,NA,NA,NA,NA
"8","2021/09/02","07:55:56",-0.439,28.621,32.489,53.245,49315.559,1020.303,20.305,0.33,0.33,NA,NA,NA,NA,NA
"9","2021/09/02","07:55:56",-0.439,28.623,32.487,53.243,49313.253,1020.302,20.303,0.34,0.34,NA,NA,NA,NA,NA
"10","2021/09/02","07:55:57",-0.4587,28.622,32.487,53.242,49313.014,1020.302,20.304,0.34,0.34,NA,NA,NA,NA,NA
"11","2021/09/02","07:55:57",-0.439,28.618,32.488,53.241,49314.838,1020.304,20.306,0.35,0.35,NA,NA,NA,NA,NA
"12","2021/09/02","07:55:57",-0.439,28.618,32.491,53.244,49318.623,1020.306,20.308,0.34,0.34,NA,NA,NA,NA,NA
"13","2021/09/02","07:55:57",-0.4587,28.62,32.486,53.24,49312.073,1020.301,20.303,0.38,0.38,NA,NA,NA,NA,NA
