"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do"
"1","2021/09/02","11:20:22",-0.5764,31.092,25.081,NA,38980.082,1013.942,13.945,0.34,0.34,2.12,NA,NA,NA,NA
"2","2021/09/02","11:20:22",-0.5764,31.086,25.09,44.214,38993.497,1013.951,13.954,0.34,0.34,2.1,NA,NA,NA,NA
"3","2021/09/02","11:20:22",-0.5764,31.075,25.1,44.221,39007.267,1013.962,13.964,0.32,0.32,2.12,NA,NA,NA,NA
"4","2021/09/02","11:20:22",-0.5764,31.081,25.102,44.229,39010.109,1013.961,13.964,0.34,0.34,2.12,NA,NA,NA,NA
"5","2021/09/02","11:20:22",-0.5764,31.084,25.105,44.236,39014.313,1013.963,13.966,0.33,0.33,2.05,NA,NA,NA,NA
"6","2021/09/02","11:20:22",-0.5764,31.078,25.12,44.255,39034.944,1013.976,13.978,0.34,0.34,2.03,NA,6.951,NA,NA
"7","2021/09/02","11:20:22",-0.5764,31.087,25.119,44.262,39034.428,1013.973,13.975,0.34,0.34,2.02,NA,6.958,NA,NA
"8","2021/09/02","11:20:22",-0.5764,31.095,25.121,44.27,39035.987,1013.971,13.974,0.34,0.34,1.95,NA,6.966,NA,NA
"9","2021/09/02","11:20:22",-0.5764,31.105,25.116,44.271,39029.337,1013.964,13.967,0.35,0.35,1.91,NA,6.965,NA,NA
"10","2021/09/02","11:20:23",-0.5961,31.101,25.107,44.254,39016.88,1013.959,13.961,0.34,0.34,1.98,NA,6.966,NA,NA
"11","2021/09/02","11:20:23",-0.5961,31.093,25.119,44.266,39033.499,1013.97,13.973,0.33,0.33,1.99,NA,6.961,7.47,NA
"12","2021/09/02","11:20:23",-0.5764,31.088,25.129,44.278,39048.169,1013.98,13.982,0.34,0.34,2.08,108.12,6.967,NA,NA
"13","2021/09/02","11:20:23",-0.5764,31.128,25.118,44.292,39030.061,1013.958,13.96,0.32,0.32,2.08,108.24,6.975,7.47,NA
"14","2021/09/02","11:20:23",-0.5764,31.14,25.112,44.293,39021.9,1013.949,13.952,0.33,0.33,2.01,108.4,6.986,7.47,NA
"15","2021/09/02","11:20:23",-0.5764,31.132,25.113,44.287,39022.652,1013.952,13.955,0.34,0.34,2.06,108.5,6.992,7.47,NA
"16","2021/09/02","11:20:23",-0.5764,31.128,25.111,44.281,39020.798,1013.953,13.955,0.33,0.33,1.98,108.62,7,7.47,NA
"17","2021/09/02","11:20:23",-0.5764,31.103,25.121,44.276,39035.35,1013.968,13.971,0.34,0.34,1.92,108.74,7.006,7.48,NA
"18","2021/09/02","11:20:23",-0.5764,31.1,25.126,44.283,39043.091,1013.973,13.976,0.34,0.34,1.91,108.89,7.016,7.48,NA
"19","2021/09/02","11:20:23",-0.5961,31.094,25.131,44.287,39050.891,1013.979,13.982,0.33,0.33,1.86,108.82,7.012,7.48,NA
"20","2021/09/02","11:20:24",-0.5568,31.116,25.12,44.286,39034.452,1013.964,13.966,0.33,0.33,1.91,108.87,7.014,7.47,NA
"21","2021/09/02","11:20:24",-0.5961,31.128,25.114,44.286,39024.816,1013.955,13.957,0.33,0.33,1.89,108.83,7.012,7.48,NA
"22","2021/09/02","11:20:24",-0.5764,31.128,25.119,44.294,39032.145,1013.959,13.961,0.34,0.34,1.92,108.7,7.002,7.48,NA
"23","2021/09/02","11:20:24",-0.5764,31.124,25.12,44.292,39033.485,1013.961,13.963,0.34,0.34,1.96,108.64,6.998,7.47,NA
"24","2021/09/02","11:20:24",-0.5568,31.125,25.118,44.29,39030.785,1013.959,13.961,0.34,0.34,1.89,108.83,7.01,7.5,NA
"25","2021/09/02","11:20:24",-0.5764,31.126,25.103,44.266,39009.138,1013.947,13.949,0.33,0.33,1.88,108.92,7.017,7.49,NA
"26","2021/09/02","11:20:24",-0.5961,31.113,25.116,44.277,39027.65,1013.961,13.963,0.34,0.34,1.95,108.98,7.02,7.49,NA
"27","2021/09/02","11:20:24",-0.5764,31.094,25.13,44.284,39048.948,1013.978,13.981,0.33,0.33,1.89,108.95,7.017,7.51,NA
"28","2021/09/02","11:20:24",-0.5764,31.077,25.132,44.273,39052.62,1013.986,13.988,0.32,0.32,1.85,109.04,7.023,7.49,NA
"29","2021/09/02","11:20:24",-0.5764,31.07,25.136,44.275,39058.942,1013.991,13.993,0.33,0.33,1.96,109.25,7.036,7.5,NA
"30","2021/09/02","11:20:25",-0.5764,31.078,25.135,44.279,39056.831,1013.987,13.99,0.33,0.33,1.93,109.21,7.034,7.51,NA
"31","2021/09/02","11:20:25",-0.5764,31.085,25.138,44.289,39059.824,1013.987,13.989,0.31,0.31,1.95,109.18,7.033,7.51,NA
"32","2021/09/02","11:20:25",-0.5764,31.093,25.139,44.297,39061.62,1013.985,13.988,0.33,0.33,1.98,109.25,7.037,7.5,NA
"33","2021/09/02","11:20:25",-0.5764,31.085,25.15,44.309,39077.215,1013.996,13.999,0.32,0.32,1.91,109.28,7.038,7.5,NA
"34","2021/09/02","11:20:25",-0.5764,31.064,25.163,44.313,39097.018,1014.013,14.016,0.34,0.34,1.89,109.44,7.045,7.51,NA
"35","2021/09/02","11:20:25",-0.5764,31.056,25.155,44.292,39084.987,1014.009,14.012,0.31,0.31,1.99,109.29,7.032,7.51,NA
"36","2021/09/02","11:20:25",-0.5764,31.061,25.127,44.253,39046.4,1013.987,13.99,0.33,0.33,2.01,109.15,7.022,7.51,NA
"37","2021/09/02","11:20:25",-0.5764,31.064,25.127,44.255,39046.435,1013.986,13.989,0.32,0.32,1.99,109.05,7.015,7.51,NA
"38","2021/09/02","11:20:25",-0.5764,31.067,25.127,44.257,39045.457,1013.985,13.987,0.31,0.31,1.95,109.01,7.012,7.51,NA
