//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=180       
StartTime=2021/09/02 09:51:30
EndTime=2021/09/02 09:51:47
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],DO [mg/l],電池電圧 [V],
2021/09/02,09:51:30,-0.5764,30.095,0.027,0.043,38.641,995.638,-4.360,-0.15,-0.15,0.58,12.71,0.950,7.39,
2021/09/02,09:51:30,-0.5961,30.109,0.027,0.043,38.831,995.633,-4.364,-0.06,-0.06,0.91,47.11,3.522,7.39,
2021/09/02,09:51:30,-0.5961,30.110,0.027,0.043,38.703,995.633,-4.364,-0.02,-0.02,1.35,72.55,5.424,7.40,
2021/09/02,09:51:30,-0.5961,30.104,0.027,0.043,38.857,995.635,-4.363,0.00,0.00,2.39,85.25,6.373,7.40,
2021/09/02,09:51:30,-0.5961,30.106,0.027,0.043,38.926,995.634,-4.363,0.00,0.00,5.58,90.23,6.746,7.39,
2021/09/02,09:51:30,-0.5961,30.120,0.033,0.060,53.828,995.635,-4.363,-0.22,-0.22,181.83,92.23,6.894,7.43,
2021/09/02,09:51:30,-0.5372,30.342,27.985,48.109,43049.601,1016.361,16.363,0.08,0.08,76.94,92.94,5.939,7.42,
2021/09/02,09:51:30,-0.4979,30.554,34.269,57.856,51556.613,1020.986,20.988,0.24,0.24,18.01,93.11,5.732,7.42,
2021/09/02,09:51:30,-0.4979,30.676,34.127,57.771,51357.648,1020.837,20.840,0.27,0.27,5.23,92.90,5.714,7.42,
2021/09/02,09:51:30,-0.4979,30.727,33.987,57.615,51167.963,1020.716,20.718,0.26,0.26,2.30,92.71,5.702,7.45,
2021/09/02,09:51:31,-0.4979,30.726,33.904,57.489,51056.600,1020.653,20.656,0.24,0.24,1.55,92.56,5.697,7.43,
2021/09/02,09:51:31,-0.4979,30.678,33.905,57.439,51060.938,1020.671,20.673,0.24,0.24,1.35,92.28,5.684,7.43,
2021/09/02,09:51:31,-0.5176,30.628,33.889,57.363,51043.791,1020.676,20.679,0.24,0.24,1.31,92.05,5.675,7.47,
2021/09/02,09:51:31,-0.4783,30.579,33.902,57.332,51064.421,1020.703,20.705,0.25,0.25,1.36,91.84,5.665,7.46,
2021/09/02,09:51:31,-0.4783,30.555,33.893,57.294,51054.762,1020.705,20.707,0.24,0.24,1.44,91.48,5.646,7.47,
2021/09/02,09:51:31,-0.4979,30.572,33.880,57.292,51035.571,1020.689,20.691,0.24,0.24,1.51,91.20,5.633,7.47,
2021/09/02,09:51:31,-0.4783,30.598,33.858,57.286,51003.671,1020.663,20.665,0.25,0.25,1.54,90.98,5.624,7.45,
2021/09/02,09:51:31,-0.4783,30.566,33.883,57.290,51039.876,1020.693,20.695,0.24,0.24,1.54,90.69,5.612,7.47,
2021/09/02,09:51:31,-0.4979,30.487,33.945,57.301,51128.796,1020.767,20.769,0.24,0.24,1.44,90.45,5.602,7.47,
2021/09/02,09:51:31,-0.4783,30.424,33.996,57.311,51201.415,1020.827,20.829,0.21,0.21,1.44,90.23,5.591,7.47,
2021/09/02,09:51:32,-0.4783,30.390,34.024,57.317,51241.108,1020.859,20.861,0.21,0.21,1.42,89.87,5.568,7.48,
2021/09/02,09:51:32,-0.4783,30.377,34.036,57.321,51257.855,1020.872,20.875,0.21,0.21,1.34,89.68,5.555,7.48,
2021/09/02,09:51:32,-0.4979,30.343,34.061,57.323,51293.784,1020.903,20.905,0.21,0.21,1.29,89.39,5.535,7.48,
2021/09/02,09:51:32,-0.4783,30.348,34.048,57.310,51277.149,1020.892,20.894,0.21,0.21,1.31,89.09,5.517,7.48,
2021/09/02,09:51:32,-0.4979,30.345,34.035,57.287,51260.039,1020.883,20.885,0.21,0.21,1.34,88.60,5.487,7.50,
2021/09/02,09:51:32,-0.4979,30.327,34.039,57.273,51265.701,1020.892,20.894,0.22,0.22,1.29,88.36,5.473,7.49,
2021/09/02,09:51:32,-0.4979,30.318,34.049,57.280,51280.263,1020.903,20.905,0.24,0.24,1.31,88.22,5.467,7.49,
2021/09/02,09:51:32,-0.4979,30.320,34.047,57.278,51276.761,1020.900,20.902,0.24,0.24,1.27,87.89,5.450,7.49,
2021/09/02,09:51:32,-0.4979,30.326,34.034,57.265,51259.130,1020.889,20.891,0.24,0.24,1.28,87.69,5.441,7.49,
2021/09/02,09:51:32,-0.4979,30.330,34.030,57.263,51253.206,1020.884,20.886,0.23,0.23,1.31,87.38,5.424,7.49,
2021/09/02,09:51:33,-0.4783,30.336,34.024,57.262,51245.538,1020.878,20.880,0.24,0.24,1.28,87.11,5.408,7.50,
2021/09/02,09:51:33,-0.4783,30.336,34.030,57.270,51253.059,1020.882,20.884,0.24,0.24,1.24,86.98,5.400,7.51,
2021/09/02,09:51:33,-0.4979,30.327,34.038,57.273,51265.187,1020.892,20.894,0.21,0.21,1.24,86.61,5.377,7.50,
2021/09/02,09:51:33,-0.4979,30.318,34.047,57.278,51277.792,1020.901,20.903,0.21,0.21,1.24,86.40,5.363,7.51,
2021/09/02,09:51:33,-0.4979,30.316,34.053,57.284,51285.642,1020.906,20.908,0.23,0.23,1.28,86.16,5.349,7.51,
2021/09/02,09:51:33,-0.4979,30.306,34.063,57.288,51299.646,1020.917,20.919,0.21,0.21,1.32,86.05,5.342,7.49,
2021/09/02,09:51:33,-0.4979,30.297,34.073,57.293,51313.136,1020.927,20.929,0.21,0.21,1.36,85.89,5.333,7.50,
2021/09/02,09:51:33,-0.4979,30.296,34.073,57.293,51314.089,1020.928,20.930,0.21,0.21,1.41,85.73,5.325,7.50,
2021/09/02,09:51:33,-0.4783,30.292,34.077,57.295,51319.908,1020.933,20.935,0.21,0.21,1.41,85.65,5.323,7.51,
2021/09/02,09:51:33,-0.4979,30.286,34.088,57.304,51334.335,1020.943,20.945,0.20,0.20,1.35,85.45,5.312,7.51,
2021/09/02,09:51:34,-0.4979,30.283,34.103,57.324,51355.186,1020.955,20.957,0.21,0.21,1.28,85.22,5.298,7.51,
2021/09/02,09:51:34,-0.4979,30.279,34.101,57.315,51351.938,1020.955,20.957,0.21,0.21,1.22,84.94,5.281,7.51,
2021/09/02,09:51:34,-0.4979,30.272,34.107,57.317,51360.536,1020.962,20.964,0.23,0.23,1.31,84.70,5.265,7.51,
2021/09/02,09:51:34,-0.4979,30.280,34.094,57.307,51342.925,1020.949,20.951,0.21,0.21,1.35,84.57,5.257,7.52,
2021/09/02,09:51:34,-0.4979,30.297,34.081,57.305,51324.640,1020.934,20.936,0.19,0.19,1.25,84.41,5.247,7.50,
2021/09/02,09:51:34,-0.4979,30.307,34.077,57.310,51318.315,1020.927,20.930,0.19,0.19,1.22,84.20,5.234,7.51,
2021/09/02,09:51:34,-0.4979,30.313,34.068,57.302,51305.351,1020.918,20.920,0.21,0.21,1.24,84.02,5.222,7.51,
2021/09/02,09:51:34,-0.4979,30.315,34.069,57.307,51307.531,1020.919,20.921,0.21,0.21,1.28,83.82,5.210,7.51,
2021/09/02,09:51:34,-0.4783,30.313,34.075,57.313,51315.062,1020.924,20.926,0.21,0.21,1.29,83.63,5.199,7.51,
2021/09/02,09:51:34,-0.4979,30.307,34.082,57.318,51324.813,1020.931,20.933,0.19,0.19,1.27,83.53,5.193,7.52,
2021/09/02,09:51:35,-0.4783,30.297,34.093,57.324,51340.266,1020.943,20.945,0.20,0.20,1.21,83.34,5.182,7.53,
