//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=200       
StartTime=2021/09/02 12:39:46
EndTime=2021/09/02 12:40:05
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],DO [mg/l],電池電圧 [V],
2021/09/02,12:39:46,-0.4783,30.100,31.922,53.870,48436.223,1019.385,19.387,0.34,0.34,1.01,99.92,6.310,7.37,
2021/09/02,12:39:46,-0.4979,30.106,31.915,53.867,48427.120,1019.378,19.380,0.33,0.33,1.01,100.01,6.316,7.39,
2021/09/02,12:39:46,-0.4979,30.103,31.914,53.862,48425.328,1019.378,19.380,0.34,0.34,1.00,100.15,6.323,7.40,
2021/09/02,12:39:46,-0.4783,30.084,31.918,53.850,48432.364,1019.387,19.389,0.33,0.33,0.91,100.17,6.322,7.40,
2021/09/02,12:39:46,-0.4979,30.042,31.947,53.851,48474.273,1019.423,19.425,0.34,0.34,0.95,100.41,6.335,7.41,
2021/09/02,12:39:46,-0.4979,30.003,31.969,53.846,48507.142,1019.453,19.455,0.32,0.32,0.97,100.50,6.339,7.41,
2021/09/02,12:39:46,-0.4979,30.001,31.973,53.850,48512.195,1019.456,19.458,0.32,0.32,0.91,100.52,6.338,7.42,
2021/09/02,12:39:46,-0.4979,29.994,31.964,53.829,48500.341,1019.452,19.454,0.31,0.31,0.90,100.68,6.350,7.42,
2021/09/02,12:39:46,-0.4783,30.009,31.941,53.810,48468.483,1019.430,19.432,0.32,0.32,0.95,100.79,6.359,7.43,
2021/09/02,12:39:46,-0.4979,30.046,31.903,53.790,48415.000,1019.389,19.391,0.32,0.32,1.11,100.85,6.365,7.43,
2021/09/02,12:39:47,-0.4783,30.054,31.906,53.802,48418.828,1019.389,19.391,0.31,0.31,1.12,100.65,6.354,7.43,
2021/09/02,12:39:47,-0.4979,30.050,31.915,53.811,48430.121,1019.396,19.398,0.31,0.31,0.98,100.90,6.370,7.44,
2021/09/02,12:39:47,-0.4783,30.039,31.936,53.832,48459.907,1019.416,19.418,0.32,0.32,0.90,101.07,6.379,7.46,
2021/09/02,12:39:47,-0.4783,30.030,31.959,53.858,48491.601,1019.436,19.438,0.31,0.31,0.90,101.15,6.383,7.47,
2021/09/02,12:39:47,-0.4783,30.038,31.980,53.898,48519.357,1019.449,19.451,0.29,0.29,0.91,101.24,6.386,7.46,
2021/09/02,12:39:47,-0.4979,30.033,32.003,53.926,48550.107,1019.468,19.470,0.30,0.30,0.94,101.33,6.391,7.47,
2021/09/02,12:39:47,-0.4783,30.040,32.041,53.990,48601.116,1019.494,19.496,0.33,0.33,0.91,101.64,6.409,7.47,
