//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=160       
StartTime=2021/09/02 11:08:02
EndTime=2021/09/02 11:08:17
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],DO [mg/l],電池電圧 [V],
2021/09/02,11:08:02,-0.5764,29.049,34.370,56.425,51809.837,1021.572,21.575,0.26,0.26,1.71,98.48,6.220,7.39,
2021/09/02,11:08:02,-0.5961,29.005,34.301,56.278,51720.493,1021.535,21.537,0.26,0.26,1.64,98.35,6.215,7.39,
2021/09/02,11:08:02,-0.6157,28.926,34.324,56.229,51758.390,1021.578,21.581,0.25,0.25,1.48,98.24,6.208,7.40,
2021/09/02,11:08:02,-0.5961,28.912,34.371,56.283,51822.634,1021.618,21.621,0.26,0.26,1.46,98.19,6.205,7.40,
2021/09/02,11:08:02,-0.5764,28.959,34.364,56.323,51809.874,1021.598,21.600,0.25,0.25,1.75,98.20,6.207,7.41,
2021/09/02,11:08:02,-0.5961,28.999,34.336,56.323,51768.332,1021.563,21.566,0.24,0.24,1.69,98.10,6.200,7.41,
2021/09/02,11:08:02,-0.5961,29.021,34.311,56.310,51733.371,1021.537,21.540,0.26,0.26,1.85,97.99,6.189,7.41,
2021/09/02,11:08:02,-0.6157,29.075,34.294,56.341,51705.551,1021.506,21.509,0.24,0.24,1.68,97.53,6.154,7.43,
2021/09/02,11:08:02,-0.5961,29.103,34.271,56.337,51672.831,1021.480,21.483,0.24,0.24,1.35,97.41,6.144,7.44,
2021/09/02,11:08:02,-0.6157,29.062,34.295,56.329,51707.854,1021.511,21.514,0.23,0.23,1.17,97.47,6.146,7.44,
2021/09/02,11:08:03,-0.5961,29.020,34.317,56.318,51741.642,1021.542,21.545,0.22,0.22,1.14,97.33,6.130,7.44,
2021/09/02,11:08:03,-0.5961,29.026,34.315,56.320,51737.594,1021.538,21.541,0.24,0.24,1.24,97.14,6.112,7.47,
2021/09/02,11:08:03,-0.5961,29.027,34.340,56.358,51771.518,1021.557,21.560,0.25,0.25,1.25,97.03,6.106,7.47,
2021/09/02,11:08:03,-0.5961,29.016,34.380,56.405,51825.948,1021.591,21.593,0.23,0.23,1.15,97.02,6.107,7.46,
2021/09/02,11:08:03,-0.5961,29.026,34.364,56.392,51804.206,1021.576,21.578,0.21,0.21,1.12,96.99,6.102,7.44,
2021/09/02,11:08:03,-0.5961,29.045,34.363,56.411,51800.769,1021.568,21.571,0.22,0.22,1.09,96.99,6.099,7.46,
2021/09/02,11:08:03,-0.5961,29.004,34.409,56.435,51866.506,1021.617,21.620,0.23,0.23,1.04,96.94,6.091,7.47,
