"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do"
"1","2021/09/02","09:59:24",NA,30.162,34.246,57.41,51554.722,1021.103,21.105,0.2,0.2,1.71,NA,NA,NA,NA
"2","2021/09/02","09:59:24",-0.5176,30.174,34.235,57.406,51539.195,1021.091,21.093,0.21,0.21,1.69,NA,NA,NA,NA
"3","2021/09/02","09:59:24",-0.5176,30.175,34.236,57.408,51540.768,1021.092,21.094,0.2,0.2,1.69,NA,NA,NA,NA
"4","2021/09/02","09:59:24",NA,30.168,34.239,57.406,51545.858,1021.097,21.099,0.21,0.21,1.62,NA,NA,NA,NA
"5","2021/09/02","09:59:24",NA,30.176,34.235,57.407,51538.956,1021.09,21.093,0.21,0.21,1.64,NA,NA,NA,NA
"6","2021/09/02","09:59:24",-0.5176,30.179,34.237,57.415,51542.42,1021.091,21.094,0.2,0.2,1.62,NA,NA,NA,NA
"7","2021/09/02","09:59:24",-0.5176,30.177,34.252,57.435,51562.239,1021.103,21.105,0.21,0.21,1.56,NA,NA,NA,NA
"8","2021/09/02","09:59:24",-0.5176,30.172,34.259,57.439,51571.544,1021.11,21.112,0.2,0.2,1.55,NA,NA,NA,NA
"9","2021/09/02","09:59:24",-0.5176,30.177,34.258,57.443,51569.702,1021.107,21.11,0.2,0.2,1.61,NA,NA,NA,NA
"10","2021/09/02","09:59:25",-0.5176,30.181,34.266,57.459,51579.843,1021.112,21.114,0.2,0.2,1.58,NA,NA,NA,NA
"11","2021/09/02","09:59:25",-0.5176,30.173,34.273,57.462,51590.146,1021.12,21.122,0.2,0.2,1.54,NA,NA,NA,NA
"12","2021/09/02","09:59:25",-0.5176,30.166,34.273,57.454,51590.614,1021.122,21.124,0.2,0.2,1.58,NA,NA,NA,NA
"13","2021/09/02","09:59:25",NA,30.167,34.273,57.455,51590.641,1021.122,21.124,0.2,0.2,1.52,NA,NA,NA,NA
"14","2021/09/02","09:59:25",-0.5176,30.169,34.271,57.455,51587.799,1021.12,21.122,0.2,0.2,1.51,NA,NA,NA,NA
"15","2021/09/02","09:59:25",-0.5176,30.166,34.278,57.461,51597.082,1021.126,21.128,0.2,0.2,1.52,NA,NA,NA,NA
"16","2021/09/02","09:59:25",-0.5176,30.17,34.276,57.464,51595.131,1021.124,21.126,0.2,0.2,1.45,NA,4.825,NA,NA
"17","2021/09/02","09:59:25",NA,30.163,34.273,57.452,51591.483,1021.123,21.126,0.21,0.21,1.51,77.34,4.813,7.49,NA
"18","2021/09/02","09:59:25",-0.5176,30.166,34.275,57.457,51593.782,1021.124,21.126,0.21,0.21,1.52,77.26,4.807,NA,NA
"19","2021/09/02","09:59:25",-0.5176,30.178,34.261,57.449,51574.004,1021.109,21.112,0.2,0.2,1.49,77.14,4.8,7.48,NA
"20","2021/09/02","09:59:26",-0.5176,30.188,34.251,57.444,51559.347,1021.098,21.1,0.18,0.18,1.54,77.05,4.795,NA,NA
"21","2021/09/02","09:59:26",NA,30.176,34.261,57.447,51573.916,1021.11,21.112,0.19,0.19,1.56,77.04,4.795,7.49,NA
