//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=310       
StartTime=2021/09/02 10:08:22
EndTime=2021/09/02 10:08:52
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],DO [mg/l],電池電圧 [V],
2021/09/02,10:08:22,-0.6157,29.401,0.028,0.047,42.473,995.847,-4.151,-0.01,-0.01,0.50,-7.69,-0.576,7.38,
2021/09/02,10:08:22,-0.6157,29.466,0.028,0.047,42.461,995.827,-4.170,-0.01,-0.01,0.50,-7.71,-0.578,7.38,
2021/09/02,10:08:22,-0.6157,29.528,0.028,0.047,42.546,995.809,-4.189,-0.01,-0.01,0.48,-7.71,-0.578,7.40,
2021/09/02,10:08:22,-0.6157,29.527,0.028,0.047,42.466,995.809,-4.188,-0.01,-0.01,0.48,9.55,0.716,7.42,
2021/09/02,10:08:22,-0.6353,29.484,0.028,0.047,42.416,995.822,-4.175,-0.02,-0.02,0.47,43.40,3.252,7.43,
2021/09/02,10:08:22,-0.6157,29.440,0.028,0.047,42.519,995.835,-4.162,-0.05,-0.05,0.37,18.17,1.360,7.44,
2021/09/02,10:08:22,-0.6353,29.413,0.028,0.047,42.436,995.843,-4.154,-5.05,-5.05,-9.19,2.62,0.196,7.44,
2021/09/02,10:08:22,-0.5961,29.422,9.389,17.506,15954.501,1002.816,2.819,-5.05,-5.05,-9.19,-3.10,-0.220,7.46,
2021/09/02,10:08:22,-0.5372,29.773,32.643,54.624,49432.638,1020.034,20.037,-3.87,-3.87,-3.63,-7.71,-0.483,7.47,
2021/09/02,10:08:22,-0.5176,30.054,34.401,57.527,51770.403,1021.256,21.259,-0.71,-0.71,0.88,11.09,0.688,7.46,
2021/09/02,10:08:23,-0.4979,30.184,34.330,57.558,51665.347,1021.159,21.161,0.03,0.03,2.13,44.75,2.778,7.48,
2021/09/02,10:08:23,-0.4783,30.242,34.298,57.571,51618.701,1021.115,21.117,0.21,0.21,2.59,69.83,4.337,7.47,
2021/09/02,10:08:23,-0.4979,30.268,34.272,57.560,51581.407,1021.086,21.089,0.26,0.26,2.82,81.76,5.078,7.48,
2021/09/02,10:08:23,-0.4979,30.281,34.269,57.568,51576.312,1021.080,21.082,0.27,0.27,2.86,86.09,5.347,7.49,
2021/09/02,10:08:23,-0.4979,30.299,34.259,57.574,51562.670,1021.067,21.069,0.28,0.28,2.86,87.14,5.412,7.47,
2021/09/02,10:08:23,-0.4979,30.312,34.249,57.573,51548.082,1021.054,21.057,0.34,0.34,2.76,87.06,5.407,7.50,
2021/09/02,10:08:23,-0.5176,30.320,34.243,57.572,51539.822,1021.047,21.050,0.31,0.31,2.65,86.45,5.370,7.47,
