//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=180       
StartTime=2021/09/02 08:40:01
EndTime=2021/09/02 08:40:18
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],DO [mg/l],電池電圧 [V],
2021/09/02,08:40:01,-0.4194,28.539,30.781,50.663,47004.021,1019.050,19.051,0.78,0.78,1.04,85.88,5.595,7.39,
2021/09/02,08:40:01,-0.4587,28.540,30.783,50.667,47005.916,1019.050,19.052,0.77,0.77,1.07,85.44,5.566,7.39,
2021/09/02,08:40:01,-0.4587,28.540,30.783,50.668,47006.674,1019.051,19.053,0.77,0.77,1.05,85.07,5.542,7.39,
2021/09/02,08:40:01,-0.4587,28.539,30.785,50.670,47009.543,1019.052,19.054,0.77,0.77,1.01,84.76,5.521,7.40,
2021/09/02,08:40:01,-0.4587,28.541,30.786,50.673,47010.708,1019.052,19.054,0.76,0.76,1.02,84.56,5.509,7.40,
2021/09/02,08:40:01,-0.4587,28.542,30.783,50.669,47006.127,1019.050,19.052,0.77,0.77,1.01,84.34,5.494,7.42,
2021/09/02,08:40:01,-0.4587,28.543,30.782,50.669,47004.764,1019.049,19.050,0.77,0.77,0.97,84.14,5.481,7.42,
2021/09/02,08:40:01,-0.4587,28.544,30.781,50.669,47003.825,1019.048,19.050,0.80,0.80,1.01,83.91,5.466,7.42,
2021/09/02,08:40:01,-0.4587,28.546,30.782,50.671,47003.931,1019.047,19.049,0.77,0.77,1.05,83.73,5.454,7.42,
2021/09/02,08:40:01,-0.4390,28.550,30.782,50.676,47004.417,1019.047,19.048,0.75,0.75,1.04,83.52,5.440,7.43,
2021/09/02,08:40:02,-0.4587,28.553,30.782,50.678,47004.201,1019.046,19.048,0.75,0.75,1.02,83.32,5.427,7.45,
2021/09/02,08:40:02,-0.4390,28.552,30.785,50.681,47008.096,1019.048,19.050,0.74,0.74,0.98,83.12,5.414,7.45,
2021/09/02,08:40:02,-0.4390,28.550,30.785,50.680,47008.073,1019.048,19.050,0.74,0.74,0.98,82.95,5.403,7.45,
2021/09/02,08:40:02,-0.4587,28.548,30.789,50.683,47013.201,1019.052,19.054,0.77,0.77,0.97,82.86,5.397,7.46,
2021/09/02,08:40:02,-0.4587,28.547,30.790,50.684,47014.601,1019.053,19.055,0.77,0.77,0.94,82.72,5.388,7.47,
2021/09/02,08:40:02,-0.4390,28.547,30.788,50.681,47011.869,1019.051,19.053,0.75,0.75,0.94,82.67,5.385,7.47,
2021/09/02,08:40:02,-0.4390,28.546,30.787,50.679,47011.662,1019.052,19.054,0.74,0.74,1.05,82.48,5.373,7.47,
2021/09/02,08:40:02,-0.4587,28.545,30.790,50.682,47015.171,1019.054,19.056,0.74,0.74,1.01,82.30,5.361,7.47,
2021/09/02,08:40:02,-0.4587,28.546,30.791,50.684,47016.403,1019.054,19.056,0.77,0.77,0.98,82.23,5.356,7.47,
2021/09/02,08:40:02,-0.4587,28.545,30.794,50.689,47021.443,1019.057,19.059,0.77,0.77,1.01,82.13,5.350,7.47,
2021/09/02,08:40:03,-0.4587,28.547,30.797,50.694,47024.388,1019.058,19.060,0.76,0.76,1.00,82.01,5.342,7.48,
2021/09/02,08:40:03,-0.4587,28.546,30.800,50.699,47029.579,1019.061,19.063,0.75,0.75,0.92,81.91,5.336,7.47,
2021/09/02,08:40:03,-0.4390,28.546,30.801,50.699,47030.082,1019.062,19.064,0.74,0.74,0.90,81.91,5.336,7.48,
2021/09/02,08:40:03,-0.4587,28.545,30.802,50.700,47031.816,1019.063,19.065,0.73,0.73,0.87,81.90,5.335,7.47,
2021/09/02,08:40:03,-0.4390,28.544,30.800,50.695,47028.574,1019.062,19.063,0.73,0.73,0.85,81.82,5.330,7.50,
2021/09/02,08:40:03,-0.4587,28.543,30.797,50.691,47025.519,1019.060,19.062,0.75,0.75,0.84,81.71,5.322,7.49,
2021/09/02,08:40:03,-0.4587,28.543,30.799,50.693,47027.810,1019.061,19.063,0.75,0.75,0.85,81.58,5.314,7.49,
2021/09/02,08:40:03,-0.4587,28.543,30.802,50.697,47031.287,1019.063,19.065,0.75,0.75,0.85,81.54,5.311,7.51,
2021/09/02,08:40:03,-0.4587,28.543,30.801,50.697,47030.959,1019.063,19.065,0.77,0.77,0.94,81.57,5.312,7.49,
2021/09/02,08:40:03,-0.4587,28.541,30.801,50.695,47030.420,1019.063,19.065,0.75,0.75,0.92,81.44,5.305,7.51,
2021/09/02,08:40:04,-0.4587,28.541,30.802,50.696,47032.147,1019.064,19.066,0.73,0.73,0.95,81.26,5.292,7.50,
2021/09/02,08:40:04,-0.4587,28.546,30.796,50.693,47024.053,1019.058,19.060,0.74,0.74,0.90,81.16,5.286,7.51,
2021/09/02,08:40:04,-0.4587,28.553,30.794,50.695,47019.537,1019.054,19.056,0.75,0.75,0.88,81.04,5.277,7.51,
2021/09/02,08:40:04,-0.4587,28.555,30.793,50.696,47018.834,1019.053,19.055,0.75,0.75,0.87,80.95,5.271,7.52,
2021/09/02,08:40:04,-0.4783,28.556,30.794,50.697,47019.455,1019.053,19.055,0.76,0.76,0.90,80.84,5.264,7.51,
2021/09/02,08:40:04,-0.4587,28.557,30.790,50.694,47014.647,1019.050,19.052,0.76,0.76,0.92,80.69,5.254,7.51,
